# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              NH3              CO               H                H2S             
  34               2.62073575E-02   1.85493618E+02   8.38710258E-01   1.60585646E-01   5.31748678E-04   5.68552305E-06   1.21816403E-04   2.39034222E-52   9.83684806E-59   2.29978424E-05  
  35               3.02880620E-02   1.90913192E+02   8.38710258E-01   1.60585646E-01   5.31748678E-04   2.32447863E-05   1.21816403E-04   2.94655275E-50   4.98918412E-57   2.29978424E-05  
  36               3.50521035E-02   1.95543441E+02   8.38676661E-01   1.60579213E-01   5.31727377E-04   2.32781465E-05   1.21811524E-04   4.42050097E-49   1.18560799E-55   2.29969212E-05  
  37               4.05957819E-02   2.02966794E+02   8.38549362E-01   1.60554839E-01   5.31646668E-04   6.33947944E-05   1.21793034E-04   8.32028988E-47   1.46277311E-53   2.29934305E-05  
  38               4.69733639E-02   2.12565952E+02   8.38074110E-01   1.60463844E-01   5.31345355E-04   2.14956848E-04   1.21724007E-04   4.66387129E-44   4.56657884E-51   2.29803989E-05  
  39               5.39367110E-02   2.21917009E+02   8.38074110E-01   1.60463844E-01   5.31345355E-04   7.81711877E-04   1.21724007E-04   1.59982610E-41   7.60744678E-49   2.29803989E-05  
  40               6.14328725E-02   2.31148217E+02   8.38074110E-01   1.60463844E-01   5.31345355E-04   7.81711877E-04   1.21724007E-04   9.92175233E-40   7.89909260E-47   2.29803989E-05  
  41               7.01649466E-02   2.40817367E+02   8.38074110E-01   1.60463844E-01   5.31345355E-04   7.81711877E-04   1.21724007E-04   5.30541802E-38   6.96321494E-45   2.29803989E-05  
  42               8.03335572E-02   2.51138147E+02   8.38074110E-01   1.60463844E-01   5.31345355E-04   7.81711877E-04   1.21724007E-04   2.64697409E-36   5.66794434E-43   2.29803989E-05  
  43               9.21714088E-02   2.61916826E+02   8.38074110E-01   1.60463844E-01   5.31345355E-04   7.81711877E-04   1.21724007E-04   1.12503415E-34   3.86395605E-41   2.29803989E-05  
  44               1.05947171E-01   2.73376034E+02   8.38074110E-01   1.60463844E-01   5.31345355E-04   7.81711877E-04   1.21724007E-04   4.38234687E-33   2.38422816E-39   2.29803989E-05  
  45               1.21967965E-01   2.85312827E+02   8.38074110E-01   1.60463844E-01   5.31345355E-04   7.81711877E-04   1.21724006E-04   1.44728520E-31   1.22547139E-37   2.29803989E-05  
  46               1.40592821E-01   2.97959860E+02   8.38074110E-01   1.60463844E-01   5.31345355E-04   7.81711877E-04   1.21724003E-04   4.33517333E-30   5.63603918E-36   2.29803989E-05  
  47               1.62244656E-01   3.11117189E+02   8.38074109E-01   1.60463844E-01   5.31345355E-04   7.81711877E-04   1.21723990E-04   1.10529059E-28   2.16875623E-34   2.29803989E-05  
  48               1.87414908E-01   3.25042619E+02   8.38074109E-01   1.60463844E-01   5.31345354E-04   7.81711796E-04   1.21723948E-04   2.55844328E-27   7.47604543E-33   2.29803989E-05  
