# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              NH3              CO               H2S              N2              
  18               3.35028041E-03   1.24100604E+02   8.38729761E-01   1.60589374E-01   5.31761023E-04   5.06528502E-12   1.21819231E-04   1.39389378E-83   2.30006343E-05   3.03613396E-30  
  19               3.53008343E-03   1.25738370E+02   8.38729761E-01   1.60589374E-01   5.31761023E-04   1.71053243E-11   1.21819231E-04   4.06052178E-81   2.30006343E-05   1.35392777E-29  
  20               3.73723673E-03   1.28572499E+02   8.38729761E-01   1.60589374E-01   5.31761023E-04   2.74593245E-11   1.21819231E-04   7.58927664E-80   2.30006343E-05   4.62816599E-29  
  21               3.97584052E-03   1.30688428E+02   8.38729761E-01   1.60589374E-01   5.31761023E-04   1.10223122E-10   1.21819231E-04   4.15734121E-77   2.30006343E-05   2.48895054E-28  
  22               4.25060868E-03   1.34063778E+02   8.38729761E-01   1.60589374E-01   5.31761023E-04   1.83265882E-10   1.21819231E-04   1.17914659E-75   2.30006343E-05   1.00331291E-27  
  23               4.56694768E-03   1.36717064E+02   8.38729760E-01   1.60589374E-01   5.31761022E-04   8.52569048E-10   1.21819231E-04   1.08602897E-72   2.30006342E-05   6.31059167E-27  
  24               4.93105338E-03   1.40701883E+02   8.38729757E-01   1.60589373E-01   5.31761020E-04   1.45293824E-09   1.21819231E-04   4.35961453E-71   2.30006341E-05   2.91788204E-26  
  25               5.35001472E-03   1.43949528E+02   8.38729754E-01   1.60589372E-01   5.31761018E-04   5.79185663E-09   1.21819230E-04   4.20135884E-68   2.30006341E-05   2.06176072E-25  
  26               5.83193663E-03   1.48608630E+02   8.38729736E-01   1.60589369E-01   5.31761007E-04   9.55025302E-09   1.21819228E-04   6.25869055E-67   2.30006336E-05   6.91905846E-25  
  27               6.38634632E-03   1.51250905E+02   8.38729722E-01   1.60589366E-01   5.31760998E-04   3.02628845E-08   1.21819226E-04   2.34906055E-64   2.30006332E-05   3.57350679E-24  
  28               7.02408555E-03   1.55792174E+02   8.38729651E-01   1.60589353E-01   5.31760953E-04   4.72997692E-08   1.21819215E-04   2.20690017E-63   2.30006312E-05   9.82707463E-24  
  29               7.75761177E-03   1.58185119E+02   8.38729593E-01   1.60589342E-01   5.31760917E-04   1.32317785E-07   1.21819207E-04   5.05974415E-61   2.30006297E-05   4.25486415E-23  
  30               8.60120022E-03   1.62828055E+02   8.38729302E-01   1.60589286E-01   5.31760732E-04   2.00638212E-07   1.21819165E-04   3.88131589E-60   2.30006217E-05   1.05921093E-22  
  31               9.57119766E-03   1.65196423E+02   8.38729067E-01   1.60589241E-01   5.31760583E-04   5.48431974E-07   1.21819131E-04   8.29261100E-58   2.30006152E-05   4.36017421E-22  
  32               1.06861664E-02   1.70236214E+02   8.38727559E-01   1.60588952E-01   5.31759627E-04   8.29631033E-07   1.21818912E-04   6.45055841E-57   2.30005739E-05   1.07542556E-21  
  33               1.19672312E-02   1.72856616E+02   8.38726285E-01   1.60588708E-01   5.31758819E-04   2.62763139E-06   1.21818727E-04   7.07606734E-55   2.30005389E-05   3.33776809E-21  
  34               1.34388330E-02   1.77222801E+02   8.38721594E-01   1.60587810E-01   5.31755845E-04   4.14978018E-06   1.21818045E-04   2.79759851E-53   2.30004103E-05   1.28256638E-20  
  35               1.51272047E-02   1.82450056E+02   8.38707793E-01   1.60585168E-01   5.31747095E-04   9.75216934E-06   1.21816041E-04   1.00508457E-50   2.30000318E-05   7.87790556E-20  
  36               1.70593735E-02   1.89613261E+02   8.38665473E-01   1.60577065E-01   5.31720264E-04   2.62306631E-05   1.21809894E-04   3.26461558E-48   2.29988713E-05   5.11334900E-19  
  37               1.92583544E-02   1.97193567E+02   8.38451934E-01   1.60536179E-01   5.31584879E-04   7.66512902E-05   1.21778879E-04   7.31150577E-46   2.29930154E-05   3.01352006E-18  
  38               2.17111027E-02   2.04869073E+02   8.38248779E-01   1.60497282E-01   5.31456077E-04   3.31238437E-04   1.21749372E-04   2.10626062E-43   2.29874442E-05   1.58013194E-17  
  39               2.43630158E-02   2.12561520E+02   8.38074143E-01   1.60463844E-01   5.31345356E-04   5.73432418E-04   1.21724008E-04   9.17245531E-42   2.29826551E-05   7.34112098E-17  
  40               2.72469036E-02   2.20217822E+02   8.38074143E-01   1.60463844E-01   5.31345356E-04   7.81680581E-04   1.21724008E-04   3.34790908E-40   2.29826551E-05   3.16442227E-16  
  41               3.04425267E-02   2.28080678E+02   8.38074143E-01   1.60463844E-01   5.31345356E-04   7.81680581E-04   1.21724008E-04   1.12459292E-38   2.29826551E-05   1.30757181E-15  
  42               3.40909812E-02   2.36333691E+02   8.38074143E-01   1.60463844E-01   5.31345356E-04   7.81680581E-04   1.21724008E-04   3.49100185E-37   2.29826551E-05   5.22183265E-15  
  43               3.82547883E-02   2.45003480E+02   8.38074143E-01   1.60463844E-01   5.31345356E-04   7.81680581E-04   1.21724008E-04   9.99345133E-36   2.29826551E-05   2.01725220E-14  
  44               4.30050082E-02   2.54108009E+02   8.38074143E-01   1.60463844E-01   5.31345356E-04   7.81680581E-04   1.21724008E-04   2.58097207E-34   2.29826551E-05   7.48287714E-14  
  45               4.84221690E-02   2.63607145E+02   8.38074143E-01   1.60463844E-01   5.31345356E-04   7.81680581E-04   1.21724007E-04   6.16544859E-33   2.29826551E-05   2.68390612E-13  
  46               5.45971436E-02   2.73592613E+02   8.38074143E-01   1.60463844E-01   5.31345356E-04   7.81680581E-04   1.21724006E-04   1.30749109E-31   2.29826551E-05   9.19441072E-13  
  47               6.16327120E-02   2.83948724E+02   8.38074143E-01   1.60463844E-01   5.31345356E-04   7.81680581E-04   1.21724002E-04   2.57282962E-30   2.29826551E-05   3.04560030E-12  
  48               6.96457806E-02   2.94841157E+02   8.38074143E-01   1.60463844E-01   5.31345356E-04   7.81680581E-04   1.21723988E-04   4.46216196E-29   2.29826551E-05   9.61340004E-12  
  49               7.87702609E-02   3.06088109E+02   8.38074143E-01   1.60463844E-01   5.31345356E-04   7.81680511E-04   1.21723949E-04   7.22034797E-28   2.29826551E-05   2.93761792E-11  
  50               8.91580574E-02   3.17930004E+02   8.38074142E-01   1.60463844E-01   5.31345356E-04   7.81680440E-04   1.21723837E-04   1.02790663E-26   2.29826551E-05   8.55157465E-11  
  51               1.00981517E-01   3.30114644E+02   8.38074143E-01   1.60463844E-01   5.31345355E-04   7.81679997E-04   1.21723525E-04   1.37266246E-25   2.29826551E-05   2.41365334E-10  
  52               1.14434687E-01   3.42956105E+02   8.38074140E-01   1.60463843E-01   5.31345353E-04   7.81679620E-04   1.21722708E-04   1.61490353E-24   2.29826550E-05   6.49483669E-10  
  53               1.29738490E-01   3.56129344E+02   8.38074142E-01   1.60463843E-01   5.31345350E-04   7.81675048E-04   1.21720610E-04   1.79415382E-23   2.29826549E-05   1.69808259E-09  
  54               1.47147416E-01   3.70035288E+02   8.38074146E-01   1.60463842E-01   5.31345347E-04   7.81670847E-04   1.21715523E-04   1.76563881E-22   2.29826547E-05   4.24153826E-09  
  55               1.66948474E-01   3.84275879E+02   8.38074058E-01   1.60463821E-01   5.31345278E-04   7.81666552E-04   1.21703365E-04   1.64885245E-21   2.29826518E-05   1.03125992E-08  
  56               1.89464334E-01   3.99324289E+02   8.38074085E-01   1.60463807E-01   5.31345232E-04   7.81547453E-04   1.21675993E-04   1.36990841E-20   2.29826498E-05   2.39929797E-08  
  57               2.15057496E-01   4.14701029E+02   8.38074134E-01   1.60463787E-01   5.31345168E-04   7.81428493E-04   1.21615222E-04   1.08354812E-19   2.29826470E-05   5.43715248E-08  
  58               2.44136021E-01   4.30954835E+02   8.38074313E-01   1.60463774E-01   5.31345124E-04   7.81312598E-04   1.21487880E-04   7.68002466E-19   2.29826451E-05   1.18037226E-07  
  59               2.77180567E-01   4.47541108E+02   8.38074297E-01   1.60463706E-01   5.31344899E-04   7.81367290E-04   1.21224804E-04   5.20790713E-18   2.29826353E-05   2.49549482E-07  
  60               3.14749401E-01   4.65103846E+02   8.38072932E-01   1.60463422E-01   5.31343956E-04   7.82011840E-04   1.20712932E-04   3.20458653E-17   2.29825946E-05   5.05377333E-07  
  61               3.57518386E-01   4.83050582E+02   8.38072900E-01   1.60463153E-01   5.31343067E-04   7.81551781E-04   1.19737437E-04   1.89092148E-16   2.29825561E-05   9.93023223E-07  
  62               4.06334261E-01   5.02129825E+02   8.38073545E-01   1.60462786E-01   5.31341853E-04   7.81039422E-04   1.18004105E-04   1.02891266E-15   2.29825036E-05   1.85955013E-06  
  63               4.62297231E-01   5.21741066E+02   8.38076520E-01   1.60462399E-01   5.31340571E-04   7.79935892E-04   1.15039422E-04   5.47367064E-15   2.29824481E-05   3.34174472E-06  
  64               5.26904733E-01   5.42793882E+02   8.38079583E-01   1.60461657E-01   5.31338112E-04   7.79932296E-04   1.10411213E-04   2.73763557E-14   2.29823418E-05   5.65556742E-06  
  65               6.02189491E-01   5.64734454E+02   8.38084061E-01   1.60460571E-01   5.31334517E-04   7.79927050E-04   1.03644841E-04   1.36349578E-13   2.29821863E-05   9.03834182E-06  
  66               6.90847566E-01   5.88660297E+02   8.38089912E-01   1.60459153E-01   5.31329819E-04   7.79920225E-04   9.48042137E-05   6.50786082E-13   2.29819831E-05   1.34581175E-05  
  67               7.96285932E-01   6.13993825E+02   8.38096952E-01   1.60457446E-01   5.31324165E-04   7.79912087E-04   8.41674306E-05   3.11085359E-12   2.29817387E-05   1.87758617E-05  
  68               9.22498413E-01   6.41854812E+02   8.38104515E-01   1.60455612E-01   5.31318080E-04   7.79903517E-04   7.27380911E-05   1.42176095E-11   2.29814760E-05   2.44898358E-05  
  69               1.07400076E+00   6.71445469E+02   8.38112066E-01   1.60453779E-01   5.31311962E-04   7.79895339E-04   6.13220734E-05   6.37754122E-11   2.29812135E-05   3.01971497E-05  
  70               1.25515798E+00   7.03688659E+02   8.38118927E-01   1.60452108E-01   5.31306223E-04   7.79888634E-04   5.09283976E-05   2.65943470E-10   2.29809742E-05   3.53933537E-05  
  71               1.46957619E+00   7.37313569E+02   8.38124828E-01   1.60450643E-01   5.31300583E-04   7.79883982E-04   4.18912071E-05   1.04730961E-09   2.29807642E-05   3.99113932E-05  
  72               1.71972631E+00   7.72948074E+02   8.38129564E-01   1.60449430E-01   5.31293868E-04   7.79881444E-04   3.45132169E-05   3.73248804E-09   2.29805903E-05   4.35999282E-05  
  73               2.00792985E+00   8.09123671E+02   8.38133364E-01   1.60448447E-01   5.31281985E-04   7.79878926E-04   2.85677469E-05   1.23279568E-08   2.29804488E-05   4.65722900E-05  
  74               2.33652644E+00   8.46664680E+02   8.38136351E-01   1.60447678E-01   5.31254955E-04   7.79868693E-04   2.39382869E-05   3.67446980E-08   2.29842133E-05   4.88867279E-05  
  75               2.70723515E+00   8.84103456E+02   8.38138744E-01   1.60447056E-01   5.31188134E-04   7.79829090E-04   2.02876252E-05   1.01369779E-07   2.30015952E-05   5.07118216E-05  
  76               3.12133137E+00   9.22391523E+02   8.38140516E-01   1.60446512E-01   5.31032878E-04   7.79713456E-04   1.74648122E-05   2.54555635E-07   2.30618710E-05   5.21230176E-05  
  77               3.58023103E+00   9.60103976E+02   8.38141718E-01   1.60445942E-01   5.30688039E-04   7.79422742E-04   1.52237861E-05   5.97007109E-07   2.32449547E-05   5.32433042E-05  
  78               4.08736564E+00   9.98507089E+02   8.38142660E-01   1.60445304E-01   5.29987023E-04   7.78791991E-04   1.34680433E-05   1.29503744E-06   2.36618605E-05   5.41209095E-05  
  79               4.64693687E+00   1.03634646E+03   8.38144412E-01   1.60444531E-01   5.28623546E-04   7.77529776E-04   1.20448072E-05   2.65447043E-06   2.40358284E-05   5.48321814E-05  
  80               5.26360023E+00   1.07496342E+03   8.38147813E-01   1.60443514E-01   5.26177223E-04   7.75217647E-04   1.09077040E-05   5.09505754E-06   2.42830145E-05   5.54002390E-05  
  81               5.94281110E+00   1.11306902E+03   8.38153847E-01   1.60441994E-01   5.21954560E-04   7.71165003E-04   9.96625627E-06   9.30900332E-06   2.42826004E-05   5.58701742E-05  
  82               6.69136839E+00   1.15212214E+03   8.38163094E-01   1.60439686E-01   5.15191342E-04   7.64593601E-04   9.20039725E-06   1.60591815E-05   2.42819523E-05   5.62518389E-05  
  83               7.51895018E+00   1.19095259E+03   8.38177070E-01   1.60436218E-01   5.04761813E-04   7.54377465E-04   8.55339605E-06   2.64695277E-05   2.42809483E-05   5.65733327E-05  
  84               8.43927201E+00   1.23113732E+03   8.38196899E-01   1.60431316E-01   4.89814284E-04   7.39658542E-04   8.01789807E-06   4.13904581E-05   2.42794627E-05   5.68380639E-05  
  85               9.46890926E+00   1.27167474E+03   8.38223954E-01   1.60424639E-01   4.69310058E-04   7.19396645E-04   7.55843702E-06   6.18589620E-05   2.42772985E-05   5.70633773E-05  
  86               1.06272471E+01   1.31402330E+03   8.38258209E-01   1.60416185E-01   4.43248543E-04   6.93583548E-04   7.17439001E-06   8.78754337E-05   2.42742588E-05   5.72492899E-05  
  87               1.19360079E+01   1.35722377E+03   8.38299443E-01   1.60405985E-01   4.11757743E-04   6.62346297E-04   6.84416856E-06   1.19311325E-04   2.42699623E-05   5.74061928E-05  
  88               1.34183895E+01   1.40247655E+03   8.38345439E-01   1.60394535E-01   3.76420216E-04   6.27269572E-04   6.56975626E-06   1.54585218E-04   2.42637094E-05   5.75328843E-05  
  89               1.51014310E+01   1.44890950E+03   8.38394120E-01   1.60382239E-01   3.38598877E-04   5.89759736E-04   6.33762142E-06   1.92334090E-04   2.42532341E-05   5.76357637E-05  
  90               1.70142567E+01   1.49747292E+03   8.38441829E-01   1.60369756E-01   3.00576527E-04   5.52230461E-04   6.15009380E-06   2.30275857E-04   2.42312924E-05   5.77135237E-05  
  91               1.91773642E+01   1.54714352E+03   8.38485112E-01   1.60357351E-01   2.63815503E-04   5.16441449E-04   5.99904610E-06   2.66946977E-04   2.41735405E-05   5.77699422E-05  
  92               2.15918740E+01   1.59797752E+03   8.38517595E-01   1.60344937E-01   2.29893660E-04   4.85001441E-04   5.88606137E-06   3.00768356E-04   2.40109091E-05   5.78042771E-05  
  93               2.42290671E+01   1.64841078E+03   8.38539470E-01   1.60333293E-01   1.98832876E-04   4.61709716E-04   5.80521583E-06   3.31721794E-04   2.35141974E-05   5.78205924E-05  
  94               2.70315854E+01   1.69767114E+03   8.38552294E-01   1.60322842E-01   1.72247398E-04   4.43421655E-04   5.75529189E-06   3.58195005E-04   2.30223060E-05   5.78199364E-05  
  95               2.99416308E+01   1.74453731E+03   8.38556466E-01   1.60313666E-01   1.49751427E-04   4.30673499E-04   5.72979320E-06   3.80577329E-04   2.25713974E-05   5.78067263E-05  
  96               3.28941757E+01   1.78866565E+03   8.38544716E-01   1.60304299E-01   1.31323924E-04   4.22866814E-04   5.72517204E-06   3.98890785E-04   2.23472499E-05   5.77837858E-05  
  97               3.57645685E+01   1.82843167E+03   8.38511932E-01   1.60294077E-01   1.15093403E-04   4.25952453E-04   5.73450626E-06   4.15015303E-04   2.20014472E-05   5.77573714E-05  
  98               3.83735340E+01   1.86251610E+03   8.38461309E-01   1.60283569E-01   1.00566828E-04   4.40926088E-04   5.75460728E-06   4.29453005E-04   2.15523876E-05   5.77310565E-05  
  99               4.08637840E+01   1.89309540E+03   8.38418165E-01   1.60275340E-01   8.93671470E-05   4.52823124E-04   5.78119924E-06   4.40572907E-04   2.12183683E-05   5.77028633E-05  
  100              4.33720986E+01   1.92253881E+03   8.38372444E-01   1.60266671E-01   8.10674981E-05   4.57843882E-04   5.81520765E-06   4.48783327E-04   2.10336339E-05   5.76687125E-05  
  101              4.60817438E+01   1.95255036E+03   8.38326875E-01   1.60257123E-01   7.52640142E-05   4.52099973E-04   5.85380625E-06   4.54479790E-04   2.10153248E-05   5.76278371E-05  
