# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               CH4             
  1                1.00000000E-05   6.12918155E+02   8.38770366E-01   1.60294930E-01   3.37707930E-14   4.59657549E-04   3.11432012E-04   6.07969575E-05   0.00000000E+00   6.69518953E-05  
  2                1.62676456E-05   6.25572852E+02   8.38762714E-01   1.60296640E-01   6.33981796E-14   4.54887908E-04   3.17364269E-04   6.07972875E-05   0.00000000E+00   7.22920096E-05  
  3                2.43335084E-05   6.45991732E+02   8.38793167E-01   1.60289026E-01   1.97442725E-13   4.79405797E-04   2.94552722E-04   6.07942805E-05   0.00000000E+00   4.85660251E-05  
  4                3.44144742E-05   6.50328159E+02   8.38768784E-01   1.60294926E-01   2.18201878E-13   4.61097388E-04   3.13006905E-04   6.07960568E-05   0.00000000E+00   6.69653174E-05  
  5                4.69361504E-05   6.67972148E+02   8.38794091E-01   1.60288629E-01   5.47853468E-13   4.81198658E-04   2.94016493E-04   6.07935607E-05   0.00000000E+00   4.73527760E-05  
  6                6.25641576E-05   6.71117191E+02   8.38772214E-01   1.60293935E-01   5.71437841E-13   4.64701023E-04   3.10558788E-04   6.07950260E-05   0.00000000E+00   6.38951929E-05  
  7                8.20124820E-05   6.87912778E+02   8.38795210E-01   1.60288224E-01   1.30883828E-12   4.82829531E-04   2.93284089E-04   6.07927524E-05   0.00000000E+00   4.61184439E-05  
  8                1.06293726E-04   6.90686184E+02   8.38775324E-01   1.60293049E-01   1.34203343E-12   4.67814169E-04   3.08310260E-04   6.07939248E-05   0.00000000E+00   6.11647740E-05  
  9                1.36512112E-04   7.07125873E+02   8.38796184E-01   1.60287869E-01   2.89088830E-12   4.84196466E-04   2.92627166E-04   6.07918342E-05   0.00000000E+00   4.50488196E-05  
  10               1.74193787E-04   7.09783021E+02   8.38777663E-01   1.60292362E-01   2.94491917E-12   4.70207184E-04   3.06609441E-04   6.07927377E-05   0.00000000E+00   5.90631037E-05  
  11               2.21043727E-04   7.26139066E+02   8.38796764E-01   1.60287610E-01   6.06694491E-12   4.85184403E-04   2.92229977E-04   6.07907770E-05   0.00000000E+00   4.42938136E-05  
  12               2.79374773E-04   7.28837187E+02   8.38779291E-01   1.60291842E-01   6.17820332E-12   4.71995957E-04   3.05401183E-04   6.07914027E-05   0.00000000E+00   5.75046062E-05  
  13               3.51836199E-04   7.45381297E+02   8.38797155E-01   1.60287381E-01   1.23545875E-11   4.86008407E-04   2.91919544E-04   6.07895106E-05   0.00000000E+00   4.36586175E-05  
  14               4.41954629E-04   7.48243211E+02   8.38780608E-01   1.60291374E-01   1.26319763E-11   4.73545310E-04   3.04359639E-04   6.07898259E-05   0.00000000E+00   5.61429030E-05  
  15               5.53816926E-04   7.65137912E+02   8.38797429E-01   1.60287141E-01   2.47074499E-11   4.86786382E-04   2.91601770E-04   6.07879659E-05   0.00000000E+00   4.30368823E-05  
  16               6.92836250E-04   7.68185587E+02   8.38781550E-01   1.60290943E-01   2.53518730E-11   4.74877837E-04   3.03481811E-04   6.07879341E-05   0.00000000E+00   5.49654894E-05  
  17               8.65328182E-04   7.85485307E+02   8.38797284E-01   1.60286925E-01   4.85943677E-11   4.87377351E-04   2.91427511E-04   6.07860782E-05   0.00000000E+00   4.25760680E-05  
  18               1.07954749E-03   7.88762487E+02   8.38781890E-01   1.60290557E-01   5.00734739E-11   4.75926394E-04   3.02845836E-04   6.07856406E-05   0.00000000E+00   5.40461463E-05  
  19               1.34510792E-03   8.06499369E+02   8.38796467E-01   1.60286733E-01   9.41425716E-11   4.87726241E-04   2.91458705E-04   6.07837511E-05   0.00000000E+00   4.23362463E-05  
  20               1.67450789E-03   8.10025418E+02   8.38781308E-01   1.60290205E-01   9.73989711E-11   4.76632522E-04   3.02516492E-04   6.07828286E-05   0.00000000E+00   5.34481133E-05  
  21               2.08227894E-03   8.28203297E+02   8.38794522E-01   1.60286542E-01   1.79584875E-10   4.87771010E-04   2.91760610E-04   6.07808548E-05   0.00000000E+00   4.23830721E-05  
  22               2.58711156E-03   8.31921155E+02   8.38780089E-01   1.60290060E-01   1.85988343E-10   4.76837318E-04   3.02654846E-04   6.07794140E-05   0.00000000E+00   5.33342315E-05  
  23               3.21074343E-03   8.50452202E+02   8.38793541E-01   1.60286713E-01   3.35246704E-10   4.87284943E-04   2.92561044E-04   6.07773540E-05   0.00000000E+00   4.29468142E-05  
  24               3.98085340E-03   8.54290731E+02   8.38779032E-01   1.60290250E-01   3.46551334E-10   4.76292079E-04   3.03509929E-04   6.07752398E-05   0.00000000E+00   5.39561583E-05  
  25               4.92965824E-03   8.73152355E+02   8.38791753E-01   1.60287084E-01   6.10697142E-10   4.86162631E-04   2.93963997E-04   6.07729773E-05   0.00000000E+00   4.41348043E-05  
  26               6.09774184E-03   8.77041731E+02   8.38776895E-01   1.60290708E-01   6.28650572E-10   4.74903956E-04   3.05173980E-04   6.07700318E-05   0.00000000E+00   5.54091430E-05  
  27               7.53292576E-03   8.96307043E+02   8.38789187E-01   1.60287650E-01   1.08681443E-09   4.84429297E-04   2.95947397E-04   6.07674759E-05   0.00000000E+00   4.59241828E-05  
  28               9.29515000E-03   9.00315851E+02   8.38773979E-01   1.60291359E-01   1.11690971E-09   4.72906038E-04   3.07420185E-04   6.07635007E-05   0.00000000E+00   5.74627069E-05  
  29               1.14547907E-02   9.20029229E+02   8.38785996E-01   1.60288373E-01   1.89788259E-09   4.82204887E-04   2.98396215E-04   6.07605501E-05   0.00000000E+00   4.81970090E-05  
  30               1.41002077E-02   9.24223899E+02   8.38770450E-01   1.60292163E-01   1.95115976E-09   4.70428300E-04   3.10122811E-04   6.07553039E-05   0.00000000E+00   5.99887226E-05  
  31               1.73384827E-02   9.44644876E+02   8.38782606E-01   1.60289147E-01   3.28433748E-09   4.79817818E-04   3.00989647E-04   6.07518679E-05   0.00000000E+00   5.06265149E-05  
  32               2.13040343E-02   9.49223810E+02   8.38766981E-01   1.60292955E-01   3.39556825E-09   4.67987528E-04   3.12774232E-04   6.07450700E-05   0.00000000E+00   6.24719914E-05  
  33               2.61565000E-02   9.70499249E+02   8.38779333E-01   1.60289894E-01   5.67749111E-09   4.77513505E-04   3.03487407E-04   6.07410317E-05   0.00000000E+00   5.29683714E-05  
  34               3.21008433E-02   9.75838857E+02   8.38764230E-01   1.60293573E-01   5.95778254E-09   4.66087065E-04   3.14878055E-04   6.07324085E-05   1.23165349E-15   6.44100748E-05  
  35               3.93818032E-02   9.98444281E+02   8.38777190E-01   1.60290366E-01   9.99817172E-09   4.76065223E-04   3.05126552E-04   6.07277225E-05   5.32814979E-15   5.44500750E-05  
  36               4.83127348E-02   1.00489478E+03   8.38763197E-01   1.60293771E-01   1.07192323E-08   4.65491046E-04   3.15678055E-04   6.07169994E-05   5.32771069E-15   6.50392643E-05  
  37               5.92674930E-02   1.02927257E+03   8.38776874E-01   1.60290391E-01   1.81756813E-08   4.76005955E-04   3.05378239E-04   6.07116491E-05   2.55768488E-14   5.45387891E-05  
  38               7.27354574E-02   1.03743511E+03   8.38764906E-01   1.60293299E-01   2.01293550E-08   4.66978566E-04   3.14400508E-04   6.06986826E-05   2.55737174E-14   6.35804252E-05  
  39               8.92872886E-02   1.06405459E+03   8.38779119E-01   1.60289788E-01   3.46403420E-08   4.77896157E-04   3.03684476E-04   6.06926850E-05   5.02702640E-14   5.26739378E-05  
  40               1.09673327E-01   1.07448369E+03   8.38769788E-01   1.60292049E-01   3.99018351E-08   4.70881233E-04   3.10712301E-04   6.06774298E-05   1.39967449E-13   5.97017066E-05  
  41               1.34772611E-01   1.10419930E+03   8.38784520E-01   1.60288410E-01   7.04083694E-08   4.82195604E-04   2.99584962E-04   6.06710413E-05   4.52415369E-13   4.83954322E-05  
  42               1.65739146E-01   1.11773096E+03   8.38778419E-01   1.60289878E-01   8.51786138E-08   4.77646143E-04   3.04164711E-04   6.06537643E-05   9.16006358E-13   5.29556864E-05  
  43               2.03875967E-01   1.15124050E+03   8.38792914E-01   1.60286286E-01   1.54403476E-07   4.88800159E-04   2.93177200E-04   6.06472411E-05   2.90966087E-12   4.18071681E-05  
  44               2.50975377E-01   1.16899705E+03   8.38790256E-01   1.60286902E-01   1.98282640E-07   4.86889458E-04   2.95132139E-04   6.06286204E-05   7.36226239E-12   4.37260983E-05  
  45               3.09005262E-01   1.20749286E+03   8.38803705E-01   1.60283533E-01   3.71665621E-07   4.97318486E-04   2.84845851E-04   6.06224839E-05   2.31567808E-11   3.33003991E-05  
  46               3.80497720E-01   1.23063068E+03   8.38803822E-01   1.60283436E-01   5.08943845E-07   4.97592820E-04   2.84622324E-04   6.06034413E-05   7.41606248E-11   3.30315141E-05  
  47               4.67967644E-01   1.27516171E+03   8.38814952E-01   1.60280536E-01   9.84372510E-07   5.06481597E-04   2.75863343E-04   6.05982646E-05   2.30350346E-10   2.41442910E-05  
  48               5.74578698E-01   1.30465499E+03   8.38816395E-01   1.60279990E-01   1.43157866E-06   5.08031574E-04   2.74367852E-04   6.05799866E-05   9.13568971E-10   2.25969690E-05  
  49               7.03066505E-01   1.35575722E+03   8.38823553E-01   1.60277697E-01   2.81838343E-06   5.14711544E-04   2.67890806E-04   6.05761158E-05   4.64519438E-09   1.59168127E-05  
