# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H                H2               He               CO               H2O              O-3P             Mg               Fe              
  1                1.00000000E-05   1.72311828E+03   5.10738215E-02   7.91629237E-01   1.56148574E-01   5.16987403E-04   3.62149353E-04   6.70229514E-08   6.50911202E-05   5.41416934E-05  
  2                1.07415659E-05   1.63589638E+03   2.16451150E-02   8.18682437E-01   1.58506873E-01   5.24788737E-04   3.68788360E-04   9.36369459E-09   6.60741254E-05   5.49594045E-05  
  3                1.15434079E-05   1.85872728E+03   1.42130179E-01   7.07922393E-01   1.48852409E-01   4.92836525E-04   3.40394785E-04   8.02932288E-07   6.20494555E-05   5.16118445E-05  
  4                1.24487481E-05   1.72403243E+03   4.62879553E-02   7.96028783E-01   1.56532083E-01   5.18257403E-04   3.63205835E-04   5.47122785E-08   6.52506932E-05   5.42746479E-05  
  5                1.34949590E-05   1.91360153E+03   1.93328519E-01   6.60856541E-01   1.44749915E-01   4.79254826E-04   3.26815053E-04   1.80791358E-06   6.03391224E-05   5.01893575E-05  
  6                1.47095974E-05   1.77748422E+03   6.75516197E-02   7.76481406E-01   1.54828239E-01   5.12619367E-04   3.58310824E-04   1.35330607E-07   6.45401601E-05   5.36838417E-05  
  7                1.61298144E-05   1.95458880E+03   2.31901483E-01   6.25397095E-01   1.41658987E-01   4.69021842E-04   3.15681983E-04   3.01047046E-06   5.90504311E-05   4.91176114E-05  
  8                1.77919698E-05   1.82045937E+03   8.71114266E-02   7.58500339E-01   1.53260949E-01   5.07432385E-04   3.53652580E-04   2.53713812E-07   6.38864966E-05   5.31403801E-05  
  9                1.97449547E-05   1.99033307E+03   2.63051460E-01   5.96761552E-01   1.39162789E-01   4.60757863E-04   3.05927665E-04   4.37293063E-06   5.80096031E-05   4.82520728E-05  
  10               2.20382650E-05   1.85898783E+03   1.05498735E-01   7.41597132E-01   1.51787608E-01   5.02555990E-04   3.49103556E-04   4.13636593E-07   6.32719264E-05   5.26294884E-05  
  11               2.47397577E-05   2.02368161E+03   2.88696500E-01   5.73186662E-01   1.37107647E-01   4.53954201E-04   2.97209698E-04   5.84831270E-06   5.71525637E-05   4.75394561E-05  
  12               2.79166769E-05   1.89551509E+03   1.22952665E-01   7.25551976E-01   1.50389047E-01   4.97926932E-04   3.44603132E-04   6.19454995E-07   6.26884416E-05   5.21445177E-05  
  13               3.16644634E-05   2.05590558E+03   3.09875651E-01   5.53717227E-01   1.35410316E-01   4.48335280E-04   2.89378743E-04   7.38607534E-06   5.64445975E-05   4.69508965E-05  
  14               3.60741939E-05   1.93129360E+03   1.39660110E-01   7.10193062E-01   1.49050285E-01   4.93495715E-04   3.40099574E-04   8.76738549E-07   6.21297796E-05   5.16802717E-05  
  15               4.12802762E-05   2.08770903E+03   3.27409902E-01   5.37598515E-01   1.34005024E-01   4.43683336E-04   2.82311894E-04   8.94629130E-06   5.58582700E-05   4.64635864E-05  
  16               4.74059616E-05   1.96710178E+03   1.55865034E-01   6.95296125E-01   1.47751772E-01   4.89197657E-04   3.35521524E-04   1.19408850E-06   6.15877711E-05   5.12299692E-05  
  17               5.46410174E-05   2.11958666E+03   3.42118946E-01   5.24076987E-01   1.32826096E-01   4.39780917E-04   2.75844662E-04   1.05138511E-05   5.53661864E-05   4.60547523E-05  
  18               6.31544017E-05   2.00350687E+03   1.71888742E-01   6.80565796E-01   1.46467757E-01   4.84947533E-04   3.30768754E-04   1.58539529E-06   6.10516617E-05   5.07846795E-05  
  19               7.32121018E-05   2.15201187E+03   3.54919859E-01   5.12309591E-01   1.31800047E-01   4.36384708E-04   2.69728989E-04   1.21126418E-05   5.49376949E-05   4.56989122E-05  
  20               8.50445630E-05   2.04102316E+03   1.88170653E-01   6.65598126E-01   1.45163026E-01   4.80628765E-04   3.25694551E-04   2.07401457E-06   6.05067495E-05   5.03321900E-05  
  21               9.90228929E-05   2.18545516E+03   3.66756121E-01   5.01429007E-01   1.30851267E-01   4.33244363E-04   2.63653996E-04   1.38048605E-05   5.45412573E-05   4.53698479E-05  
  22               1.15461151E-04   2.08015281E+03   2.05253921E-01   6.49893812E-01   1.43794049E-01   4.76097240E-04   3.20100060E-04   2.69786808E-06   5.99348660E-05   4.98574044E-05  
  23               1.34876068E-04   2.22044912E+03   3.78633119E-01   4.90511016E-01   1.29899180E-01   4.30093091E-04   2.57227350E-04   1.56998813E-05   5.41432651E-05   4.50396177E-05  
  24               1.57694434E-04   2.12146195E+03   2.23831312E-01   6.32816014E-01   1.42305303E-01   4.71169129E-04   3.13706581E-04   3.51960196E-06   5.93128444E-05   4.93410681E-05  
  25               1.84636215E-04   2.25762257E+03   3.91625365E-01   4.78567863E-01   1.28857657E-01   4.26645729E-04   2.49961652E-04   1.79662567E-05   5.37077989E-05   4.46783560E-05  
  26               2.16277940E-04   2.16568748E+03   2.44855799E-01   6.13488700E-01   1.40620407E-01   4.65591542E-04   3.06095642E-04   4.64784240E-06   5.86088281E-05   4.87566942E-05  
  27               2.53627882E-04   2.29784284E+03   4.07059295E-01   4.64380222E-01   1.27620365E-01   4.22550232E-04   2.41170294E-04   2.08824704E-05   5.31905255E-05   4.42491918E-05  
