# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CH4              CO               NH3              N2              
  34               1.09368528E-01   5.18629381E+02   8.38100598E-01   1.60456512E-01   1.27728280E-19   7.80111949E-04   5.31321076E-04   3.36030583E-14   7.83471627E-05   2.16856414E-05  
  35               1.34674347E-01   5.34233903E+02   8.38104238E-01   1.60455630E-01   5.08735085E-19   7.80107670E-04   5.31318154E-04   9.54088989E-14   7.28478426E-05   2.44349668E-05  
  36               1.65953046E-01   5.45734258E+02   8.38105087E-01   1.60455424E-01   1.29820158E-18   7.80106682E-04   5.31317473E-04   1.75057927E-13   7.15653436E-05   2.50761382E-05  
  37               2.04659248E-01   5.63537393E+02   8.38109042E-01   1.60454465E-01   5.39162674E-18   7.80102053E-04   5.31314298E-04   5.19504811E-13   6.55900562E-05   2.80634183E-05  
  38               2.52594704E-01   5.77570007E+02   8.38110509E-01   1.60454109E-01   1.51598038E-17   7.80100362E-04   5.31313119E-04   1.05053646E-12   6.33725639E-05   2.91720295E-05  
  39               3.11990763E-01   5.98215061E+02   8.38114699E-01   1.60453093E-01   6.61832494E-17   7.80095523E-04   5.31309753E-04   3.28719962E-12   5.70415336E-05   3.23371593E-05  
  40               3.85562814E-01   6.15304936E+02   8.38116657E-01   1.60452619E-01   2.03248699E-16   7.80093343E-04   5.31308176E-04   7.27428938E-12   5.40825484E-05   3.38164719E-05  
  41               4.76524064E-01   6.38847583E+02   8.38120645E-01   1.60451652E-01   8.91873236E-16   7.80088946E-04   5.31304958E-04   2.30072741E-11   4.80563197E-05   3.68292195E-05  
  42               5.88827181E-01   6.59063906E+02   8.38122728E-01   1.60451146E-01   2.86070521E-15   7.80086894E-04   5.31303252E-04   5.34558982E-11   4.49062084E-05   3.84040833E-05  
  43               7.27024703E-01   6.85684664E+02   8.38126247E-01   1.60450291E-01   1.22603698E-14   7.80083621E-04   5.31300307E-04   1.66519493E-10   3.95833820E-05   4.10651724E-05  
  44               8.96386858E-01   7.09364368E+02   8.38128254E-01   1.60449799E-01   4.01417545E-14   7.80082400E-04   5.31298442E-04   3.98436430E-10   3.65309950E-05   4.25911791E-05  
  45               1.10288748E+00   7.39617124E+02   8.38131237E-01   1.60449060E-01   1.67116366E-13   7.80081032E-04   5.31295168E-04   1.22017748E-09   3.19706819E-05   4.48710555E-05  
  46               1.35317673E+00   7.67166805E+02   8.38132891E-01   1.60448580E-01   5.47691760E-13   7.80081304E-04   5.31291826E-04   2.96029137E-09   2.91956136E-05   4.62584073E-05  
  47               1.65470163E+00   8.01069071E+02   8.38135105E-01   1.60447948E-01   2.14570013E-12   7.80081206E-04   5.31284009E-04   8.66193074E-09   2.55288145E-05   4.80915673E-05  
  48               2.01607909E+00   8.32268672E+02   8.38136608E-01   1.60447577E-01   6.74952880E-12   7.80079762E-04   5.31270921E-04   2.04806147E-08   2.32521748E-05   4.92297460E-05  
  49               2.44696323E+00   8.69570293E+02   8.38138447E-01   1.60447113E-01   2.41641467E-11   7.80064740E-04   5.31234145E-04   5.56296684E-08   2.04694863E-05   5.06209137E-05  
  50               2.95725977E+00   9.04036096E+02   8.38139558E-01   1.60446794E-01   7.07064942E-11   7.80023692E-04   5.31164324E-04   1.24255446E-07   1.87343591E-05   5.14883548E-05  
  51               3.55683007E+00   9.44204456E+02   8.38140782E-01   1.60446361E-01   2.26220563E-10   7.79887065E-04   5.30980395E-04   3.06439327E-07   1.67059145E-05   5.25024074E-05  
  52               4.25832005E+00   9.81439088E+02   8.38140792E-01   1.60445855E-01   6.04504666E-10   7.79612240E-04   5.30650158E-04   6.34538532E-07   1.54376080E-05   5.31363574E-05  
  53               5.07720621E+00   1.02446339E+03   8.38140932E-01   1.60445202E-01   1.73758106E-09   7.78888893E-04   5.29858469E-04   1.42310425E-06   1.39615563E-05   5.38741033E-05  
  54               6.02953638E+00   1.06470279E+03   8.38143167E-01   1.60444618E-01   4.27880604E-09   7.77697711E-04   5.28536890E-04   2.74135388E-06   1.30321536E-05   5.43385178E-05  
  55               7.13296075E+00   1.11066830E+03   8.38147482E-01   1.60443512E-01   1.11434129E-08   7.75017041E-04   5.25673880E-04   5.59798465E-06   1.19572644E-05   5.48753787E-05  
  56               8.40941044E+00   1.15384443E+03   8.38153502E-01   1.60441987E-01   2.53298275E-08   7.70840232E-04   5.21303481E-04   9.95954238E-06   1.12889801E-05   5.52086355E-05  
  57               9.89105754E+00   1.20254983E+03   8.38164754E-01   1.60439168E-01   5.99287721E-08   7.62746802E-04   5.12962775E-04   1.82841250E-05   1.05313666E-05   5.55856894E-05  
  58               1.16142429E+01   1.24811237E+03   8.38179364E-01   1.60435526E-01   1.25047181E-07   7.51918572E-04   5.01894373E-04   2.93317182E-05   1.01055269E-05   5.57960913E-05  
  59               1.36217577E+01   1.29848853E+03   8.38202693E-01   1.60429731E-01   2.66474398E-07   7.34463281E-04   4.84162127E-04   4.70307857E-05   9.63702565E-06   5.60259582E-05  
  60               1.59606978E+01   1.34464061E+03   8.38227583E-01   1.60423537E-01   5.01699639E-07   7.15598453E-04   4.65054192E-04   6.61019765E-05   9.45863656E-06   5.61097008E-05  
  61               1.86953994E+01   1.39480309E+03   8.38260524E-01   1.60415312E-01   9.53443099E-07   6.90490260E-04   4.39683413E-04   9.14217895E-05   9.26062612E-06   5.62004751E-05  
  62               2.18959355E+01   1.44014407E+03   8.38289015E-01   1.60408098E-01   1.62019984E-06   6.68436225E-04   4.17401118E-04   1.13653958E-04   9.31316763E-06   5.61651729E-05  
  63               2.56291292E+01   1.48960461E+03   8.38322682E-01   1.60399417E-01   2.79198605E-06   6.42087110E-04   3.90733535E-04   1.40255049E-04   9.33126772E-06   5.61434439E-05  
  64               2.99418045E+01   1.53444071E+03   8.38347858E-01   1.60392521E-01   4.39065787E-06   6.21511893E-04   3.69833319E-04   1.61090090E-04   9.54254301E-06   5.60244906E-05  
  65               3.48832982E+01   1.58411730E+03   8.38376602E-01   1.60384100E-01   7.07327438E-06   5.97196231E-04   3.44812601E-04   1.86021762E-04   9.68159191E-06   5.59365007E-05  
  66               4.04988338E+01   1.62980147E+03   8.38393538E-01   1.60377003E-01   1.06029021E-05   5.79428766E-04   3.25576084E-04   2.05164884E-04   9.96527803E-06   5.57750530E-05  
  67               4.67802984E+01   1.68130144E+03   8.38402806E-01   1.60366157E-01   1.64238021E-05   5.59272703E-04   3.01126656E-04   2.29478552E-04   1.01362159E-05   5.56619332E-05  
  68               5.36567511E+01   1.73008427E+03   8.38408610E-01   1.60358070E-01   2.41774947E-05   5.53341136E-04   2.78280978E-04   2.52184058E-04   1.03761043E-05   5.55136302E-05  
  69               6.10380456E+01   1.78630960E+03   8.38422321E-01   1.60347621E-01   3.71633555E-05   5.30427164E-04   2.52158842E-04   2.78108460E-04   1.04443197E-05   5.54392724E-05  
  70               6.88000977E+01   1.84325529E+03   8.38414176E-01   1.60334857E-01   5.60292146E-05   5.15476013E-04   2.25374768E-04   3.04656293E-04   1.04831955E-05   5.53735194E-05  
  71               7.66578746E+01   1.89555665E+03   8.38361772E-01   1.60318349E-01   7.97819929E-05   5.19558860E-04   1.99930744E-04   3.29856379E-04   1.05642859E-05   5.52885504E-05  
  72               8.42030931E+01   1.94225115E+03   8.38282467E-01   1.60302152E-01   1.07545736E-04   5.50522066E-04   1.73852690E-04   3.55733026E-04   1.06580595E-05   5.52082730E-05  
  73               9.11207466E+01   1.98178549E+03   8.38270528E-01   1.60296190E-01   1.36797753E-04   5.39168798E-04   1.62294095E-04   3.67084034E-04   1.07664576E-05   5.51154598E-05  
  74               9.89200741E+01   2.02403657E+03   8.38239377E-01   1.60287636E-01   1.75007878E-04   5.28194166E-04   1.51087802E-04   3.78039748E-04   1.08918308E-05   5.50077785E-05  
  75               1.05549254E+02   2.05738670E+03   8.38216396E-01   1.60282368E-01   2.10830356E-04   5.20598505E-04   1.43290582E-04   3.85626282E-04   1.10143320E-05   5.49093426E-05  
  76               1.10764250E+02   2.08291794E+03   8.38194765E-01   1.60278114E-01   2.42177133E-04   5.15117406E-04   1.37644906E-04   3.91099916E-04   1.11066473E-05   5.48333640E-05  
  77               1.16839520E+02   2.11082866E+03   8.38166545E-01   1.60273353E-01   2.80459977E-04   5.09778513E-04   1.32113314E-04   3.96430687E-04   1.12277824E-05   5.47387218E-05  
  78               1.23876390E+02   2.14232182E+03   8.38128871E-01   1.60267615E-01   3.29497929E-04   5.04091721E-04   1.26190659E-04   4.02112070E-04   1.13616979E-05   5.46315656E-05  
