# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              H                CH4              CO               N2               NH3             
  1                1.00000000E-05   2.18087904E+02   8.38073988E-01   1.60463844E-01   7.81834808E-04   7.05465944E-48   5.31345354E-04   6.78414487E-35   8.07840571E-10   1.21722392E-04  
  2                2.36361850E-05   2.55103151E+02   8.38074221E-01   1.60463787E-01   7.81834532E-04   1.67034876E-40   5.31345167E-04   1.39651639E-28   1.77109373E-07   1.21369746E-04  
  3                3.92936030E-05   2.70760245E+02   8.38074961E-01   1.60463608E-01   7.81833658E-04   4.90537442E-38   5.31344573E-04   1.33345067E-26   7.35957593E-07   1.20251913E-04  
  4                5.76389531E-05   2.79286793E+02   8.38075516E-01   1.60463473E-01   7.81833003E-04   7.77002102E-37   5.31344128E-04   1.00031457E-25   1.15512068E-06   1.19413485E-04  
  5                7.92797404E-05   2.89053960E+02   8.38076926E-01   1.60463132E-01   7.81831337E-04   1.57826250E-35   5.31342996E-04   1.05229392E-24   2.22026707E-06   1.17282933E-04  
  6                1.04863188E-04   2.95216453E+02   8.38077640E-01   1.60462959E-01   7.81830494E-04   9.11075291E-35   5.31342423E-04   3.59708081E-24   2.75943811E-06   1.16204460E-04  
  7                1.35239950E-04   3.03558142E+02   8.38079792E-01   1.60462437E-01   7.81827953E-04   9.20846168E-34   5.31340696E-04   2.17674860E-23   4.38469321E-06   1.12953554E-04  
  8                1.71352140E-04   3.08978904E+02   8.38080684E-01   1.60462220E-01   7.81826894E-04   3.72389440E-33   5.31339976E-04   5.69983839E-23   5.06068930E-06   1.11601397E-04  
  9                2.14447715E-04   3.16733390E+02   8.38083533E-01   1.60461530E-01   7.81820622E-04   2.65984443E-32   5.31337692E-04   2.61366144E-22   7.21051907E-06   1.07301214E-04  
  10               2.65887130E-04   3.21703788E+02   8.38084421E-01   1.60461314E-01   7.81819573E-04   8.58838126E-32   5.31336979E-04   5.73289378E-22   7.88171016E-06   1.05958668E-04  
  11               3.27401129E-04   3.28926125E+02   8.38087483E-01   1.60460569E-01   7.81815940E-04   4.63933977E-31   5.31334510E-04   2.07589076E-21   1.02002738E-05   1.01320975E-04  
  12               4.00863163E-04   3.33441860E+02   8.38088048E-01   1.60460435E-01   7.81806069E-04   1.23519410E-30   5.31334066E-04   3.87345000E-21   1.06204880E-05   1.00480445E-04  
  13               4.88630247E-04   3.40310279E+02   8.38091038E-01   1.60459710E-01   7.81802537E-04   5.47884298E-30   5.31331665E-04   1.18489748E-20   1.28791669E-05   9.59625376E-05  
