# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              CO               H                NH3              N2              
  1                1.00000000E-05   1.19123102E+02   8.38727939E-01   1.60589034E-01   1.65376175E-10   5.31759896E-04   3.23050676E-81   4.63307866E-91   1.21818973E-04   9.19822838E-27  
  2                6.72800462E-05   1.51497613E+02   8.38727939E-01   1.60589034E-01   2.16342856E-06   5.31759896E-04   3.31599306E-60   3.71739753E-71   1.21818973E-04   1.48143602E-20  
  3                1.33634429E-04   1.55992388E+02   8.38714823E-01   1.60586522E-01   1.04559050E-05   5.31751581E-04   7.88714915E-54   2.15412976E-64   1.21817068E-04   2.44859741E-19  
  4                2.11423773E-04   1.64815768E+02   8.38695174E-01   1.60582760E-01   1.78200222E-05   5.31739123E-04   1.63688673E-52   9.27551026E-63   1.21814214E-04   6.70440180E-19  
  5                3.02583835E-04   1.69073556E+02   8.38675525E-01   1.60578998E-01   4.12473923E-05   5.31726665E-04   4.07567934E-51   1.39788797E-61   1.21811361E-04   1.42418065E-18  
  6                4.09399253E-04   1.73467451E+02   8.38657385E-01   1.60575525E-01   6.46731137E-05   5.31715165E-04   3.30059128E-50   1.84818157E-60   1.21808726E-04   2.77844323E-18  
  7                5.34606342E-04   1.76755783E+02   8.38532420E-01   1.60551598E-01   8.62803490E-05   5.31635936E-04   2.41123031E-49   2.27147883E-59   1.21790576E-04   5.18572389E-18  
  8                6.80306894E-04   1.80035904E+02   8.38407455E-01   1.60527671E-01   2.35273688E-04   5.31556707E-04   6.48911391E-47   1.92263381E-57   1.21772425E-04   1.54218097E-17  
  9                8.46525228E-04   1.83336974E+02   8.38296336E-01   1.60506396E-01   3.84254601E-04   5.31486257E-04   1.16554361E-45   5.77153590E-56   1.21756286E-04   4.35284977E-17  
  10               1.03603872E-03   1.89468922E+02   8.38185217E-01   1.60485120E-01   5.16739609E-04   5.31415806E-04   5.71334348E-44   5.28839759E-54   1.21740147E-04   1.70146104E-16  
  11               1.25239071E-03   1.94365614E+02   8.38074098E-01   1.60463844E-01   6.49224616E-04   5.31345356E-04   1.11329492E-42   1.70816745E-52   1.21724008E-04   5.42861153E-16  
  12               1.49933320E-03   2.01297452E+02   8.38074098E-01   1.60463844E-01   7.81725317E-04   5.31345356E-04   4.36157549E-41   1.19036317E-50   1.21724008E-04   2.07544869E-15  
  13               1.78324308E-03   2.06940437E+02   8.38074098E-01   1.60463844E-01   7.81725317E-04   5.31345356E-04   5.48258152E-40   2.33720497E-49   1.21724008E-04   5.78834025E-15  
  14               2.11586973E-03   2.14312798E+02   8.38074098E-01   1.60463844E-01   7.81725317E-04   5.31345356E-04   1.14829023E-38   8.18140583E-48   1.21724008E-04   1.75468302E-14  
  15               2.50587258E-03   2.19758649E+02   8.38074098E-01   1.60463844E-01   7.81725317E-04   5.31345356E-04   1.06622551E-37   1.14481452E-46   1.21724008E-04   4.25708407E-14  
  16               2.96321962E-03   2.26735406E+02   8.38074098E-01   1.60463844E-01   7.81725317E-04   5.31345356E-04   1.42037486E-36   2.43395078E-45   1.21724007E-04   1.08095394E-13  
  17               3.49952317E-03   2.32119623E+02   8.38074098E-01   1.60463844E-01   7.81725317E-04   5.31345356E-04   1.00522114E-35   2.51775829E-44   1.21724007E-04   2.31636991E-13  
  18               4.12851819E-03   2.38825641E+02   8.38074098E-01   1.60463844E-01   7.81725317E-04   5.31345356E-04   9.89647258E-35   3.84164608E-43   1.21724007E-04   5.17871135E-13  
  19               4.86621008E-03   2.44093672E+02   8.38074098E-01   1.60463844E-01   7.81725317E-04   5.31345356E-04   6.09146735E-34   3.40533691E-42   1.21724006E-04   1.02716096E-12  
  20               5.73131092E-03   2.50735528E+02   8.38074098E-01   1.60463844E-01   7.81725317E-04   5.31345356E-04   5.07788041E-33   4.31561362E-41   1.21724003E-04   2.13283076E-12  
  21               6.74564147E-03   2.56160881E+02   8.38074098E-01   1.60463844E-01   7.81725317E-04   5.31345356E-04   2.84410657E-32   3.43883974E-40   1.21724000E-04   4.02597012E-12  
