# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              Mg               N2               Fe              
  1                1.00000000E-05   1.02240059E+03   8.38847766E-01   1.60272620E-01   1.17507710E-06   5.30500406E-04   2.50900628E-04   9.51578654E-11   6.07894600E-05   4.41606627E-09  
  2                7.10311015E-05   1.13443256E+03   8.38841909E-01   1.60271982E-01   5.85746013E-06   5.30567243E-04   2.51074794E-04   5.93489349E-09   6.07891765E-05   6.86856395E-08  
  3                1.34955927E-04   1.19033207E+03   8.38833878E-01   1.60271366E-01   1.29056367E-05   5.30586203E-04   2.52594084E-04   2.82373560E-08   6.07889181E-05   4.38003528E-07  
  4                2.07042288E-04   1.21785523E+03   8.38824280E-01   1.60270038E-01   1.73512687E-05   5.30590384E-04   2.53033026E-04   8.98225291E-08   6.07883855E-05   4.37999330E-07  
  5                2.88938720E-04   1.25368903E+03   8.38809027E-01   1.60269142E-01   2.76026874E-05   5.30594780E-04   2.59283756E-04   2.16785009E-07   6.07880240E-05   1.29022141E-06  
  6                3.82558408E-04   1.27229043E+03   8.38786753E-01   1.60265443E-01   3.28267048E-05   5.30587082E-04   2.59594803E-04   4.28267111E-07   6.07865912E-05   1.29018983E-06  
  7                4.87726463E-04   1.30270536E+03   8.38756980E-01   1.60264141E-01   4.76401976E-05   5.30583317E-04   2.77093919E-04   8.20983855E-07   6.07860768E-05   6.32039440E-06  
  8                6.05505401E-04   1.31798895E+03   8.38747418E-01   1.60263108E-01   5.43372420E-05   5.30582978E-04   2.77902408E-04   1.37039349E-06   6.07856538E-05   6.32034385E-06  
  9                7.40846901E-04   1.34566358E+03   8.38716803E-01   1.60260647E-01   7.47908860E-05   5.30577898E-04   2.85617950E-04   6.42142599E-06   6.07846983E-05   6.32023359E-06  
  10               8.96012347E-04   1.36002469E+03   8.38690387E-01   1.60256478E-01   8.40226192E-05   5.30566863E-04   2.85571526E-04   6.42108950E-06   6.07830818E-05   6.32005743E-06  
  11               1.06542648E-03   1.38749484E+03   8.38625926E-01   1.60251531E-01   1.14092004E-04   5.30548032E-04   3.09679266E-04   2.21638773E-05   6.07811843E-05   1.98187418E-05  
  12               1.25010800E-03   1.40027400E+03   8.38606121E-01   1.60248858E-01   1.25775334E-04   5.30541477E-04   3.09634177E-04   2.21628938E-05   6.07801345E-05   1.98183709E-05  
  13               1.45662164E-03   1.42581857E+03   8.38480306E-01   1.60234700E-01   1.64555699E-04   5.30489542E-04   3.42547133E-04   4.37659909E-05   6.07747418E-05   1.98165642E-05  
  14               1.66512263E-03   1.44076873E+03   8.38405570E-01   1.60229182E-01   1.87321669E-04   5.30464205E-04   3.77506042E-04   6.67690959E-05   6.07726188E-05   5.55553558E-05  
  15               1.87800012E-03   1.46561169E+03   8.38354992E-01   1.60224752E-01   2.42358741E-04   5.30453970E-04   3.77374494E-04   6.67649555E-05   6.07709215E-05   5.55536559E-05  
  16               2.12715019E-03   1.47512477E+03   8.38342019E-01   1.60223618E-01   2.56471519E-04   5.30451808E-04   3.77337275E-04   6.67624701E-05   6.07704514E-05   5.55531309E-05  
  17               2.41852320E-03   1.50055522E+03   8.38276188E-01   1.60217855E-01   3.28104146E-04   5.30436767E-04   3.77200101E-04   6.67572805E-05   6.07682412E-05   5.55509286E-05  
  18               2.75877490E-03   1.51090635E+03   8.38258296E-01   1.60216291E-01   3.47567447E-04   5.30433133E-04   3.77160151E-04   6.67541272E-05   6.07675986E-05   5.55502175E-05  
  19               3.15558115E-03   1.53732978E+03   8.38171459E-01   1.60208693E-01   4.42053118E-04   5.30411710E-04   3.77014232E-04   6.67475732E-05   6.07646845E-05   5.55473279E-05  
  20               3.61742225E-03   1.54883619E+03   8.38145269E-01   1.60206405E-01   4.70543053E-04   5.30405656E-04   3.76968982E-04   6.67435288E-05   6.07637562E-05   5.55463184E-05  
  21               4.15391020E-03   1.57661341E+03   8.38028662E-01   1.60196206E-01   5.97413673E-04   5.30375371E-04   3.76811166E-04   6.67351742E-05   6.07598471E-05   5.55424633E-05  
  22               4.77528665E-03   1.58970850E+03   8.37987799E-01   1.60192637E-01   6.41866110E-04   5.30365083E-04   3.76756467E-04   6.67298908E-05   6.07584210E-05   5.55409496E-05  
  23               5.49349078E-03   1.61890651E+03   8.37829846E-01   1.60178827E-01   8.13713601E-04   5.30322593E-04   3.76583759E-04   6.67192011E-05   6.07531327E-05   5.55357648E-05  
  24               6.31861929E-03   1.63495295E+03   8.37755860E-01   1.60172364E-01   8.94191772E-04   5.30302843E-04   3.76509946E-04   6.67118383E-05   6.07505991E-05   5.55331673E-05  
  25               7.25935462E-03   1.66760718E+03   8.37516844E-01   1.60151474E-01   1.15420311E-03   5.30236839E-04   3.76307771E-04   6.66971795E-05   6.07426201E-05   5.55254233E-05  
  26               8.31588042E-03   1.68882653E+03   8.37361760E-01   1.60137925E-01   1.32286823E-03   5.30193869E-04   3.76196930E-04   6.66858323E-05   6.07373967E-05   5.55202612E-05  
  27               9.47200149E-03   1.72793102E+03   8.36938814E-01   1.60100975E-01   1.78289851E-03   5.30074763E-04   3.75953398E-04   6.66633778E-05   6.07233333E-05   5.55068143E-05  
  28               1.07312953E-02   1.74772838E+03   8.36738114E-01   1.60083451E-01   2.00124193E-03   5.30018242E-04   3.75824739E-04   6.66499003E-05   6.07165944E-05   5.55002168E-05  
  29               1.21848532E-02   1.77036075E+03   8.36472061E-01   1.60060220E-01   2.29068428E-03   5.29942955E-04   3.75664800E-04   6.66332928E-05   6.07076858E-05   5.54915628E-05  
  30               1.38632515E-02   1.78899526E+03   8.36261561E-01   1.60041846E-01   2.51968272E-03   5.29883378E-04   3.75546329E-04   6.66183619E-05   6.07005962E-05   5.54845702E-05  
  31               1.58002945E-02   1.81155369E+03   8.35956580E-01   1.60015224E-01   2.85146846E-03   5.29796683E-04   3.75382636E-04   6.65990520E-05   6.06903724E-05   5.54746157E-05  
  32               1.80334224E-02   1.83064887E+03   8.35708634E-01   1.59993585E-01   3.12120010E-03   5.29726194E-04   3.75257132E-04   6.65813652E-05   6.06820134E-05   5.54663561E-05  
  33               2.06049649E-02   1.85382493E+03   8.35346167E-01   1.59961951E-01   3.51551918E-03   5.29622787E-04   3.75080394E-04   6.65584281E-05   6.06698555E-05   5.54545095E-05  
  34               2.35618441E-02   1.87383008E+03   8.35043439E-01   1.59935536E-01   3.84484439E-03   5.29536405E-04   3.74940230E-04   6.65371119E-05   6.06596477E-05   5.54444285E-05  
  35               2.69568916E-02   1.89802020E+03   8.34602145E-01   1.59897028E-01   4.32491237E-03   5.29410146E-04   3.74741960E-04   6.65095181E-05   6.06448434E-05   5.54300119E-05  
  36               3.08481290E-02   1.91938837E+03   8.34218379E-01   1.59863546E-01   4.74239322E-03   5.29300307E-04   3.74577003E-04   6.64833477E-05   6.06319118E-05   5.54172798E-05  
  37               3.53006696E-02   1.94496126E+03   8.33667690E-01   1.59815500E-01   5.34146503E-03   5.29142382E-04   3.74346164E-04   6.64497097E-05   6.06134428E-05   5.53993310E-05  
  38               4.03858102E-02   1.96797576E+03   8.33171031E-01   1.59772173E-01   5.88175347E-03   5.28999892E-04   3.74145482E-04   6.64172460E-05   6.05967258E-05   5.53829453E-05  
  39               4.61831276E-02   1.99523920E+03   8.32470070E-01   1.59711022E-01   6.64429562E-03   5.28798502E-04   3.73868175E-04   6.63757830E-05   6.05732312E-05   5.53601854E-05  
  40               5.27787933E-02   2.02033041E+03   8.31809367E-01   1.59653390E-01   7.36303761E-03   5.28608593E-04   3.73614312E-04   6.63348458E-05   6.05510276E-05   5.53385511E-05  
  41               6.02681842E-02   2.04985717E+03   8.30887093E-01   1.59572941E-01   8.36633089E-03   5.28343237E-04   3.73266225E-04   6.62826301E-05   6.05201467E-05   5.53087775E-05  
  42               6.87543487E-02   2.07775519E+03   8.29971442E-01   1.59493076E-01   9.36241361E-03   5.28079671E-04   3.72928234E-04   6.62295365E-05   6.04894379E-05   5.52790839E-05  
  43               7.83497303E-02   2.11039963E+03   8.28704318E-01   1.59382557E-01   1.07408440E-02   5.27714688E-04   3.72467451E-04   6.61616785E-05   6.04470690E-05   5.52384919E-05  
  44               8.91701413E-02   2.14237898E+03   8.27357390E-01   1.59265085E-01   1.22060830E-02   5.27326569E-04   3.71985389E-04   6.60895622E-05   6.04020039E-05   5.51953234E-05  
  45               1.01332037E-01   2.18047721E+03   8.25436811E-01   1.59097586E-01   1.42953601E-02   5.26772898E-04   3.71306132E-04   6.59942833E-05   6.03379119E-05   5.51344691E-05  
  46               1.14866310E-01   2.22948725E+03   8.22343439E-01   1.58827815E-01   1.76604409E-02   5.25880775E-04   3.70225763E-04   6.58535075E-05   6.02349473E-05   5.50376766E-05  
  47               1.29857412E-01   2.27644142E+03   8.18946254E-01   1.58531572E-01   2.13559992E-02   5.24900795E-04   3.69048341E-04   6.57006633E-05   6.01217961E-05   5.49315474E-05  
  48               1.46512086E-01   2.32133466E+03   8.15299795E-01   1.58213406E-01   2.53205774E-02   5.23848048E-04   3.67784364E-04   6.55375444E-05   6.00001505E-05   5.48176521E-05  
  49               1.64999020E-01   2.36458123E+03   8.11408122E-01   1.57874498E-01   2.95443820E-02   5.22725735E-04   3.73254472E-04   6.53645628E-05   5.98704261E-05   5.46963878E-05  
  50               1.85557489E-01   2.40638128E+03   8.07315841E-01   1.57517690E-01   3.39960446E-02   5.21544764E-04   3.71805034E-04   6.51827714E-05   5.97336280E-05   5.45687237E-05  
  51               2.08506358E-01   2.44731199E+03   8.02982992E-01   1.57139916E-01   3.87093928E-02   5.20294254E-04   3.70245767E-04   6.49906525E-05   5.95885228E-05   5.44335635E-05  
  52               2.34121433E-01   2.48719382E+03   7.98476334E-01   1.56746998E-01   4.36118046E-02   5.18993473E-04   3.68595405E-04   6.47905784E-05   5.94372334E-05   5.42929201E-05  
  53               2.62679757E-01   2.52644114E+03   7.93762554E-01   1.56336027E-01   4.87395178E-02   5.17632806E-04   3.66837431E-04   6.45812483E-05   5.92785287E-05   5.41457671E-05  
  54               2.94527647E-01   2.56490007E+03   7.88905648E-01   1.55912583E-01   5.40229148E-02   5.16230720E-04   3.64990787E-04   6.43649074E-05   5.91143833E-05   5.39940300E-05  
  55               3.30039421E-01   2.60293013E+03   7.83869184E-01   1.55473488E-01   5.95016283E-02   5.14776695E-04   3.63038001E-04   6.41401121E-05   5.89433728E-05   5.38365842E-05  
  56               3.69618575E-01   2.64031539E+03   7.78729394E-01   1.55025387E-01   6.50927300E-02   5.13292728E-04   3.61004168E-04   6.39095674E-05   5.87677903E-05   5.36757273E-05  
