# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              NH3              H                H2S              CO              
  1                1.00000000E-05   1.22255315E+02   8.38823129E-01   1.60607290E-01   4.06865059E-15   5.31820350E-04   1.04733432E-05   1.26092593E-88   2.30034706E-05   1.30717437E-83  
  2                1.75471480E-04   1.03499518E+02   8.38729728E-01   1.60589407E-01   4.38262556E-15   5.31761134E-04   1.05759019E-05   5.05049645E-106  2.30009092E-05   2.63165271E-101 
  3                2.91931858E-04   1.12497790E+02   8.38729728E-01   1.60589407E-01   3.41602149E-13   5.31761134E-04   1.21819257E-04   2.17494281E-97   2.30009092E-05   6.39944621E-92  
  4                3.49502040E-04   1.13455618E+02   8.38729728E-01   1.60589407E-01   3.72403326E-13   5.31761134E-04   1.21819257E-04   1.40499287E-96   2.30009092E-05   2.87733894E-91  
  5                4.19749639E-04   1.26429391E+02   8.38729728E-01   1.60589407E-01   3.34061945E-11   5.31761134E-04   1.21819257E-04   2.22203528E-86   2.30009092E-05   3.71702852E-80  
  6                5.05641119E-04   1.24936021E+02   8.38729727E-01   1.60589407E-01   3.50066985E-11   5.31761133E-04   1.21819257E-04   1.72117044E-87   2.30009091E-05   2.83998703E-81  
  7                6.10893463E-04   1.35571314E+02   8.38729727E-01   1.60589407E-01   1.75152659E-09   5.31761133E-04   1.21819257E-04   2.02107257E-80   2.30009091E-05   2.98309079E-73  
  8                7.39676382E-04   1.37035384E+02   8.38729721E-01   1.60589406E-01   1.75830309E-09   5.31761129E-04   1.21819256E-04   1.43450205E-79   2.30009090E-05   1.33537747E-72  
  9                8.97817145E-04   1.41800013E+02   8.38729721E-01   1.60589406E-01   9.02609289E-09   5.31761129E-04   1.21819256E-04   7.80492399E-77   2.30009090E-05   1.61019737E-69  
  10               1.09197040E-03   1.43587867E+02   8.38729695E-01   1.60589401E-01   9.05518563E-09   5.31761112E-04   1.21819252E-04   6.99382669E-76   2.30009083E-05   8.87817333E-69  
  11               1.33020332E-03   1.49400315E+02   8.38729695E-01   1.60589401E-01   4.02586144E-08   5.31761112E-04   1.21819252E-04   7.44885137E-73   2.30009083E-05   1.72151738E-65  
  12               1.62259412E-03   1.50276393E+02   8.38729605E-01   1.60589384E-01   4.03585709E-08   5.31761055E-04   1.21819239E-04   1.86706008E-72   2.30009058E-05   2.94848524E-65  
  13               1.98133646E-03   1.56767688E+02   8.38729605E-01   1.60589384E-01   1.47585273E-07   5.31761055E-04   1.21819239E-04   2.24276428E-69   2.30009058E-05   5.28596372E-62  
