# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               H                He               CO               H2O              Mg               Fe               N2              
  1                1.00000000E-05   1.35883519E+03   8.37860211E-01   7.81281563E-04   1.60181055E-01   5.30287575E-04   3.76512834E-04   6.67718737E-05   5.55399659E-05   6.07547422E-05  
  2                9.95910836E-05   1.44199750E+03   8.37862913E-01   7.78030238E-04   1.60181491E-01   5.30306759E-04   3.76632339E-04   6.67675444E-05   5.55398665E-05   6.07548875E-05  
  3                1.85262834E-04   1.60524946E+03   8.35051876E-01   3.83650489E-03   1.59935606E-01   5.29516153E-04   3.74495612E-04   6.66615622E-05   5.54543208E-05   6.06616177E-05  
  4                2.62164337E-04   1.63627347E+03   8.34496778E-01   4.44037958E-03   1.59887165E-01   5.29359019E-04   3.74251510E-04   6.66392279E-05   5.54373658E-05   6.06432340E-05  
  5                3.46643036E-04   1.68026436E+03   8.33104775E-01   5.95477034E-03   1.59765638E-01   5.28960807E-04   3.73640337E-04   6.65863760E-05   5.53950461E-05   6.05971284E-05  
  6                4.40661421E-04   1.69691446E+03   8.32890752E-01   6.18756120E-03   1.59746996E-01   5.28900522E-04   3.73583646E-04   6.65765831E-05   5.53884305E-05   6.05900465E-05  
  7                5.46246328E-04   1.73237481E+03   8.31496345E-01   7.70452289E-03   1.59625307E-01   5.28500480E-04   3.73049300E-04   6.65236142E-05   5.53460439E-05   6.05438766E-05  
  8                6.65309664E-04   1.74459340E+03   8.31416736E-01   7.79108464E-03   1.59618397E-01   5.28478524E-04   3.73046431E-04   6.65186200E-05   5.53434859E-05   6.05412430E-05  
  9                8.00071239E-04   1.77640374E+03   8.29954354E-01   9.38196887E-03   1.59490806E-01   5.28058347E-04   3.72528357E-04   6.64630062E-05   5.52990313E-05   6.04928305E-05  
  10               9.52827917E-04   1.78674836E+03   8.29943765E-01   9.39344696E-03   1.59489916E-01   5.28056103E-04   3.72547407E-04   6.64603285E-05   5.52985420E-05   6.04924781E-05  
  11               1.12630751E-03   1.81663914E+03   8.28386124E-01   1.10879407E-02   1.59354036E-01   5.27608128E-04   3.72023292E-04   6.64009909E-05   5.52511844E-05   6.04409167E-05  
  12               1.32339995E-03   1.82621434E+03   8.28407512E-01   1.10646347E-02   1.59355935E-01   5.27615001E-04   3.72049569E-04   6.63992062E-05   5.52516356E-05   6.04416184E-05  
  13               1.54753414E-03   1.85507537E+03   8.26730936E-01   1.28884982E-02   1.59209697E-01   5.27132494E-04   3.71504964E-04   6.63352113E-05   5.52006507E-05   6.03861221E-05  
  14               1.80236403E-03   1.86453094E+03   8.26752093E-01   1.28654449E-02   1.59211574E-01   5.27139236E-04   3.71527462E-04   6.63330779E-05   5.52010612E-05   6.03868111E-05  
  15               2.09221372E-03   1.89289287E+03   8.24931869E-01   1.48455619E-02   1.59052823E-01   5.26615118E-04   3.70950322E-04   6.62634580E-05   5.51456938E-05   6.03265600E-05  
  16               2.42169493E-03   1.90265574E+03   8.24922149E-01   1.48560997E-02   1.59052004E-01   5.26612907E-04   3.70959370E-04   6.62597908E-05   5.51451291E-05   6.03262212E-05  
  17               2.79624954E-03   1.93087893E+03   8.22929366E-01   1.70239218E-02   1.58878218E-01   5.26038868E-04   3.70337512E-04   6.61834240E-05   5.50844967E-05   6.02602558E-05  
