# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               H                He               CO               H2O              Mg               Fe               N2              
  34               1.09680350E-03   1.95125706E+03   8.09853105E-01   3.12489373E-02   1.57737787E-01   5.22263637E-04   3.66463815E-04   6.57261208E-05   5.46904796E-05   5.98277128E-05  
  35               1.36834260E-03   1.99215642E+03   8.04428067E-01   3.71503574E-02   1.57264839E-01   5.20699393E-04   3.64899659E-04   6.55249364E-05   5.45261012E-05   5.96482039E-05  
  36               1.70576655E-03   1.98858304E+03   8.08656913E-01   3.25500874E-02   1.57633569E-01   5.21920192E-04   3.66091642E-04   6.56745584E-05   5.46536217E-05   5.97880829E-05  
  37               2.12480361E-03   2.02945490E+03   8.03350840E-01   3.83220942E-02   1.57170992E-01   5.20390154E-04   3.64532159E-04   6.54766454E-05   5.44927309E-05   5.96124779E-05  
  38               2.64399404E-03   2.02717959E+03   8.07393493E-01   3.39243684E-02   1.57523488E-01   5.21557259E-04   3.65685057E-04   6.56184218E-05   5.46145235E-05   5.97461939E-05  
  39               3.28690988E-03   2.06798152E+03   8.02211544E-01   3.95613504E-02   1.57071733E-01   5.20062923E-04   3.64131090E-04   6.54237216E-05   5.44572488E-05   5.95746542E-05  
  40               4.08117945E-03   2.06712797E+03   8.06041806E-01   3.53946691E-02   1.57405711E-01   5.21168763E-04   3.65235956E-04   6.55564369E-05   5.45724937E-05   5.97013354E-05  
  41               5.06167343E-03   2.10788995E+03   8.00972313E-01   4.09093178E-02   1.56963760E-01   5.19706769E-04   3.63683378E-04   6.53642273E-05   5.44184482E-05   5.95334623E-05  
  42               6.26888400E-03   2.10862648E+03   8.04557435E-01   3.70093049E-02   1.57276366E-01   5.20741885E-04   3.64728697E-04   6.54863729E-05   5.45261207E-05   5.96520177E-05  
  43               7.75372136E-03   2.14941954E+03   7.99574310E-01   4.24300011E-02   1.56841944E-01   5.19304707E-04   3.63168704E-04   6.52953537E-05   5.43744742E-05   5.94869299E-05  
  44               9.57469899E-03   2.15198797E+03   8.02868316E-01   3.88466704E-02   1.57129167E-01   5.20255820E-04   3.64138137E-04   6.54048791E-05   5.44731413E-05   5.95958267E-05  
  45               1.18049459E-02   2.19300315E+03   7.97911483E-01   4.42387637E-02   1.56697038E-01   5.18826124E-04   3.62550627E-04   6.52124566E-05   5.43220276E-05   5.94315095E-05  
  46               1.45274756E-02   2.19776881E+03   8.00844850E-01   4.10477446E-02   1.56952818E-01   5.19673159E-04   3.63419330E-04   6.53063891E-05   5.44095342E-05   5.95284292E-05  
  47               1.78454157E-02   2.23936457E+03   7.95804514E-01   4.65306711E-02   1.56513409E-01   5.18219257E-04   3.61766640E-04   6.51081044E-05   5.42555737E-05   5.93612072E-05  
  48               2.18742237E-02   2.24680667E+03   7.98284028E-01   4.38333631E-02   1.56729617E-01   5.18935297E-04   3.62500382E-04   6.51825422E-05   5.43290365E-05   5.94430363E-05  
  49               2.67564621E-02   2.28940050E+03   7.93018212E-01   4.95615670E-02   1.56270550E-01   5.17416206E-04   3.60730903E-04   6.49727183E-05   5.41678663E-05   5.92681423E-05  
  50               3.26490574E-02   2.30010620E+03   7.94916574E-01   4.74943424E-02   1.56435887E-01   5.17963828E-04   3.61281349E-04   6.50223747E-05   5.42232882E-05   5.93305425E-05  
  51               3.97152319E-02   2.34383337E+03   7.89297723E-01   5.35970326E-02   1.55946446E-01   5.16343271E-04   3.66096501E-04   6.47960929E-05   5.40511228E-05   5.91437823E-05  
  52               4.81539152E-02   2.35882903E+03   7.90335079E-01   5.24685250E-02   1.56036916E-01   5.16643022E-04   3.66364243E-04   6.48105017E-05   5.40801034E-05   5.91775504E-05  
  53               5.82419937E-02   2.40592307E+03   7.83726253E-01   5.96576976E-02   1.55460761E-01   5.14736061E-04   3.63988513E-04   6.45436983E-05   5.38773016E-05   5.89572968E-05  
  54               7.02338059E-02   2.42670575E+03   7.83507940E-01   5.98951334E-02   1.55441755E-01   5.14673327E-04   3.63807103E-04   6.45076599E-05   5.38677114E-05   5.89490652E-05  
  55               8.44235305E-02   2.47896985E+03   7.75154141E-01   6.89825104E-02   1.54713471E-01   5.12262548E-04   3.60704970E-04   6.41726486E-05   5.36114848E-05   5.86698496E-05  
  56               1.00843375E-01   2.52922407E+03   7.66644958E-01   7.82389084E-02   1.53971642E-01   5.09806769E-04   3.57439501E-04   6.38303774E-05   5.33503240E-05   5.83844035E-05  
  57               1.19851345E-01   2.57835589E+03   7.57870978E-01   8.77833475E-02   1.53206726E-01   5.07274416E-04   3.53961305E-04   6.34766885E-05   5.30808905E-05   5.80886405E-05  
  58               1.41868972E-01   2.62537981E+03   7.49282471E-01   9.71260171E-02   1.52457975E-01   5.04795449E-04   3.50436674E-04   6.31277361E-05   5.28167820E-05   5.77970833E-05  
  59               1.67359339E-01   2.67220049E+03   7.40369455E-01   1.06821683E-01   1.51680926E-01   5.02222666E-04   3.46663578E-04   6.27648513E-05   5.25425399E-05   5.74918263E-05  
  60               1.96835535E-01   2.71725046E+03   7.31768232E-01   1.16178166E-01   1.50931050E-01   4.99739721E-04   3.42894351E-04   6.24109456E-05   5.22773918E-05   5.71933719E-05  
