# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              NH3              H2S              H2O(s)           Ar              
  1                1.00000000E-05   3.27288104E+01   8.38832079E-01   1.60608802E-01   5.31825357E-04   1.92986675E-18   4.27561805E-09   2.30018690E-05   0.00000000E+00   4.22443194E-06  
  2                1.46689036E-03   3.83496068E+01   8.38832079E-01   1.60608802E-01   5.31825357E-04   2.73152207E-18   4.27561805E-09   2.30018690E-05   0.00000000E+00   4.22443194E-06  
  3                3.15205650E-03   4.43883731E+01   8.38832079E-01   1.60608802E-01   5.31825357E-04   1.60547122E-18   4.27561805E-09   2.30018690E-05   0.00000000E+00   4.22443194E-06  
  4                5.10869654E-03   4.56573456E+01   8.38832079E-01   1.60608802E-01   5.31825357E-04   3.32319717E-18   4.27561805E-09   2.30018690E-05   0.00000000E+00   4.22443194E-06  
  5                7.37677013E-03   4.93997679E+01   8.38832079E-01   1.60608802E-01   5.31825357E-04   1.64399367E-18   4.27561805E-09   2.30018690E-05   0.00000000E+00   4.22443194E-06  
  6                1.00040226E-02   5.02141609E+01   8.38832079E-01   1.60608802E-01   5.31825357E-04   3.16744167E-18   4.27561805E-09   2.30018690E-05   0.00000000E+00   4.22443194E-06  
  7                1.30391869E-02   5.32687404E+01   8.38832079E-01   1.60608802E-01   5.31825357E-04   1.70923700E-18   4.27561805E-09   2.30018690E-05   0.00000000E+00   4.22443194E-06  
  8                1.65387519E-02   5.40115761E+01   8.38832079E-01   1.60608802E-01   5.31825357E-04   1.95032807E-18   4.27561805E-09   2.30018690E-05   0.00000000E+00   4.22443194E-06  
  9                2.05705711E-02   5.67683535E+01   8.38832079E-01   1.60608802E-01   5.31825357E-04   2.13621421E-18   4.27561805E-09   2.30018690E-05   0.00000000E+00   4.22443194E-06  
  10               2.52131973E-02   5.75620295E+01   8.38832079E-01   1.60608802E-01   5.31825357E-04   1.91394258E-18   4.27561805E-09   2.30018690E-05   0.00000000E+00   4.22443194E-06  
  11               3.05529616E-02   6.02088319E+01   8.38832079E-01   1.60608802E-01   5.31825357E-04   2.03044714E-18   4.27561805E-09   2.30018690E-05   0.00000000E+00   4.22443194E-06  
  12               3.66931478E-02   6.12052342E+01   8.38832079E-01   1.60608802E-01   5.31825357E-04   2.13379790E-18   4.27561805E-09   2.30018690E-05   0.00000000E+00   4.22443194E-06  
  13               4.37612523E-02   6.37962188E+01   8.38832079E-01   1.60608802E-01   5.31825357E-04   2.22959487E-18   4.27561805E-09   2.30018690E-05   0.00000000E+00   4.22443194E-06  
  14               5.19113661E-02   6.50272937E+01   8.38832079E-01   1.60608802E-01   5.31825357E-04   2.32186086E-18   4.27561805E-09   2.30018690E-05   0.00000000E+00   4.22443194E-06  
  15               6.13064546E-02   6.76842083E+01   8.38832079E-01   1.60608802E-01   5.31825357E-04   2.38437648E-18   4.27561805E-09   2.30018690E-05   0.00000000E+00   4.22443194E-06  
  16               7.21441459E-02   6.92043389E+01   8.38832079E-01   1.60608802E-01   5.31825357E-04   2.48220104E-18   4.27561805E-09   2.30018690E-05   0.00000000E+00   4.22443194E-06  
  17               8.46764694E-02   7.19429182E+01   8.38832079E-01   1.60608802E-01   5.31825357E-04   2.58972829E-18   4.27561805E-09   2.30018690E-05   0.00000000E+00   4.22443194E-06  
  18               9.92458893E-02   7.39103981E+01   8.38832079E-01   1.60608802E-01   5.31825357E-04   2.71432301E-18   4.27561805E-09   2.30018690E-05   0.00000000E+00   4.22443194E-06  
  19               1.16275156E-01   7.70047774E+01   8.38832079E-01   1.60608802E-01   5.31825357E-04   3.91202339E-19   4.27561805E-09   2.30018690E-05   0.00000000E+00   4.22443194E-06  
  20               1.36268781E-01   7.97529197E+01   8.38832079E-01   1.60608802E-01   5.31825357E-04   3.80569102E-19   4.27561805E-09   2.30018690E-05   0.00000000E+00   4.22443194E-06  
  21               1.59861239E-01   8.36410126E+01   8.38832079E-01   1.60608802E-01   5.31825357E-04   3.80569148E-19   4.27561805E-09   2.30018690E-05   0.00000000E+00   4.22443194E-06  
  22               1.87858983E-01   8.77390500E+01   8.38832079E-01   1.60608802E-01   5.31825357E-04   3.81847166E-19   4.27561805E-09   2.30018690E-05   0.00000000E+00   4.22443194E-06  
  23               2.21195350E-01   9.23507265E+01   8.38832079E-01   1.60608802E-01   5.31825357E-04   3.80570028E-19   4.27561805E-09   2.30018690E-05   0.00000000E+00   4.22443194E-06  
  24               2.61036004E-01   9.73229173E+01   8.38832079E-01   1.60608802E-01   5.31825357E-04   3.81788169E-19   4.27561805E-09   2.30018690E-05   1.06103176E-18   4.22443194E-06  
  25               3.08647069E-01   1.02574256E+02   8.38832061E-01   1.60608799E-01   5.31825345E-04   1.47132945E-18   4.29991289E-09   2.30018685E-05   2.48146975E-17   4.22443185E-06  
  26               3.65374320E-01   1.08203790E+02   8.38831970E-01   1.60608781E-01   5.31825287E-04   2.67136428E-17   2.55713859E-08   2.30018660E-05   3.72262373E-16   4.22443139E-06  
