# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H                H2               He               CO               O-3P             H2O              C                Mg              
  34               1.21912839E-03   2.64858363E+03   6.50649825E-01   2.40456862E-01   1.08087380E-01   3.57889799E-04   1.05874469E-04   8.97075445E-05   1.83974470E-11   4.50421747E-05  
  35               1.42276942E-03   2.66017274E+03   6.41326636E-01   2.49026957E-01   1.08834903E-01   3.60364662E-04   1.02027037E-04   9.44759229E-05   2.04534272E-11   4.53519971E-05  
  36               1.65931872E-03   2.70353020E+03   6.67034573E-01   2.25395762E-01   1.06773151E-01   3.53540157E-04   1.14916781E-04   7.76601793E-05   3.37802458E-11   4.44921016E-05  
  37               1.93318508E-03   2.71667255E+03   6.59332620E-01   2.32475578E-01   1.07390660E-01   3.55584600E-04   1.11738053E-04   8.13223817E-05   3.79594573E-11   4.47475531E-05  
  38               2.24967734E-03   2.76039570E+03   6.83136287E-01   2.10594682E-01   1.05481663E-01   3.49265690E-04   1.23803089E-04   6.64661259E-05   6.23128075E-11   4.39512798E-05  
  39               2.61385396E-03   2.77495015E+03   6.76890828E-01   2.16335644E-01   1.05982367E-01   3.50923442E-04   1.21266342E-04   6.91692490E-05   7.06539989E-11   4.41578719E-05  
  40               3.03153981E-03   2.81879907E+03   6.98740026E-01   1.96251143E-01   1.04230159E-01   3.45123451E-04   1.32337429E-04   5.63375893E-05   1.14878830E-10   4.34269049E-05  
  41               3.50839520E-03   2.83496929E+03   6.94152399E-01   2.00468155E-01   1.04597914E-01   3.46341068E-04   1.30568766E-04   5.80494016E-05   1.31805409E-10   4.35779479E-05  
  42               4.05049535E-03   2.87866843E+03   7.14008968E-01   1.82215082E-01   1.03005555E-01   3.41070086E-04   1.40537029E-04   4.72287885E-05   2.11499507E-10   4.29135679E-05  
  43               4.66363386E-03   2.89602789E+03   7.10682021E-01   1.85273187E-01   1.03272212E-01   3.41952990E-04   1.39353814E-04   4.82574901E-05   2.44372049E-10   4.30223550E-05  
  44               5.35403169E-03   2.93924693E+03   7.28534849E-01   1.68861707E-01   1.01840576E-01   3.37213887E-04   1.48181410E-04   3.93347667E-05   3.85446202E-10   4.24249319E-05  
  45               6.12789910E-03   2.95769804E+03   7.26360827E-01   1.70859919E-01   1.02014778E-01   3.37790669E-04   1.47531970E-04   3.98208604E-05   4.48207875E-10   4.24951034E-05  
  46               6.99202520E-03   3.00030812E+03   7.42343621E-01   1.56167068E-01   1.00733119E-01   3.33547830E-04   1.55300997E-04   3.25689697E-05   6.93935475E-10   4.19601679E-05  
  47               7.95365423E-03   3.02011739E+03   7.41408752E-01   1.57026058E-01   1.00807950E-01   3.33795565E-04   1.55220393E-04   3.25622776E-05   8.14863569E-10   4.19889007E-05  
  48               9.02037095E-03   3.06205676E+03   7.55630075E-01   1.43951972E-01   9.96675323E-02   3.30020007E-04   1.62033800E-04   2.67611626E-05   1.23752562E-09   4.15128132E-05  
  49               1.02003684E-02   3.08293812E+03   7.55565265E-01   1.44010962E-01   9.96725817E-02   3.30036596E-04   1.62350375E-04   2.64855272E-05   1.46229985E-09   4.15124502E-05  
  50               1.15031084E-02   3.12399116E+03   7.68031588E-01   1.32549633E-01   9.86728502E-02   3.26726386E-04   1.68286418E-04   2.19403415E-05   2.17297760E-09   4.10949570E-05  
  51               1.29388801E-02   3.14530695E+03   7.68287499E-01   1.32313559E-01   9.86521544E-02   3.26657544E-04   1.68761017E-04   2.16262133E-05   2.56421725E-09   4.10838092E-05  
  52               1.45203394E-02   3.18611171E+03   7.79501811E-01   1.22002525E-01   9.77527457E-02   3.23678881E-04   1.74122345E-04   1.79852588E-05   3.75534146E-09   4.07081203E-05  
  53               1.62622017E-02   3.20992119E+03   7.81042206E-01   1.20585233E-01   9.76290106E-02   3.23268507E-04   1.75198119E-04   1.73652574E-05   4.52535178E-09   4.06541516E-05  
  54               1.81809658E-02   3.25116169E+03   7.91284134E-01   1.11167323E-01   9.68074720E-02   3.20546689E-04   1.80172955E-04   1.44424491E-05   6.57524348E-09   4.03109380E-05  
  55               2.02952253E-02   3.27724362E+03   7.93639472E-01   1.09000336E-01   9.66183255E-02   3.19919008E-04   1.81662092E-04   1.37149237E-05   8.05479795E-09   4.02298100E-05  
  56               2.26253777E-02   3.31862421E+03   8.02697522E-01   1.00670025E-01   9.58916044E-02   3.17509549E-04   1.86205355E-04   1.14594248E-05   1.15616277E-08   3.99260718E-05  
  57               2.51946107E-02   3.34658650E+03   8.05425303E-01   9.81601491E-02   9.56725246E-02   3.16781447E-04   1.87928666E-04   1.07591837E-05   1.43123050E-08   3.98325207E-05  
  58               2.80281798E-02   3.38835420E+03   8.13425998E-01   9.08013664E-02   9.50305075E-02   3.14649813E-04   1.92110289E-04   9.02725221E-06   2.03340431E-08   3.95640301E-05  
  59               3.11556285E-02   3.41887472E+03   8.16591380E-01   8.78888228E-02   9.47762949E-02   3.13802846E-04   1.94101632E-04   8.34734395E-06   2.55735474E-08   3.94559407E-05  
  60               3.46080593E-02   3.46165414E+03   8.23761157E-01   8.12938704E-02   9.42009062E-02   3.11887139E-04   1.97998809E-04   7.00687310E-06   3.61644595E-08   3.92151922E-05  
  61               3.84225255E-02   3.49561332E+03   8.27424331E-01   7.79236649E-02   9.39068014E-02   3.10902906E-04   2.00269463E-04   6.34779232E-06   4.65182253E-08   3.90906590E-05  
  62               4.26370939E-02   3.54057403E+03   8.34065202E-01   7.18154609E-02   9.33739309E-02   3.09118803E-04   2.03962418E-04   5.28897352E-06   6.61503494E-08   3.88676956E-05  
  63               4.72973091E-02   3.57937126E+03   8.38325250E-01   6.78969149E-02   9.30320716E-02   3.07964881E-04   2.06512980E-04   4.65311614E-06   8.79519724E-08   3.87235806E-05  
  64               5.24471764E-02   3.62756992E+03   8.44549603E-01   6.21724925E-02   9.25327721E-02   3.06272546E-04   2.09965772E-04   3.82375387E-06   1.26752439E-07   3.85147595E-05  
  65               5.81365709E-02   3.67141884E+03   8.49075293E-01   5.80103554E-02   9.21697533E-02   3.05022976E-04   2.12561199E-04   3.27006098E-06   1.73880811E-07   3.83621636E-05  
  66               6.44092329E-02   3.72268644E+03   8.54672912E-01   5.28628922E-02   9.17208523E-02   3.03456902E-04   2.15585135E-04   2.65866451E-06   2.52882409E-07   3.81744693E-05  
  67               7.13117129E-02   3.77103451E+03   8.59064169E-01   4.88248391E-02   9.13687139E-02   3.02187998E-04   2.17973354E-04   2.22412482E-06   3.54850759E-07   3.80266956E-05  
  68               7.88811409E-02   3.82586936E+03   8.64065611E-01   4.42259028E-02   9.09676918E-02   3.00691784E-04   2.20559974E-04   1.78479019E-06   5.21748485E-07   3.78591468E-05  
  69               8.71533391E-02   3.88030001E+03   8.68393798E-01   4.02460488E-02   9.06206595E-02   2.99306249E-04   2.22790482E-04   1.44655061E-06   7.56178263E-07   3.77139791E-05  
  70               9.61486179E-02   3.94083538E+03   8.73012517E-01   3.59990636E-02   9.02503410E-02   2.97693460E-04   2.25138355E-04   1.13056273E-06   1.13970425E-06   3.75596632E-05  
  71               1.05876277E-01   4.00279300E+03   8.77187963E-01   3.21595237E-02   8.99155397E-02   2.96005433E-04   2.27363187E-04   8.81899130E-07   1.71480456E-06   3.74202334E-05  
  72               1.16326736E-01   4.06980937E+03   8.81316195E-01   2.83631242E-02   8.95844767E-02   2.93971868E-04   2.29786682E-04   6.70378823E-07   2.64571177E-06   3.72828029E-05  
  73               1.27476642E-01   4.13920147E+03   8.85062154E-01   2.49177408E-02   8.92839745E-02   2.91526941E-04   2.32462445E-04   5.06574512E-07   4.08644719E-06   3.71582873E-05  
  74               1.39291771E-01   4.21268851E+03   8.88562125E-01   2.16977477E-02   8.90030473E-02   2.88293035E-04   2.35793049E-04   3.77074694E-07   6.37691709E-06   3.70422536E-05  
  75               1.51733894E-01   4.28863129E+03   8.91678865E-01   1.88289758E-02   8.87526281E-02   2.83932833E-04   2.40128209E-04   2.80132967E-07   9.88954485E-06   3.69390962E-05  
  76               1.64762836E-01   4.36900462E+03   8.94534428E-01   1.61985537E-02   8.85228096E-02   2.77684763E-04   2.46242348E-04   2.05975542E-07   1.53510254E-05   3.68448211E-05  
  77               1.78336397E-01   4.45336666E+03   8.97086856E-01   1.38443275E-02   8.83168157E-02   2.68739296E-04   2.54954056E-04   1.50975494E-07   2.35800103E-05   3.67606944E-05  
  78               1.92423688E-01   4.54167450E+03   8.99335266E-01   1.17662836E-02   8.81345598E-02   2.56165186E-04   2.67205060E-04   1.10822160E-07   3.55063759E-05   3.66866320E-05  
  79               2.07012705E-01   4.63296393E+03   9.01264132E-01   9.97815701E-03   8.79771834E-02   2.39366185E-04   2.83609407E-04   8.20890952E-08   5.17305902E-05   3.66230030E-05  
