# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               H                He               CO               H2O              Mg               Fe               N2              
  1                1.00000000E-05   1.25623602E+03   8.38659452E-01   1.54954431E-04   1.60255547E-01   5.30543315E-04   2.76841201E-04   7.56544254E-07   5.70720562E-06   6.07829945E-05  
  2                1.26016232E-05   1.21077465E+03   8.38675449E-01   6.18102846E-05   1.60249831E-01   5.30510354E-04   2.77107800E-04   7.56517444E-07   5.70700217E-06   6.07808242E-05  
  3                1.49071962E-05   1.43542054E+03   8.36883213E-01   1.84455977E-03   1.60095390E-01   5.30020732E-04   3.75322540E-04   6.67356478E-05   5.55102229E-05   6.07222493E-05  
  4                1.68278565E-05   1.32201895E+03   8.38259285E-01   3.46792622E-04   1.60216190E-01   5.30393844E-04   3.77352730E-04   6.67860689E-05   5.55521316E-05   6.07680657E-05  
  5                1.90371182E-05   1.49388067E+03   8.35447884E-01   3.40637715E-03   1.59969799E-01   5.29614983E-04   3.74249809E-04   6.66829544E-05   5.54666411E-05   6.06746123E-05  
  6                2.15700688E-05   1.37938504E+03   8.37921061E-01   7.14950887E-04   1.60186475E-01   5.30310384E-04   3.76664181E-04   6.67731770E-05   5.55417967E-05   6.07567947E-05  
  7                2.45068785E-05   1.54333588E+03   8.33654757E-01   5.35728620E-03   1.59813132E-01   5.29103360E-04   3.73337797E-04   6.66172339E-05   5.54122794E-05   6.06151875E-05  
  8                2.78927484E-05   1.43062635E+03   8.37414259E-01   1.26650980E-03   1.60142030E-01   5.30174116E-04   3.75975285E-04   6.67541197E-05   5.55263485E-05   6.07399364E-05  
  9                3.18117806E-05   1.59197795E+03   8.31202803E-01   8.02478578E-03   1.59599094E-01   5.28400630E-04   3.72398744E-04   6.65274925E-05   5.53380163E-05   6.05339999E-05  
  10               3.62839289E-05   1.48577618E+03   8.36522435E-01   2.23691910E-03   1.60063936E-01   5.29925275E-04   3.75146104E-04   6.67209692E-05   5.54992222E-05   6.07103147E-05  
  11               4.12929845E-05   1.65177076E+03   8.26621387E-01   1.30085531E-02   1.59199406E-01   5.27083419E-04   3.71041373E-04   6.63602461E-05   5.51993673E-05   6.03823899E-05  
  12               4.64820025E-05   1.57051229E+03   8.33735062E-01   5.26951720E-03   1.59820280E-01   5.29130401E-04   3.73590865E-04   6.66187574E-05   5.54146662E-05   6.06178945E-05  
  13               5.25201940E-05   1.69087715E+03   8.23109946E-01   1.68284181E-02   1.58893192E-01   5.26073021E-04   3.70063561E-04   6.62319006E-05   5.50931312E-05   6.02662325E-05  
  14               5.95319998E-05   1.60938945E+03   8.32093221E-01   7.05570825E-03   1.59676953E-01   5.28660305E-04   3.72930520E-04   6.65582878E-05   5.53649085E-05   6.05635275E-05  
  15               6.77090955E-05   1.72710842E+03   8.19540353E-01   2.07114934E-02   1.58581961E-01   5.25045421E-04   3.69109040E-04   6.61013046E-05   5.49851434E-05   6.01481672E-05  
  16               7.72214103E-05   1.64700871E+03   8.30222034E-01   9.09133583E-03   1.59513680E-01   5.28123547E-04   3.72280481E-04   6.64893340E-05   5.53082213E-05   6.05015927E-05  
  17               8.83300365E-05   1.76294806E+03   8.15683345E-01   2.49071935E-02   1.58245702E-01   5.23934654E-04   3.68091928E-04   6.59600899E-05   5.48684621E-05   6.00206028E-05  
  18               1.01265704E-04   1.68480577E+03   8.28033288E-01   1.14723758E-02   1.59322756E-01   5.27494848E-04   3.71592325E-04   6.64086507E-05   5.52419294E-05   6.04291668E-05  
  19               1.16378909E-04   1.79927641E+03   8.11418387E-01   2.95466483E-02   1.57873901E-01   5.22705995E-04   3.66967128E-04   6.58038397E-05   5.47394372E-05   5.98795476E-05  
  20               1.33979624E-04   1.72356761E+03   8.25427754E-01   1.43067777E-02   1.59095522E-01   5.26745653E-04   3.70825330E-04   6.63125908E-05   5.51630267E-05   6.03429645E-05  
  21               1.54538774E-04   1.83668123E+03   8.06606289E-01   3.47812739E-02   1.57454418E-01   5.21319306E-04   3.65686773E-04   6.56274563E-05   5.45938556E-05   5.97203936E-05  
  22               1.78468165E-04   1.76394015E+03   8.22265882E-01   1.77463488E-02   1.58819810E-01   5.25835734E-04   3.69931582E-04   6.61960373E-05   5.50672885E-05   6.02383676E-05  
