# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               Fe              
  1                1.00000000E-05   8.12387140E+02   8.38849984E-01   1.60272798E-01   1.38665902E-09   5.30086209E-04   2.50129142E-04   6.07894647E-05   0.00000000E+00   1.78237491E-14  
  2                1.24986177E-05   8.16130538E+02   8.38849980E-01   1.60272800E-01   1.44131210E-09   5.30100750E-04   2.50131100E-04   6.07894493E-05   0.00000000E+00   1.78237488E-14  
  3                1.56817989E-05   8.28275063E+02   8.38849898E-01   1.60272797E-01   2.07522182E-09   5.30146884E-04   2.50215189E-04   6.07894371E-05   0.00000000E+00   6.46824015E-14  
  4                1.97386234E-05   8.31337253E+02   8.38849903E-01   1.60272799E-01   2.08207296E-09   5.30156549E-04   2.50207615E-04   6.07894145E-05   0.00000000E+00   6.47194660E-14  
  5                2.49090979E-05   8.43399483E+02   8.38849831E-01   1.60272796E-01   2.92969448E-09   5.30196419E-04   2.50280085E-04   6.07893970E-05   0.00000000E+00   6.47194609E-14  
  6                3.14952911E-05   8.47026893E+02   8.38849833E-01   1.60272798E-01   2.98250631E-09   5.30205975E-04   2.50275776E-04   6.07893654E-05   0.00000000E+00   6.47194582E-14  
  7                3.98811430E-05   8.59614652E+02   8.38849766E-01   1.60272795E-01   4.19981435E-09   5.30242142E-04   2.50343142E-04   6.07893411E-05   0.00000000E+00   2.87071098E-13  
  8                5.05479811E-05   8.64298951E+02   8.38849761E-01   1.60272797E-01   4.41250035E-09   5.30252564E-04   2.50345642E-04   6.07892983E-05   0.00000000E+00   2.87071078E-13  
  9                6.41048526E-05   8.77860301E+02   8.38849695E-01   1.60272794E-01   6.30767340E-09   5.30286202E-04   2.50410636E-04   6.07892658E-05   0.00000000E+00   2.87071038E-13  
  10               8.13119166E-05   8.83931367E+02   8.38849682E-01   1.60272795E-01   6.89881066E-09   5.30297653E-04   2.50420878E-04   6.07892098E-05   0.00000000E+00   2.87071007E-13  
  11               1.03128524E-04   8.98640501E+02   8.38849617E-01   1.60272792E-01   1.00346555E-08   5.30328834E-04   2.50482950E-04   6.07891675E-05   0.00000000E+00   1.40071995E-12  
  12               1.30749185E-04   9.06093073E+02   8.38849598E-01   1.60272793E-01   1.13748439E-08   5.30340590E-04   2.50498780E-04   6.07890954E-05   1.53937531E-15   1.40071972E-12  
  13               1.65679461E-04   9.21830897E+02   8.38849534E-01   1.60272789E-01   1.67014152E-08   5.30368796E-04   2.50555737E-04   6.07890406E-05   2.99134093E-15   1.40071933E-12  
  14               2.09807618E-04   9.30414134E+02   8.38849510E-01   1.60272790E-01   1.93829076E-08   5.30379842E-04   2.50573942E-04   6.07889480E-05   9.92590419E-15   4.74015089E-12  
  15               2.65551977E-04   9.46860641E+02   8.38849448E-01   1.60272786E-01   2.83537662E-08   5.30404513E-04   2.50623827E-04   6.07888756E-05   2.46961381E-14   4.74014904E-12  
  16               3.35941663E-04   9.56278225E+02   8.38849420E-01   1.60272787E-01   3.32761261E-08   5.30414079E-04   2.50642051E-04   6.07887553E-05   2.46959056E-14   4.74014733E-12  
  17               4.24811226E-04   9.73282632E+02   8.38849356E-01   1.60272783E-01   4.81999091E-08   5.30435304E-04   2.50684887E-04   6.07886586E-05   4.37825719E-14   2.34066223E-11  
  18               5.36955142E-04   9.83399280E+02   8.38849325E-01   1.60272782E-01   5.68588107E-08   5.30443123E-04   2.50702342E-04   6.07885011E-05   1.52337377E-13   2.34066101E-11  
  19               6.78408667E-04   1.00105599E+03   8.38849253E-01   1.60272778E-01   8.16906085E-08   5.30461452E-04   2.50739316E-04   6.07883720E-05   2.99447487E-13   2.34065920E-11  
