# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              NH3              H                CO               H2S             
  34               3.41120792E-02   2.00776362E+02   8.38572646E-01   1.60559328E-01   5.31661533E-04   5.42279152E-05   1.21796440E-04   3.91522822E-54   2.74010183E-47   2.29964728E-05  
  35               4.14816771E-02   2.05007937E+02   8.38572646E-01   1.60559328E-01   5.31661533E-04   1.87288788E-04   1.21796440E-04   5.21742347E-53   7.73523125E-46   2.29964728E-05  
  36               5.03069552E-02   2.12054245E+02   8.38073950E-01   1.60463844E-01   5.31345356E-04   1.87177923E-04   1.21724008E-04   3.27927276E-51   2.68713628E-44   2.29827969E-05  
  37               6.06152855E-02   2.17422075E+02   8.38073950E-01   1.60463844E-01   5.31345356E-04   7.81873457E-04   1.21724008E-04   6.27614386E-50   1.31215992E-42   2.29827969E-05  
  38               7.21500473E-02   2.28867551E+02   8.38073950E-01   1.60463844E-01   5.31345356E-04   7.81873457E-04   1.21724008E-04   2.35943070E-47   2.51258685E-40   2.29827969E-05  
  39               8.61563972E-02   2.40433696E+02   8.38073950E-01   1.60463844E-01   5.31345356E-04   7.81873457E-04   1.21724008E-04   5.28333978E-45   2.99272357E-38   2.29827969E-05  
  40               1.03181203E-01   2.49882382E+02   8.38073950E-01   1.60463844E-01   5.31345356E-04   7.81873457E-04   1.21724008E-04   2.96181490E-43   9.82429321E-37   2.29827969E-05  
  41               1.23881524E-01   2.60446793E+02   8.38073950E-01   1.60463844E-01   5.31345356E-04   7.81873457E-04   1.21724008E-04   1.89553118E-41   3.66709598E-35   2.29827969E-05  
  42               1.49048120E-01   2.69790440E+02   8.38073950E-01   1.60463844E-01   5.31345356E-04   7.81873457E-04   1.21724008E-04   5.62513252E-40   6.68223002E-34   2.29827969E-05  
  43               1.79646737E-01   2.80580099E+02   8.38073950E-01   1.60463844E-01   5.31345356E-04   7.81873457E-04   1.21724007E-04   2.14478849E-38   1.54799681E-32   2.29827969E-05  
  44               2.16856205E-01   2.90605198E+02   8.38073950E-01   1.60463844E-01   5.31345356E-04   7.81873457E-04   1.21724007E-04   4.89649907E-37   2.22161165E-31   2.29827969E-05  
  45               2.62111360E-01   3.02333103E+02   8.38073950E-01   1.60463844E-01   5.31345356E-04   7.81873457E-04   1.21724005E-04   1.47398440E-35   4.16064991E-30   2.29827969E-05  
  46               3.17144301E-01   3.13639805E+02   8.38073950E-01   1.60463844E-01   5.31345356E-04   7.81873456E-04   1.21724002E-04   3.05589667E-34   5.50465621E-29   2.29827969E-05  
  47               3.84049625E-01   3.26945178E+02   8.38073950E-01   1.60463844E-01   5.31345356E-04   7.81873246E-04   1.21723990E-04   8.35382056E-33   9.52639380E-28   2.29827969E-05  
  48               4.65343231E-01   3.40424084E+02   8.38073949E-01   1.60463844E-01   5.31345355E-04   7.81873245E-04   1.21723961E-04   1.82174043E-31   1.33921928E-26   2.29827968E-05  
  49               5.64036867E-01   3.56466572E+02   8.38073950E-01   1.60463844E-01   5.31345355E-04   7.81871769E-04   1.21723867E-04   5.32250943E-30   2.50897666E-25   2.29827968E-05  
  50               6.83775542E-01   3.73206212E+02   8.38073744E-01   1.60463805E-01   5.31345224E-04   7.81871576E-04   1.21723578E-04   1.31741370E-28   4.04898475E-24   2.29827912E-05  
  51               8.28910332E-01   3.93243478E+02   8.38073971E-01   1.60463824E-01   5.31345289E-04   7.81625258E-04   1.21722689E-04   4.32735943E-27   8.66294985E-23   2.29827940E-05  
  52               1.00452838E+00   4.15583960E+02   8.38073973E-01   1.60463824E-01   5.31345288E-04   7.81625261E-04   1.21719670E-04   1.43112237E-25   1.89069324E-21   2.29827939E-05  
  53               1.21657883E+00   4.41236996E+02   8.38073971E-01   1.60463820E-01   5.31345277E-04   7.81625946E-04   1.21708876E-04   5.16225303E-24   4.55464032E-20   2.29827934E-05  
  54               1.47229501E+00   4.66075700E+02   8.38073551E-01   1.60463740E-01   5.31345010E-04   7.81666109E-04   1.21681035E-04   1.12898794E-22   6.84981078E-19   2.29827819E-05  
  55               1.78000482E+00   4.94561290E+02   8.38068837E-01   1.60463176E-01   5.31343143E-04   7.83560429E-04   1.21595790E-04   2.66569121E-21   1.12821388E-17   2.29827012E-05  
  56               2.15001540E+00   5.22061884E+02   8.38072111E-01   1.60463421E-01   5.31343955E-04   7.80133727E-04   1.21409582E-04   4.02492946E-20   1.20762370E-16   2.29827363E-05  
  57               2.59519247E+00   5.53665211E+02   8.38072437E-01   1.60463342E-01   5.31343693E-04   7.80133352E-04   1.20917480E-04   6.56490603E-19   1.41727459E-15   2.29827250E-05  
  58               3.13034866E+00   5.84171921E+02   8.38073050E-01   1.60463194E-01   5.31343201E-04   7.80132656E-04   1.19991021E-04   7.22222871E-18   1.14094385E-14   2.29827037E-05  
  59               3.77360610E+00   6.19243218E+02   8.38074429E-01   1.60462859E-01   5.31342094E-04   7.80131116E-04   1.17907423E-04   8.53954403E-17   9.96525283E-14   2.29826558E-05  
  60               4.54881754E+00   6.52693758E+02   8.38076523E-01   1.60462351E-01   5.31340410E-04   7.80128849E-04   1.14742214E-04   6.95328766E-16   6.06097251E-13   2.29825830E-05  
  61               5.48766813E+00   6.88203085E+02   8.38079762E-01   1.60461565E-01   5.31337804E-04   7.80125515E-04   1.09845707E-04   5.14050378E-15   3.36758144E-12   2.29824705E-05  
  62               6.62732734E+00   7.25081606E+02   8.38084063E-01   1.60460520E-01   5.31334326E-04   7.80121501E-04   1.03335824E-04   3.32055940E-14   1.64266923E-11   2.29823206E-05  
  63               8.01243653E+00   7.66504114E+02   8.38089885E-01   1.60459091E-01   5.31329527E-04   7.80117022E-04   9.44791340E-05   2.18433332E-13   8.19515845E-11   2.29821160E-05  
  64               9.70334928E+00   8.11752522E+02   8.38096519E-01   1.60457394E-01   5.31323589E-04   7.80114027E-04   8.41450649E-05   1.37150710E-12   3.91388917E-10   2.29818727E-05  
  65               1.17642658E+01   8.58718369E+02   8.38102920E-01   1.60455750E-01   5.31316894E-04   7.80115313E-04   7.41497693E-05   7.48334037E-12   1.62779474E-09   2.29816363E-05  
  66               1.42487070E+01   9.09061059E+02   8.38109196E-01   1.60454207E-01   5.31307062E-04   7.80124169E-04   6.45889025E-05   3.79150071E-11   6.31667741E-09   2.29851603E-05  
  67               1.71974227E+01   9.59908578E+02   8.38114221E-01   1.60452905E-01   5.31288029E-04   7.80136084E-04   5.67004831E-05   1.63380479E-10   2.09787805E-08   2.30188125E-05  
  68               2.06638717E+01   1.01326093E+03   8.38118048E-01   1.60451677E-01   5.31240468E-04   7.80135087E-04   4.98468926E-05   6.45382542E-10   6.43535478E-08   2.31681544E-05  
  69               2.46886476E+01   1.06614443E+03   8.38120152E-01   1.60450615E-01   5.31130442E-04   7.80080727E-04   4.45764426E-05   2.18764190E-09   1.70625226E-07   2.37052404E-05  
