# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              H                CH4              CO               N2               NH3             
  1                1.00000000E-05   2.06542260E+02   8.38074223E-01   1.60463844E-01   7.81597966E-04   8.66309076E-51   5.31345355E-04   1.33933999E-37   5.39201569E-11   1.21723900E-04  
  2                2.18106120E-05   2.41401408E+02   8.38074248E-01   1.60463838E-01   7.81597936E-04   5.13723963E-43   5.31345334E-04   7.01976203E-31   1.90487435E-08   1.21685905E-04  
  3                3.50002700E-05   2.61907584E+02   8.38074544E-01   1.60463766E-01   7.81597586E-04   1.97588816E-39   5.31345097E-04   7.77520928E-28   2.42740872E-07   1.21238467E-04  
  4                5.00000016E-05   2.72651841E+02   8.38075022E-01   1.60463650E-01   7.81597022E-04   8.50873210E-38   5.31344713E-04   1.54824847E-26   6.03615236E-07   1.20516630E-04  
  5                6.72447913E-05   2.84714001E+02   8.38076548E-01   1.60463280E-01   7.81595220E-04   4.30225035E-36   5.31343488E-04   3.96734373E-25   1.75675017E-06   1.18210079E-04  
  6                8.71460178E-05   2.90666696E+02   8.38077222E-01   1.60463117E-01   7.81594424E-04   2.48963869E-35   5.31342947E-04   1.40017608E-24   2.26595745E-06   1.17191541E-04  
  7                1.10243032E-04   2.99290976E+02   8.38079493E-01   1.60462566E-01   7.81591743E-04   2.97671879E-34   5.31341124E-04   1.02079326E-23   3.98102302E-06   1.13760992E-04  
  8                1.37022446E-04   3.03140822E+02   8.38079654E-01   1.60462527E-01   7.81591552E-04   8.12269674E-34   5.31340995E-04   1.89409333E-23   4.10282935E-06   1.13517350E-04  
  9                1.68147614E-04   3.10506332E+02   8.38082233E-01   1.60461902E-01   7.81588507E-04   5.70728470E-33   5.31338924E-04   8.79121231E-23   6.05116010E-06   1.09620214E-04  
  10               2.04289192E-04   3.13773650E+02   8.38082122E-01   1.60461927E-01   7.81588631E-04   1.24778260E-32   5.31339008E-04   1.37175662E-22   5.96977474E-06   1.09783004E-04  
  11               2.46390670E-04   3.21034791E+02   8.38085315E-01   1.60461155E-01   7.81580806E-04   7.52739565E-32   5.31336450E-04   5.67875737E-22   8.37847098E-06   1.04965025E-04  
  12               2.95420004E-04   3.24267800E+02   8.38085181E-01   1.60461187E-01   7.81580963E-04   1.55271948E-31   5.31336557E-04   8.56958116E-22   8.27776761E-06   1.05166457E-04  
  13               3.52719072E-04   3.31643648E+02   8.38089019E-01   1.60460257E-01   7.81576431E-04   8.59385551E-31   5.31333476E-04   3.33130620E-21   1.11769845E-05   9.93673172E-05  
  14               4.19668514E-04   3.34985153E+02   8.38088911E-01   1.60460279E-01   7.81576542E-04   1.73483987E-30   5.31333551E-04   4.99069230E-21   1.11014148E-05   9.95184738E-05  
  15               4.98136679E-04   3.42487118E+02   8.38093239E-01   1.60459233E-01   7.81561322E-04   8.85982639E-30   5.31330087E-04   1.81930013E-20   1.43637719E-05   9.29929660E-05  
  16               5.90037451E-04   3.45898686E+02   8.38093079E-01   1.60459272E-01   7.81561510E-04   1.73374527E-29   5.31330215E-04   2.66800600E-20   1.42430402E-05   9.32344587E-05  
  17               6.97893956E-04   3.53486387E+02   8.38097562E-01   1.60458173E-01   7.81556159E-04   8.13114574E-29   5.31326577E-04   9.04421166E-20   1.76500400E-05   8.64196257E-05  
  18               8.24402712E-04   3.57049915E+02   8.38097426E-01   1.60458216E-01   7.81523385E-04   1.57028798E-28   5.31326719E-04   1.31701484E-19   1.75242229E-05   8.66712925E-05  
  19               9.73074935E-04   3.64874385E+02   8.38102069E-01   1.60457091E-01   7.81517904E-04   6.99913819E-28   5.31322992E-04   4.27941132E-19   2.10312916E-05   7.96563013E-05  
  20               1.14775732E-03   3.68722818E+02   8.38102012E-01   1.60457104E-01   7.81517970E-04   1.36624164E-27   5.31323037E-04   6.31989311E-19   2.09888250E-05   7.97412449E-05  
  21               1.35356247E-03   3.77089587E+02   8.38106813E-01   1.60455894E-01   7.81512078E-04   6.11400328E-27   5.31319031E-04   2.07083985E-18   2.46956317E-05   7.23267136E-05  
  22               1.59644224E-03   3.81659214E+02   8.38107397E-01   1.60455791E-01   7.81384868E-04   1.29672036E-26   5.31318690E-04   3.31707807E-18   2.50484160E-05   7.16210668E-05  
  23               1.88422445E-03   3.90984441E+02   8.38112715E-01   1.60454502E-01   7.81378601E-04   6.16851840E-26   5.31314421E-04   1.15538960E-17   2.90656002E-05   6.35857205E-05  
  24               2.22588549E-03   3.96542161E+02   8.38113799E-01   1.60454239E-01   7.81377349E-04   1.45632340E-25   5.31313550E-04   2.05138607E-17   2.98846293E-05   6.19474628E-05  
  25               2.63288190E-03   4.07053798E+02   8.38118783E-01   1.60452812E-01   7.81370724E-04   7.42103876E-25   5.31308824E-04   7.64188664E-17   3.40307864E-05   5.36540659E-05  
  26               3.11842937E-03   4.13823472E+02   8.38120944E-01   1.60452469E-01   7.80767913E-04   1.96227864E-24   5.31307690E-04   1.51041888E-16   3.52474334E-05   5.12205121E-05  
  27               3.69864258E-03   4.25724272E+02   8.38126203E-01   1.60451188E-01   7.80772771E-04   1.06538184E-23   5.31303448E-04   5.98749809E-16   3.92344821E-05   4.32454428E-05  
  28               4.39174457E-03   4.33836361E+02   8.38127939E-01   1.60450718E-01   7.80807971E-04   3.10577712E-23   5.31301891E-04   1.30102721E-15   4.06440920E-05   4.04258665E-05  
  29               5.21910736E-03   4.47318804E+02   8.38129470E-01   1.60449055E-01   7.81241490E-04   1.77388259E-22   5.31296382E-04   5.43539843E-15   4.41978641E-05   3.33170603E-05  
  30               6.20617891E-03   4.57382236E+02   8.38132772E-01   1.60448782E-01   7.79788561E-04   5.94024816E-22   5.31295478E-04   1.35126929E-14   4.57730351E-05   3.01665112E-05  
  31               7.37915452E-03   4.72481053E+02   8.38136562E-01   1.60447863E-01   7.79784099E-04   3.43157518E-21   5.31292437E-04   5.73842440E-14   4.86352772E-05   2.44413302E-05  
  32               8.76468902E-03   4.83749988E+02   8.38138226E-01   1.60447459E-01   7.79782141E-04   1.15441154E-20   5.31291100E-04   1.44515030E-13   4.98928145E-05   2.19259496E-05  
  33               1.03918118E-02   5.00463099E+02   8.38141106E-01   1.60446761E-01   7.79778757E-04   6.54219431E-20   5.31288788E-04   6.09201962E-13   5.20681981E-05   1.75746527E-05  
  34               1.22922700E-02   5.13684524E+02   8.38142533E-01   1.60446415E-01   7.79777088E-04   2.33501151E-19   5.31287641E-04   1.64443619E-12   5.31462242E-05   1.54183380E-05  
  35               1.44992690E-02   5.32570990E+02   8.38144686E-01   1.60445894E-01   7.79774584E-04   1.32886553E-18   5.31285908E-04   7.06843845E-12   5.47719246E-05   1.21665414E-05  
  36               1.70486710E-02   5.48045949E+02   8.38145823E-01   1.60445618E-01   7.79773287E-04   4.96733487E-18   5.31284981E-04   2.02667207E-11   5.56310210E-05   1.04481396E-05  
  37               1.99756953E-02   5.69193566E+02   8.38147327E-01   1.60445253E-01   7.79771595E-04   2.74975191E-17   5.31283704E-04   8.63184807E-11   5.67678639E-05   8.17417686E-06  
  38               2.33161701E-02   5.87180771E+02   8.38148174E-01   1.60445047E-01   7.79770650E-04   1.05522792E-16   5.31282846E-04   2.58462329E-10   5.74077219E-05   6.89430495E-06  
  39               2.71045043E-02   6.11019637E+02   8.38149194E-01   1.60444799E-01   7.79769183E-04   5.67057487E-16   5.31281176E-04   1.09067129E-09   5.81786513E-05   5.35225821E-06  
  40               3.13734100E-02   6.32276369E+02   8.38149808E-01   1.60444648E-01   7.79766988E-04   2.25982236E-15   5.31278270E-04   3.45657930E-09   5.86452269E-05   4.41899172E-06  
  41               3.61608558E-02   6.59811822E+02   8.38150481E-01   1.60444473E-01   7.79756945E-04   1.20819710E-14   5.31266191E-04   1.48238650E-08   5.91615063E-05   3.38630077E-06  
  42               4.14988359E-02   6.86915570E+02   8.38150820E-01   1.60444311E-01   7.79720061E-04   5.49982097E-14   5.31225387E-04   5.47337874E-08   5.95167357E-05   2.67571912E-06  
  43               4.74299229E-02   7.15333406E+02   8.38151134E-01   1.60444133E-01   7.79586282E-04   2.38411479E-13   5.31084270E-04   1.94304428E-07   5.97917218E-05   2.12561143E-06  
  44               5.40003979E-02   7.42895207E+02   8.38151908E-01   1.60443940E-01   7.79194217E-04   8.84851541E-13   5.30680529E-04   5.95259729E-07   5.99832881E-05   1.74233218E-06  
  45               6.12630379E-02   7.71834070E+02   8.38153651E-01   1.60443507E-01   7.78029633E-04   3.17365412E-12   5.29497313E-04   1.77203209E-06   6.01378738E-05   1.43283116E-06  
  46               6.93027455E-02   7.99950466E+02   8.38157548E-01   1.60442538E-01   7.75172896E-04   1.00092835E-11   5.26615138E-04   4.64119741E-06   6.02487487E-05   1.21034240E-06  
  47               7.82428510E-02   8.29785860E+02   8.38167116E-01   1.60440152E-01   7.67942051E-04   3.11361907E-11   5.19348679E-04   1.18798197E-05   6.03416696E-05   1.02268107E-06  
  48               8.82665714E-02   8.59195176E+02   8.38186703E-01   1.60435211E-01   7.52876984E-04   8.78972816E-11   5.04238476E-04   2.69407693E-05   6.04095946E-05   8.83058545E-07  
  49               9.97034832E-02   8.91216105E+02   8.38227282E-01   1.60424843E-01   7.21288581E-04   2.51977358E-10   4.72581060E-04   5.85113707E-05   6.04672991E-05   7.59724686E-07  
  50               1.13143613E-01   9.24255165E+02   8.38294870E-01   1.60407899E-01   6.69083256E-04   6.89273279E-10   4.20253287E-04   1.10723832E-04   6.05090749E-05   6.63191871E-07  
  51               1.29730917E-01   9.62678211E+02   8.38402300E-01   1.60381755E-01   5.87953561E-04   2.03816935E-09   3.38846374E-04   1.91994852E-04   6.05443139E-05   5.72601332E-07  
  52               1.51537585E-01   1.00655357E+03   8.38529054E-01   1.60350864E-01   4.92257255E-04   6.32284606E-09   2.42668381E-04   2.88061012E-04   6.05705798E-05   4.96095255E-07  
  53               1.82162782E-01   1.06242464E+03   8.38660389E-01   1.60318795E-01   3.93146655E-04   2.33320764E-08   1.42865155E-04   3.87789167E-04   6.05950565E-05   4.21772357E-07  
  54               2.24460291E-01   1.11130431E+03   8.38727958E-01   1.60302253E-01   3.42150415E-04   6.37135208E-08   9.14117932E-05   4.39221331E-04   6.06018256E-05   3.94468936E-07  
  55               2.78332999E-01   1.15648258E+03   8.38765652E-01   1.60292989E-01   3.13650519E-04   1.46868369E-07   6.26224283E-05   4.68004878E-04   6.06014744E-05   3.86742155E-07  
  56               3.43394774E-01   1.19834096E+03   8.38787643E-01   1.60287541E-01   2.96935836E-04   2.97475960E-07   4.57215129E-05   4.84905144E-04   6.05971199E-05   3.89736575E-07  
  57               4.19395157E-01   1.23846929E+03   8.38801936E-01   1.60283940E-01   2.85941141E-04   5.56641255E-07   3.45950418E-05   4.96032311E-04   6.05912317E-05   3.96989367E-07  
  58               5.06347969E-01   1.27678849E+03   8.38811316E-01   1.60281485E-01   2.78529820E-04   9.72114869E-07   2.70830737E-05   5.03545240E-04   6.05841750E-05   4.07243255E-07  
  59               6.04460269E-01   1.31428765E+03   8.38817790E-01   1.60279653E-01   2.73128318E-04   1.62368026E-06   2.15839880E-05   5.09044941E-04   6.05768547E-05   4.18270474E-07  
  60               7.14010153E-01   1.35083845E+03   8.38821902E-01   1.60278235E-01   2.69211443E-04   2.60140188E-06   1.75273512E-05   5.13101618E-04   6.05691791E-05   4.30100225E-07  
  61               8.35269894E-01   1.38759022E+03   8.38824116E-01   1.60276988E-01   2.66257036E-04   4.08070391E-06   1.42657238E-05   5.16362438E-04   6.05619831E-05   4.40865152E-07  
  62               9.68786625E-01   1.42429255E+03   8.38821600E-01   1.60275357E-01   2.64358366E-04   6.25403719E-06   1.16802248E-05   5.18944561E-04   6.05547673E-05   4.51164327E-07  
  63               1.11441428E+00   1.46184890E+03   8.38817335E-01   1.60274266E-01   2.66340659E-04   9.49066017E-06   9.40059443E-06   5.21221099E-04   6.05487413E-05   4.59556060E-07  
  64               1.27242771E+00   1.50008457E+03   8.38800497E-01   1.60270563E-01   2.64878364E-04   1.42281110E-05   7.66889568E-06   5.22940932E-04   6.05421746E-05   4.66526371E-07  
  65               1.43848204E+00   1.53990165E+03   8.38778941E-01   1.60269261E-01   2.81676936E-04   2.13297351E-05   5.76896557E-06   5.24834284E-04   6.05393560E-05   4.69566649E-07  
  66               1.60977188E+00   1.58119772E+03   8.38764945E-01   1.60267235E-01   2.82225415E-04   3.19108295E-05   4.54280245E-06   5.26053388E-04   6.05373890E-05   4.68776722E-07  
  67               1.78515364E+00   1.62569773E+03   8.38735391E-01   1.60263868E-01   2.88264378E-04   4.84355116E-05   3.41278377E-06   5.27171296E-04   6.05378607E-05   4.62703152E-07  
  68               1.95298048E+00   1.66534185E+03   8.38679195E-01   1.60257932E-01   3.05071147E-04   6.88764946E-05   2.58945139E-06   5.27973063E-04   6.05370633E-05   4.58741608E-07  
  69               2.10439853E+00   1.69863605E+03   8.38602764E-01   1.60250534E-01   3.33048331E-04   9.13122667E-05   1.99802314E-06   5.28537418E-04   6.05355297E-05   4.56711855E-07  
  70               2.23206689E+00   1.72544328E+03   8.38512054E-01   1.60243789E-01   3.78514857E-04   1.13647756E-04   1.54123980E-06   5.28967993E-04   6.05347221E-05   4.55534874E-07  
  71               2.36350087E+00   1.75156317E+03   8.38476714E-01   1.60239424E-01   3.78278911E-04   1.39661156E-04   1.36597461E-06   5.29128458E-04   6.05322970E-05   4.55210663E-07  
  72               2.47759329E+00   1.77349042E+03   8.38453344E-01   1.60237334E-01   3.78104704E-04   1.65249393E-04   1.23873465E-06   5.29248310E-04   6.05307249E-05   4.55150129E-07  
  73               2.56853197E+00   1.79017201E+03   8.38433254E-01   1.60235546E-01   3.77984049E-04   1.87213656E-04   1.15401053E-06   5.29326618E-04   6.05291980E-05   4.55554650E-07  
  74               2.66942762E+00   1.80836543E+03   8.38408765E-01   1.60233375E-01   3.77860427E-04   2.13960053E-04   1.06975904E-06   5.29403048E-04   6.05274397E-05   4.55986672E-07  
  75               2.78104618E+00   1.82757903E+03   8.38379829E-01   1.60230818E-01   3.77740331E-04   2.45531957E-04   9.91276949E-07   5.29472238E-04   6.05251914E-05   4.56950350E-07  
  76               2.90406852E+00   1.84830510E+03   8.38314813E-01   1.60222020E-01   3.77608461E-04   2.83917965E-04   9.14770022E-07   5.29518602E-04   6.05204537E-05   4.57991433E-07  
  77               2.99910243E+00   1.86360692E+03   8.38286020E-01   1.60219494E-01   3.77522699E-04   3.15293427E-04   8.64563974E-07   5.29559576E-04   6.05182370E-05   4.59145907E-07  
  78               3.06972559E+00   1.87496674E+03   8.38262894E-01   1.60217463E-01   3.77466938E-04   3.40482543E-04   8.29138936E-07   5.29587601E-04   6.05165931E-05   4.59876477E-07  
  79               3.14894037E+00   1.88715663E+03   8.38236500E-01   1.60215146E-01   3.77403254E-04   3.69230877E-04   7.94495758E-07   5.29613765E-04   6.05145660E-05   4.61030969E-07  
  80               3.23751555E+00   1.90078717E+03   8.38204699E-01   1.60212358E-01   3.77346030E-04   4.03844963E-04   7.57403018E-07   5.29640692E-04   6.05123106E-05   4.62146573E-07  
  81               3.33624946E+00   1.91531084E+03   8.38168284E-01   1.60209167E-01   3.77274670E-04   4.43489184E-04   7.21683350E-07   5.29664738E-04   6.05095816E-05   4.63751933E-07  
  82               3.44589880E+00   1.93133558E+03   8.38124562E-01   1.60205339E-01   3.77224227E-04   4.91042096E-04   6.84382143E-07   5.29688094E-04   6.05065205E-05   4.65377204E-07  
  83               3.56721808E+00   1.94825075E+03   8.38074502E-01   1.60200957E-01   3.77145868E-04   5.45518800E-04   6.49128996E-07   5.29707350E-04   6.05028782E-05   4.67565527E-07  
  84               3.70097406E+00   1.96666145E+03   8.38014701E-01   1.60195728E-01   3.77108765E-04   6.10520225E-04   6.13186276E-07   5.29724280E-04   6.04987767E-05   4.69843987E-07  
  85               3.84782756E+00   1.98590278E+03   8.37946414E-01   1.60189760E-01   3.77024052E-04   6.84840384E-04   5.79849448E-07   5.29735894E-04   6.04939747E-05   4.72754768E-07  
  86               4.00998716E+00   2.00675446E+03   8.37864713E-01   1.60182622E-01   3.76933042E-04   7.73752616E-04   5.46399461E-07   5.29743467E-04   6.04885136E-05   4.75854935E-07  
  87               4.18864129E+00   2.02855765E+03   8.37770574E-01   1.60174401E-01   3.76840042E-04   8.76189732E-04   5.15551042E-07   5.29744510E-04   6.04821390E-05   4.79699814E-07  
  88               4.38504878E+00   2.05194688E+03   8.37658380E-01   1.60164606E-01   3.76740184E-04   9.98266139E-04   4.85175669E-07   5.29739515E-04   6.04748820E-05   4.83825953E-07  
  89               4.60054703E+00   2.07622228E+03   8.37529363E-01   1.60153345E-01   3.76637527E-04   1.13863797E-03   4.57599277E-07   5.29726452E-04   6.04664922E-05   4.88794082E-07  
  90               4.83656095E+00   2.10202583E+03   8.37376361E-01   1.60139993E-01   3.76526921E-04   1.30509890E-03   4.30880315E-07   5.29705172E-04   6.04569466E-05   4.94139371E-07  
  91               5.09461384E+00   2.12861498E+03   8.37201122E-01   1.60124703E-01   3.76412298E-04   1.49574271E-03   4.06997922E-07   5.29674137E-04   6.04460055E-05   5.00430948E-07  
  92               5.37633864E+00   2.15665498E+03   8.36994513E-01   1.60106679E-01   3.76288018E-04   1.72050949E-03   3.84154587E-07   5.29632477E-04   6.04335807E-05   5.07193567E-07  
  93               5.68348962E+00   2.18536564E+03   8.36759139E-01   1.60086148E-01   3.76158023E-04   1.97656168E-03   3.64031760E-07   5.29579193E-04   6.04194542E-05   5.15004423E-07  
  94               6.01795655E+00   2.21543274E+03   8.36483545E-01   1.60062111E-01   3.76016098E-04   2.27636191E-03   3.44992496E-07   5.29512574E-04   6.04034566E-05   5.23382659E-07  
  95               6.38177989E+00   2.24602557E+03   8.36171929E-01   1.60034935E-01   3.75866535E-04   2.61534002E-03   3.28505851E-07   5.29432287E-04   6.03854090E-05   5.32926898E-07  
  96               6.77716580E+00   2.27785962E+03   8.35810119E-01   1.60003383E-01   3.75702386E-04   3.00891522E-03   3.13072148E-07   5.29335687E-04   6.03650474E-05   5.43146032E-07  
  97               7.20650674E+00   2.31006738E+03   8.35402641E-01   1.59967645E-01   3.75527638E-04   3.45000700E-03   2.99974652E-07   5.29222030E-04   6.03421141E-05   5.54654156E-07  
  98               7.67210624E+00   2.34339747E+03   8.34927505E-01   1.59926720E-01   3.81811771E-04   3.95749768E-03   2.82935483E-07   5.29095901E-04   6.03173453E-05   5.66924070E-07  
  99               8.17679740E+00   2.37694418E+03   8.34409685E-01   1.59881572E-01   3.81679340E-04   4.52067823E-03   2.73007840E-07   5.28946180E-04   6.02890124E-05   5.80609697E-07  
  100              8.72391847E+00   2.41155311E+03   8.33818586E-01   1.59830035E-01   3.81516261E-04   5.16357680E-03   2.63875532E-07   5.28773415E-04   6.02573295E-05   5.95169662E-07  
  101              9.31674444E+00   2.44625538E+03   8.33168917E-01   1.59773394E-01   3.81329170E-04   5.87019012E-03   2.56617187E-07   5.28580666E-04   6.02224091E-05   6.11286497E-07  
