# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               CH4             
  1                1.00000000E-05   5.40428971E+02   8.38193684E-01   1.60434513E-01   1.04021717E-16   2.73771477E-05   7.48235784E-04   6.08471313E-05   0.00000000E+00   5.02194559E-04  
  2                1.22302106E-05   5.86542597E+02   8.38525704E-01   1.60354852E-01   4.38819068E-15   2.71591809E-04   4.95933731E-04   6.08187807E-05   0.00000000E+00   2.53850667E-04  
  3                1.61859568E-05   6.13619993E+02   8.38696100E-01   1.60313217E-01   2.78862179E-14   4.02583987E-04   3.67337114E-04   6.08033061E-05   0.00000000E+00   1.23984973E-04  
  4                2.20391463E-05   6.27205249E+02   8.38724508E-01   1.60306155E-01   6.08054152E-14   4.25246757E-04   3.46016034E-04   6.08004810E-05   0.00000000E+00   1.01965552E-04  
  5                2.96673731E-05   6.43200701E+02   8.38759466E-01   1.60297499E-01   1.49679859E-13   4.52858838E-04   3.19746147E-04   6.07971096E-05   0.00000000E+00   7.49794077E-05  
  6                3.92093356E-05   6.52084157E+02   8.38759242E-01   1.60297477E-01   2.28113012E-13   4.53189740E-04   3.19987328E-04   6.07968174E-05   0.00000000E+00   7.49202342E-05  
  7                5.09016180E-05   6.65447766E+02   8.38777884E-01   1.60292838E-01   4.52596954E-13   4.68008695E-04   3.05996030E-04   6.07949113E-05   0.00000000E+00   6.04702779E-05  
  8                6.51357474E-05   6.72814500E+02   8.38774147E-01   1.60293696E-01   6.18691832E-13   4.65487615E-04   3.08863503E-04   6.07948929E-05   0.00000000E+00   6.31533574E-05  
  9                8.23453293E-05   6.85085587E+02   8.38787541E-01   1.60290353E-01   1.11416729E-12   4.76144260E-04   2.98812460E-04   6.07934471E-05   0.00000000E+00   5.27513680E-05  
  10               1.03104919E-04   6.91656138E+02   8.38782844E-01   1.60291455E-01   1.43798469E-12   4.72808092E-04   3.02387981E-04   6.07934596E-05   0.00000000E+00   5.61978092E-05  
  11               1.28046348E-04   7.03308543E+02   8.38793387E-01   1.60288814E-01   2.43518509E-12   4.81204889E-04   2.94470964E-04   6.07922450E-05   0.00000000E+00   4.79894405E-05  
  12               1.57972847E-04   7.09376588E+02   8.38788252E-01   1.60290028E-01   3.02693775E-12   4.77484766E-04   2.98367650E-04   6.07922262E-05   0.00000000E+00   5.17901524E-05  
  13               1.93788800E-04   7.20710604E+02   8.38797074E-01   1.60287796E-01   4.92063916E-12   4.84540685E-04   2.91713947E-04   6.07911263E-05   0.00000000E+00   4.48805764E-05  
  14               2.36624094E-04   7.26508910E+02   8.38791772E-01   1.60289040E-01   5.97388985E-12   4.80702514E-04   2.95690161E-04   6.07910315E-05   0.00000000E+00   4.87813054E-05  
  15               2.87766382E-04   7.37744199E+02   8.38799563E-01   1.60287063E-01   9.44864134E-12   4.86927607E-04   2.89816898E-04   6.07899815E-05   0.00000000E+00   4.26739315E-05  
  16               3.48800006E-04   7.43417933E+02   8.38794219E-01   1.60288303E-01   1.12942931E-11   4.83075809E-04   2.93781100E-04   6.07897823E-05   0.00000000E+00   4.65763366E-05  
  17               4.21540097E-04   7.54686395E+02   8.38801244E-01   1.60286496E-01   1.75115246E-11   4.88720947E-04   2.88452305E-04   6.07887413E-05   0.00000000E+00   4.10279972E-05  
  18               5.08219523E-04   7.60353929E+02   8.38795918E-01   1.60287705E-01   2.07314648E-11   4.84934370E-04   2.92333835E-04   6.07884095E-05   0.00000000E+00   4.48568833E-05  
  19               6.11440844E-04   7.71773778E+02   8.38802369E-01   1.60286010E-01   3.16943438E-11   4.90174103E-04   2.87384778E-04   6.07873449E-05   0.00000000E+00   3.96981037E-05  
  20               7.34391035E-04   7.77546288E+02   8.38797080E-01   1.60287161E-01   3.73415289E-11   4.86521010E-04   2.91121118E-04   6.07868503E-05   0.00000000E+00   4.33875407E-05  
  21               8.80777429E-04   7.89261169E+02   8.38803115E-01   1.60285516E-01   5.66301681E-11   4.91519021E-04   2.86395734E-04   6.07857305E-05   0.00000000E+00   3.84582647E-05  
  22               1.05512466E-03   7.95259459E+02   8.38797872E-01   1.60286570E-01   6.67040931E-11   4.88090801E-04   2.89900125E-04   6.07850385E-05   0.00000000E+00   4.19184146E-05  
  23               1.26267346E-03   8.07348515E+02   8.38803518E-01   1.60284961E-01   1.00596342E-10   4.92884243E-04   2.85364679E-04   6.07838444E-05   0.00000000E+00   3.71836939E-05  
  24               1.50981431E-03   8.13646797E+02   8.38798318E-01   1.60285907E-01   1.18715430E-10   4.89711112E-04   2.88609287E-04   6.07829250E-05   0.00000000E+00   4.03851603E-05  
