# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               H                He               CO               H2O              Mg               Fe               OH              
  1                1.00000000E-05   9.02840271E+02   8.38824343E-01   3.69922531E-08   1.60267981E-01   5.30331065E-04   2.50665568E-04   2.58953075E-14   7.52474456E-12   1.12495555E-14  
  2                1.83576746E-05   1.50428854E+03   8.35184688E-01   3.93094245E-03   1.59950822E-01   5.29578082E-04   2.75995767E-04   1.84818607E-06   7.66091321E-06   3.91356200E-08  
  3                2.50465596E-05   1.24140036E+03   8.38660012E-01   7.58085223E-05   1.60248528E-01   5.30515054E-04   2.78714417E-04   1.85163161E-06   7.67518038E-06   2.60283292E-10  
  4                3.12237556E-05   1.59714704E+03   8.30714498E-01   8.55605320E-03   1.59556471E-01   5.28260090E-04   3.72208326E-04   6.65097692E-05   5.53232379E-05   1.54613548E-07  
  5                3.63427400E-05   1.34712187E+03   8.38260892E-01   3.44985662E-04   1.60216369E-01   5.30401294E-04   3.77347534E-04   6.67849780E-05   5.55521340E-05   2.59772932E-09  
  6                4.21280630E-05   1.65408836E+03   8.26466359E-01   1.31774397E-02   1.59185891E-01   5.27038910E-04   3.70898939E-04   6.63545588E-05   5.51946770E-05   2.80490445E-07  
  7                4.85833784E-05   1.40923779E+03   8.37915506E-01   7.20908091E-04   1.60186054E-01   5.30315480E-04   3.76688828E-04   6.67714792E-05   5.55415673E-05   6.95155030E-09  
  8                5.58975037E-05   1.70660893E+03   8.21213425E-01   1.88917466E-02   1.58727822E-01   5.25526780E-04   3.69452574E-04   6.61627597E-05   5.50357713E-05   4.63516861E-07  
  9                6.40620660E-05   1.46877755E+03   8.37324001E-01   1.36456925E-03   1.60134215E-01   5.30155064E-04   3.75952891E-04   6.67489510E-05   5.55235263E-05   1.63444609E-08  
  10               7.30920479E-05   1.76459169E+03   8.13086287E-01   2.77323642E-02   1.58019246E-01   5.23184911E-04   3.67407182E-04   6.58664081E-05   5.47899914E-05   7.89363283E-07  
  11               8.18627606E-05   1.56267539E+03   8.35227925E-01   3.64513207E-03   1.59950846E-01   5.29561671E-04   3.74470174E-04   6.66714907E-05   5.54598459E-05   5.93952443E-08  
  12               9.18228242E-05   1.80729538E+03   8.05990122E-01   3.54516409E-02   1.57400633E-01   5.21139386E-04   3.65555645E-04   6.56075802E-05   5.45754097E-05   1.11934265E-06  
  13               1.03054088E-04   1.60906353E+03   8.33661394E-01   5.34947403E-03   1.59814010E-01   5.29114023E-04   3.73696219E-04   6.66135058E-05   5.54123168E-05   1.00148338E-07  
  14               1.15860398E-04   1.84638852E+03   7.98853927E-01   4.32144324E-02   1.56778563E-01   5.19081926E-04   3.63673426E-04   6.53471678E-05   5.43596174E-05   1.49448915E-06  
  15               1.30349361E-04   1.65354922E+03   8.31707601E-01   7.47503979E-03   1.59643455E-01   5.28553845E-04   3.72910951E-04   6.65413041E-05   5.53530820E-05   1.58730884E-07  
  16               1.46887710E-04   1.88516371E+03   7.91032983E-01   5.17220823E-02   1.56096822E-01   5.16826651E-04   3.61572892E-04   6.50617092E-05   5.41231182E-05   1.95111933E-06  
  17               1.65613707E-04   1.69865659E+03   8.29168696E-01   1.02370661E-02   1.59421923E-01   5.27824379E-04   3.72034183E-04   6.64476503E-05   5.52761523E-05   2.45400531E-07  
  18               1.86987159E-04   1.92482618E+03   7.82141496E-01   6.13942653E-02   1.55321772E-01   5.14262274E-04   3.59130482E-04   6.47371606E-05   5.38542463E-05   2.52315267E-06  
  19               2.11175748E-04   1.74579711E+03   8.25773397E-01   1.39306566E-02   1.59125763E-01   5.26847481E-04   3.70981238E-04   6.63226463E-05   5.51733223E-05   3.76641459E-07  
  20               2.38760113E-04   1.96634704E+03   7.71675717E-01   7.27789645E-02   1.54409501E-01   5.11243436E-04   3.56179921E-04   6.43551957E-05   5.35377719E-05   3.26128197E-06  
  21               2.69928964E-04   1.79637271E+03   8.21072051E-01   1.90449516E-02   1.58715777E-01   5.25493469E-04   3.69621845E-04   6.61499122E-05   5.50309953E-05   5.82045774E-07  
  22               3.05410516E-04   2.01099613E+03   7.58761692E-01   8.68268734E-02   1.53283822E-01   5.07517921E-04   3.52430137E-04   6.38840434E-05   5.31472759E-05   4.25621366E-06  
  23               3.45383364E-04   1.85259888E+03   8.14174824E-01   2.65479171E-02   1.58114399E-01   5.23505615E-04   3.67702874E-04   6.58970731E-05   5.48222694E-05   9.23207388E-07  
  24               3.90732935E-04   2.06136670E+03   7.41384938E-01   1.05729363E-01   1.51769131E-01   5.02504340E-04   3.47209254E-04   6.32505110E-05   5.26218679E-05   5.71564689E-06  
  25               4.41488361E-04   1.92055599E+03   8.02527103E-01   3.92184773E-02   1.57098944E-01   5.20146797E-04   3.64499679E-04   6.54712621E-05   5.44699208E-05   1.58072334E-06  
  26               4.98484852E-04   2.12911918E+03   7.10163585E-01   1.39692096E-01   1.49047603E-01   4.93495022E-04   3.37396996E-04   6.21138184E-05   5.16779825E-05   8.58174434E-06  
  27               5.57081612E-04   2.14659465E+03   7.04276415E-01   1.46096192E-01   1.48534414E-01   4.91796299E-04   3.35378579E-04   6.18987406E-05   5.14999270E-05   9.25200656E-06  
  28               6.24324425E-04   2.16492232E+03   6.97905259E-01   1.53026773E-01   1.47979033E-01   4.89957875E-04   3.33157003E-04   6.16659835E-05   5.13072314E-05   9.99953844E-06  
  29               7.01438568E-04   2.18356437E+03   6.91430153E-01   1.60070437E-01   1.47414584E-01   4.88089423E-04   3.30848917E-04   6.14293475E-05   5.11113811E-05   1.07918273E-05  
  30               7.89820591E-04   2.20293142E+03   6.84528678E-01   1.67577914E-01   1.46812962E-01   4.86097889E-04   3.28341216E-04   6.11771165E-05   5.09026302E-05   1.16639537E-05  
  31               8.91061157E-04   2.22248496E+03   6.77607773E-01   1.75106532E-01   1.46209639E-01   4.84100715E-04   3.25764322E-04   6.09240666E-05   5.06932774E-05   1.25776580E-05  
  32               1.00696942E-03   2.24268025E+03   6.70301952E-01   1.83053872E-01   1.45572755E-01   4.81992415E-04   3.22986838E-04   6.06569178E-05   5.04722750E-05   1.35741732E-05  
  33               1.13960211E-03   2.26294851E+03   6.63066528E-01   1.90924640E-01   1.44942000E-01   4.79904397E-04   3.20161979E-04   6.03922012E-05   5.02533837E-05   1.46064674E-05  
  34               1.29129121E-03   2.28382568E+03   6.55459364E-01   1.99199799E-01   1.44278829E-01   4.77709049E-04   3.17126600E-04   6.01138538E-05   5.00232388E-05   1.57263687E-05  
  35               1.46467658E-03   2.30472900E+03   6.47967282E-01   2.07349778E-01   1.43625681E-01   4.75546877E-04   3.14052099E-04   5.98395490E-05   4.97965536E-05   1.68794138E-05  
  36               1.66274108E-03   2.32623062E+03   6.40101974E-01   2.15903842E-01   1.42939802E-01   4.73276330E-04   3.10751557E-04   5.95514722E-05   4.95585038E-05   1.81255908E-05  
  37               1.88747050E-03   2.34758110E+03   6.32444943E-01   2.24224577E-01   1.42272574E-01   4.71066753E-04   3.13272762E-04   5.92710344E-05   4.93269051E-05   1.97597315E-05  
  38               2.14236771E-03   2.36940239E+03   6.24474914E-01   2.32894558E-01   1.41577722E-01   4.68766494E-04   3.09684089E-04   5.89789560E-05   4.90857122E-05   2.11407237E-05  
  39               2.43306474E-03   2.39115859E+03   6.16734879E-01   2.41314357E-01   1.40902908E-01   4.66532575E-04   3.06090691E-04   5.86950636E-05   4.88514477E-05   2.25410955E-05  
  40               2.76431340E-03   2.41349933E+03   6.08642159E-01   2.50117826E-01   1.40197334E-01   4.64196807E-04   3.02248210E-04   5.83981979E-05   4.86064982E-05   2.40410968E-05  
  41               3.14142703E-03   2.43574096E+03   6.00817057E-01   2.58630186E-01   1.39515077E-01   4.61938239E-04   2.98414893E-04   5.81108693E-05   4.83696120E-05   2.55531026E-05  
  42               3.57033445E-03   2.45856946E+03   5.92632077E-01   2.67534042E-01   1.38801431E-01   4.59575740E-04   2.94316709E-04   5.78102958E-05   4.81218210E-05   2.71674738E-05  
  43               4.05711374E-03   2.48123765E+03   5.84762897E-01   2.76094376E-01   1.38115302E-01   4.57304347E-04   2.90250010E-04   5.75209973E-05   4.78835477E-05   2.87825595E-05  
  44               4.60816101E-03   2.50442959E+03   5.76557542E-01   2.85020421E-01   1.37399849E-01   4.54935860E-04   2.85919511E-04   5.72193138E-05   4.76350848E-05   3.04952752E-05  
  45               5.23166972E-03   2.52739623E+03   5.68726257E-01   2.93539556E-01   1.36716994E-01   4.52675302E-04   2.81652351E-04   5.69310078E-05   4.73978990E-05   3.21936440E-05  
  46               5.93677938E-03   2.55090070E+03   5.60564118E-01   3.02418617E-01   1.36005277E-01   4.50319180E-04   2.77115255E-04   5.66304960E-05   4.71506817E-05   3.39872131E-05  
  47               6.73363057E-03   2.57417939E+03   5.52796870E-01   3.10868115E-01   1.35327974E-01   4.48077001E-04   2.72659013E-04   5.63440963E-05   4.69153682E-05   3.57563756E-05  
  48               7.63345201E-03   2.59802855E+03   5.44680956E-01   3.19696914E-01   1.34620253E-01   4.45734112E-04   2.67917238E-04   5.60448322E-05   4.66694821E-05   3.76203756E-05  
  49               8.64860684E-03   2.62164579E+03   5.36977287E-01   3.28077272E-01   1.33948461E-01   4.43510177E-04   2.63274932E-04   5.57602898E-05   4.64360216E-05   3.94492761E-05  
  50               9.79268706E-03   2.64584791E+03   5.28918428E-01   3.36844028E-01   1.33245682E-01   4.41183645E-04   2.58338668E-04   5.54626368E-05   4.61917891E-05   4.13691027E-05  
  51               1.10805216E-02   2.66985073E+03   5.21244152E-01   3.45192431E-01   1.32576420E-01   4.38968084E-04   2.53499197E-04   5.51786850E-05   4.59591437E-05   4.32498132E-05  
  52               1.25286434E-02   2.69354430E+03   5.14057710E-01   3.53010156E-01   1.31949682E-01   4.36893309E-04   2.48827253E-04   5.49121609E-05   4.57412049E-05   4.50681287E-05  
  53               1.41545889E-02   2.71814096E+03   5.06219191E-01   3.61537245E-01   1.31266065E-01   4.34630220E-04   2.43699904E-04   5.46217561E-05   4.55035172E-05   4.70178667E-05  
  54               1.59772506E-02   2.74241493E+03   4.98870830E-01   3.69531126E-01   1.30625176E-01   4.32508588E-04   2.38753506E-04   5.43488515E-05   4.52806046E-05   4.88957455E-05  
  55               1.80170172E-02   2.76758825E+03   4.90871826E-01   3.78232809E-01   1.29927532E-01   4.30199047E-04   2.33343036E-04   5.40521288E-05   4.50379858E-05   5.08959692E-05  
  56               2.02957232E-02   2.79237311E+03   4.83411108E-01   3.86348924E-01   1.29276814E-01   4.28044863E-04   2.28156449E-04   5.37746410E-05   4.48115954E-05   5.28058066E-05  
  57               2.28368911E-02   2.81793484E+03   4.75411169E-01   3.95051627E-01   1.28579054E-01   4.25734931E-04   2.22567217E-04   5.34773832E-05   4.45688664E-05   5.48068936E-05  
  58               2.56657485E-02   2.84289746E+03   4.68126702E-01   4.02976007E-01   1.27943676E-01   4.23631519E-04   2.17329935E-04   5.32057610E-05   4.43477196E-05   5.66772130E-05  
  59               2.88095880E-02   2.86842355E+03   4.60494701E-01   4.11278443E-01   1.27277973E-01   4.21427702E-04   2.11812865E-04   5.29213116E-05   4.41160276E-05   5.85938961E-05  
  60               3.22977180E-02   2.89321194E+03   4.53682489E-01   4.18689064E-01   1.26683754E-01   4.19460536E-04   2.06742020E-04   5.26662459E-05   4.39090682E-05   6.03560946E-05  
