# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               H                He               CO               H2O              Mg               O-3P             Fe              
  34               8.94038007E-04   2.25532275E+03   6.50221539E-01   2.04897541E-01   1.43822287E-01   4.76196546E-04   3.16046017E-04   5.99293679E-05   3.35889391E-06   4.98655196E-05  
  35               1.03654673E-03   2.27882080E+03   6.41620599E-01   2.14253751E-01   1.43072471E-01   4.73714382E-04   3.12526744E-04   5.96148432E-05   3.83857276E-06   4.96053274E-05  
  36               1.20277177E-03   2.30251389E+03   6.33038152E-01   2.23589856E-01   1.42324254E-01   4.71237503E-04   3.08905217E-04   5.93008308E-05   4.36682604E-06   4.93456716E-05  
  37               1.39652801E-03   2.32675458E+03   6.24155661E-01   2.33250459E-01   1.41549683E-01   4.68673363E-04   3.05053285E-04   5.89756786E-05   4.96650688E-06   4.90768597E-05  
  38               1.62082865E-03   2.35088789E+03   6.15499639E-01   2.42658028E-01   1.40795334E-01   4.66175393E-04   3.06884751E-04   5.86587937E-05   5.71635942E-06   4.88150399E-05  
  39               1.88037063E-03   2.37558658E+03   6.06472111E-01   2.52478402E-01   1.40008264E-01   4.63569865E-04   3.02654133E-04   5.83281166E-05   6.46231611E-06   4.85418557E-05  
  40               2.18230848E-03   2.40012731E+03   5.97845176E-01   2.61863017E-01   1.39256101E-01   4.61079907E-04   2.98460843E-04   5.80117848E-05   7.24665569E-06   4.82807508E-05  
  41               2.53319217E-03   2.42555023E+03   5.88630076E-01   2.71887467E-01   1.38452642E-01   4.58420111E-04   2.93878005E-04   5.76738925E-05   8.15373018E-06   4.80018369E-05  
  42               2.94048968E-03   2.45061167E+03   5.80020629E-01   2.81253089E-01   1.37701968E-01   4.55935076E-04   2.89424321E-04   5.73577671E-05   9.08508315E-06   4.77411975E-05  
  43               3.41252760E-03   2.47673944E+03   5.70635227E-01   2.91462833E-01   1.36883621E-01   4.53225984E-04   2.84475875E-04   5.70132518E-05   1.01763476E-05   4.74570692E-05  
  44               3.95732991E-03   2.50220681E+03   5.62106173E-01   3.00741033E-01   1.36139918E-01   4.50764025E-04   2.79784310E-04   5.66995900E-05   1.12651239E-05   4.71987914E-05  
  45               4.58575309E-03   2.52886191E+03   5.52653250E-01   3.11024263E-01   1.35315642E-01   4.48035300E-04   2.74507330E-04   5.63521677E-05   1.25524059E-05   4.69125514E-05  
  46               5.31012685E-03   2.55465668E+03   5.44288755E-01   3.20123482E-01   1.34586247E-01   4.45620711E-04   2.69619913E-04   5.60439861E-05   1.38018284E-05   4.66591731E-05  
  47               6.14437219E-03   2.58186682E+03   5.34803213E-01   3.30442232E-01   1.33759083E-01   4.42882422E-04   2.64025840E-04   5.56948767E-05   1.53008172E-05   4.63718684E-05  
  48               7.10412697E-03   2.60805136E+03   5.26587393E-01   3.39379746E-01   1.33042611E-01   4.40510618E-04   2.58942843E-04   5.53915480E-05   1.67226718E-05   4.61229019E-05  
