# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              H                NH3              CO               H2S             
  34               1.10785420E-01   2.90499118E+02   8.38073938E-01   1.60463844E-01   7.81885207E-04   5.31345356E-04   6.62866820E-37   1.21724005E-04   8.25168734E-31   2.29827783E-05  
  35               1.34191735E-01   2.98715825E+02   8.38073938E-01   1.60463844E-01   7.81885207E-04   5.31345356E-04   7.20773888E-36   1.21724002E-04   5.87571713E-30   2.29827783E-05  
  36               1.62558241E-01   3.07703572E+02   8.38073938E-01   1.60463844E-01   7.81885160E-04   5.31345356E-04   8.50469890E-35   1.21723996E-04   4.53795512E-29   2.29827783E-05  
  37               1.96939587E-01   3.16673419E+02   8.38073938E-01   1.60463844E-01   7.81885160E-04   5.31345356E-04   8.64045321E-34   1.21723986E-04   3.05362970E-28   2.29827783E-05  
  38               2.38611782E-01   3.26627360E+02   8.38073938E-01   1.60463844E-01   7.81884980E-04   5.31345356E-04   9.80209449E-33   1.21723964E-04   2.29121302E-27   2.29827783E-05  
  39               2.89102283E-01   3.36760528E+02   8.38073938E-01   1.60463844E-01   7.81884980E-04   5.31345356E-04   9.99003550E-32   1.21723924E-04   1.55957879E-26   2.29827783E-05  
  40               3.50252967E-01   3.48014049E+02   8.38073938E-01   1.60463844E-01   7.81884274E-04   5.31345356E-04   1.12873535E-30   1.21723840E-04   1.17685329E-25   2.29827783E-05  
  41               4.24300559E-01   3.59611127E+02   8.38073936E-01   1.60463844E-01   7.81884271E-04   5.31345354E-04   1.16873763E-29   1.21723680E-04   8.21239049E-25   2.29827782E-05  
  42               5.13943910E-01   3.72586998E+02   8.38073939E-01   1.60463844E-01   7.81881401E-04   5.31345355E-04   1.35179132E-28   1.21723335E-04   6.40619995E-24   2.29827782E-05  
  43               6.22411893E-01   3.86248027E+02   8.38073812E-01   1.60463819E-01   7.81881281E-04   5.31345274E-04   1.48823790E-27   1.21722628E-04   4.79488988E-23   2.29827747E-05  
  44               7.53565118E-01   4.01668869E+02   8.38073953E-01   1.60463831E-01   7.81729375E-04   5.31345313E-04   1.84490650E-26   1.21721077E-04   4.04859016E-22   2.29827764E-05  
  45               9.11985680E-01   4.18189671E+02   8.38073955E-01   1.60463831E-01   7.81729383E-04   5.31345311E-04   2.22819384E-25   1.21717754E-04   3.35889732E-21   2.29827764E-05  
  46               1.10315587E+00   4.36858669E+02   8.38073958E-01   1.60463829E-01   7.81729712E-04   5.31345306E-04   2.98149156E-24   1.21709916E-04   3.10195292E-20   2.29827761E-05  
  47               1.33356781E+00   4.57041827E+02   8.38073893E-01   1.60463814E-01   7.81739554E-04   5.31345255E-04   3.88212108E-23   1.21692328E-04   2.81487794E-19   2.29827739E-05  
  48               1.61069971E+00   4.79871703E+02   8.38070319E-01   1.60463177E-01   7.82051287E-04   5.31343147E-04   5.48263704E-22   1.21648954E-04   2.79301541E-18   2.29826828E-05  
  49               1.94328844E+00   5.04779203E+02   8.38072007E-01   1.60463444E-01   7.80145561E-04   5.31344029E-04   7.50654558E-21   1.21548796E-04   2.71029973E-17   2.29827209E-05  
  50               2.34208838E+00   5.31681888E+02   8.38072157E-01   1.60463407E-01   7.80145388E-04   5.31343908E-04   9.62377646E-20   1.21321695E-04   2.49917319E-16   2.29827157E-05  
  51               2.81999996E+00   5.59461446E+02   8.38072459E-01   1.60463334E-01   7.80145043E-04   5.31343666E-04   1.03229833E-18   1.20866405E-04   1.95405001E-15   2.29827052E-05  
  52               3.39216337E+00   5.89055403E+02   8.38073054E-01   1.60463190E-01   7.80144372E-04   5.31343188E-04   1.00956366E-17   1.19967150E-04   1.40835524E-14   2.29826846E-05  
  53               4.07681711E+00   6.18834770E+02   8.38074047E-01   1.60462949E-01   7.80143274E-04   5.31342391E-04   7.98741439E-17   1.18466312E-04   8.30242929E-14   2.29826501E-05  
  54               4.89765846E+00   6.49727309E+02   8.38075628E-01   1.60462566E-01   7.80141580E-04   5.31341120E-04   5.56805054E-16   1.16077102E-04   4.34738998E-13   2.29825951E-05  
  55               5.88328773E+00   6.80384492E+02   8.38077741E-01   1.60462053E-01   7.80139435E-04   5.31339420E-04   3.18928623E-15   1.12882702E-04   1.88281019E-12   2.29825217E-05  
  56               7.06628795E+00   7.12249620E+02   8.38080522E-01   1.60461378E-01   7.80136852E-04   5.31337177E-04   1.66347043E-14   1.08677084E-04   7.46417644E-12   2.29824250E-05  
  57               8.48506865E+00   7.44595556E+02   8.38083749E-01   1.60460591E-01   7.80134320E-04   5.31334552E-04   7.65884448E-14   1.03786082E-04   2.62383700E-11   2.29823123E-05  
  58               1.01884740E+01   7.79503661E+02   8.38087654E-01   1.60459630E-01   7.80132096E-04   5.31331300E-04   3.45291589E-13   9.78338462E-05   9.06657605E-11   2.29821745E-05  
  59               1.22325533E+01   8.16494198E+02   8.38091833E-01   1.60458535E-01   7.80131133E-04   5.31327458E-04   1.47753719E-12   9.12326403E-05   2.98392545E-10   2.29820174E-05  
  60               1.46763433E+01   8.57414234E+02   8.38096607E-01   1.60457280E-01   7.80132617E-04   5.31322593E-04   6.39120819E-12   8.36799813E-05   9.97262515E-10   2.29818371E-05  
  61               1.75851433E+01   9.01050265E+02   8.38101647E-01   1.60456045E-01   7.80139735E-04   5.31316292E-04   2.62954585E-11   7.60144221E-05   3.18466249E-09   2.29816582E-05  
