# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              CO               NH3              H                N2              
  1                1.00000000E-05   6.91418230E+01   8.38830944E-01   1.60608784E-01   2.27452037E-16   5.31825296E-04   1.43646543E-103  1.15732412E-06   3.16582662E-109  9.76169442E-38  
  2                4.34789501E-04   8.60510119E+01   8.38827478E-01   1.60608120E-01   2.29214473E-16   5.31823099E-04   7.65754032E-107  1.16202693E-06   4.80115591E-110  5.20584566E-41  
  3                8.57279177E-04   1.06106797E+02   8.38729729E-01   1.60589405E-01   3.77015265E-15   5.31761125E-04   2.58849645E-100  5.39680172E-06   1.10906222E-103  8.62613002E-38  
  4                1.10341948E-03   1.15370352E+02   8.38729729E-01   1.60589405E-01   2.86214728E-13   5.31761125E-04   7.09405967E-91   1.21819255E-04   3.57807336E-95   4.93806447E-32  
  5                1.19956536E-03   1.17945551E+02   8.38729729E-01   1.60589405E-01   8.29264027E-13   5.31761125E-04   1.54284181E-88   1.21819255E-04   4.76025786E-93   2.76537375E-31  
  6                1.31273508E-03   1.21856136E+02   8.38729729E-01   1.60589405E-01   3.94839959E-12   5.31761125E-04   3.89800439E-85   1.21819255E-04   5.47296025E-90   3.51417048E-30  
  7                1.44590145E-03   1.25090394E+02   8.38729729E-01   1.60589405E-01   1.29989320E-11   5.31761125E-04   1.63072641E-82   1.21819255E-04   1.31679295E-87   2.43192576E-29  
  8                1.60254977E-03   1.29756479E+02   8.38729728E-01   1.60589405E-01   6.72701884E-11   5.31761125E-04   6.37473910E-79   1.21819255E-04   2.25120738E-84   3.56101594E-28  
  9                1.78678908E-03   1.33739693E+02   8.38729726E-01   1.60589404E-01   2.43657517E-10   5.31761123E-04   4.37532670E-76   1.21819254E-04   8.47851665E-82   2.89542057E-27  
  10               2.00344566E-03   1.39368025E+02   8.38729726E-01   1.60589404E-01   3.38203291E-09   5.31761123E-04   6.43604575E-72   1.21819254E-04   2.10821874E-78   4.87335883E-26  
  11               2.25834101E-03   1.42738213E+02   8.38729709E-01   1.60589401E-01   3.40085146E-09   5.31761112E-04   2.89825311E-70   1.21819252E-04   1.64904354E-76   2.13553037E-25  
  12               2.55835274E-03   1.47518789E+02   8.38729709E-01   1.60589401E-01   2.35844942E-08   5.31761112E-04   3.54344385E-67   1.21819252E-04   5.78936666E-74   1.67080265E-24  
  13               2.91148679E-03   1.50465075E+02   8.38729634E-01   1.60589387E-01   2.36672236E-08   5.31761065E-04   6.55634816E-66   1.21819241E-04   1.73290049E-72   4.98492171E-24  
  14               3.32714183E-03   1.55136757E+02   8.38729634E-01   1.60589387E-01   1.12409811E-07   5.31761065E-04   2.86547508E-63   1.21819241E-04   3.00672807E-70   2.94348215E-23  
  15               3.81641763E-03   1.57575451E+02   8.38729369E-01   1.60589336E-01   1.12704717E-07   5.31760897E-04   2.38137452E-62   1.21819203E-04   3.79402916E-69   6.20614242E-23  
  16               4.39226412E-03   1.62408638E+02   8.38729369E-01   1.60589336E-01   4.29204726E-07   5.31760897E-04   6.33540790E-60   1.21819203E-04   4.89337786E-67   3.24679468E-22  
  17               5.06994976E-03   1.64457301E+02   8.38728455E-01   1.60589161E-01   4.30216849E-07   5.31760318E-04   3.00239895E-59   1.21819070E-04   3.37367069E-66   5.35744678E-22  
  18               5.86718768E-03   1.69537147E+02   8.38728455E-01   1.60589161E-01   1.51833515E-06   5.31760318E-04   6.28997483E-57   1.21819070E-04   3.65050042E-64   2.60901260E-21  
  19               6.80478582E-03   1.71640695E+02   8.38725565E-01   1.60588608E-01   1.52151932E-06   5.31758485E-04   2.66373256E-56   1.21818650E-04   2.23853262E-63   4.08791876E-21  
  20               7.90709436E-03   1.76868196E+02   8.38725565E-01   1.60588608E-01   4.96400477E-06   5.31758485E-04   4.05596998E-54   1.21818650E-04   1.86399963E-61   1.79492082E-20  
  21               9.20232234E-03   1.79098109E+02   8.38716946E-01   1.60586957E-01   4.97334013E-06   5.31753021E-04   1.63491992E-53   1.21817398E-04   1.08653595E-60   2.74761040E-20  
  22               1.07230639E-02   1.84539762E+02   8.38716946E-01   1.60586957E-01   1.52402243E-05   5.31753021E-04   1.95388129E-51   1.21817398E-04   7.42585729E-59   1.11790995E-19  
  23               1.25064992E-02   1.86896002E+02   8.38688437E-01   1.60581499E-01   1.52693796E-05   5.31734946E-04   7.48368477E-51   1.21813258E-04   4.09718007E-58   1.67283069E-19  
  24               1.45942536E-02   1.92844912E+02   8.38688437E-01   1.60581499E-01   4.92308325E-05   5.31734946E-04   9.55450735E-49   1.21813258E-04   2.83156256E-56   6.86999545E-19  
