# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CO               CH4              N2               Mg              
  1                1.00000000E-05   4.50664544E+02   8.38152714E-01   1.60443946E-01   6.27348277E-21   7.79768699E-04   2.25911149E-09   5.31276362E-04   6.08204999E-05   0.00000000E+00  
  2                1.19787084E-05   4.98283607E+02   8.38153471E-01   1.60443774E-01   1.53033920E-18   7.79309991E-04   3.65376639E-07   5.30864326E-04   6.08428526E-05   0.00000000E+00  
  3                1.42440105E-05   5.19996313E+02   8.38156357E-01   1.60443109E-01   1.27939337E-17   7.77129333E-04   2.23927351E-06   5.28836074E-04   6.08458498E-05   0.00000000E+00  
  4                1.69237670E-05   5.35755834E+02   8.38162982E-01   1.60441565E-01   5.22215926E-17   7.72072190E-04   6.76904561E-06   5.24040692E-04   6.08465592E-05   0.00000000E+00  
  5                2.01355595E-05   5.48652066E+02   8.38174074E-01   1.60438952E-01   1.52443278E-16   7.63600313E-04   1.45581070E-05   5.15907178E-04   6.08461883E-05   0.00000000E+00  
  6                2.40213791E-05   5.60069913E+02   8.38189933E-01   1.60435195E-01   3.72336168E-16   7.51513311E-04   2.58829920E-05   5.04196963E-04   6.08450752E-05   0.00000000E+00  
  7                2.87587968E-05   5.70541536E+02   8.38209899E-01   1.60430428E-01   8.08722790E-16   7.36299369E-04   4.03539375E-05   4.89349107E-04   6.08433902E-05   0.00000000E+00  
  8                3.45706806E-05   5.80432011E+02   8.38233110E-01   1.60424871E-01   1.62390265E-15   7.18654580E-04   5.73467887E-05   4.72023874E-04   6.08412776E-05   0.00000000E+00  
  9                4.17358782E-05   5.89978176E+02   8.38258446E-01   1.60418730E-01   3.08778428E-15   6.99325262E-04   7.61568716E-05   4.52946876E-04   6.08388472E-05   0.00000000E+00  
  10               5.05999025E-05   5.99260379E+02   8.38284684E-01   1.60412386E-01   5.61398230E-15   6.79396167E-04   9.57262397E-05   4.33189752E-04   6.08362531E-05   0.00000000E+00  
  11               6.15759400E-05   6.08135637E+02   8.38309068E-01   1.60406492E-01   9.69023061E-15   6.60929284E-04   1.14016503E-04   4.14803328E-04   6.08337259E-05   0.00000000E+00  
  12               7.51551819E-05   6.16798480E+02   8.38331656E-01   1.60401017E-01   1.61570632E-14   6.43837244E-04   1.31063079E-04   3.97726124E-04   6.08312726E-05   0.00000000E+00  
  13               9.19235542E-05   6.25197676E+02   8.38351135E-01   1.60396200E-01   2.59953584E-14   6.28963482E-04   1.45998931E-04   3.82813646E-04   6.08289738E-05   0.00000000E+00  
  14               1.12586001E-04   6.33479391E+02   8.38368690E-01   1.60391925E-01   4.08499716E-14   6.15698525E-04   1.59390554E-04   3.69477737E-04   6.08267972E-05   0.00000000E+00  
  15               1.37985085E-04   6.41575616E+02   8.38383441E-01   1.60388324E-01   6.25193274E-14   6.04560179E-04   1.70704172E-04   3.58244392E-04   6.08247781E-05   0.00000000E+00  
  16               1.69130633E-04   6.49626440E+02   8.38396534E-01   1.60385122E-01   9.41719024E-14   5.94677889E-04   1.80783403E-04   3.48256168E-04   6.08228228E-05   0.00000000E+00  
  17               2.07239221E-04   6.57578863E+02   8.38407576E-01   1.60382416E-01   1.39281117E-13   5.86349187E-04   1.89323589E-04   3.39814326E-04   6.08209527E-05   0.00000000E+00  
  18               2.53783490E-04   6.65574245E+02   8.38417768E-01   1.60379916E-01   2.04191532E-13   5.78663555E-04   1.97221079E-04   3.32014986E-04   6.08190692E-05   0.00000000E+00  
  19               3.10546108E-04   6.73541666E+02   8.38426566E-01   1.60377754E-01   2.95593587E-13   5.72031765E-04   2.04064678E-04   3.25269354E-04   6.08172018E-05   0.00000000E+00  
  20               3.79687564E-04   6.81614332E+02   8.38435050E-01   1.60375668E-01   4.25994625E-13   5.65636672E-04   2.10664402E-04   3.18763365E-04   6.08152627E-05   0.00000000E+00  
  21               4.63827758E-04   6.89715345E+02   8.38442607E-01   1.60373807E-01   6.08542963E-13   5.59941203E-04   2.16559057E-04   3.12959342E-04   6.08132833E-05   0.00000000E+00  
  22               5.66135731E-04   6.97956420E+02   8.38450089E-01   1.60371965E-01   8.67183880E-13   5.54300967E-04   2.22389756E-04   3.07214063E-04   6.08111943E-05   0.00000000E+00  
  23               6.90443508E-04   7.06257016E+02   8.38456860E-01   1.60370295E-01   1.22723411E-12   5.49196503E-04   2.27677951E-04   3.02007380E-04   6.08090247E-05   0.00000000E+00  
  24               8.41406257E-04   7.14755016E+02   8.38463908E-01   1.60368558E-01   1.73739902E-12   5.43880705E-04   2.33168740E-04   2.96592538E-04   6.08066993E-05   0.00000000E+00  
  25               1.02468098E-03   7.23364406E+02   8.38470541E-01   1.60366921E-01   2.44883786E-12   5.38873585E-04   2.38344200E-04   2.91488872E-04   6.08042468E-05   0.00000000E+00  
  26               1.24713598E-03   7.32214305E+02   8.38477624E-01   1.60365173E-01   3.45822286E-12   5.33526026E-04   2.43852854E-04   2.86046839E-04   6.08016038E-05   0.00000000E+00  
  27               1.51714860E-03   7.41241837E+02   8.38484616E-01   1.60363446E-01   4.87557877E-12   5.28237597E-04   2.49296656E-04   2.80665559E-04   6.07987862E-05   0.00000000E+00  
  28               1.84502158E-03   7.50619039E+02   8.38492580E-01   1.60361480E-01   6.91611857E-12   5.22213372E-04   2.55470909E-04   2.74548797E-04   6.07957274E-05   0.00000000E+00  
  29               2.24341096E-03   7.60250377E+02   8.38500703E-01   1.60359468E-01   9.81880331E-12   5.16048730E-04   2.61781774E-04   2.68291715E-04   6.07924535E-05   0.00000000E+00  
