# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              NH3              H2S              N2               H2O(s)          
  1                1.00000000E-05   3.37436824E+01   8.38831838E-01   1.60608958E-01   5.31825872E-04   3.09852133E-17   9.01601763E-08   2.30031067E-05   5.92438554E-40   0.00000000E+00  
  2                9.77588022E-05   4.34664112E+01   8.38831838E-01   1.60608958E-01   5.31825872E-04   2.74751817E-17   9.01601763E-08   2.30031067E-05   6.19914179E-42   0.00000000E+00  
  3                2.00719696E-04   4.70614366E+01   8.38831838E-01   1.60608958E-01   5.31825872E-04   2.69562039E-17   9.01601763E-08   2.30031067E-05   1.47049426E-42   0.00000000E+00  
  4                3.21525768E-04   5.11407105E+01   8.38831838E-01   1.60608958E-01   5.31825872E-04   2.66220334E-17   9.01601763E-08   2.30031067E-05   5.73075373E-43   0.00000000E+00  
  5                4.63236186E-04   5.29688069E+01   8.38831838E-01   1.60608958E-01   5.31825872E-04   2.78506108E-17   9.01601763E-08   2.30031067E-05   2.76082170E-43   0.00000000E+00  
  6                6.29438963E-04   5.60253485E+01   8.38831838E-01   1.60608958E-01   5.31825872E-04   2.77485235E-17   9.01601763E-08   2.30031067E-05   1.49532663E-43   0.00000000E+00  
  7                8.24286677E-04   5.80461874E+01   8.38831838E-01   1.60608958E-01   5.31825872E-04   2.75871309E-17   9.01601763E-08   2.30031067E-05   8.71940304E-44   0.00000000E+00  
  8                1.05267485E-03   6.06948410E+01   8.38831838E-01   1.60608958E-01   5.31825872E-04   2.73947506E-17   9.01601763E-08   2.30031067E-05   5.34631835E-44   0.00000000E+00  
  9                1.32025627E-03   6.25067758E+01   8.38831838E-01   1.60608958E-01   5.31825872E-04   2.71943830E-17   9.01601763E-08   2.30031067E-05   3.39880960E-44   0.00000000E+00  
  10               1.63360547E-03   6.52002319E+01   8.38831838E-01   1.60608958E-01   5.31825872E-04   2.70052219E-17   9.01601763E-08   2.30031067E-05   2.21997947E-44   0.00000000E+00  
  11               2.00046893E-03   6.70498392E+01   8.38831838E-01   1.60608958E-01   5.31825872E-04   2.68417444E-17   9.01601763E-08   2.30031067E-05   1.48040209E-44   0.00000000E+00  
  12               2.42973088E-03   6.98878596E+01   8.38831838E-01   1.60608958E-01   5.31825872E-04   2.67126517E-17   9.01601763E-08   2.30031067E-05   1.00352216E-44   0.00000000E+00  
  13               2.93130603E-03   7.19263423E+01   8.38831838E-01   1.60608958E-01   5.31825872E-04   2.66277973E-17   9.01601763E-08   2.30031067E-05   6.89478916E-45   0.00000000E+00  
  14               3.51401142E-03   7.49318559E+01   8.38831838E-01   1.60608958E-01   5.31825872E-04   2.89574659E-17   9.01601763E-08   2.30031067E-05   4.79774294E-45   0.00000000E+00  
  15               4.18694961E-03   7.73013413E+01   8.38831838E-01   1.60608958E-01   5.31825872E-04   2.85417849E-17   9.01601763E-08   2.30031067E-05   3.37946415E-45   0.00000000E+00  
  16               4.96036169E-03   8.07486667E+01   8.38831838E-01   1.60608958E-01   5.31825872E-04   2.80985351E-17   9.01601763E-08   2.30031067E-05   2.40777901E-45   0.00000000E+00  
  17               5.84595863E-03   8.36865411E+01   8.38831838E-01   1.60608958E-01   5.31825872E-04   2.76572200E-17   9.01601763E-08   2.30031067E-05   1.73353190E-45   0.00000000E+00  
  18               6.85849565E-03   8.79945242E+01   8.38831838E-01   1.60608958E-01   5.31825872E-04   2.92063656E-17   9.01601763E-08   2.30031067E-05   1.25946348E-45   0.00000000E+00  
  19               8.01729766E-03   9.24402369E+01   8.38831838E-01   1.60608958E-01   5.31825872E-04   3.00783935E-17   9.01601763E-08   2.30031067E-05   9.21695139E-46   0.00000000E+00  
  20               9.34727809E-03   9.70077624E+01   8.38831838E-01   1.60608958E-01   5.31825872E-04   2.71817611E-17   9.01601763E-08   2.30031067E-05   6.78067589E-46   0.00000000E+00  
  21               1.08778836E-02   1.01765872E+02   8.38831543E-01   1.60608902E-01   5.31825685E-04   2.61424195E-17   9.05638019E-08   2.30030986E-05   2.80997715E-45   3.15594978E-16  
  22               1.26354493E-02   1.06669806E+02   8.38830304E-01   1.60608664E-01   5.31824900E-04   3.45643748E-16   4.43441619E-07   2.30030647E-05   4.39132254E-42   3.40683680E-15  
  23               1.46049005E-02   1.11662883E+02   8.38826248E-01   1.60607888E-01   5.31822328E-04   3.78180827E-15   1.92430170E-06   2.30029534E-05   3.99293751E-39   2.57844329E-14  
  24               1.66481532E-02   1.16361430E+02   8.38805647E-01   1.60603943E-01   5.31809267E-04   2.96757561E-14   6.78114914E-06   2.30023885E-05   1.40398543E-36   1.00748972E-13  
  25               1.83074203E-02   1.19993202E+02   8.38805647E-01   1.60603943E-01   5.31809267E-04   1.30682234E-13   3.13131757E-05   2.30023885E-05   3.33291285E-34   2.35333727E-13  
  26               1.96307763E-02   1.22665721E+02   8.38729728E-01   1.60589407E-01   5.31761134E-04   3.66769237E-13   3.13946548E-05   2.30003066E-05   1.79558937E-33   8.43405311E-13  
  27               2.06121127E-02   1.24670730E+02   8.38729728E-01   1.60589407E-01   5.31761134E-04   1.21017455E-12   1.21819257E-04   2.30003066E-05   9.13455013E-32   0.00000000E+00  
  28               2.12802270E-02   1.25912037E+02   8.38729728E-01   1.60589407E-01   5.31761134E-04   1.21247853E-12   1.21819257E-04   2.30003066E-05   1.89559555E-31   2.47098297E-12  
  29               2.20628427E-02   1.27455155E+02   8.38729728E-01   1.60589407E-01   5.31761134E-04   3.68346150E-12   1.21819257E-04   2.30003066E-05   4.63403607E-31   0.00000000E+00  
  30               2.29792423E-02   1.29097375E+02   8.38729728E-01   1.60589407E-01   5.31761134E-04   3.69341278E-12   1.21819257E-04   2.30003066E-05   1.16559030E-30   1.06725857E-11  
  31               2.40518787E-02   1.31090534E+02   8.38729728E-01   1.60589407E-01   5.31761134E-04   1.43659984E-11   1.21819257E-04   2.30003066E-05   3.48263223E-30   0.00000000E+00  
  32               2.53068735E-02   1.33222705E+02   8.38729728E-01   1.60589407E-01   5.31761134E-04   1.44195889E-11   1.21819257E-04   2.30003066E-05   1.07706638E-29   5.74749554E-11  
  33               2.67745910E-02   1.35754434E+02   8.38729728E-01   1.60589407E-01   5.31761134E-04   7.18945443E-11   1.21819257E-04   2.30003066E-05   3.95377939E-29   0.00000000E+00  
  34               2.84902991E-02   1.38466359E+02   8.38729727E-01   1.60589407E-01   5.31761133E-04   7.22523035E-11   1.21819257E-04   2.30003066E-05   1.50172564E-28   3.83691120E-10  
  35               3.04949260E-02   1.41625800E+02   8.38729727E-01   1.60589407E-01   5.31761133E-04   4.55943424E-10   1.21819257E-04   2.30003066E-05   6.70271443E-28   0.00000000E+00  
  36               3.28359229E-02   1.45010308E+02   8.38729727E-01   1.60589407E-01   5.31761133E-04   4.56692472E-10   1.21819257E-04   2.30003065E-05   3.07877821E-27   8.03343680E-10  
  37               3.55682633E-02   1.48891882E+02   8.38729725E-01   1.60589407E-01   5.31761132E-04   1.26213113E-09   1.21819256E-04   2.30003065E-05   1.63331266E-26   2.24684241E-09  
  38               3.87555965E-02   1.53036578E+02   8.38729719E-01   1.60589406E-01   5.31761128E-04   3.51547069E-09   1.21819255E-04   2.30003063E-05   8.78871161E-26   6.96821566E-09  
  39               4.24716135E-02   1.57723539E+02   8.38729702E-01   1.60589402E-01   5.31761117E-04   1.05029508E-08   1.21819253E-04   2.30003059E-05   5.32627802E-25   2.06618098E-08  
  40               4.68018795E-02   1.62705421E+02   8.38729646E-01   1.60589392E-01   5.31761082E-04   3.12265210E-08   1.21819245E-04   2.30003043E-05   3.20905209E-24   6.62475755E-08  
  41               5.18454167E-02   1.68266039E+02   8.38729477E-01   1.60589359E-01   5.31760975E-04   9.76615507E-08   1.21819220E-04   2.30002997E-05   2.11118527E-23   2.01139516E-07  
  42               5.77165719E-02   1.74140593E+02   8.38728936E-01   1.60589256E-01   5.31760632E-04   2.99400622E-07   1.21819142E-04   2.30002849E-05   1.34792615E-22   6.43996432E-07  
  43               6.45475913E-02   1.80615136E+02   8.38727313E-01   1.60588945E-01   5.31759603E-04   9.45191578E-07   1.21818906E-04   2.30002404E-05   9.08212698E-22   1.93366988E-06  
  44               7.24907140E-02   1.87413445E+02   8.38722297E-01   1.60587985E-01   5.31756423E-04   2.88435209E-06   1.21818178E-04   2.30001028E-05   5.80726950E-21   5.97472779E-06  
  45               8.17178063E-02   1.94811762E+02   8.38707894E-01   1.60585227E-01   5.31747291E-04   8.87439361E-06   1.21816086E-04   2.29997078E-05   3.78721331E-20   1.71576845E-05  
  46               9.24136825E-02   2.02525265E+02   8.38666327E-01   1.60577268E-01   5.31720937E-04   2.60725000E-05   1.21810048E-04   2.29985679E-05   2.29808812E-19   4.95191411E-05  
  47               1.04751939E-01   2.10798596E+02   8.38557077E-01   1.60556350E-01   5.31651672E-04   7.56712434E-05   1.21794181E-04   2.29955720E-05   1.37578743E-18   1.30176444E-04  
  48               1.18809672E-01   2.19267772E+02   8.38073935E-01   1.60463844E-01   5.31345356E-04   2.05729585E-04   1.21724008E-04   2.29823229E-05   7.42506361E-18   5.76158828E-04  
  49               1.34139665E-01   2.27840706E+02   8.38073935E-01   1.60463844E-01   5.31345356E-04   7.81888413E-04   1.21724008E-04   2.29823229E-05   3.61187728E-17   0.00000000E+00  
  50               1.50540763E-01   2.36126511E+02   8.38073935E-01   1.60463844E-01   5.31345356E-04   7.81888413E-04   1.21724008E-04   2.29823229E-05   1.48445582E-16   0.00000000E+00  
  51               1.69542247E-01   2.45071281E+02   8.38073935E-01   1.60463844E-01   5.31345356E-04   7.81888413E-04   1.21724008E-04   2.29823229E-05   6.14118103E-16   0.00000000E+00  
  52               1.91553760E-01   2.54437218E+02   8.38073935E-01   1.60463844E-01   5.31345356E-04   7.81888413E-04   1.21724008E-04   2.29823229E-05   2.42773941E-15   0.00000000E+00  
  53               2.17049644E-01   2.64479294E+02   8.38073935E-01   1.60463844E-01   5.31345356E-04   7.81888413E-04   1.21724008E-04   2.29823229E-05   9.51967845E-15   0.00000000E+00  
  54               2.46573078E-01   2.74973214E+02   8.38073935E-01   1.60463844E-01   5.31345356E-04   7.81888413E-04   1.21724008E-04   2.29823229E-05   3.54974729E-14   0.00000000E+00  
  55               2.80747776E-01   2.86158441E+02   8.38073935E-01   1.60463844E-01   5.31345356E-04   7.81888413E-04   1.21724007E-04   2.29823229E-05   1.29821937E-13   0.00000000E+00  
  56               3.20297560E-01   2.97831355E+02   8.38073935E-01   1.60463844E-01   5.31345356E-04   7.81888413E-04   1.21724007E-04   2.29823229E-05   4.50616457E-13   0.00000000E+00  
  57               3.66061274E-01   3.10218324E+02   8.38073935E-01   1.60463844E-01   5.31345356E-04   7.81888413E-04   1.21724005E-04   2.29823229E-05   1.52289685E-12   0.00000000E+00  
  58               4.19000299E-01   3.23131487E+02   8.38073935E-01   1.60463844E-01   5.31345356E-04   7.81888252E-04   1.21723998E-04   2.29823229E-05   4.88343842E-12   0.00000000E+00  
  59               4.80212409E-01   3.36781893E+02   8.38073934E-01   1.60463844E-01   5.31345355E-04   7.81888251E-04   1.21723977E-04   2.29823229E-05   1.51724439E-11   0.00000000E+00  
  60               5.50950803E-01   3.50996149E+02   8.38073935E-01   1.60463844E-01   5.31345355E-04   7.81887281E-04   1.21723918E-04   2.29823229E-05   4.47648555E-11   0.00000000E+00  
