# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              CH4              N2               Mg              
  1                1.00000000E-05   5.56144810E+02   8.38275195E-01   1.60415031E-01   4.13733634E-16   8.59724103E-05   6.86274018E-04   4.41443130E-04   6.08407636E-05   0.00000000E+00  
  2                4.35727176E-05   6.09324128E+02   8.38402830E-01   1.60383876E-01   1.25399640E-14   1.83399448E-04   5.89654945E-04   3.44379547E-04   6.08271459E-05   0.00000000E+00  
  3                8.59927217E-05   6.31852340E+02   8.38425673E-01   1.60378183E-01   4.19755810E-14   2.01758112E-04   5.72519793E-04   3.26618284E-04   6.08233019E-05   0.00000000E+00  
  4                1.38325430E-04   6.51637015E+02   8.38468574E-01   1.60367695E-01   1.18091132E-13   2.34763748E-04   5.40142722E-04   2.93903567E-04   6.08181334E-05   0.00000000E+00  
  5                2.02235618E-04   6.63981611E+02   8.38467278E-01   1.60367933E-01   2.07919368E-13   2.34313454E-04   5.41190716E-04   2.94645486E-04   6.08165760E-05   0.00000000E+00  
  6                2.79732889E-04   6.78388094E+02   8.38494432E-01   1.60361293E-01   4.12535483E-13   2.55199138E-04   5.20697717E-04   2.73935054E-04   6.08128695E-05   0.00000000E+00  
  7                3.73457967E-04   6.87757858E+02   8.38487749E-01   1.60362864E-01   6.07933596E-13   2.50483690E-04   5.25792962E-04   2.78835285E-04   6.08116609E-05   0.00000000E+00  
  8                4.86446740E-04   7.00126821E+02   8.38508768E-01   1.60357723E-01   1.05247914E-12   2.66636355E-04   5.09926064E-04   2.62804188E-04   6.08084177E-05   0.00000000E+00  
  9                6.22480964E-04   7.08174032E+02   8.38499911E-01   1.60359833E-01   1.43081988E-12   2.60187400E-04   5.16651092E-04   2.69387095E-04   6.08071561E-05   0.00000000E+00  
  10               7.85876610E-04   7.19528096E+02   8.38517234E-01   1.60355593E-01   2.29965686E-12   2.73496730E-04   5.03569225E-04   2.56169381E-04   6.08040692E-05   0.00000000E+00  
  11               9.81954025E-04   7.26879595E+02   8.38507147E-01   1.60358008E-01   2.98714621E-12   2.66068138E-04   5.11214201E-04   2.63702767E-04   6.08025777E-05   0.00000000E+00  
  12               1.21679478E-03   7.37680485E+02   8.38521887E-01   1.60354395E-01   4.57993477E-12   2.77397923E-04   5.00075307E-04   2.52445293E-04   6.07994727E-05   0.00000000E+00  
  13               1.49782593E-03   7.44629508E+02   8.38510883E-01   1.60357034E-01   5.77533150E-12   2.69247518E-04   5.08403477E-04   2.60681797E-04   6.07976264E-05   0.00000000E+00  
  14               1.83360653E-03   7.55147835E+02   8.38523799E-01   1.60353862E-01   8.57741517E-12   2.79186630E-04   4.98630245E-04   2.50801273E-04   6.07943647E-05   0.00000000E+00  
  15               2.23459122E-03   7.61880873E+02   8.38512159E-01   1.60356654E-01   1.06019776E-11   2.70540232E-04   5.07427387E-04   2.59520749E-04   6.07920361E-05   0.00000000E+00  
  16               2.71293387E-03   7.72269716E+02   8.38523595E-01   1.60353835E-01   1.53804126E-11   2.79360560E-04   4.98755004E-04   2.50748824E-04   6.07885007E-05   0.00000000E+00  
  17               3.28353166E-03   7.78949078E+02   8.38511703E-01   1.60356683E-01   1.87775668E-11   2.70520295E-04   5.07726243E-04   2.59652436E-04   6.07855460E-05   0.00000000E+00  
  18               3.96384717E-03   7.89433354E+02   8.38522540E-01   1.60353998E-01   2.68868538E-11   2.78904178E-04   4.99477605E-04   2.51308625E-04   6.07815965E-05   0.00000000E+00  
  19               4.77520674E-03   7.96236395E+02   8.38510937E-01   1.60356765E-01   3.26622977E-11   2.70292746E-04   5.08205209E-04   2.59975484E-04   6.07778606E-05   0.00000000E+00  
  20               5.74260577E-03   8.06970371E+02   8.38521597E-01   1.60354102E-01   4.64405154E-11   2.78583734E-04   5.00040911E-04   2.51717722E-04   6.07733784E-05   0.00000000E+00  
  21               6.89698621E-03   8.14115543E+02   8.38511047E-01   1.60356591E-01   5.65899126E-11   2.70800631E-04   5.07929360E-04   2.59549138E-04   6.07687071E-05   0.00000000E+00  
  22               8.27517808E-03   8.25367472E+02   8.38522468E-01   1.60353703E-01   8.06571178E-11   2.79751426E-04   4.99101169E-04   2.50625329E-04   6.07635777E-05   0.00000000E+00  
  23               9.92236556E-03   8.33054221E+02   8.38513474E-01   1.60355771E-01   9.91771293E-11   2.73215723E-04   5.05734876E-04   2.57202764E-04   6.07578354E-05   0.00000000E+00  
  24               1.18922082E-02   8.44976204E+02   8.38525760E-01   1.60352598E-01   1.42188241E-10   2.82987184E-04   4.96085811E-04   2.47453009E-04   6.07519676E-05   0.00000000E+00  
  25               1.42516319E-02   8.53465723E+02   8.38518872E-01   1.60354009E-01   1.77693398E-10   2.78293655E-04   5.00873890E-04   2.52181696E-04   6.07450347E-05   0.00000000E+00  
  26               1.70813491E-02   8.66371375E+02   8.38532376E-01   1.60350297E-01   2.58349184E-10   2.89542244E-04   4.89751798E-04   2.40949702E-04   6.07383616E-05   0.00000000E+00  
  27               2.04810409E-02   8.75901266E+02   8.38528919E-01   1.60351116E-01   3.29667505E-10   2.87019462E-04   4.92371029E-04   2.43502020E-04   6.07302336E-05   0.00000000E+00  
  28               2.45715690E-02   8.90012521E+02   8.38545730E-01   1.60347001E-01   4.87550230E-10   2.99850603E-04   4.79682104E-04   2.30683715E-04   6.07227897E-05   0.00000000E+00  
  29               2.95052959E-02   9.00979179E+02   8.38546076E-01   1.60346894E-01   6.40626699E-10   3.00208631E-04   4.79428737E-04   2.30349273E-04   6.07134459E-05   0.00000000E+00  
  30               3.54690020E-02   9.16723300E+02   8.38565632E-01   1.60342106E-01   9.71356173E-10   3.15129108E-04   4.64669571E-04   2.15437875E-04   6.07052555E-05   0.00000000E+00  
  31               4.26958523E-02   9.29440506E+02   8.38569859E-01   1.60341051E-01   1.31831432E-09   3.18432020E-04   4.61485622E-04   2.12153310E-04   6.06947403E-05   0.00000000E+00  
  32               5.14763053E-02   9.47107061E+02   8.38591684E-01   1.60335705E-01   2.05116382E-09   3.35083519E-04   4.45018415E-04   1.95508100E-04   6.06858442E-05   0.00000000E+00  
  33               6.21818614E-02   9.62034414E+02   8.38599933E-01   1.60333667E-01   2.89014807E-09   3.41442168E-04   4.38799005E-04   1.89163162E-04   6.06742834E-05   0.00000000E+00  
  34               7.52730934E-02   9.82137550E+02   8.38623748E-01   1.60327829E-01   4.63693895E-09   3.59617240E-04   4.20832653E-04   1.70992140E-04   6.06648134E-05   0.00000000E+00  
  35               9.13317176E-02   9.99728140E+02   8.38635404E-01   1.60324957E-01   6.79438861E-09   3.68567444E-04   4.12042369E-04   1.62051869E-04   6.06523415E-05   1.55911290E-15  
  36               1.11072900E-01   1.02275543E+03   8.38660149E-01   1.60318887E-01   1.12500657E-08   3.87458945E-04   3.93375889E-04   1.43162775E-04   6.06424390E-05   5.58151379E-15  
  37               1.35407636E-01   1.04365967E+03   8.38674539E-01   1.60315344E-01   1.72051572E-08   3.98490853E-04   3.82518721E-04   1.32137573E-04   6.06293735E-05   1.62343278E-14  
  38               1.65423688E-01   1.07018422E+03   8.38698814E-01   1.60309385E-01   2.93931195E-08   4.17033402E-04   3.64200037E-04   1.13596195E-04   6.06192654E-05   6.25233778E-14  
  39               2.02457015E-01   1.09490681E+03   8.38714265E-01   1.60305579E-01   4.67519048E-08   4.28875912E-04   3.52529941E-04   1.01757876E-04   6.06059174E-05   1.99733070E-13  
  40               2.48058811E-01   1.12568472E+03   8.38736801E-01   1.60300038E-01   8.24813867E-08   4.46109283E-04   3.35498844E-04   8.45245409E-05   6.05961312E-05   8.26162643E-13  
  41               3.04113377E-01   1.15504146E+03   8.38751951E-01   1.60296296E-01   1.36495367E-07   4.57742540E-04   3.24019008E-04   7.28933260E-05   6.05832423E-05   2.88934832E-12  
  42               3.72718874E-01   1.19065788E+03   8.38770953E-01   1.60291595E-01   2.47086729E-07   4.72337810E-04   3.09586695E-04   5.82973169E-05   6.05742389E-05   1.25642649E-11  
  43               4.56213970E-01   1.22516686E+03   8.38783881E-01   1.60288357E-01   4.21654884E-07   4.82365629E-04   2.99680765E-04   4.82699637E-05   6.05624005E-05   4.68020228E-11  
  44               5.56896008E-01   1.26594635E+03   8.38798005E-01   1.60284768E-01   7.73886640E-07   4.93429976E-04   2.88738574E-04   3.72043172E-05   6.05546129E-05   2.06707062E-10  
  45               6.76968740E-01   1.30503124E+03   8.38806890E-01   1.60282378E-01   1.32674415E-06   5.00692778E-04   2.81576486E-04   2.99408323E-05   6.05437762E-05   7.66043731E-10  
  46               8.18082444E-01   1.34938470E+03   8.38814969E-01   1.60279968E-01   2.37861654E-06   5.07814547E-04   2.74606618E-04   2.28170966E-05   6.05364107E-05   3.13375778E-09  
  47               9.81692167E-01   1.39130337E+03   8.38818564E-01   1.60278270E-01   3.96452160E-06   5.12366149E-04   2.70430161E-04   1.82631126E-05   6.05259602E-05   1.06679387E-08  
  48               1.16955581E+00   1.43798760E+03   8.38819036E-01   1.60276298E-01   6.81812749E-06   5.16645089E-04   2.66841605E-04   1.39796358E-05   6.05185478E-05   3.87665323E-08  
  49               1.38294365E+00   1.48202221E+03   8.38812100E-01   1.60274109E-01   1.09568598E-05   5.19424915E-04   2.66024130E-04   1.11923010E-05   6.05080406E-05   1.18676392E-07  
  50               1.62033480E+00   1.53067236E+03   8.38791737E-01   1.60270461E-01   1.80770241E-05   5.22141641E-04   2.69861625E-04   8.46189484E-06   6.05007400E-05   3.77318578E-07  
  51               1.87463402E+00   1.57646557E+03   8.38767637E-01   1.60268356E-01   2.80890222E-05   5.24152343E-04   2.83315373E-04   6.44097598E-06   6.04933971E-05   1.02255016E-06  
  52               2.13955896E+00   1.62660077E+03   8.38739338E-01   1.60264764E-01   4.46539848E-05   5.25727237E-04   2.87780611E-04   4.85170541E-06   6.04896852E-05   4.92990850E-06  
  53               2.39823652E+00   1.67698933E+03   8.38671654E-01   1.60257423E-01   6.95997245E-05   5.27102829E-04   3.07665559E-04   3.44888215E-06   6.04887328E-05   1.86211547E-05  
  54               2.63438696E+00   1.71934789E+03   8.38575287E-01   1.60248848E-01   9.89369628E-05   5.28045105E-04   3.46794015E-04   2.47483962E-06   6.04873576E-05   4.44546102E-05  
  55               2.84109023E+00   1.75397530E+03   8.38486156E-01   1.60240687E-01   1.30130161E-04   5.28562938E-04   3.78840233E-04   1.92707640E-06   6.04849614E-05   6.54834055E-05  
  56               3.02131554E+00   1.78255392E+03   8.38457348E-01   1.60238081E-01   1.61771545E-04   5.28780116E-04   3.78555002E-04   1.69998904E-06   6.04826104E-05   6.54121370E-05  
  57               3.16810787E+00   1.80477137E+03   8.38431022E-01   1.60235722E-01   1.90607979E-04   5.28921687E-04   3.78358831E-04   1.54937400E-06   6.04803301E-05   6.53550138E-05  
  58               3.33630880E+00   1.82925580E+03   8.38397507E-01   1.60232738E-01   2.27253061E-04   5.29054927E-04   3.78163731E-04   1.40466792E-06   6.04774075E-05   6.52904265E-05  
  59               3.52804902E+00   1.85589868E+03   8.38323752E-01   1.60222997E-01   2.73588388E-04   5.29156221E-04   3.77959429E-04   1.26910634E-06   6.04713997E-05   6.52155572E-05  
  60               3.67615419E+00   1.87575684E+03   8.38287566E-01   1.60219812E-01   3.13047852E-04   5.29233082E-04   3.77830111E-04   1.18002121E-06   6.04682977E-05   6.51603152E-05  
  61               3.78551387E+00   1.88996013E+03   8.38259118E-01   1.60217307E-01   3.44049313E-04   5.29281259E-04   3.77749889E-04   1.12224422E-06   6.04658447E-05   6.51199615E-05  
  62               3.91285014E+00   1.90614193E+03   8.38223893E-01   1.60214211E-01   3.82440603E-04   5.29330325E-04   3.77651975E-04   1.06134104E-06   6.04628799E-05   6.50733182E-05  
  63               4.06053014E+00   1.92429851E+03   8.38180573E-01   1.60210408E-01   4.29617960E-04   5.29377935E-04   3.77556588E-04   9.99220792E-07   6.04592367E-05   6.50198607E-05  
  64               4.23069505E+00   1.94461604E+03   8.38126936E-01   1.60205704E-01   4.88004473E-04   5.29423222E-04   3.77459563E-04   9.36056175E-07   6.04548463E-05   6.49588809E-05  
  65               4.42554237E+00   1.96698068E+03   8.38061148E-01   1.60199941E-01   5.59582586E-04   5.29463502E-04   3.77366554E-04   8.73940510E-07   6.04495179E-05   6.48900345E-05  
  66               4.64711059E+00   1.99149133E+03   8.37980169E-01   1.60192856E-01   6.47673208E-04   5.29497590E-04   3.77280097E-04   8.13130925E-07   6.04431534E-05   6.48127483E-05  
  67               4.89874315E+00   2.01806668E+03   8.37881094E-01   1.60184195E-01   7.55513747E-04   5.29522925E-04   3.77153018E-04   7.55251543E-07   6.04354955E-05   6.47264246E-05  
  68               5.18493865E+00   2.04697385E+03   8.37758542E-01   1.60173487E-01   8.88887160E-04   5.29538255E-04   3.77018979E-04   6.99895300E-07   6.04263248E-05   6.46297756E-05  
  69               5.50921880E+00   2.07801514E+03   8.37608243E-01   1.60160362E-01   1.05243701E-03   5.29540887E-04   3.76878660E-04   6.48418691E-07   6.04153332E-05   6.45223613E-05  
  70               5.87538810E+00   2.11127534E+03   8.37423398E-01   1.60144227E-01   1.25355875E-03   5.29528975E-04   3.76729922E-04   6.00595070E-07   6.04022614E-05   6.44033165E-05  
  71               6.28758289E+00   2.14649140E+03   8.37198337E-01   1.60124588E-01   1.49841778E-03   5.29499842E-04   3.76572706E-04   5.57336781E-07   6.03867371E-05   6.42722529E-05  
  72               6.75032231E+00   2.18373385E+03   8.36923931E-01   1.60100649E-01   1.79694560E-03   5.29451244E-04   3.76403916E-04   5.18119294E-07   6.03684165E-05   6.41282550E-05  
  73               7.26857801E+00   2.22269931E+03   8.36593114E-01   1.60071794E-01   2.15682682E-03   5.29380449E-04   3.76222778E-04   4.83477182E-07   6.03468620E-05   6.39709644E-05  
  74               7.84788693E+00   2.26343810E+03   8.36194501E-01   1.60037030E-01   2.59044612E-03   5.29284629E-04   3.76025480E-04   4.52782308E-07   6.03216289E-05   6.37994204E-05  
  75               8.49438653E+00   2.30559681E+03   8.35718547E-01   1.59995320E-01   3.10602967E-03   5.29159806E-04   3.75810158E-04   4.26381849E-07   6.02920812E-05   6.36131860E-05  
  76               9.21442867E+00   2.34923784E+03   8.35147154E-01   1.59946008E-01   3.71824157E-03   5.29013397E-04   3.82029966E-04   3.96709665E-07   6.02589775E-05   6.34115289E-05  
  77               1.00155325E+01   2.39398743E+03   8.34488302E-01   1.59888565E-01   4.43479836E-03   5.28825170E-04   3.81865693E-04   3.77881717E-07   6.02197747E-05   6.31942612E-05  
  78               1.09064036E+01   2.43999752E+03   8.33717358E-01   1.59821352E-01   5.27329220E-03   5.28599181E-04   3.81656012E-04   3.62059253E-07   6.01747088E-05   6.29600307E-05  
  79               1.18961840E+01   2.48685648E+03   8.32829439E-01   1.59743945E-01   6.23902820E-03   5.28333471E-04   3.81402911E-04   3.49483163E-07   6.01232714E-05   6.27088356E-05  
  80               1.29953018E+01   2.53474970E+03   8.31806882E-01   1.59654804E-01   7.35121441E-03   5.28023278E-04   3.81103751E-04   3.39461082E-07   6.00646964E-05   6.24393809E-05  
  81               1.42151062E+01   2.58324243E+03   8.30648954E-01   1.59553867E-01   8.61063783E-03   5.27667708E-04   3.80762203E-04   3.32280583E-07   5.99985130E-05   6.21518844E-05  
  82               1.55682269E+01   2.63255419E+03   8.29337362E-01   1.59439540E-01   1.00371914E-02   5.27261633E-04   3.80375343E-04   3.27331062E-07   5.99238256E-05   6.18450507E-05  
  83               1.70686597E+01   2.68227416E+03   8.27875981E-01   1.59312160E-01   1.16266509E-02   5.26805361E-04   3.79948504E-04   3.24906382E-07   5.98401720E-05   6.15192709E-05  
  84               1.87317463E+01   2.73263480E+03   8.26247003E-01   1.59170177E-01   1.33983803E-02   5.26293658E-04   3.79479090E-04   3.24505420E-07   5.97464619E-05   6.11733187E-05  
  85               2.05742272E+01   2.78319881E+03   8.24462324E-01   1.59014629E-01   1.53394277E-02   5.25728938E-04   3.78975491E-04   3.26491599E-07   5.96422362E-05   6.08080000E-05  
  86               2.26142488E+01   2.83428262E+03   8.22501630E-01   1.58843746E-01   1.74718805E-02   5.25105078E-04   3.78434605E-04   3.30360155E-07   5.95259625E-05   6.04220077E-05  
  87               2.48713551E+01   2.88547083E+03   8.20382895E-01   1.58659097E-01   1.97761768E-02   5.24426054E-04   3.77867249E-04   3.36491154E-07   5.93969173E-05   6.00164641E-05  
  88               2.73665719E+01   2.93706802E+03   8.18086706E-01   1.58458988E-01   2.22734218E-02   5.23685712E-04   3.77271066E-04   3.44469967E-07   5.92528703E-05   5.95902749E-05  
  89               3.01224581E+01   2.98864077E+03   8.15639936E-01   1.58245766E-01   2.49343703E-02   5.22890321E-04   3.76660029E-04   3.54741367E-07   5.90925168E-05   5.91450293E-05  
  90               3.31628339E+01   3.04055825E+03   8.13018912E-01   1.58017365E-01   2.77847615E-02   5.22032280E-04   3.76030227E-04   3.66867970E-07   5.89121444E-05   5.86796005E-05  
  91               3.65107257E+01   3.09226296E+03   8.10266704E-01   1.57777543E-01   3.07777339E-02   5.21122235E-04   3.75400317E-04   3.81427335E-07   5.87095463E-05   5.81966679E-05  
  92               4.01899100E+01   3.14415409E+03   8.07356511E-01   1.57523962E-01   3.39424261E-02   5.20151540E-04   3.74763973E-04   3.97936602E-07   5.84786526E-05   5.76953738E-05  
  93               4.42259874E+01   3.19571301E+03   8.04337363E-01   1.57260898E-01   3.72254947E-02   5.19132282E-04   3.74140064E-04   4.17001522E-07   5.82150151E-05   5.71785912E-05  
  94               4.86466301E+01   3.24742876E+03   8.01172993E-01   1.56985188E-01   4.06663721E-02   5.18052784E-04   3.73516889E-04   4.38093799E-07   5.79082136E-05   5.66450419E-05  
  95               5.34820902E+01   3.29872241E+03   7.97925839E-01   1.56702276E-01   4.41971343E-02   5.16928483E-04   3.72915436E-04   4.61997004E-07   5.75505625E-05   5.60979929E-05  
  96               5.87655001E+01   3.35019057E+03   7.94546153E-01   1.56407822E-01   4.78718719E-02   5.15743449E-04   3.72316379E-04   4.88100765E-07   5.71246163E-05   5.55355494E-05  
  97               6.45329439E+01   3.40126540E+03   7.91101972E-01   1.56107757E-01   5.16165723E-02   5.14514207E-04   3.71739880E-04   5.17288527E-07   5.66173562E-05   5.49609992E-05  
  98               7.08235244E+01   3.45258221E+03   7.87533978E-01   1.55796908E-01   5.54957270E-02   5.13221596E-04   3.71159583E-04   5.48909700E-07   5.60009573E-05   5.43721310E-05  
  99               7.76805314E+01   3.50352915E+03   7.83921070E-01   1.55482149E-01   5.94235073E-02   5.11884605E-04   3.70597182E-04   5.84034999E-07   5.52558650E-05   5.37724631E-05  
  100              8.51519774E+01   3.55481470E+03   7.80190229E-01   1.55157112E-01   6.34792967E-02   5.10479554E-04   3.70017705E-04   6.21930449E-07   5.43391470E-05   5.31592362E-05  
  101              9.32911582E+01   3.60580731E+03   7.76428405E-01   1.54829373E-01   6.75685066E-02   5.09026981E-04   3.69444811E-04   6.63856535E-07   5.32238095E-05   5.25360208E-05  
