# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CO               CH4              N2               Mg              
  1                1.00000000E-05   3.26172138E+02   8.38149399E-01   1.60445370E-01   1.35361019E-30   7.77944141E-04   1.16620266E-18   5.31284183E-04   5.66444513E-05   0.00000000E+00  
  2                1.07040544E-04   3.75495465E+02   8.38148878E-01   1.60445497E-01   1.61744161E-26   7.77944758E-04   2.48084477E-16   5.31284601E-04   5.62513380E-05   0.00000000E+00  
  3                2.15306359E-04   3.98695608E+02   8.38149905E-01   1.60445247E-01   6.69910034E-25   7.77944258E-04   3.08173851E-15   5.31283773E-04   5.70289433E-05   0.00000000E+00  
  4                3.40667282E-04   4.11775187E+02   8.38149892E-01   1.60445240E-01   4.32774147E-24   7.77951453E-04   9.29050319E-15   5.31283751E-04   5.70383550E-05   0.00000000E+00  
  5                4.86290860E-04   4.25836961E+02   8.38150253E-01   1.60445103E-01   2.98667426E-23   7.78040697E-04   3.50620768E-14   5.31283297E-04   5.74277420E-05   0.00000000E+00  
  6                6.55884226E-04   4.34804130E+02   8.38149553E-01   1.60445058E-01   9.19859657E-23   7.78348664E-04   6.62719256E-14   5.31283150E-04   5.73743533E-05   0.00000000E+00  
  7                8.53522740E-04   4.46276352E+02   8.38148381E-01   1.60444971E-01   3.82307432E-22   7.79880315E-04   1.77503835E-13   5.31282861E-04   5.76463516E-05   0.00000000E+00  
  8                1.08403216E-03   4.53126890E+02   8.38148215E-01   1.60445011E-01   8.27709483E-22   7.79880512E-04   2.61793460E-13   5.31282994E-04   5.75207875E-05   0.00000000E+00  
  9                1.35308739E-03   4.62414824E+02   8.38148384E-01   1.60444970E-01   2.38082360E-21   7.79880314E-04   5.23150770E-13   5.31282858E-04   5.76486616E-05   0.00000000E+00  
  10               1.66725231E-03   4.68167678E+02   8.38148167E-01   1.60445023E-01   4.31906951E-21   7.79880571E-04   6.81342887E-13   5.31283032E-04   5.74845882E-05   0.00000000E+00  
  11               2.03417085E-03   4.76962260E+02   8.38148316E-01   1.60444987E-01   1.10369816E-20   7.79880398E-04   1.25889853E-12   5.31282911E-04   5.75974491E-05   0.00000000E+00  
  12               2.46277895E-03   4.82330976E+02   8.38148092E-01   1.60445041E-01   1.85528469E-20   7.79880665E-04   1.56528910E-12   5.31283091E-04   5.74278695E-05   0.00000000E+00  
  13               2.96344613E-03   4.90971220E+02   8.38148233E-01   1.60445007E-01   4.42457108E-20   7.79880502E-04   2.76630064E-12   5.31282976E-04   5.75351280E-05   0.00000000E+00  
  14               3.54830622E-03   4.96291816E+02   8.38148017E-01   1.60445059E-01   7.19046275E-20   7.79880760E-04   3.38802888E-12   5.31283149E-04   5.73717750E-05   0.00000000E+00  
  15               4.23143554E-03   5.05080870E+02   8.38148168E-01   1.60445023E-01   1.65972320E-19   7.79880590E-04   5.88944328E-12   5.31283025E-04   5.74856076E-05   0.00000000E+00  
  16               5.02925296E-03   5.10491305E+02   8.38147962E-01   1.60445073E-01   2.64768651E-19   7.79880839E-04   7.17057433E-12   5.31283189E-04   5.73297593E-05   0.00000000E+00  
  17               5.96095496E-03   5.19432029E+02   8.38148110E-01   1.60445037E-01   5.91866835E-19   7.79880676E-04   1.22123585E-11   5.31283065E-04   5.74415790E-05   0.00000000E+00  
  18               7.04907034E-03   5.25064911E+02   8.38147917E-01   1.60445083E-01   9.38567707E-19   7.79880911E-04   1.49112652E-11   5.31283216E-04   5.72964041E-05   0.00000000E+00  
  19               8.31975004E-03   5.34428668E+02   8.38148080E-01   1.60445044E-01   2.08405610E-18   7.79880737E-04   2.54333685E-11   5.31283074E-04   5.74195004E-05   0.00000000E+00  
  20               9.80347349E-03   5.40494342E+02   8.38147916E-01   1.60445084E-01   3.34185693E-18   7.79880945E-04   3.15986434E-11   5.31283200E-04   5.72950621E-05   0.00000000E+00  
  21               1.15355066E-02   5.50541202E+02   8.38148107E-01   1.60445037E-01   7.51246950E-18   7.79880745E-04   5.49005205E-11   5.31283022E-04   5.74395649E-05   0.00000000E+00  
  22               1.35568751E-02   5.57415933E+02   8.38147996E-01   1.60445064E-01   1.25209196E-17   7.79880897E-04   7.12189755E-11   5.31283094E-04   5.73562248E-05   0.00000000E+00  
  23               1.59149176E-02   5.68534433E+02   8.38148233E-01   1.60445006E-01   2.91926465E-17   7.79880649E-04   1.28967121E-10   5.31282844E-04   5.75355140E-05   0.00000000E+00  
  24               1.86643009E-02   5.76424685E+02   8.38148183E-01   1.60445019E-01   5.09249746E-17   7.79880738E-04   1.75794604E-10   5.31282836E-04   5.74974728E-05   0.00000000E+00  
  25               2.18675902E-02   5.88680263E+02   8.38148450E-01   1.60444954E-01   1.22200278E-16   7.79880441E-04   3.29198005E-10   5.31282464E-04   5.76990953E-05   0.00000000E+00  
  26               2.55964948E-02   5.97773594E+02   8.38148457E-01   1.60444952E-01   2.23646330E-16   7.79880444E-04   4.72615391E-10   5.31282311E-04   5.77049678E-05   0.00000000E+00  
  27               2.99325985E-02   6.11524906E+02   8.38148756E-01   1.60444879E-01   5.59253136E-16   7.79879980E-04   9.26752374E-10   5.31281608E-04   5.79303769E-05   0.00000000E+00  
  28               3.49683928E-02   6.22173359E+02   8.38148822E-01   1.60444862E-01   1.08487130E-15   7.79879743E-04   1.41624902E-09   5.31281055E-04   5.79818003E-05   0.00000000E+00  
  29               4.08103276E-02   6.37706592E+02   8.38149140E-01   1.60444784E-01   2.82990973E-15   7.79878582E-04   2.91257359E-09   5.31279280E-04   5.82216999E-05   0.00000000E+00  
  30               4.75808555E-02   6.50278135E+02   8.38149252E-01   1.60444753E-01   5.84779591E-15   7.79877330E-04   4.76389017E-09   5.31277302E-04   5.83126019E-05   0.00000000E+00  
  31               5.54173486E-02   6.67933308E+02   8.38149571E-01   1.60444671E-01   1.59010862E-14   7.79872971E-04   1.02724296E-08   5.31271469E-04   5.85552805E-05   0.00000000E+00  
  32               6.44730193E-02   6.82693867E+02   8.38149681E-01   1.60444622E-01   3.47580687E-14   7.79866859E-04   1.78703627E-08   5.31263644E-04   5.86704652E-05   0.00000000E+00  
  33               7.49172720E-02   7.02548138E+02   8.38149962E-01   1.60444533E-01   9.66128987E-14   7.79848020E-04   3.96529732E-08   5.31241409E-04   5.88969249E-05   0.00000000E+00  
  34               8.69340060E-02   7.19661277E+02   8.38150045E-01   1.60444460E-01   2.20096706E-13   7.79818890E-04   7.23592480E-08   5.31208265E-04   5.90198914E-05   0.00000000E+00  
  35               1.00722612E-01   7.41965646E+02   8.38150223E-01   1.60444325E-01   6.19530208E-13   7.79734126E-04   1.63827517E-07   5.31115876E-04   5.92225516E-05   0.00000000E+00  
  36               1.16496733E-01   7.61588810E+02   8.38150561E-01   1.60444239E-01   1.44853608E-12   7.79597147E-04   3.09114678E-07   5.30969678E-04   5.93412901E-05   0.00000000E+00  
  37               1.34511159E-01   7.86377977E+02   8.38151286E-01   1.60444055E-01   4.04865618E-12   7.79220627E-04   7.00201018E-07   5.30576535E-04   5.95130373E-05   0.00000000E+00  
  38               1.55062809E-01   8.08590955E+02   8.38152235E-01   1.60443810E-01   9.54522586E-12   7.78597464E-04   1.34050339E-06   5.29933448E-04   5.96187264E-05   0.00000000E+00  
  39               1.78487183E-01   8.36074837E+02   8.38154525E-01   1.60443219E-01   2.62389730E-11   7.76968083E-04   2.99745625E-06   5.28270157E-04   5.97596383E-05   0.00000000E+00  
  40               2.05158127E-01   8.61147825E+02   8.38158055E-01   1.60442275E-01   6.18506635E-11   7.74257271E-04   5.73908756E-06   5.25519369E-04   5.98497854E-05   0.00000000E+00  
  41               2.35550066E-01   8.91777337E+02   8.38166562E-01   1.60439988E-01   1.67044935E-10   7.67556245E-04   1.24839303E-05   5.18754345E-04   5.99634658E-05   0.00000000E+00  
  42               2.70268553E-01   9.20269652E+02   8.38179778E-01   1.60436279E-01   3.93547673E-10   7.56711788E-04   2.33738517E-05   5.07835545E-04   6.00380181E-05   0.00000000E+00  
  43               3.10327520E-01   9.54597630E+02   8.38209844E-01   1.60428483E-01   1.04194185E-09   7.33028754E-04   4.71215646E-05   4.84032737E-04   6.01255121E-05   0.00000000E+00  
  44               3.57344546E-01   9.87214826E+02   8.38254183E-01   1.60417676E-01   2.44721608E-09   6.99597818E-04   8.06519787E-05   4.50435909E-04   6.01814038E-05   0.00000000E+00  
  45               4.14190121E-01   1.02649242E+03   8.38329760E-01   1.60399260E-01   6.40645271E-09   6.42574034E-04   1.37849647E-04   3.93141719E-04   6.02422464E-05   1.14712647E-15  
  46               4.84963978E-01   1.06441645E+03   8.38409415E-01   1.60379838E-01   1.49879112E-08   5.82449608E-04   1.98212858E-04   3.32695197E-04   6.02760034E-05   9.68434721E-15  
  47               5.75490003E-01   1.10832704E+03   8.38502394E-01   1.60357150E-01   3.72896662E-08   5.12260114E-04   2.68740305E-04   2.62086989E-04   6.03073522E-05   9.70650447E-14  
  48               6.91997228E-01   1.14928661E+03   8.38571304E-01   1.60340312E-01   8.05424678E-08   4.60212756E-04   3.21095312E-04   2.09683043E-04   6.03152655E-05   6.80490400E-13  
  49               8.40689548E-01   1.19434812E+03   8.38634176E-01   1.60324924E-01   1.76380939E-07   4.12677410E-04   3.68926855E-04   1.61811651E-04   6.03202680E-05   4.91764379E-12  
  50               1.02686763E+00   1.23516920E+03   8.38673234E-01   1.60315322E-01   3.35668231E-07   3.83051353E-04   3.98757824E-04   1.31958554E-04   6.03079131E-05   2.46180295E-11  
