# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              NH3              H2S              H                H2O(s)          
  34               1.47916664E-01   1.87020667E+02   8.38725954E-01   1.60588691E-01   5.31758762E-04   1.31964255E-06   1.21818714E-04   2.30012633E-05   1.30776949E-58   3.17465397E-06  
  35               1.76787130E-01   1.92391543E+02   8.38725954E-01   1.60588691E-01   5.31758762E-04   4.49429651E-06   1.21818714E-04   2.30012633E-05   5.91179883E-57   0.00000000E+00  
  36               2.11845821E-01   1.96521591E+02   8.38717617E-01   1.60587095E-01   5.31753477E-04   4.50334097E-06   1.21817503E-04   2.30010346E-05   9.38025029E-56   9.93069241E-06  
  37               2.54395073E-01   2.02222916E+02   8.38717617E-01   1.60587095E-01   5.31753477E-04   1.44340334E-05   1.21817503E-04   2.30010346E-05   3.63903018E-54   0.00000000E+00  
  38               3.05986177E-01   2.06665180E+02   8.38692188E-01   1.60582226E-01   5.31737355E-04   1.44602268E-05   1.21813809E-04   2.30003373E-05   5.34161242E-53   3.02925261E-05  
  39               3.68473881E-01   2.12796468E+02   8.38692188E-01   1.60582226E-01   5.31737355E-04   4.47527529E-05   1.21813809E-04   2.30003373E-05   1.86410696E-51   0.00000000E+00  
  40               4.44036025E-01   2.17672241E+02   8.38586940E-01   1.60562075E-01   5.31670627E-04   4.48386291E-05   1.21798523E-04   2.29974509E-05   2.66329376E-50   1.25398897E-04  
  41               5.34962979E-01   2.24558955E+02   8.38586940E-01   1.60562075E-01   5.31670627E-04   1.70237526E-04   1.21798523E-04   2.29974509E-05   9.66984128E-49   0.00000000E+00  
  42               6.43432032E-01   2.31650593E+02   8.38073901E-01   1.60463844E-01   5.31345356E-04   1.70133905E-04   1.21724008E-04   2.29833814E-05   3.11892025E-47   6.11788641E-04  
  43               7.69848163E-01   2.41585335E+02   8.38073901E-01   1.60463844E-01   5.31345356E-04   7.81922546E-04   1.21724008E-04   2.29833814E-05   2.96967797E-45   0.00000000E+00  
  44               9.10902914E-01   2.53930816E+02   8.38073901E-01   1.60463844E-01   5.31345356E-04   7.81922546E-04   1.21724008E-04   2.29833814E-05   5.29748272E-43   0.00000000E+00  
  45               1.08195976E+00   2.68416612E+02   8.38073901E-01   1.60463844E-01   5.31345356E-04   7.81922546E-04   1.21724008E-04   2.29833814E-05   1.27019563E-40   0.00000000E+00  
  46               1.28943032E+00   2.80013985E+02   8.38073901E-01   1.60463844E-01   5.31345356E-04   7.81922546E-04   1.21724008E-04   2.29833814E-05   6.62821484E-39   0.00000000E+00  
  47               1.54073034E+00   2.94763646E+02   8.38073901E-01   1.60463844E-01   5.31345356E-04   7.81922546E-04   1.21724008E-04   2.29833814E-05   6.55782912E-37   0.00000000E+00  
  48               1.84457390E+00   3.08075672E+02   8.38073901E-01   1.60463844E-01   5.31345356E-04   7.81922546E-04   1.21724008E-04   2.29833814E-05   2.79847048E-35   0.00000000E+00  
  49               2.21143817E+00   3.25984565E+02   8.38073901E-01   1.60463844E-01   5.31345356E-04   7.81922517E-04   1.21724007E-04   2.29833814E-05   2.74811201E-33   0.00000000E+00  
  50               2.65337573E+00   3.44102961E+02   8.38073901E-01   1.60463844E-01   5.31345356E-04   7.81922421E-04   1.21724006E-04   2.29833813E-05   1.73984128E-31   0.00000000E+00  
  51               3.18465006E+00   3.64088530E+02   8.38073901E-01   1.60463844E-01   5.31345356E-04   7.81922096E-04   1.21723999E-04   2.29833813E-05   1.04736451E-29   0.00000000E+00  
  52               3.82179128E+00   3.84233312E+02   8.38073650E-01   1.60463796E-01   5.31345196E-04   7.81920942E-04   1.21723940E-04   2.29833744E-05   4.20362695E-28   0.00000000E+00  
  53               4.58495694E+00   4.06399467E+02   8.38073926E-01   1.60463820E-01   5.31345276E-04   7.81620511E-04   1.21723879E-04   2.29833779E-05   1.60260168E-26   0.00000000E+00  
  54               5.49605540E+00   4.28649709E+02   8.38073926E-01   1.60463820E-01   5.31345276E-04   7.81620525E-04   1.21723650E-04   2.29833779E-05   4.21391187E-25   0.00000000E+00  
  55               6.57769550E+00   4.52981657E+02   8.38073916E-01   1.60463818E-01   5.31345270E-04   7.81621545E-04   1.21722955E-04   2.29833776E-05   1.04292042E-23   0.00000000E+00  
  56               7.85400294E+00   4.77173260E+02   8.38073477E-01   1.60463742E-01   5.31345017E-04   7.81664427E-04   1.21721202E-04   2.29833667E-05   1.82007135E-22   0.00000000E+00  
  57               9.35686713E+00   5.03523625E+02   8.38071586E-01   1.60463741E-01   5.31345015E-04   7.83558462E-04   1.21716800E-04   2.29833666E-05   3.00309520E-21   0.00000000E+00  
  58               1.11224329E+01   5.29661308E+02   8.38068765E-01   1.60463198E-01   5.31343217E-04   7.83555811E-04   1.21707073E-04   2.29832888E-05   3.65437223E-20   0.00000000E+00  
  59               1.31900888E+01   5.58108089E+02   8.38071880E-01   1.60463466E-01   5.31344102E-04   7.80183007E-04   1.21686053E-04   2.29833271E-05   4.25687568E-19   0.00000000E+00  
  60               1.55993615E+01   5.84509172E+02   8.38071903E-01   1.60463460E-01   5.31344083E-04   7.80182991E-04   1.21651129E-04   2.29833263E-05   3.32086175E-18   0.00000000E+00  
  61               1.84058818E+01   6.12075420E+02   8.38071944E-01   1.60463450E-01   5.31344050E-04   7.80182969E-04   1.21588815E-04   2.29833249E-05   2.34464639E-17   0.00000000E+00  
  62               2.16677946E+01   6.40417021E+02   8.38072012E-01   1.60463433E-01   5.31343994E-04   7.80182946E-04   1.21484817E-04   2.29833225E-05   1.46394451E-16   0.00000000E+00  
  63               2.54392293E+01   6.71812274E+02   8.38072139E-01   1.60463402E-01   5.31343891E-04   7.80182934E-04   1.21292590E-04   2.29833180E-05   9.33119326E-16   0.00000000E+00  
  64               2.97714751E+01   7.04174464E+02   8.38072345E-01   1.60463352E-01   5.31343724E-04   7.80182982E-04   1.20981048E-04   2.29833109E-05   5.28767359E-15   0.00000000E+00  
  65               3.47416216E+01   7.37290683E+02   8.38072657E-01   1.60463276E-01   5.31343467E-04   7.80183185E-04   1.20506461E-04   2.29832999E-05   2.65867336E-14   0.00000000E+00  
  66               4.04634921E+01   7.71615049E+02   8.38073115E-01   1.60463162E-01   5.31343084E-04   7.80183717E-04   1.19804470E-04   2.29832836E-05   1.22282161E-13   0.00000000E+00  
  67               4.70566603E+01   8.06958469E+02   8.38073742E-01   1.60463001E-01   5.31342535E-04   7.80184863E-04   1.18824580E-04   2.29832604E-05   5.12641634E-13   0.00000000E+00  
  68               5.46369552E+01   8.43593898E+02   8.38074556E-01   1.60462777E-01   5.31341756E-04   7.80187052E-04   1.17501629E-04   2.29832281E-05   1.99166454E-12   0.00000000E+00  
  69               6.33044858E+01   8.81105442E+02   8.38075482E-01   1.60462474E-01   5.31340658E-04   7.80190787E-04   1.15826817E-04   2.29832121E-05   7.09487003E-12   0.00000000E+00  
  70               7.32228774E+01   9.19862267E+02   8.38076644E-01   1.60462107E-01   5.31339209E-04   7.80196701E-04   1.13770658E-04   2.29835796E-05   2.36031776E-11   0.00000000E+00  
  71               8.45482951E+01   9.59572504E+02   8.38078179E-01   1.60461720E-01   5.31337376E-04   7.80207516E-04   1.11389662E-04   2.29860660E-05   7.29691542E-11   0.00000000E+00  
  72               9.74041684E+01   1.00030814E+03   8.38079839E-01   1.60461278E-01   5.31334683E-04   7.80220636E-04   1.08727703E-04   2.30079425E-05   2.11232484E-10   0.00000000E+00  
  73               1.11886151E+02   1.04160330E+03   8.38081444E-01   1.60460789E-01   5.31330495E-04   7.80235176E-04   1.05914689E-04   2.30684991E-05   5.68796654E-10   0.00000000E+00  
  74               1.28076776E+02   1.08340676E+03   8.38082727E-01   1.60460238E-01   5.31323603E-04   7.80247186E-04   1.03033320E-04   2.32269548E-05   1.43311949E-09   0.00000000E+00  
  75               1.46223474E+02   1.12572768E+03   8.38083339E-01   1.60459609E-01   5.31312083E-04   7.80249864E-04   1.00182970E-04   2.36107002E-05   3.39899180E-09   0.00000000E+00  
  76               1.66612044E+02   1.16890691E+03   8.38083939E-01   1.60459051E-01   5.31293333E-04   7.80248571E-04   9.73985090E-05   2.42854325E-05   7.67883366E-09   0.00000000E+00  
  77               1.89482042E+02   1.21274429E+03   8.38085610E-01   1.60458612E-01   5.31263119E-04   7.80317530E-04   9.47694875E-05   2.42852383E-05   1.65198649E-08   0.00000000E+00  
  78               2.15044986E+02   1.25733591E+03   8.38087167E-01   1.60458193E-01   5.31214652E-04   7.80382207E-04   9.23142405E-05   2.42849685E-05   3.40349052E-08   0.00000000E+00  
  79               2.43448524E+02   1.30225667E+03   8.38088565E-01   1.60457803E-01   5.31140297E-04   7.80434138E-04   9.01048457E-05   2.42845894E-05   6.69256592E-08   0.00000000E+00  
  80               2.74933161E+02   1.34772188E+03   8.38089822E-01   1.60457434E-01   5.31029187E-04   7.80462550E-04   8.81178450E-05   2.42840488E-05   1.26537722E-07   0.00000000E+00  
  81               3.10049067E+02   1.39378545E+03   8.38090916E-01   1.60457084E-01   5.30868791E-04   7.80453578E-04   8.63851514E-05   2.42832778E-05   2.30818272E-07   0.00000000E+00  
  82               3.49392856E+02   1.44099806E+03   8.38091870E-01   1.60456739E-01   5.30640360E-04   7.80389289E-04   8.48597643E-05   2.42821596E-05   4.10079665E-07   0.00000000E+00  
