# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              Mg               N2               Fe              
  1                1.00000000E-05   1.17883921E+03   8.38792959E-01   1.60267231E-01   3.80503985E-05   5.30564515E-04   2.60603462E-04   1.95795628E-07   6.07874246E-05   2.43989277E-06  
  2                1.04282263E-05   1.18422484E+03   8.38790353E-01   1.60267000E-01   4.08876887E-05   5.30565518E-04   2.60595409E-04   1.95795192E-07   6.07873368E-05   5.30315054E-06  
  3                1.09756356E-05   1.18799097E+03   8.38783454E-01   1.60266001E-01   4.42750822E-05   5.30564171E-04   2.60585055E-04   1.95793792E-07   6.07869576E-05   6.73474211E-06  
  4                1.16681313E-05   1.19531004E+03   8.38771683E-01   1.60264955E-01   4.78626675E-05   5.30560292E-04   2.65706713E-04   1.95792385E-07   6.07865606E-05   6.73469779E-06  
  5                1.25337386E-05   1.20135904E+03   8.38757999E-01   1.60263759E-01   5.28936170E-05   5.30556241E-04   2.71255257E-04   4.02499625E-07   6.07861066E-05   6.73464707E-06  
  6                1.36138787E-05   1.20976180E+03   8.38748297E-01   1.60263292E-01   5.75928743E-05   5.30554448E-04   2.76801741E-04   6.09206896E-07   6.07859293E-05   6.73462696E-06  
  7                1.49723902E-05   1.21593459E+03   8.38738094E-01   1.60262025E-01   6.31860487E-05   5.30552476E-04   2.77613103E-04   1.07797772E-06   6.07854484E-05   6.73457310E-06  
  8                1.66958852E-05   1.22449956E+03   8.38728480E-01   1.60260766E-01   6.84956266E-05   5.30550566E-04   2.77990259E-04   1.34003681E-06   6.07849700E-05   1.12096071E-05  
  9                1.88766589E-05   1.23221148E+03   8.38716070E-01   1.60259300E-01   7.53981135E-05   5.30547907E-04   2.79316117E-04   2.21872731E-06   6.07844131E-05   1.56846036E-05  
  10               2.16283693E-05   1.24239920E+03   8.38706904E-01   1.60258429E-01   8.28276891E-05   5.30547414E-04   2.80236210E-04   2.83534328E-06   6.07840818E-05   2.01595955E-05  
  11               2.50812822E-05   1.25209578E+03   8.38692365E-01   1.60257181E-01   9.25144494E-05   5.30545052E-04   2.83498857E-04   4.97311215E-06   6.07836075E-05   2.01594347E-05  
  12               2.93943864E-05   1.26416317E+03   8.38677525E-01   1.60255808E-01   1.03348794E-04   5.30542708E-04   2.85804883E-04   6.49421580E-06   6.07830854E-05   2.01592574E-05  
  13               3.47486133E-05   1.27584421E+03   8.38645527E-01   1.60251948E-01   1.17555726E-04   5.30531461E-04   2.90627854E-04   9.65670481E-06   6.07816196E-05   2.01587663E-05  
  14               4.13161481E-05   1.29011706E+03   8.38607675E-01   1.60247434E-01   1.34346613E-04   5.30517765E-04   2.96610672E-04   1.35849609E-05   6.07799057E-05   3.19593740E-05  
