# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CO               CH4              N2               Mg              
  1                1.00000000E-05   5.04505912E+02   8.38154279E-01   1.60443540E-01   3.21691691E-18   7.78767043E-04   9.91278624E-07   5.30168390E-04   6.08459988E-05   0.00000000E+00  
  2                3.92958793E-05   5.47861960E+02   8.38158056E-01   1.60442637E-01   1.01805664E-16   7.75866855E-04   3.70789193E-06   5.27358228E-04   6.08413206E-05   0.00000000E+00  
  3                7.28400764E-05   5.80289996E+02   8.38173521E-01   1.60438960E-01   1.10630345E-15   7.64110891E-04   1.48501984E-05   5.15903544E-04   6.08400101E-05   0.00000000E+00  
  4                1.12260102E-04   5.89450526E+02   8.38170295E-01   1.60439688E-01   1.80862325E-15   7.66524254E-04   1.26899643E-05   5.18190506E-04   6.08364319E-05   0.00000000E+00  
  5                1.59210942E-04   6.10821324E+02   8.38191624E-01   1.60434577E-01   7.29573217E-15   7.50337641E-04   2.83531780E-05   5.02257684E-04   6.08347744E-05   0.00000000E+00  
  6                2.15143907E-04   6.15876149E+02   8.38183349E-01   1.60436461E-01   8.95457132E-15   7.56474317E-04   2.25410579E-05   5.08233641E-04   6.08315658E-05   0.00000000E+00  
  7                2.82163751E-04   6.33810904E+02   8.38208492E-01   1.60430414E-01   2.63713384E-14   7.37411231E-04   4.11639396E-05   4.89380710E-04   6.08295608E-05   0.00000000E+00  
  8                3.62398527E-04   6.37281084E+02   8.38196315E-01   1.60433326E-01   2.92106240E-14   7.46647328E-04   3.22687693E-05   4.98449242E-04   6.08263707E-05   0.00000000E+00  
  9                4.58790336E-04   6.53593184E+02   8.38223730E-01   1.60426718E-01   7.32179249E-14   7.25874011E-04   5.26807797E-05   4.77844787E-04   6.08240772E-05   0.00000000E+00  
  10               5.74419835E-04   6.56228683E+02   8.38207906E-01   1.60430439E-01   7.69972000E-14   7.37734477E-04   4.11547262E-05   4.89542191E-04   6.08206081E-05   0.00000000E+00  
  11               7.13374380E-04   6.71584315E+02   8.38236108E-01   1.60423631E-01   1.73883878E-13   7.16373011E-04   6.22282664E-05   4.68311305E-04   6.08180843E-05   0.00000000E+00  
  12               8.80095143E-04   6.73645426E+02   8.38217478E-01   1.60428111E-01   1.76632456E-13   7.30485492E-04   4.84341246E-05   4.82270111E-04   6.08140855E-05   0.00000000E+00  
  13               1.08027830E-03   6.88456357E+02   8.38245588E-01   1.60421317E-01   3.71645020E-13   7.09200526E-04   6.94912589E-05   4.61084199E-04   6.08113804E-05   0.00000000E+00  
  14               1.32032002E-03   6.90149734E+02   8.38224790E-01   1.60426327E-01   3.69469986E-13   7.24949058E-04   5.40366755E-05   4.76692481E-04   6.08065573E-05   0.00000000E+00  
  15               1.60822290E-03   7.04741640E+02   8.38252606E-01   1.60419597E-01   7.41653131E-13   7.03891517E-04   7.49115078E-05   4.55709839E-04   6.08036929E-05   0.00000000E+00  
  16               1.95319968E-03   7.06281760E+02   8.38230568E-01   1.60424911E-01   7.30517911E-13   7.20571451E-04   5.84959022E-05   4.72265345E-04   6.07977839E-05   0.00000000E+00  
  17               2.36657855E-03   7.20894855E+02   8.38258210E-01   1.60418219E-01   1.42092740E-12   6.99649441E-04   7.92691728E-05   4.51399378E-04   6.07947550E-05   0.00000000E+00  
  18               2.86153575E-03   7.22392094E+02   8.38235408E-01   1.60423722E-01   1.39461338E-12   7.16901625E-04   6.22523631E-05   4.68542549E-04   6.07874967E-05   0.00000000E+00  
  19               3.45414861E-03   7.37202327E+02   8.38263067E-01   1.60417020E-01   2.65518643E-12   6.95968186E-04   8.30637176E-05   4.47649586E-04   6.07842880E-05   0.00000000E+00  
  20               4.16327214E-03   7.38809616E+02   8.38240045E-01   1.60422579E-01   2.61553150E-12   7.13379697E-04   6.58590729E-05   4.64967088E-04   6.07754437E-05   0.00000000E+00  
  21               5.01178633E-03   7.53947850E+02   8.38267951E-01   1.60415813E-01   4.90501083E-12   6.92259749E-04   8.68791986E-05   4.43873773E-04   6.07720262E-05   0.00000000E+00  
