# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CH4              CO               N2               Mg              
  34               8.33100965E-02   6.27582317E+02   8.38144410E-01   1.60445899E-01   1.01402644E-15   7.80024506E-04   5.31285568E-04   3.59223979E-10   5.47528002E-05   0.00000000E+00  
  35               9.80594667E-02   6.41877758E+02   8.38144837E-01   1.60445793E-01   2.39088519E-15   7.80024177E-04   5.31284910E-04   6.59952526E-10   5.50806699E-05   0.00000000E+00  
  36               1.15196239E-01   6.66590715E+02   8.38146170E-01   1.60445469E-01   1.01821017E-14   7.80022524E-04   5.31282285E-04   2.19568665E-09   5.60875227E-05   0.00000000E+00  
  37               1.35046592E-01   6.83751228E+02   8.38146564E-01   1.60445345E-01   2.55019792E-14   7.80021279E-04   5.31279728E-04   4.32590620E-09   5.64316116E-05   0.00000000E+00  
  38               1.57950860E-01   7.11266260E+02   8.38147607E-01   1.60445091E-01   1.05683573E-13   7.80014182E-04   5.31268961E-04   1.41806813E-08   5.72125833E-05   0.00000000E+00  
  39               1.84262038E-01   7.31468788E+02   8.38147861E-01   1.60444952E-01   2.74134468E-13   7.80002742E-04   5.31253331E-04   2.92622490E-08   5.75260620E-05   0.00000000E+00  
  40               2.14342569E-01   7.61881148E+02   8.38148511E-01   1.60444706E-01   1.08228823E-12   7.79948724E-04   5.31188855E-04   9.26297864E-08   5.81084252E-05   0.00000000E+00  
  41               2.48598142E-01   7.85190953E+02   8.38148974E-01   1.60444587E-01   2.82976793E-12   7.79857420E-04   5.31085648E-04   1.95063416E-07   5.83688669E-05   0.00000000E+00  
  42               2.87542397E-01   8.18508994E+02   8.38150002E-01   1.60444322E-01   1.04421256E-11   7.79492812E-04   5.30694392E-04   5.84237025E-07   5.87892865E-05   0.00000000E+00  
  43               3.31701435E-01   8.44919761E+02   8.38151012E-01   1.60444036E-01   2.68602586E-11   7.78881728E-04   5.30053735E-04   1.22235658E-06   5.89912904E-05   0.00000000E+00  
  44               3.81668755E-01   8.81277353E+02   8.38154018E-01   1.60443195E-01   9.19180284E-11   7.76741269E-04   5.27853908E-04   3.41480278E-06   5.92903405E-05   0.00000000E+00  
  45               4.38075000E-01   9.11053463E+02   8.38157705E-01   1.60441800E-01   2.30566743E-10   7.73235008E-04   5.24284349E-04   6.97367886E-06   5.94435682E-05   0.00000000E+00  
  46               5.01894652E-01   9.50839689E+02   8.38170247E-01   1.60438080E-01   7.33562941E-10   7.62513378E-04   5.13457751E-04   1.77726544E-05   5.96553775E-05   0.00000000E+00  
  47               5.74627440E-01   9.84532878E+02   8.38191870E-01   1.60432791E-01   1.79262103E-09   7.46312641E-04   4.97114935E-04   3.40797143E-05   5.97684160E-05   0.00000000E+00  
  48               6.59309145E-01   1.02854079E+03   8.38244025E-01   1.60420062E-01   5.34794437E-09   7.07079870E-04   4.57636595E-04   7.34818953E-05   5.99130956E-05   7.40283105E-16  
  49               7.60342065E-01   1.06684431E+03   8.38305324E-01   1.60405110E-01   1.26742701E-08   6.60860678E-04   4.11152897E-04   1.19889193E-04   5.99861044E-05   6.22980709E-15  
  50               8.85389623E-01   1.11480328E+03   8.38402484E-01   1.60381411E-01   3.45960213E-08   5.87556368E-04   3.37441847E-04   1.93496449E-04   6.00694127E-05   7.65201885E-14  
  51               1.04286455E+00   1.15462134E+03   8.38473595E-01   1.60364047E-01   7.30767017E-08   5.33858240E-04   2.83408931E-04   2.47465898E-04   6.00935559E-05   5.01190970E-13  
  52               1.24268292E+00   1.20253115E+03   8.38554965E-01   1.60344157E-01   1.69054577E-07   4.72370156E-04   2.21536850E-04   3.09272562E-04   6.01234888E-05   4.15595990E-12  
  53               1.49317703E+00   1.24137311E+03   8.38599389E-01   1.60333258E-01   3.10335701E-07   4.38704328E-04   1.87633928E-04   3.43143659E-04   6.01112456E-05   1.90479202E-11  
  54               1.80171978E+00   1.28864803E+03   8.38650339E-01   1.60320712E-01   6.25600475E-07   3.99982587E-04   1.48661847E-04   3.82078306E-04   6.01109505E-05   1.10165790E-10  
  55               2.17497551E+00   1.32694137E+03   8.38675125E-01   1.60314506E-01   1.04061347E-06   3.80905839E-04   1.29436492E-04   4.01284402E-04   6.00794252E-05   3.88518052E-10  
  56               2.61832953E+00   1.37380846E+03   8.38706216E-01   1.60306602E-01   1.89639745E-06   3.56740135E-04   1.05078519E-04   4.25615005E-04   6.00632482E-05   1.71389431E-09  
  57               3.13667092E+00   1.41135468E+03   8.38719020E-01   1.60302818E-01   2.92126593E-06   3.45819337E-04   9.39272678E-05   4.36749029E-04   6.00205721E-05   4.93015025E-09  
  58               3.73387871E+00   1.45778695E+03   8.38737396E-01   1.60297448E-01   4.92443987E-06   3.30644289E-04   7.77941483E-05   4.52856021E-04   5.99957013E-05   1.09832157E-08  
  59               4.41586864E+00   1.49492706E+03   8.38739443E-01   1.60294071E-01   7.17693263E-06   3.23723893E-04   7.07619767E-05   4.59865741E-04   5.99466430E-05   4.38322308E-08  
  60               5.18260899E+00   1.54172747E+03   8.38745281E-01   1.60289674E-01   1.14734075E-05   3.17948388E-04   5.84325896E-05   4.72165069E-04   5.99186583E-05   8.68405026E-08  
  61               6.03300903E+00   1.57986778E+03   8.38734931E-01   1.60285142E-01   1.62473215E-05   3.12912086E-04   5.30060122E-05   4.77558676E-04   5.98698014E-05   3.07632624E-07  
  62               6.94990090E+00   1.62868881E+03   8.38724666E-01   1.60280670E-01   2.53109642E-05   3.18392698E-04   4.20705870E-05   4.88459795E-04   5.98488159E-05   8.13170616E-07  
  63               7.91105932E+00   1.66975444E+03   8.38712542E-01   1.60276883E-01   3.57278922E-05   3.16109824E-04   3.67250232E-05   4.93770492E-04   5.98138845E-05   2.73388983E-06  
  64               8.88221712E+00   1.72216654E+03   8.38677025E-01   1.60269636E-01   5.52955030E-05   3.21165183E-04   2.81655372E-05   5.02284709E-04   5.98095730E-05   1.13029364E-05  
