# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               H                He               CO               H2O              Mg               Fe               N2              
  1                1.00000000E-05   1.34370317E+03   8.38003789E-01   6.24941954E-04   1.60193673E-01   5.30325417E-04   3.76774274E-04   6.67771576E-05   5.55443442E-05   6.07595279E-05  
  2                2.90202609E-05   1.60249083E+03   8.29950408E-01   9.38707943E-03   1.59489770E-01   5.28039813E-04   3.72033833E-04   6.64821290E-05   5.53001175E-05   6.04925328E-05  
  3                4.48525565E-05   1.66366025E+03   8.25684468E-01   1.40277676E-02   1.59117699E-01   5.26813988E-04   3.70776617E-04   6.63259591E-05   5.51710175E-05   6.03513958E-05  
  4                6.28166680E-05   1.67549810E+03   8.26347752E-01   1.33061302E-02   1.59175620E-01   5.27006845E-04   3.71011299E-04   6.63490860E-05   5.51910308E-05   6.03733620E-05  
  5                8.35515158E-05   1.71895308E+03   8.22642016E-01   1.73373476E-02   1.58852470E-01   5.25940498E-04   3.69974045E-04   6.62133170E-05   5.50788918E-05   6.02507768E-05  
  6                1.07647831E-04   1.72325893E+03   8.23961568E-01   1.59018225E-02   1.58967599E-01   5.26322052E-04   3.70372234E-04   6.62602689E-05   5.51187387E-05   6.02944436E-05  
  7                1.35807152E-04   1.76100749E+03   8.20373055E-01   1.98055012E-02   1.58654694E-01   5.25288790E-04   3.69379105E-04   6.61286675E-05   5.50101409E-05   6.01757399E-05  
  8                1.68781880E-04   1.76273205E+03   8.21983352E-01   1.80537099E-02   1.58795160E-01   5.25754028E-04   3.69846580E-04   6.61860786E-05   5.50587645E-05   6.02290186E-05  
  9                2.07494731E-04   1.79784167E+03   8.18395636E-01   2.19565099E-02   1.58482340E-01   5.24720602E-04   3.68854994E-04   6.60543479E-05   5.49501791E-05   6.01103413E-05  
  10               2.52968572E-04   1.79861147E+03   8.20160965E-01   2.00360805E-02   1.58636313E-01   5.25230495E-04   3.69358853E-04   6.61172314E-05   5.50034727E-05   6.01687442E-05  
  11               3.06457226E-04   1.83230295E+03   8.16529759E-01   2.39861811E-02   1.58319711E-01   5.24184262E-04   3.68352058E-04   6.59837083E-05   5.48935544E-05   6.00486261E-05  
  12               3.69365745E-04   1.83281112E+03   8.18389178E-01   2.19634058E-02   1.58481881E-01   5.24721274E-04   3.68878213E-04   6.60497992E-05   5.49496718E-05   6.01101381E-05  
  13               4.43410386E-04   1.86565251E+03   8.14700830E-01   2.59756597E-02   1.58160305E-01   5.23658360E-04   3.67849392E-04   6.59139343E-05   5.48380021E-05   5.99881255E-05  
  14               5.30520442E-04   1.86626305E+03   8.16618765E-01   2.38892364E-02   1.58327570E-01   5.24212249E-04   3.68389807E-04   6.59818864E-05   5.48958632E-05   6.00515701E-05  
  15               6.33043742E-04   1.89857126E+03   8.12868479E-01   2.79688608E-02   1.58000602E-01   5.23131309E-04   3.67335070E-04   6.58434476E-05   5.47822908E-05   5.99275023E-05  
  16               7.53621025E-04   1.89950387E+03   8.14819821E-01   2.58461010E-02   1.58170774E-01   5.23694839E-04   3.67884038E-04   6.59122895E-05   5.48411312E-05   5.99920491E-05  
  17               8.95457278E-04   1.93144414E+03   8.11012036E-01   2.99882691E-02   1.57838798E-01   5.22597177E-04   3.66802278E-04   6.57713735E-05   5.47257830E-05   5.98660700E-05  
  18               1.06215176E-03   1.93284251E+03   8.12976785E-01   2.78509299E-02   1.58010135E-01   5.23164581E-04   3.67355139E-04   6.58403111E-05   5.47849918E-05   5.99310570E-05  
  19               1.25806299E-03   1.96452123E+03   8.09116817E-01   3.20498592E-02   1.57673615E-01   5.22051749E-04   3.66245608E-04   6.56970377E-05   5.46680203E-05   5.98033394E-05  
  20               1.48806864E-03   1.96652462E+03   8.11070295E-01   2.99247830E-02   1.57843965E-01   5.22615907E-04   3.66796036E-04   6.57650968E-05   5.47268436E-05   5.98679497E-05  
  21               1.75806142E-03   1.99804104E+03   8.07156841E-01   3.41818916E-02   1.57502787E-01   5.21487541E-04   3.65656157E-04   6.56193348E-05   5.46081999E-05   5.97384464E-05  
  22               2.07460520E-03   2.00079897E+03   8.09068652E-01   3.21021451E-02   1.57669501E-01   5.22039682E-04   3.66195794E-04   6.56853215E-05   5.46657095E-05   5.98016731E-05  
