# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CH4              CO               N2               Mg              
  1                1.00000000E-05   3.19648940E+02   8.38146892E-01   1.60446174E-01   2.62185374E-31   7.81290735E-04   5.31286843E-04   2.46049462E-19   5.49714956E-05   0.00000000E+00  
  2                2.77026953E-04   3.62431649E+02   8.38130875E-01   1.60450057E-01   8.07516154E-28   7.81309643E-04   5.31299701E-04   3.31616922E-18   4.28721546E-05   0.00000000E+00  
  3                5.43407610E-04   3.87684541E+02   8.38137082E-01   1.60448552E-01   6.48142070E-26   7.81302336E-04   5.31294717E-04   8.00823848E-17   4.75614170E-05   0.00000000E+00  
  4                8.60674256E-04   3.97273492E+02   8.38135460E-01   1.60448944E-01   2.64607221E-25   7.81304354E-04   5.31296018E-04   1.54295079E-16   4.63369399E-05   0.00000000E+00  
  5                1.23431999E-03   4.13743390E+02   8.38138231E-01   1.60448013E-01   3.08088892E-24   7.81307502E-04   5.31292933E-04   9.53261843E-16   4.88851566E-05   0.00000000E+00  
  6                1.67445237E-03   4.19442426E+02   8.38137173E-01   1.60448471E-01   6.27516282E-24   7.80600802E-04   5.31294451E-04   1.19277395E-15   4.76162550E-05   0.00000000E+00  
  7                2.19110957E-03   4.33142987E+02   8.38139504E-01   1.60447871E-01   3.99011556E-23   7.80741433E-04   5.31292465E-04   4.75657167E-15   4.94852148E-05   0.00000000E+00  
  8                2.79796403E-03   4.37354634E+02   8.38137517E-01   1.60448191E-01   6.33899018E-23   7.80742986E-04   5.31293521E-04   5.14410990E-15   4.82675176E-05   0.00000000E+00  
  9                3.50959982E-03   4.50098193E+02   8.38135682E-01   1.60447253E-01   3.11133786E-22   7.82525198E-04   5.31290416E-04   1.71381552E-14   4.98840150E-05   0.00000000E+00  
  10               4.34575243E-03   4.53945666E+02   8.38136683E-01   1.60447801E-01   4.59077241E-22   7.79916942E-04   5.31292233E-04   1.80392205E-14   4.88274768E-05   0.00000000E+00  
  11               5.32546761E-03   4.65178505E+02   8.38138194E-01   1.60447435E-01   1.68338497E-21   7.79915164E-04   5.31291020E-04   4.69594517E-14   4.99684212E-05   0.00000000E+00  
  12               6.47247653E-03   4.68527658E+02   8.38136786E-01   1.60447776E-01   2.28890968E-21   7.79916823E-04   5.31292150E-04   4.71594205E-14   4.89050416E-05   0.00000000E+00  
  13               7.81520043E-03   4.79826665E+02   8.38138275E-01   1.60447416E-01   7.83080837E-21   7.79915071E-04   5.31290955E-04   1.17680477E-13   5.00296493E-05   0.00000000E+00  
  14               9.38802538E-03   4.83246850E+02   8.38136992E-01   1.60447726E-01   1.05391844E-20   7.79916583E-04   5.31291984E-04   1.19194846E-13   4.90611405E-05   0.00000000E+00  
  15               1.12300606E-02   4.94882259E+02   8.38138481E-01   1.60447366E-01   3.47426642E-20   7.79914834E-04   5.31290789E-04   2.91731242E-13   5.01853017E-05   0.00000000E+00  
  16               1.33886306E-02   4.98654393E+02   8.38137368E-01   1.60447635E-01   4.76110590E-20   7.79916146E-04   5.31291682E-04   3.04455107E-13   4.93450517E-05   0.00000000E+00  
  17               1.59179023E-02   5.10907001E+02   8.38138878E-01   1.60447269E-01   1.55213591E-19   7.79914376E-04   5.31290470E-04   7.45976334E-13   5.04857185E-05   0.00000000E+00  
  18               1.88826722E-02   5.15138192E+02   8.38137930E-01   1.60447499E-01   2.17772702E-19   7.79915497E-04   5.31291231E-04   8.03459507E-13   4.97690320E-05   0.00000000E+00  
  19               2.23568171E-02   5.27964626E+02   8.38139391E-01   1.60447145E-01   6.94533473E-19   7.79913792E-04   5.31290057E-04   1.94424380E-12   5.08731004E-05   0.00000000E+00  
  20               2.64292376E-02   5.32807842E+02   8.38138612E-01   1.60447334E-01   1.00618334E-18   7.79914716E-04   5.31290681E-04   2.17442079E-12   5.02848000E-05   0.00000000E+00  
  21               3.12021914E-02   5.46576906E+02   8.38140073E-01   1.60446980E-01   3.22583408E-18   7.79913027E-04   5.31289506E-04   5.32717154E-12   5.13880980E-05   0.00000000E+00  
  22               3.67976767E-02   5.52363384E+02   8.38139508E-01   1.60447116E-01   4.92723504E-18   7.79913707E-04   5.31289958E-04   6.30614345E-12   5.09618330E-05   0.00000000E+00  
  23               4.33542869E-02   5.67358669E+02   8.38140962E-01   1.60446764E-01   1.60634281E-17   7.79912056E-04   5.31288780E-04   1.58038302E-11   5.20601718E-05   0.00000000E+00  
  24               5.10362655E-02   5.74465692E+02   8.38140641E-01   1.60446841E-01   2.63395075E-17   7.79912467E-04   5.31289033E-04   2.01470028E-11   5.18180870E-05   0.00000000E+00  
  25               6.00295566E-02   5.91085132E+02   8.38142082E-01   1.60446492E-01   8.85381071E-17   7.79910892E-04   5.31287844E-04   5.23486295E-11   5.29060143E-05   0.00000000E+00  
  26               7.05507403E-02   5.99788130E+02   8.38141983E-01   1.60446516E-01   1.56285518E-16   7.79911085E-04   5.31287902E-04   7.20828637E-11   5.28316768E-05   0.00000000E+00  
  27               8.28393976E-02   6.18127621E+02   8.38143335E-01   1.60446188E-01   5.33613398E-16   7.79909713E-04   5.31286695E-04   1.91425110E-10   5.38531850E-05   0.00000000E+00  
  28               9.71715972E-02   6.28590362E+02   8.38143401E-01   1.60446171E-01   1.00460249E-15   7.79909784E-04   5.31286547E-04   2.82364916E-10   5.39043610E-05   0.00000000E+00  
  29               1.13864341E-01   6.48817246E+02   8.38144622E-01   1.60445875E-01   3.44902982E-15   7.79908640E-04   5.31285082E-04   7.59311082E-10   5.48271003E-05   0.00000000E+00  
  30               1.33283476E-01   6.61343461E+02   8.38144801E-01   1.60445827E-01   6.90624732E-15   7.79908587E-04   5.31284479E-04   1.19744219E-09   5.49706325E-05   0.00000000E+00  
  31               1.55828959E-01   6.83716872E+02   8.38145871E-01   1.60445567E-01   2.36943920E-14   7.79907063E-04   5.31281554E-04   3.24221502E-09   5.57782677E-05   0.00000000E+00  
  32               1.81944348E-01   6.98496558E+02   8.38146060E-01   1.60445491E-01   4.98059177E-14   7.79906098E-04   5.31279128E-04   5.40123665E-09   5.59714197E-05   0.00000000E+00  
  33               2.12106692E-01   7.23177980E+02   8.38146971E-01   1.60445268E-01   1.68572601E-13   7.79899990E-04   5.31269184E-04   1.45513780E-08   5.66534822E-05   0.00000000E+00  
  34               2.46834406E-01   7.40487103E+02   8.38147100E-01   1.60445164E-01   3.68466482E-13   7.79892518E-04   5.31257931E-04   2.54035791E-08   5.68678154E-05   0.00000000E+00  
  35               2.86682041E-01   7.67579795E+02   8.38147688E-01   1.60444934E-01   1.21229449E-12   7.79858970E-04   5.31215220E-04   6.71692038E-08   5.74244309E-05   0.00000000E+00  
  36               3.32300730E-01   7.87463111E+02   8.38148018E-01   1.60444849E-01   2.69867562E-12   7.79814462E-04   5.31161454E-04   1.20464545E-07   5.76302435E-05   0.00000000E+00  
  37               3.84443008E-01   8.17088026E+02   8.38148821E-01   1.60444643E-01   8.53450557E-12   7.79645389E-04   5.30971710E-04   3.08944946E-07   5.80723237E-05   0.00000000E+00  
