# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              NH3              CO               H2S              N2              
  34               1.70655965E-02   1.63146635E+02   8.38729524E-01   1.60589362E-01   5.31760983E-04   2.49695961E-07   1.21819222E-04   4.76271387E-61   2.30004308E-05   2.86272330E-23  
  35               1.90976461E-02   1.68004856E+02   8.38728752E-01   1.60589214E-01   5.31760494E-04   2.50551087E-07   1.21819110E-04   2.68964560E-59   2.30004096E-05   1.41469343E-22  
  36               2.14672179E-02   1.71558440E+02   8.38728752E-01   1.60589214E-01   5.31760494E-04   1.16931845E-06   1.21819110E-04   1.92332234E-57   2.30004096E-05   3.99081290E-22  
  37               2.42289635E-02   1.76643216E+02   8.38724457E-01   1.60588392E-01   5.31757771E-04   1.17404482E-06   1.21818486E-04   8.59028804E-56   2.30002918E-05   1.77432998E-21  
  38               2.74454164E-02   1.80830396E+02   8.38724457E-01   1.60588392E-01   5.31757771E-04   6.29078201E-06   1.21818486E-04   8.43693769E-54   2.30002918E-05   5.37906505E-21  
  39               3.11875929E-02   1.87060981E+02   8.38712953E-01   1.60586189E-01   5.31750478E-04   6.30314535E-06   1.21816816E-04   5.56706383E-52   2.29999764E-05   2.82554986E-20  
  40               3.55345250E-02   1.94701076E+02   8.38673491E-01   1.60578633E-01   5.31725458E-04   2.00452176E-05   1.21811084E-04   2.16875542E-49   2.29988942E-05   1.94263035E-19  
  41               4.05561155E-02   2.03345332E+02   8.38566319E-01   1.60558113E-01   5.31657510E-04   6.71369110E-05   1.21795518E-04   1.10268723E-46   2.29959552E-05   1.47085454E-18  
  42               4.62836669E-02   2.11733963E+02   8.38073968E-01   1.60463844E-01   5.31345356E-04   1.94721518E-04   1.21724008E-04   2.77712842E-44   2.29824535E-05   8.78901379E-18  
  43               5.25261351E-02   2.20613925E+02   8.38073968E-01   1.60463844E-01   5.31345356E-04   7.81855405E-04   1.21724008E-04   8.82470689E-42   2.29824535E-05   5.10894415E-17  
  44               5.91804446E-02   2.28759440E+02   8.38073968E-01   1.60463844E-01   5.31345356E-04   7.81855405E-04   1.21724008E-04   3.55099505E-40   2.29824535E-05   2.23898973E-16  
  45               6.68879772E-02   2.37912593E+02   8.38073968E-01   1.60463844E-01   5.31345356E-04   7.81855405E-04   1.21724008E-04   1.68965952E-38   2.29824535E-05   1.05677354E-15  
  46               7.58119631E-02   2.47099118E+02   8.38073968E-01   1.60463844E-01   5.31345356E-04   7.81855405E-04   1.21724008E-04   6.02764591E-37   2.29824535E-05   4.40308382E-15  
  47               8.61411573E-02   2.57281322E+02   8.38073968E-01   1.60463844E-01   5.31345356E-04   7.81855405E-04   1.21724008E-04   2.37544804E-35   2.29824535E-05   1.92024410E-14  
  48               9.80924841E-02   2.67549942E+02   8.38073968E-01   1.60463844E-01   5.31345356E-04   7.81855405E-04   1.21724008E-04   7.18225690E-34   2.29824535E-05   7.46947120E-14  
  49               1.11913791E-01   2.78802176E+02   8.38073968E-01   1.60463844E-01   5.31345356E-04   7.81855405E-04   1.21724007E-04   2.27551155E-32   2.29824535E-05   2.97419469E-13  
  50               1.27888082E-01   2.90187416E+02   8.38073968E-01   1.60463844E-01   5.31345356E-04   7.81855405E-04   1.21724006E-04   5.65038037E-31   2.29824535E-05   1.06635126E-12  
  51               1.46347594E-01   3.02551755E+02   8.38073968E-01   1.60463844E-01   5.31345356E-04   7.81855405E-04   1.21724000E-04   1.41619316E-29   2.29824535E-05   3.85172828E-12  
  52               1.67677952E-01   3.15106172E+02   8.38073968E-01   1.60463844E-01   5.31345356E-04   7.81855368E-04   1.21723982E-04   2.84887419E-28   2.29824535E-05   1.26573627E-11  
  53               1.92323928E-01   3.28662874E+02   8.38073967E-01   1.60463844E-01   5.31345355E-04   7.81855264E-04   1.21723925E-04   5.66163896E-27   2.29824535E-05   4.15172339E-11  
  54               2.20793159E-01   3.42467984E+02   8.38073968E-01   1.60463844E-01   5.31345355E-04   7.81854369E-04   1.21723758E-04   9.22701180E-26   2.29824535E-05   1.25047744E-10  
  55               2.53664407E-01   3.57308677E+02   8.38073964E-01   1.60463843E-01   5.31345353E-04   7.81854364E-04   1.21723260E-04   1.46459109E-24   2.29824534E-05   3.73620116E-10  
  56               2.91612293E-01   3.72438199E+02   8.38073970E-01   1.60463843E-01   5.31345353E-04   7.81849485E-04   1.21721943E-04   1.93671332E-23   2.29824534E-05   1.03191123E-09  
  57               3.35407246E-01   3.88645894E+02   8.38073592E-01   1.60463770E-01   5.31345110E-04   7.81849127E-04   1.21718320E-04   2.47257072E-22   2.29824429E-05   2.81592941E-09  
  58               3.85928093E-01   4.05182966E+02   8.38074014E-01   1.60463805E-01   5.31345226E-04   7.81395451E-04   1.21709683E-04   2.66786622E-21   2.29824479E-05   7.14753287E-09  
  59               4.44170747E-01   4.22857095E+02   8.38074028E-01   1.60463802E-01   5.31345214E-04   7.81395490E-04   1.21688194E-04   2.77052314E-20   2.29824474E-05   1.78906175E-08  
  60               5.11276690E-01   4.40889189E+02   8.38074051E-01   1.60463792E-01   5.31345184E-04   7.81396968E-04   1.21640267E-04   2.46298312E-19   2.29824461E-05   4.18508384E-08  
  61               5.88581823E-01   4.60125510E+02   8.38073687E-01   1.60463699E-01   5.31344874E-04   7.81433948E-04   1.21531137E-04   2.10326918E-18   2.29824326E-05   9.63801275E-08  
  62               6.77598000E-01   4.79751050E+02   8.38071936E-01   1.60463663E-01   5.31344755E-04   7.83333090E-04   1.21307607E-04   1.55961498E-17   2.29824275E-05   2.08131399E-07  
