# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              NH3              H2S              H2O(l)           Ar              
  34               8.63765200E-01   9.13337369E+01   8.38832081E-01   1.60608803E-01   5.31825358E-04   1.75547826E-19   4.73812318E-10   2.30008445E-05   0.00000000E+00   4.22443195E-06  
  35               1.06403944E+00   9.71100149E+01   8.38832080E-01   1.60608803E-01   5.31825358E-04   9.36623721E-20   4.74831269E-10   2.30008445E-05   0.00000000E+00   4.22443195E-06  
  36               1.30813410E+00   1.03409860E+02   8.38832072E-01   1.60608801E-01   5.31825352E-04   5.58909818E-19   1.37379093E-09   2.30008442E-05   0.00000000E+00   4.22443191E-06  
  37               1.60641490E+00   1.10453428E+02   8.38832003E-01   1.60608788E-01   5.31825308E-04   1.89868514E-17   1.19979440E-08   2.30008424E-05   0.00000000E+00   4.22443156E-06  
  38               1.97158223E+00   1.18166689E+02   8.38831581E-01   1.60608707E-01   5.31825041E-04   5.55507550E-16   9.48526525E-08   2.30008308E-05   0.00000000E+00   4.22442943E-06  
  39               2.41501968E+00   1.26111549E+02   8.38829383E-01   1.60608286E-01   5.31823648E-04   1.15311979E-14   6.00363448E-07   2.30007705E-05   0.00000000E+00   4.22441837E-06  
  40               2.92952359E+00   1.34393793E+02   8.38822485E-01   1.60606965E-01   5.31819274E-04   1.85443646E-13   3.22620454E-06   2.30005814E-05   0.00000000E+00   4.22438363E-06  
  41               3.44151556E+00   1.41493790E+02   8.38795149E-01   1.60601731E-01   5.31801943E-04   1.53303581E-12   1.14745993E-05   2.29998318E-05   0.00000000E+00   4.22424596E-06  
  42               3.81656308E+00   1.46436040E+02   8.38795149E-01   1.60601731E-01   5.31801943E-04   1.45831407E-11   4.40284462E-05   2.29998318E-05   0.00000000E+00   4.22424596E-06  
  43               4.11748457E+00   1.49964620E+02   8.38729896E-01   1.60589238E-01   5.31760572E-04   1.46155393E-11   4.40973923E-05   2.29980426E-05   0.00000000E+00   4.22391734E-06  
  44               4.36918625E+00   1.52971061E+02   8.38729896E-01   1.60589238E-01   5.31760572E-04   5.06277030E-11   1.21819128E-04   2.29980426E-05   0.00000000E+00   4.22391734E-06  
  45               4.57143668E+00   1.55105898E+02   8.38729896E-01   1.60589238E-01   5.31760572E-04   5.07538620E-11   1.21819128E-04   2.29980426E-05   0.00000000E+00   4.22391734E-06  
  46               4.82081180E+00   1.57863539E+02   8.38729896E-01   1.60589238E-01   5.31760572E-04   1.86239918E-10   1.21819128E-04   2.29980426E-05   0.00000000E+00   4.22391734E-06  
  47               5.12830825E+00   1.60900550E+02   8.38729895E-01   1.60589237E-01   5.31760571E-04   1.86955449E-10   1.21819128E-04   2.29980426E-05   0.00000000E+00   4.22391734E-06  
  48               5.50749937E+00   1.64662804E+02   8.38729895E-01   1.60589237E-01   5.31760571E-04   9.55387704E-10   1.21819128E-04   2.29980426E-05   0.00000000E+00   4.22391734E-06  
  49               5.97513941E+00   1.68848821E+02   8.38729890E-01   1.60589237E-01   5.31760568E-04   9.60751886E-10   1.21819127E-04   2.29980424E-05   0.00000000E+00   4.22391731E-06  
  50               6.55190155E+00   1.73862445E+02   8.38729890E-01   1.60589237E-01   5.31760568E-04   6.72156668E-09   1.21819127E-04   2.29980424E-05   0.00000000E+00   4.22391731E-06  
  51               7.26327136E+00   1.79446296E+02   8.38729879E-01   1.60589234E-01   5.31760561E-04   6.73376543E-09   1.21819126E-04   2.29980421E-05   0.00000000E+00   4.22391726E-06  
  52               8.14072582E+00   1.85955899E+02   8.38729846E-01   1.60589228E-01   5.31760540E-04   1.98719897E-08   1.21819121E-04   2.29980412E-05   0.00000000E+00   4.22391709E-06  
  53               9.21831441E+00   1.93143520E+02   8.38729742E-01   1.60589208E-01   5.31760475E-04   5.99235496E-08   1.21819106E-04   2.29980384E-05   0.00000000E+00   4.22391657E-06  
  54               1.04940212E+01   2.01032029E+02   8.38729453E-01   1.60589153E-01   5.31760291E-04   1.83292913E-07   1.21819064E-04   2.29980304E-05   0.00000000E+00   4.22391511E-06  
  55               1.19649588E+01   2.09187736E+02   8.38728671E-01   1.60589003E-01   5.31759795E-04   5.29323732E-07   1.21818950E-04   2.29980090E-05   0.00000000E+00   4.22391117E-06  
  56               1.36312728E+01   2.17709497E+02   8.38721959E-01   1.60587718E-01   5.31755540E-04   1.46785965E-06   1.21817975E-04   2.29978249E-05   0.00000000E+00   4.22387737E-06  
