# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              Mg               Fe               N2              
  1                1.00000000E-05   1.31142889E+03   8.38227333E-01   1.60213348E-01   3.81622713E-04   5.30381358E-04   3.77269605E-04   6.67854344E-05   5.55511726E-05   6.07669899E-05  
  2                1.01949966E-05   1.41234310E+03   8.37070715E-01   1.60111762E-01   1.64057740E-03   5.30070414E-04   3.75456817E-04   6.67429451E-05   5.55159273E-05   6.07284602E-05  
  3                1.04449517E-05   1.31715389E+03   8.38202863E-01   1.60211196E-01   4.08259903E-04   5.30375946E-04   3.77208610E-04   6.67844829E-05   5.55504236E-05   6.07661737E-05  
  4                1.07655721E-05   1.41765942E+03   8.37002279E-01   1.60105772E-01   1.71504596E-03   5.30051661E-04   3.75392561E-04   6.67403868E-05   5.55138460E-05   6.07261878E-05  
  5                1.11762695E-05   1.32367211E+03   8.38176936E-01   1.60208918E-01   4.36480915E-04   5.30370303E-04   3.77147291E-04   6.67834530E-05   5.55496296E-05   6.07653096E-05  
  6                1.17024384E-05   1.42449029E+03   8.36922240E-01   1.60098770E-01   1.80213592E-03   5.30029836E-04   3.75323592E-04   6.67373702E-05   5.55114121E-05   6.07235319E-05  
  7                1.23752549E-05   1.33225445E+03   8.38143480E-01   1.60205981E-01   4.72893562E-04   5.30363004E-04   3.77072683E-04   6.67821058E-05   5.55486048E-05   6.07641954E-05  
  8                1.32357252E-05   1.43351324E+03   8.36823913E-01   1.60090174E-01   1.90911715E-03   5.30003117E-04   3.75246502E-04   6.67336336E-05   5.55084222E-05   6.07202712E-05  
  9                1.43334994E-05   1.34353755E+03   8.38099523E-01   1.60202125E-01   5.20732574E-04   5.30353300E-04   3.76981656E-04   6.67803127E-05   5.55472579E-05   6.07627324E-05  
  10               1.57345089E-05   1.44518371E+03   8.36704987E-01   1.60079785E-01   2.03850255E-03   5.29970888E-04   3.75162972E-04   6.67290684E-05   5.55048057E-05   6.07163301E-05  
  11               1.75172979E-05   1.35790638E+03   8.38042846E-01   1.60197158E-01   5.82409538E-04   5.30340562E-04   3.76874463E-04   6.67779673E-05   5.55455205E-05   6.07608474E-05  
  12               1.97870830E-05   1.45991198E+03   8.36561311E-01   1.60067241E-01   2.19480620E-03   5.29931970E-04   3.75072929E-04   6.67234925E-05   5.55004352E-05   6.07115715E-05  
  13               2.26671204E-05   1.37574974E+03   8.37969390E-01   1.60190724E-01   6.62340079E-04   5.30323591E-04   3.76749449E-04   6.67748890E-05   5.55432678E-05   6.07584060E-05  
  14               2.63237586E-05   1.47818016E+03   8.36380348E-01   1.60051447E-01   2.39166734E-03   5.29882742E-04   3.74969206E-04   6.67164112E-05   5.54949281E-05   6.07055798E-05  
  15               3.09481837E-05   1.39762159E+03   8.37870135E-01   1.60182035E-01   7.70341237E-04   5.30299750E-04   3.76599222E-04   6.67707083E-05   5.55402230E-05   6.07551085E-05  
  16               3.68000093E-05   1.50070056E+03   8.36132657E-01   1.60029829E-01   2.66112187E-03   5.29814695E-04   3.74833648E-04   6.67067066E-05   5.54873880E-05   6.06973781E-05  
  17               4.41706730E-05   1.42435560E+03   8.37726729E-01   1.60169484E-01   9.26379884E-04   5.30263713E-04   3.76408599E-04   6.67647056E-05   5.55358252E-05   6.07503454E-05  
  18               5.34557051E-05   1.52871161E+03   8.35755742E-01   1.59996923E-01   3.07116302E-03   5.29709797E-04   3.74632643E-04   6.66920475E-05   5.54759157E-05   6.06848944E-05  
  19               6.50792678E-05   1.45798909E+03   8.37492036E-01   1.60148941E-01   1.18170410E-03   5.30201946E-04   3.76139948E-04   6.67550938E-05   5.55286364E-05   6.07425502E-05  
  20               7.92487070E-05   1.58282092E+03   8.34335243E-01   1.59872824E-01   4.61639660E-03   5.29305802E-04   3.73978391E-04   6.66390385E-05   5.54327858E-05   6.06378196E-05  
  21               9.38697937E-05   1.61269103E+03   8.33228986E-01   1.59776224E-01   5.81994323E-03   5.28989315E-04   3.73484172E-04   6.65981083E-05   5.53992341E-05   6.06011762E-05  
  22               1.12191553E-04   1.61300886E+03   8.33667681E-01   1.59814576E-01   5.34261355E-03   5.29116319E-04   3.73713498E-04   6.66133902E-05   5.54124894E-05   6.06157208E-05  
  23               1.35149750E-04   1.64285338E+03   8.32511086E-01   1.59713610E-01   6.60089371E-03   5.28785088E-04   3.73238602E-04   6.65704117E-05   5.53774061E-05   6.05774203E-05  
  24               1.63870008E-04   1.64435995E+03   8.32982786E-01   1.59754838E-01   6.08766381E-03   5.28921729E-04   3.73469727E-04   6.65866636E-05   5.53916414E-05   6.05930544E-05  
  25               1.99778534E-04   1.67474411E+03   8.31747735E-01   1.59647047E-01   7.43127267E-03   5.28567688E-04   3.72995228E-04   6.65405524E-05   5.53541680E-05   6.05521635E-05  
  26               2.44615470E-04   1.67741310E+03   8.32242301E-01   1.59690264E-01   6.89317209E-03   5.28711010E-04   3.73224089E-04   6.65573476E-05   5.53690712E-05   6.05685506E-05  
  27               3.00603810E-04   1.70823848E+03   8.30930873E-01   1.59575830E-01   8.31984971E-03   5.28334755E-04   3.72746821E-04   6.65081063E-05   5.53292630E-05   6.05251367E-05  
  28               3.70438890E-04   1.71195900E+03   8.31444997E-01   1.59620747E-01   7.76047750E-03   5.28483775E-04   3.72972742E-04   6.65252503E-05   5.53447273E-05   6.05421666E-05  
  29               4.57536903E-04   1.74319279E+03   8.30056847E-01   1.59499637E-01   9.27060249E-03   5.28085211E-04   3.72488867E-04   6.64727734E-05   5.53025643E-05   6.04962165E-05  
  30               5.66028763E-04   1.74793430E+03   8.30583521E-01   1.59545643E-01   8.69758297E-03   5.28237888E-04   3.72709976E-04   6.64899170E-05   5.53183691E-05   6.05136561E-05  
  31               7.01127165E-04   1.77961173E+03   8.29113099E-01   1.59417371E-01   1.02971936E-02   5.27815423E-04   3.72214271E-04   6.64338871E-05   5.52736715E-05   6.04649842E-05  
  32               8.69118762E-04   1.78534981E+03   8.29646241E-01   1.59463935E-01   9.71714243E-03   5.27969987E-04   3.72429176E-04   6.64506909E-05   5.52896217E-05   6.04826308E-05  
  33               1.07790985E-03   1.81743720E+03   8.28092962E-01   1.59328450E-01   1.14068761E-02   5.27523459E-04   3.71918578E-04   6.63909445E-05   5.52423571E-05   6.04312151E-05  
  34               1.33700006E-03   1.82412678E+03   8.28629087E-01   1.59375269E-01   1.08235852E-02   5.27678891E-04   3.72126877E-04   6.64071355E-05   5.52583334E-05   6.04489515E-05  
  35               1.65829686E-03   1.85655063E+03   8.26997335E-01   1.59232951E-01   1.25986741E-02   5.27209572E-04   3.71600016E-04   6.63436584E-05   5.52086162E-05   6.03949338E-05  
  36               2.05604288E-03   1.86414153E+03   8.27534149E-01   1.59279826E-01   1.20146386E-02   5.27365200E-04   3.71801701E-04   6.63589731E-05   5.52245317E-05   6.04126812E-05  
  37               2.54803527E-03   1.89679500E+03   8.25834060E-01   1.59131559E-01   1.38640565E-02   5.26876021E-04   3.71258980E-04   6.62919236E-05   5.51726461E-05   6.03563922E-05  
  38               3.15544691E-03   1.90523784E+03   8.26369664E-01   1.59178323E-01   1.32813424E-02   5.27031287E-04   3.71454131E-04   6.63060736E-05   5.51884215E-05   6.03740837E-05  
  39               3.90463837E-03   1.93803925E+03   8.24612138E-01   1.59025058E-01   1.51932328E-02   5.26525402E-04   3.70896094E-04   6.62355948E-05   5.51346696E-05   6.03158780E-05  
  40               4.82674111E-03   1.94738879E+03   8.25134960E-01   1.59070703E-01   1.46244275E-02   5.26676963E-04   3.71081537E-04   6.62478919E-05   5.51499275E-05   6.03331250E-05  
  41               5.96037764E-03   1.98030524E+03   8.23327015E-01   1.58913049E-01   1.65911578E-02   5.26156405E-04   3.70507583E-04   6.61739361E-05   5.50944878E-05   6.02732262E-05  
  42               7.35080326E-03   1.99066636E+03   8.23819712E-01   1.58956063E-01   1.60551261E-02   5.26299252E-04   3.70678186E-04   6.61834279E-05   5.51086694E-05   6.02894468E-05  
  43               9.05385710E-03   2.02381486E+03   8.21951243E-01   1.58793139E-01   1.80876897E-02   5.25761112E-04   3.70082416E-04   6.61052659E-05   5.50511949E-05   6.02275090E-05  
  44               1.11344784E-02   2.03537906E+03   8.22386461E-01   1.58831137E-01   1.76141903E-02   5.25887346E-04   3.70229603E-04   6.61105730E-05   5.50634302E-05   6.02417870E-05  
  45               1.36728017E-02   2.06894713E+03   8.20434613E-01   1.58660949E-01   1.97374503E-02   5.25325034E-04   3.69602220E-04   6.60269457E-05   5.50031791E-05   6.01770380E-05  
  46               1.67612368E-02   2.08209509E+03   8.20762696E-01   1.58689600E-01   1.93804989E-02   5.25420321E-04   3.69709866E-04   6.60257957E-05   5.50119122E-05   6.01877144E-05  
  47               2.05126463E-02   2.11643041E+03   8.18677612E-01   1.58507800E-01   2.16486907E-02   5.24819453E-04   3.69032287E-04   6.59343822E-05   5.49473141E-05   6.01184822E-05  
  48               2.50558480E-02   2.13153416E+03   8.18844043E-01   1.58522352E-01   2.14675921E-02   5.24868049E-04   3.69082089E-04   6.59242469E-05   5.49508295E-05   6.01237310E-05  
  49               3.05468119E-02   2.16712855E+03   8.16543653E-01   1.58321783E-01   2.39699944E-02   5.24204936E-04   3.68324628E-04   6.58214759E-05   5.48793260E-05   6.00472671E-05  
  50               3.71612107E-02   2.18482541E+03   8.16450809E-01   1.58313724E-01   2.40709449E-02   5.24178656E-04   3.68283230E-04   6.57981666E-05   5.48745878E-05   6.00438257E-05  
  51               4.51102899E-02   2.22224556E+03   8.13817992E-01   1.58084176E-01   2.69349628E-02   5.23419484E-04   3.67403133E-04   6.56791236E-05   5.47925455E-05   5.99562046E-05  
  52               5.46281732E-02   2.24327573E+03   8.13330403E-01   1.58041694E-01   2.74653297E-02   5.23279211E-04   3.67222795E-04   6.56369950E-05   5.47753549E-05   5.99395399E-05  
  53               6.59934798E-02   2.28337840E+03   8.10167388E-01   1.57765923E-01   3.09061002E-02   5.22366884E-04   3.66147228E-04   6.54937703E-05   5.46766827E-05   5.98341325E-05  
  54               7.95078976E-02   2.30883297E+03   8.09050439E-01   1.57668362E-01   3.21189764E-02   5.22044204E-04   3.65743059E-04   6.54234218E-05   5.46397496E-05   5.97963148E-05  
  55               9.54700198E-02   2.35247633E+03   8.05063677E-01   1.57321190E-01   3.64462109E-02   5.20894576E-04   3.71171454E-04   6.52449217E-05   5.45156021E-05   5.96634047E-05  
  56               1.14230883E-01   2.38465001E+03   8.02769974E-01   1.57121231E-01   3.89413093E-02   5.20232824E-04   3.70335844E-04   6.51259992E-05   5.44423739E-05   5.95862725E-05  
  57               1.36165760E-01   2.44204227E+03   7.95780540E-01   1.56511855E-01   4.65445339E-02   5.18215796E-04   3.67829462E-04   6.48316375E-05   5.42262868E-05   5.93528000E-05  
  58               1.61427935E-01   2.49625367E+03   7.88621928E-01   1.55887744E-01   5.43317759E-02   5.16149755E-04   3.65188856E-04   6.45291644E-05   5.40048015E-05   5.91129208E-05  
  59               1.90513294E-01   2.54861453E+03   7.81191400E-01   1.55239934E-01   6.24147967E-02   5.14005060E-04   3.62367855E-04   6.42145909E-05   5.37747666E-05   5.88628958E-05  
  60               2.24050177E-01   2.59896713E+03   7.73668549E-01   1.54584079E-01   7.05982322E-02   5.11833543E-04   3.59424591E-04   6.38941970E-05   5.35415847E-05   5.86082811E-05  
  61               2.62729295E-01   2.64839555E+03   7.65905011E-01   1.53907241E-01   7.90434756E-02   5.09592377E-04   3.56296457E-04   6.35623308E-05   5.33007207E-05   5.83434887E-05  
  62               3.07308505E-01   2.69642229E+03   7.58122121E-01   1.53228714E-01   8.75097526E-02   5.07345435E-04   3.53063658E-04   6.32268567E-05   5.30588482E-05   5.80751373E-05  
  63               3.58616320E-01   2.74411548E+03   7.50096363E-01   1.52529008E-01   9.62402077E-02   5.05028183E-04   3.49633020E-04   6.28794984E-05   5.28091665E-05   5.77944817E-05  
  64               4.17564524E-01   2.79068262E+03   7.42129346E-01   1.51834418E-01   1.04906742E-01   5.02727662E-04   3.46123903E-04   6.25310589E-05   5.25607825E-05   5.75102804E-05  
  65               4.85160126E-01   2.83722830E+03   7.33931085E-01   1.51119660E-01   1.13824801E-01   5.00360141E-04   3.42413185E-04   6.21709303E-05   5.23048909E-05   5.72103636E-05  
  66               5.62520487E-01   2.88280684E+03   7.25861194E-01   1.50416085E-01   1.22603189E-01   4.98029397E-04   3.38653449E-04   6.18119825E-05   5.20523512E-05   5.69045760E-05  
  67               6.50887243E-01   2.92861272E+03   7.17555584E-01   1.49691948E-01   1.31637959E-01   4.95630296E-04   3.34684907E-04   6.14409968E-05   5.17921206E-05   5.65760618E-05  
  68               7.51652779E-01   2.97353154E+03   7.09448578E-01   1.48985117E-01   1.40456642E-01   4.93288174E-04   3.30703139E-04   6.10734603E-05   5.15373110E-05   5.62359570E-05  
  69               8.66384864E-01   3.01886745E+03   7.01102270E-01   1.48257408E-01   1.49535589E-01   4.90876567E-04   3.26508454E-04   6.06935506E-05   5.12746502E-05   5.58610645E-05  
  70               9.96819510E-01   3.06339681E+03   6.93008661E-01   1.47551720E-01   1.58339583E-01   4.88537452E-04   3.22334349E-04   6.03187294E-05   5.10189829E-05   5.54627639E-05  
  71               1.14486943E+00   3.10853862E+03   6.84651734E-01   1.46823058E-01   1.67429939E-01   4.86121788E-04   3.17935429E-04   5.99304925E-05   5.07546859E-05   5.50085323E-05  
  72               1.31271879E+00   3.15295369E+03   6.76586117E-01   1.46119781E-01   1.76203315E-01   4.83789618E-04   3.13587101E-04   5.95484054E-05   5.04984811E-05   5.45097277E-05  
  73               1.50286356E+00   3.19818259E+03   6.68226174E-01   1.45390822E-01   1.85296742E-01   4.81371758E-04   3.08998486E-04   5.91515442E-05   5.02326441E-05   5.39201903E-05  
  74               1.71814940E+00   3.24281596E+03   6.60173144E-01   1.44688606E-01   1.94056174E-01   4.79041687E-04   3.04480341E-04   5.87609425E-05   4.99752805E-05   5.32500641E-05  
  75               1.96182728E+00   3.28849479E+03   6.51780976E-01   1.43956796E-01   2.03184345E-01   4.76612711E-04   2.99697651E-04   5.83536455E-05   4.97068491E-05   5.24326414E-05  
  76               2.23761457E+00   3.33366693E+03   6.43725080E-01   1.43254284E-01   2.11946524E-01   4.74279696E-04   2.95012604E-04   5.79530884E-05   4.94476654E-05   5.14790599E-05  
  77               2.54976751E+00   3.38005342E+03   6.35311878E-01   1.42520585E-01   2.21097119E-01   4.71842131E-04   2.90051166E-04   5.75347779E-05   4.91767637E-05   5.02936965E-05  
