# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              CH4              N2               Mg              
  1                1.00000000E-05   5.40471764E+02   8.38193144E-01   1.60434499E-01   1.04424759E-16   2.75013910E-05   7.48971895E-04   5.02062179E-04   6.08471296E-05   0.00000000E+00  
  2                1.22880141E-05   5.74331626E+02   8.38394586E-01   1.60386398E-01   1.67961297E-15   1.73899542E-04   5.95613388E-04   3.52134469E-04   6.08302647E-05   0.00000000E+00  
  3                1.55510378E-05   5.86711909E+02   8.38460022E-01   1.60370521E-01   3.94233378E-15   2.23419514E-04   5.46117622E-04   3.02607693E-04   6.08242195E-05   0.00000000E+00  
  4                2.00706381E-05   6.02991809E+02   8.38554876E-01   1.60347345E-01   1.17143720E-14   2.95883434E-04   4.74295973E-04   2.30433158E-04   6.08154968E-05   0.00000000E+00  
  5                2.61426333E-05   6.12593581E+02   8.38574763E-01   1.60342412E-01   2.04120090E-14   3.11703069E-04   4.59360574E-04   2.15044803E-04   6.08133727E-05   0.00000000E+00  
  6                3.40784550E-05   6.26325657E+02   8.38626154E-01   1.60329815E-01   4.60832417E-14   3.51477788E-04   4.20614366E-04   1.75757433E-04   6.08084823E-05   0.00000000E+00  
  7                4.42288152E-05   6.34029012E+02   8.38624474E-01   1.60330143E-01   6.75890461E-14   3.50767260E-04   4.21961603E-04   1.76781013E-04   6.08082031E-05   0.00000000E+00  
  8                5.70064408E-05   6.46252348E+02   8.38656628E-01   1.60322239E-01   1.31136638E-13   3.75794588E-04   3.97741972E-04   1.52131808E-04   6.08049890E-05   0.00000000E+00  
  9                7.29775173E-05   6.53149190E+02   8.38649239E-01   1.60323974E-01   1.78640195E-13   3.70598927E-04   4.03384328E-04   1.57547286E-04   6.08051324E-05   0.00000000E+00  
  10               9.28143707E-05   6.64805888E+02   8.38674144E-01   1.60317847E-01   3.22516075E-13   3.89991617E-04   3.84627523E-04   1.38444628E-04   6.08025225E-05   0.00000000E+00  
  11               1.17384741E-04   6.71339616E+02   8.38665022E-01   1.60320016E-01   4.22647700E-13   3.83386224E-04   3.91565480E-04   1.45213287E-04   6.08027147E-05   0.00000000E+00  
  12               1.47693341E-04   6.82704272E+02   8.38685633E-01   1.60314943E-01   7.26875402E-13   3.99424535E-04   3.76041360E-04   1.29401164E-04   6.08004287E-05   0.00000000E+00  
  13               1.85027629E-04   6.89072419E+02   8.38675891E-01   1.60317271E-01   9.29691092E-13   3.92287848E-04   3.83437142E-04   1.36664503E-04   6.08005454E-05   0.00000000E+00  
  14               2.30894644E-04   7.00371360E+02   8.38693913E-01   1.60312832E-01   1.54815681E-12   4.06296623E-04   3.69858521E-04   1.22836088E-04   6.07984146E-05   0.00000000E+00  
  15               2.87218534E-04   7.06759297E+02   8.38684292E-01   1.60315135E-01   1.95449100E-12   3.99210580E-04   3.77155745E-04   1.30024339E-04   6.07983645E-05   0.00000000E+00  
  16               3.56245323E-04   7.18137006E+02   8.38700507E-01   1.60311133E-01   3.18050392E-12   4.11812887E-04   3.64924016E-04   1.17568211E-04   6.07962968E-05   0.00000000E+00  
  17               4.40799111E-04   7.24601928E+02   8.38690974E-01   1.60313411E-01   3.97554595E-12   4.04783182E-04   3.72129657E-04   1.24682057E-04   6.07960443E-05   0.00000000E+00  
  18               5.44151224E-04   7.36074415E+02   8.38705502E-01   1.60309820E-01   6.33228666E-12   4.16068135E-04   3.61169529E-04   1.13516264E-04   6.07940011E-05   0.00000000E+00  
  19               6.70364211E-04   7.42579636E+02   8.38695708E-01   1.60312155E-01   7.82454919E-12   4.08838077E-04   3.68546625E-04   1.20816193E-04   6.07935271E-05   0.00000000E+00  
  20               8.24147290E-04   7.54134025E+02   8.38708625E-01   1.60308948E-01   1.22046166E-11   4.18887715E-04   3.58785426E-04   1.10864050E-04   6.07914613E-05   0.00000000E+00  
  21               1.01136374E-03   7.60681343E+02   8.38698480E-01   1.60311355E-01   1.49178496E-11   4.11409469E-04   3.66387578E-04   1.18401142E-04   6.07907151E-05   0.00000000E+00  
  22               1.23889225E-03   7.72334434E+02   8.38709993E-01   1.60308475E-01   2.28281658E-11   4.20400277E-04   3.57656493E-04   1.09490593E-04   6.07885628E-05   0.00000000E+00  
  23               1.51528016E-03   7.78950544E+02   8.38699471E-01   1.60310949E-01   2.76464874E-11   4.12683081E-04   3.65479248E-04   1.17258188E-04   6.07874744E-05   0.00000000E+00  
  24               1.85062638E-03   7.90821863E+02   8.38710104E-01   1.60308257E-01   4.17505535E-11   4.21036621E-04   3.57364929E-04   1.08971498E-04   6.07851460E-05   0.00000000E+00  
