# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              NH3              H2S              N2               H2O(s)          
  1                1.00000000E-05   4.01022545E+01   8.38831856E-01   1.60608966E-01   5.31825900E-04   1.86470088E-17   6.42862793E-08   2.30039458E-05   3.01196806E-40   0.00000000E+00  
  2                4.69642629E-04   5.45445110E+01   8.38831856E-01   1.60608966E-01   5.31825900E-04   1.80019563E-17   6.42862793E-08   2.30039458E-05   1.36557432E-43   0.00000000E+00  
  3                1.00943320E-03   6.10919507E+01   8.38831856E-01   1.60608966E-01   5.31825900E-04   1.79364972E-17   6.42862793E-08   2.30039458E-05   2.95593714E-44   0.00000000E+00  
  4                1.64371291E-03   6.48698863E+01   8.38831856E-01   1.60608966E-01   5.31825900E-04   1.78767275E-17   6.42862793E-08   2.30039458E-05   1.11480377E-44   0.00000000E+00  
  5                2.38865646E-03   6.97201301E+01   8.38831856E-01   1.60608966E-01   5.31825900E-04   1.78430709E-17   6.42862793E-08   2.30039458E-05   5.27889440E-45   0.00000000E+00  
  6                3.26192525E-03   7.22289753E+01   8.38831856E-01   1.60608966E-01   5.31825900E-04   1.82349410E-17   6.42862793E-08   2.30039458E-05   2.83075546E-45   0.00000000E+00  
  7                4.27526185E-03   7.70932648E+01   8.38831856E-01   1.60608966E-01   5.31825900E-04   1.81140323E-17   6.42862793E-08   2.30039458E-05   1.64787750E-45   0.00000000E+00  
  8                5.44154338E-03   7.93684277E+01   8.38831856E-01   1.60608966E-01   5.31825900E-04   1.80021807E-17   6.42862793E-08   2.30039458E-05   1.01719958E-45   0.00000000E+00  
  9                6.77852977E-03   8.46242161E+01   8.38831856E-01   1.60608966E-01   5.31825900E-04   1.79137045E-17   6.42862793E-08   2.30039458E-05   6.55510038E-46   0.00000000E+00  
  10               8.31322181E-03   8.68321084E+01   8.38831856E-01   1.60608966E-01   5.31825900E-04   1.87854637E-17   6.42862793E-08   2.30039458E-05   4.35824485E-46   0.00000000E+00  
  11               1.00820294E-02   9.24999563E+01   8.38831856E-01   1.60608966E-01   5.31825900E-04   1.79983923E-17   6.42862793E-08   2.30039458E-05   2.96315553E-46   0.00000000E+00  
  12               1.21214056E-02   9.59979502E+01   8.38831856E-01   1.60608966E-01   5.31825900E-04   1.82627194E-17   6.42862793E-08   2.30039458E-05   2.04995533E-46   0.00000000E+00  
  13               1.44822278E-02   1.01629431E+02   8.38831585E-01   1.60608915E-01   5.31825728E-04   1.81312930E-17   6.46570754E-08   2.30039383E-05   7.09176635E-46   3.12327348E-16  
  14               1.72078495E-02   1.07199739E+02   8.38830171E-01   1.60608644E-01   5.31824831E-04   3.35940983E-16   3.89166981E-07   2.30038995E-05   2.88875864E-42   4.78219952E-15  
  15               2.02768123E-02   1.12995239E+02   8.38825306E-01   1.60607712E-01   5.31821747E-04   5.16388991E-15   2.08041033E-06   2.30037661E-05   6.93098570E-39   4.02930825E-14  
  16               2.34198989E-02   1.18129864E+02   8.38801381E-01   1.60603131E-01   5.31806579E-04   4.60213732E-14   7.90430155E-06   2.30031100E-05   3.48506632E-36   5.21303093E-13  
  17               2.58649784E-02   1.22000412E+02   8.38801381E-01   1.60603131E-01   5.31806579E-04   5.67324466E-13   3.63949432E-05   2.30031100E-05   8.90260471E-34   0.00000000E+00  
