# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              NH3              H2S              H2O(s)           Ar              
  1                1.00000000E-05   3.82605178E+01   8.38831897E-01   1.60608979E-01   5.31825942E-04   2.12707000E-18   9.03721362E-09   2.30016423E-05   0.00000000E+00   4.22443659E-06  
  2                7.01634260E-05   3.75196503E+01   8.38831897E-01   1.60608979E-01   5.31825942E-04   1.47786294E-18   9.03721362E-09   2.30016423E-05   0.00000000E+00   4.22443659E-06  
  3                1.44620467E-04   4.08563849E+01   8.38831897E-01   1.60608979E-01   5.31825942E-04   1.39433229E-18   9.03721362E-09   2.30016423E-05   0.00000000E+00   4.22443659E-06  
  4                2.36764549E-04   4.03775686E+01   8.38831897E-01   1.60608979E-01   5.31825942E-04   1.29317773E-18   9.03721362E-09   2.30016423E-05   0.00000000E+00   4.22443659E-06  
  5                3.50777453E-04   4.36888967E+01   8.38831897E-01   1.60608979E-01   5.31825942E-04   1.21599534E-18   9.03721362E-09   2.30016423E-05   0.00000000E+00   4.22443659E-06  
  6                4.91809233E-04   4.37316159E+01   8.38831897E-01   1.60608979E-01   5.31825942E-04   1.53600322E-18   9.03721362E-09   2.30016423E-05   0.00000000E+00   4.22443659E-06  
  7                6.66206277E-04   4.76487580E+01   8.38831897E-01   1.60608979E-01   5.31825942E-04   1.51006497E-18   9.03721362E-09   2.30016423E-05   0.00000000E+00   4.22443659E-06  
  8                8.81757405E-04   4.68415182E+01   8.38831897E-01   1.60608979E-01   5.31825942E-04   1.46906487E-18   9.03721362E-09   2.30016423E-05   0.00000000E+00   4.22443659E-06  
  9                1.14807839E-03   5.03299706E+01   8.38831897E-01   1.60608979E-01   5.31825942E-04   1.41793484E-18   9.03721362E-09   2.30016423E-05   0.00000000E+00   4.22443659E-06  
  10               1.47687908E-03   4.97810730E+01   8.38831897E-01   1.60608979E-01   5.31825942E-04   1.36230591E-18   9.03721362E-09   2.30016423E-05   0.00000000E+00   4.22443659E-06  
  11               1.88261507E-03   5.30553551E+01   8.38831897E-01   1.60608979E-01   5.31825942E-04   1.30852919E-18   9.03721362E-09   2.30016423E-05   0.00000000E+00   4.22443659E-06  
  12               2.38292914E-03   5.26520159E+01   8.38831897E-01   1.60608979E-01   5.31825942E-04   1.26279652E-18   9.03721362E-09   2.30016423E-05   0.00000000E+00   4.22443659E-06  
  13               2.99905016E-03   5.58544947E+01   8.38831897E-01   1.60608979E-01   5.31825942E-04   1.23296053E-18   9.03721362E-09   2.30016423E-05   0.00000000E+00   4.22443659E-06  
  14               3.75709687E-03   5.56752256E+01   8.38831897E-01   1.60608979E-01   5.31825942E-04   1.73391990E-18   9.03721362E-09   2.30016423E-05   0.00000000E+00   4.22443659E-06  
  15               4.68867858E-03   5.87906877E+01   8.38831897E-01   1.60608979E-01   5.31825942E-04   1.62278298E-18   9.03721362E-09   2.30016423E-05   0.00000000E+00   4.22443659E-06  
  16               5.83122423E-03   5.87294849E+01   8.38831897E-01   1.60608979E-01   5.31825942E-04   1.49760692E-18   9.03721362E-09   2.30016423E-05   0.00000000E+00   4.22443659E-06  
  17               7.23006187E-03   6.17939302E+01   8.38831897E-01   1.60608979E-01   5.31825942E-04   1.83487463E-18   9.03721362E-09   2.30016423E-05   0.00000000E+00   4.22443659E-06  
  18               8.94009430E-03   6.18818876E+01   8.38831897E-01   1.60608979E-01   5.31825942E-04   1.28745191E-18   9.03721362E-09   2.30016423E-05   0.00000000E+00   4.22443659E-06  
  19               1.10251305E-02   6.50367422E+01   8.38831897E-01   1.60608979E-01   5.31825942E-04   1.68445513E-18   9.03721362E-09   2.30016423E-05   0.00000000E+00   4.22443659E-06  
  20               1.35591724E-02   6.53036711E+01   8.38831897E-01   1.60608979E-01   5.31825942E-04   1.95258171E-18   9.03721362E-09   2.30016423E-05   0.00000000E+00   4.22443659E-06  
  21               1.66312944E-02   6.86297513E+01   8.38831897E-01   1.60608979E-01   5.31825942E-04   2.15234773E-18   9.03721362E-09   2.30016423E-05   0.00000000E+00   4.22443659E-06  
  22               2.03478478E-02   6.92030432E+01   8.38831897E-01   1.60608979E-01   5.31825942E-04   1.15210295E-18   9.03721362E-09   2.30016423E-05   0.00000000E+00   4.22443659E-06  
  23               2.48346822E-02   7.26568393E+01   8.38831897E-01   1.60608979E-01   5.31825942E-04   2.10166989E-18   9.03721362E-09   2.30016423E-05   0.00000000E+00   4.22443659E-06  
  24               3.02328421E-02   7.35501861E+01   8.38831897E-01   1.60608979E-01   5.31825942E-04   2.22077770E-18   9.03721362E-09   2.30016423E-05   0.00000000E+00   4.22443659E-06  
  25               3.67205747E-02   7.71709195E+01   8.38831897E-01   1.60608979E-01   5.31825942E-04   1.15449517E-18   9.03721362E-09   2.30016423E-05   0.00000000E+00   4.22443659E-06  
  26               4.45329603E-02   7.83144438E+01   8.38831897E-01   1.60608979E-01   5.31825942E-04   1.19082494E-18   9.03721362E-09   2.30016423E-05   0.00000000E+00   4.22443659E-06  
