# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               SiO             
  1                1.00000000E-05   5.85396122E+02   8.38568720E-01   1.60344503E-01   4.44310260E-15   3.03504714E-04   4.63305292E-04   6.08151666E-05   0.00000000E+00   0.00000000E+00  
  2                2.16960226E-05   6.50273926E+02   8.38815311E-01   1.60283830E-01   2.73890084E-13   4.95771593E-04   2.77616580E-04   6.07925412E-05   0.00000000E+00   0.00000000E+00  
  3                4.00824861E-05   6.75154525E+02   8.38823407E-01   1.60281653E-01   9.04057559E-13   5.03106354E-04   2.71659694E-04   6.07913662E-05   0.00000000E+00   0.00000000E+00  
  4                6.18122671E-05   6.95730893E+02   8.38830614E-01   1.60279740E-01   2.32466855E-12   5.09378162E-04   2.66307918E-04   6.07903801E-05   0.00000000E+00   0.00000000E+00  
  5                8.71845492E-05   7.08496794E+02   8.38830292E-01   1.60279722E-01   3.88976281E-12   5.09557554E-04   2.66576885E-04   6.07900188E-05   0.00000000E+00   0.00000000E+00  
  6                1.16687215E-04   7.23240736E+02   8.38833826E-01   1.60278734E-01   7.21295075E-12   5.12745052E-04   2.63898330E-04   6.07893968E-05   0.00000000E+00   0.00000000E+00  
  7                1.50983747E-04   7.32662948E+02   8.38832746E-01   1.60278924E-01   1.01642547E-11   5.12192089E-04   2.64708943E-04   6.07890963E-05   0.00000000E+00   0.00000000E+00  
  8                1.90820512E-04   7.45341634E+02   8.38835162E-01   1.60278152E-01   1.67445179E-11   5.14549731E-04   2.62725358E-04   6.07885541E-05   0.00000000E+00   0.00000000E+00  
  9                2.37101244E-04   7.53372070E+02   8.38833709E-01   1.60278358E-01   2.19596587E-11   5.13864677E-04   2.63592570E-04   6.07882274E-05   0.00000000E+00   0.00000000E+00  
  10               2.90850027E-04   7.65061833E+02   8.38835658E-01   1.60277707E-01   3.39771556E-11   5.15786650E-04   2.61975663E-04   6.07877155E-05   0.00000000E+00   0.00000000E+00  
  11               3.53303482E-04   7.72328668E+02   8.38833920E-01   1.60277910E-01   4.27399882E-11   5.15030732E-04   2.62871294E-04   6.07873400E-05   0.00000000E+00   0.00000000E+00  
  12               4.25869249E-04   7.83558811E+02   8.38835340E-01   1.60277290E-01   6.37411770E-11   5.16698335E-04   2.61466822E-04   6.07868146E-05   0.00000000E+00   0.00000000E+00  
  13               5.10207092E-04   7.90486050E+02   8.38833121E-01   1.60277441E-01   7.83933052E-11   5.15953539E-04   2.62326810E-04   6.07863626E-05   0.00000000E+00   0.00000000E+00  
  14               6.08214167E-04   8.01579500E+02   8.38834875E-01   1.60276963E-01   1.14356537E-10   5.17466757E-04   2.61049395E-04   6.07858602E-05   0.00000000E+00   0.00000000E+00  
  15               7.22145477E-04   8.08427869E+02   8.38833852E-01   1.60277192E-01   1.39002543E-10   5.16776767E-04   2.61841141E-04   6.07853726E-05   0.00000000E+00   0.00000000E+00  
  16               8.54560442E-04   8.19615373E+02   8.38835504E-01   1.60276742E-01   2.00216021E-10   5.18194977E-04   2.60638829E-04   6.07848450E-05   0.00000000E+00   0.00000000E+00  
  17               1.00846393E-03   8.26534265E+02   8.38834580E-01   1.60276948E-01   2.41849452E-10   5.17571671E-04   2.61353943E-04   6.07842745E-05   0.00000000E+00   0.00000000E+00  
  18               1.18728087E-03   8.37922517E+02   8.38836136E-01   1.60276525E-01   3.45250565E-10   5.18903229E-04   2.60221302E-04   6.07837138E-05   0.00000000E+00   0.00000000E+00  
  19               1.39502613E-03   8.45020539E+02   8.38835318E-01   1.60276705E-01   4.15912285E-10   5.18353955E-04   2.60855140E-04   6.07830505E-05   0.00000000E+00   0.00000000E+00  
  20               1.63628294E-03   8.56780535E+02   8.38836825E-01   1.60276296E-01   5.91804872E-10   5.19637542E-04   2.59757120E-04   6.07824515E-05   0.00000000E+00   0.00000000E+00  
  21               1.91641525E-03   8.64227471E+02   8.38836158E-01   1.60276441E-01   7.14794886E-10   5.19198447E-04   2.60276865E-04   6.07816889E-05   0.00000000E+00   0.00000000E+00  
  22               2.24151004E-03   8.76444605E+02   8.38837608E-01   1.60276047E-01   1.01566599E-09   5.20428769E-04   2.59219387E-04   6.07810485E-05   0.00000000E+00   0.00000000E+00  
  23               2.61866576E-03   8.84287375E+02   8.38837073E-01   1.60276160E-01   1.23049250E-09   5.20086417E-04   2.59638399E-04   6.07801795E-05   0.00000000E+00   0.00000000E+00  
  24               3.05592705E-03   8.97093583E+02   8.38838479E-01   1.60275780E-01   1.75147030E-09   5.21274353E-04   2.58611754E-04   6.07794985E-05   0.00000000E+00   0.00000000E+00  
  25               3.56267371E-03   9.05595246E+02   8.38838142E-01   1.60275844E-01   2.14411833E-09   5.21081318E-04   2.58880867E-04   6.07785300E-05   0.00000000E+00   3.66881692E-16  
  26               4.14945714E-03   9.19206856E+02   8.38839523E-01   1.60275472E-01   3.07267772E-09   5.22242344E-04   2.57871126E-04   6.07778201E-05   0.00000000E+00   1.66505798E-15  
  27               4.82862312E-03   9.28480920E+02   8.38839368E-01   1.60275492E-01   3.80615351E-09   5.22186354E-04   2.58002076E-04   6.07767598E-05   0.00000000E+00   1.67350601E-15  
  28               5.61443508E-03   9.43041048E+02   8.38840694E-01   1.60275134E-01   5.50107530E-09   5.23298241E-04   2.57030858E-04   6.07760329E-05   0.00000000E+00   8.02304886E-15  
  29               6.52350847E-03   9.53274093E+02   8.38840707E-01   1.60275113E-01   6.91534183E-09   5.23368840E-04   2.57033936E-04   6.07748963E-05   1.59617293E-15   8.06343240E-15  
  30               7.57447723E-03   9.69017845E+02   8.38841958E-01   1.60274775E-01   1.01161562E-08   5.24417437E-04   2.56115374E-04   6.07741733E-05   3.00313236E-15   3.97649422E-14  
  31               8.78882415E-03   9.80423198E+02   8.38842111E-01   1.60274720E-01   1.29415482E-08   5.24593500E-04   2.56011049E-04   6.07729855E-05   7.49566323E-15   4.16762311E-14  
  32               1.01903486E-02   9.97605464E+02   8.38843256E-01   1.60274409E-01   1.92183541E-08   5.25556526E-04   2.55166918E-04   6.07722954E-05   1.41467402E-14   2.25956424E-13  
  33               1.18061034E-02   1.01058217E+03   8.38843531E-01   1.60274323E-01   2.51873588E-08   5.25826943E-04   2.54966561E-04   6.07711099E-05   3.84748925E-14   2.36497387E-13  
  34               1.36655696E-02   1.02968136E+03   8.38844551E-01   1.60274042E-01   3.82457569E-08   5.26694700E-04   2.54207080E-04   6.07705117E-05   7.37093683E-14   1.44843799E-12  
  35               1.58016646E-02   1.04461253E+03   8.38844890E-01   1.60273937E-01   5.15619770E-08   5.27018116E-04   2.53950737E-04   6.07693929E-05   2.21485840E-13   1.51383557E-12  
  36               1.82494292E-02   1.06596209E+03   8.38845725E-01   1.60273697E-01   8.01535605E-08   5.27751389E-04   2.53313572E-04   6.07689330E-05   4.28631491E-13   1.06425761E-11  
  37               2.10466163E-02   1.08339648E+03   8.38846062E-01   1.60273586E-01   1.11820716E-07   5.28086882E-04   2.53041079E-04   6.07679671E-05   1.45186442E-12   1.11067000E-11  
  38               2.42318875E-02   1.10768417E+03   8.38846670E-01   1.60273390E-01   1.79228901E-07   5.28674935E-04   2.52537173E-04   6.07677256E-05   2.86795650E-12   9.21631942E-11  
  39               2.78452708E-02   1.12826895E+03   8.38846915E-01   1.60273284E-01   2.60003487E-07   5.28978428E-04   2.52291098E-04   6.07670035E-05   1.11264035E-11   9.60180711E-11  
  40               3.19322726E-02   1.15612514E+03   8.38847219E-01   1.60273128E-01   4.30528282E-07   5.29409590E-04   2.51931561E-04   6.07670280E-05   3.72484857E-11   3.44764049E-10  
  41               3.65443703E-02   1.18042576E+03   8.38847236E-01   1.60273030E-01   6.49018607E-07   5.29644885E-04   2.51747352E-04   6.07665869E-05   9.97578063E-11   9.78820644E-10  
  42               4.17337008E-02   1.21235372E+03   8.38847068E-01   1.60272896E-01   1.10571889E-06   5.29928502E-04   2.51527201E-04   6.07668544E-05   3.54841788E-10   3.74560100E-09  
  43               4.75508308E-02   1.24105093E+03   8.38846545E-01   1.60272778E-01   1.72953961E-06   5.30089384E-04   2.51424409E-04   6.07666904E-05   1.03038819E-09   1.15769540E-08  
  44               5.40423270E-02   1.27787577E+03   8.38845264E-01   1.60272585E-01   3.02950160E-06   5.30260506E-04   2.51376105E-04   6.07671636E-05   3.88210979E-09   4.70583300E-08  
