# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              Mg               N2               Fe              
  34               3.52887515E-02   2.05975362E+03   8.27882356E-01   1.59310724E-01   1.16351938E-02   5.27475835E-04   3.72140600E-04   6.62285118E-05   6.04222460E-05   5.52225456E-05  
  35               3.94433527E-02   2.10189901E+03   8.25398808E-01   1.59094107E-01   1.43369152E-02   5.26760007E-04   3.71276457E-04   6.61239091E-05   6.03398636E-05   5.51458614E-05  
  36               4.39909576E-02   2.14209141E+03   8.22675651E-01   1.58856615E-01   1.72992739E-02   5.25974865E-04   3.70348839E-04   6.60101643E-05   6.02495147E-05   5.50618745E-05  
  37               4.89836988E-02   2.18081498E+03   8.19706428E-01   1.58597684E-01   2.05292953E-02   5.25118581E-04   3.69349379E-04   6.58869548E-05   6.01509750E-05   5.49703791E-05  
  38               5.44778304E-02   2.21807598E+03   8.16526277E-01   1.58320376E-01   2.39887550E-02   5.24201317E-04   3.68283936E-04   6.57555119E-05   6.00453950E-05   5.48724339E-05  
  39               6.05341363E-02   2.25433053E+03   8.13117056E-01   1.58023109E-01   2.76973884E-02   5.23217855E-04   3.67140796E-04   6.56150937E-05   5.99321581E-05   5.47674785E-05  
  40               6.72183244E-02   2.28950619E+03   8.09520095E-01   1.57709485E-01   3.16102378E-02   5.22180133E-04   3.65928397E-04   6.54671652E-05   5.98126142E-05   5.46567591E-05  
  41               7.46020795E-02   2.32384941E+03   8.05731765E-01   1.57378984E-01   3.57291328E-02   5.21086442E-04   3.64640353E-04   6.53114482E-05   5.96865433E-05   5.45400866E-05  
  42               8.27335223E-02   2.35719270E+03   8.01802270E-01   1.57036797E-01   3.99940959E-02   5.19953215E-04   3.70090856E-04   6.51501348E-05   5.95558894E-05   5.44192651E-05  
  43               9.16944307E-02   2.38990874E+03   7.97716889E-01   1.56680614E-01   4.44382462E-02   5.18774348E-04   3.68651653E-04   6.49821878E-05   5.94197484E-05   5.42934813E-05  
  44               1.01605474E-01   2.42206997E+03   7.93486718E-01   1.56311812E-01   4.90398961E-02   5.17553637E-04   3.67137055E-04   6.48080783E-05   5.92786002E-05   5.41632012E-05  
  45               1.12563243E-01   2.45386811E+03   7.89096148E-01   1.55929031E-01   5.38160248E-02   5.16286576E-04   3.65538210E-04   6.46271923E-05   5.91318744E-05   5.40279442E-05  
  46               1.24666642E-01   2.48518589E+03   7.84590853E-01   1.55536251E-01   5.87169483E-02   5.14986348E-04   3.63868132E-04   6.44411716E-05   5.89810276E-05   5.38890886E-05  
  47               1.38013811E-01   2.51619013E+03   7.79952031E-01   1.55131833E-01   6.37631201E-02   5.13647525E-04   3.62117221E-04   6.42493133E-05   5.88253574E-05   5.37460602E-05  
  48               1.52730964E-01   2.54679275E+03   7.75222550E-01   1.54719511E-01   6.89079065E-02   5.12282478E-04   3.60298388E-04   6.40531351E-05   5.86661988E-05   5.36001498E-05  
  49               1.68953579E-01   2.57718958E+03   7.70373057E-01   1.54296728E-01   7.41832384E-02   5.10882733E-04   3.58398232E-04   6.38515231E-05   5.85024538E-05   5.34504605E-05  
  50               1.86826933E-01   2.60724138E+03   7.65459133E-01   1.53868327E-01   7.95286554E-02   5.09464331E-04   3.56435363E-04   6.36464616E-05   5.83358400E-05   5.32986684E-05  
  51               2.06506408E-01   2.63715015E+03   7.60442323E-01   1.53430955E-01   8.49859869E-02   5.08016169E-04   3.54393048E-04   6.34365150E-05   5.81648908E-05   5.31436020E-05  
  52               2.28158146E-01   2.66675803E+03   7.55384351E-01   1.52989993E-01   9.04880900E-02   5.06556059E-04   3.52293448E-04   6.32238928E-05   5.79914699E-05   5.29871236E-05  
  53               2.51958984E-01   2.69629452E+03   7.50230911E-01   1.52540707E-01   9.60940393E-02   5.05068322E-04   3.50113521E-04   6.30065941E-05   5.78134784E-05   5.28275825E-05  
  54               2.78097227E-01   2.72556738E+03   7.45055043E-01   1.52089462E-01   1.01724380E-01   5.03574038E-04   3.47881148E-04   6.27872414E-05   5.76330755E-05   5.26671840E-05  
  55               3.06773437E-01   2.75480974E+03   7.39794061E-01   1.51630794E-01   1.07447300E-01   5.02055106E-04   3.45569596E-04   6.25635405E-05   5.74477307E-05   5.25040249E-05  
  56               3.38201731E-01   2.78379958E+03   7.34533129E-01   1.51172128E-01   1.13170159E-01   5.00536105E-04   3.43213217E-04   6.23385501E-05   5.72598999E-05   5.23406772E-05  
  57               3.72610759E-01   2.81279021E+03   7.29196669E-01   1.50706872E-01   1.18975169E-01   4.98995212E-04   3.40779485E-04   6.21095181E-05   5.70663970E-05   5.21748482E-05  
  58               4.10245202E-01   2.84154320E+03   7.23878450E-01   1.50243204E-01   1.24760326E-01   4.97459488E-04   3.38308039E-04   6.18798077E-05   5.68698183E-05   5.20093698E-05  
  59               4.51367119E-01   2.87034458E+03   7.18485267E-01   1.49772995E-01   1.30627019E-01   4.95902021E-04   3.35757993E-04   6.16460391E-05   5.66660453E-05   5.18414167E-05  
  60               4.96257766E-01   2.89892680E+03   7.13124423E-01   1.49305600E-01   1.36458521E-01   4.94353778E-04   3.33176572E-04   6.14120534E-05   5.64579378E-05   5.16742289E-05  
  61               5.45219585E-01   2.92758247E+03   7.07694934E-01   1.48832217E-01   1.42364681E-01   4.92785599E-04   3.30518455E-04   6.11741982E-05   5.62406453E-05   5.15047467E-05  
  62               5.98579004E-01   2.95602059E+03   7.02316831E-01   1.48363308E-01   1.48214925E-01   4.91232124E-04   3.27838578E-04   6.09367569E-05   5.60172291E-05   5.13365934E-05  
  63               6.56688918E-01   2.98455533E+03   6.96876427E-01   1.47888962E-01   1.54132921E-01   4.89660523E-04   3.25084717E-04   6.06956260E-05   5.57817374E-05   5.11663251E-05  
  64               7.19931669E-01   3.01288090E+03   6.91503400E-01   1.47420484E-01   1.59977603E-01   4.88108219E-04   3.22318386E-04   6.04554149E-05   5.55372754E-05   5.09978545E-05  
  65               7.88711588E-01   3.04133649E+03   6.86069038E-01   1.46946653E-01   1.65888981E-01   4.86538041E-04   3.19478920E-04   6.02114960E-05   5.52764192E-05   5.08272849E-05  
  66               8.63455959E-01   3.06959989E+03   6.80711373E-01   1.46479503E-01   1.71716899E-01   4.84989822E-04   3.16633966E-04   5.99687697E-05   5.50022171E-05   5.06587805E-05  
  67               9.44631456E-01   3.09803450E+03   6.75287474E-01   1.46006571E-01   1.77616833E-01   4.83422282E-04   3.13714230E-04   5.97221142E-05   5.47053956E-05   5.04880162E-05  
  68               1.03274633E+00   3.12630397E+03   6.69944989E-01   1.45540731E-01   1.83428170E-01   4.81878028E-04   3.10794121E-04   5.94767438E-05   5.43889168E-05   5.03194429E-05  
  69               1.12835402E+00   3.15479151E+03   6.64529540E-01   1.45068522E-01   1.89318834E-01   4.80312465E-04   3.07796622E-04   5.92271389E-05   5.40412168E-05   5.01483904E-05  
  70               1.23205737E+00   3.18314277E+03   6.59199486E-01   1.44603750E-01   1.95116560E-01   4.78771293E-04   3.04803665E-04   5.89788649E-05   5.36651783E-05   4.99796293E-05  
  71               1.34451237E+00   3.21176785E+03   6.53786017E-01   1.44131698E-01   2.01004968E-01   4.77205741E-04   3.01728620E-04   5.87259053E-05   5.32460581E-05   4.98080546E-05  
  72               1.46643217E+00   3.24029820E+03   6.48456048E-01   1.43666917E-01   2.06802485E-01   4.75663972E-04   2.98659952E-04   5.84740991E-05   5.27865013E-05   4.96386914E-05  
  73               1.59859361E+00   3.26915088E+03   6.43035125E-01   1.43194195E-01   2.12698871E-01   4.74095578E-04   2.95505687E-04   5.82172495E-05   5.22681164E-05   4.94662656E-05  
  74               1.74184384E+00   3.29793256E+03   6.37703328E-01   1.42729235E-01   2.18498227E-01   4.72552518E-04   2.92363569E-04   5.79616252E-05   5.16937489E-05   4.92961951E-05  
  75               1.89710954E+00   3.32707218E+03   6.32279237E-01   1.42256215E-01   2.24397890E-01   4.70982356E-04   2.89135547E-04   5.77008028E-05   5.10403557E-05   4.91229969E-05  
  76               2.06540228E+00   3.35615900E+03   6.26952741E-01   1.41791694E-01   2.30191290E-01   4.69439880E-04   2.85927134E-04   5.74413543E-05   5.03112712E-05   4.89523789E-05  
  77               2.24782710E+00   3.38563704E+03   6.21534328E-01   1.41319143E-01   2.36084560E-01   4.67870298E-04   2.82633453E-04   5.71765957E-05   4.94777340E-05   4.87786159E-05  
  78               2.44558932E+00   3.41508631E+03   6.16219445E-01   1.40855607E-01   2.41865088E-01   4.66329996E-04   2.79365530E-04   5.69132503E-05   4.85441119E-05   4.86075777E-05  
  79               2.66000348E+00   3.44497458E+03   6.10806756E-01   1.40383525E-01   2.47751861E-01   4.64760747E-04   2.76009263E-04   5.66442523E-05   4.74745823E-05   4.84331850E-05  
  80               2.89250093E+00   3.47487175E+03   6.05496983E-01   1.39920400E-01   2.53526532E-01   4.63220451E-04   2.72680937E-04   5.63764657E-05   4.62759501E-05   4.82614605E-05  
  81               3.14464162E+00   3.50526321E+03   6.00080039E-01   1.39447911E-01   2.59417601E-01   4.61648324E-04   2.69258657E-04   5.61025599E-05   4.49051217E-05   4.80860650E-05  
  82               3.41812329E+00   3.53570683E+03   5.94762330E-01   1.38984055E-01   2.65200542E-01   4.60103901E-04   2.65864177E-04   5.58295511E-05   4.33741967E-05   4.79131860E-05  
  83               3.71479900E+00   3.56670071E+03   5.89327854E-01   1.38509993E-01   2.71110287E-01   4.58524648E-04   2.62369286E-04   5.55499492E-05   4.16343239E-05   4.77363105E-05  
  84               4.03668864E+00   3.59778948E+03   5.83989035E-01   1.38044252E-01   2.76915774E-01   4.56971830E-04   2.58901444E-04   5.52709273E-05   3.97080957E-05   4.75617997E-05  
  85               4.38599654E+00   3.62948070E+03   5.78526067E-01   1.37567658E-01   2.82856069E-01   4.55381767E-04   2.55327336E-04   5.49849148E-05   3.75455563E-05   4.73830313E-05  
  86               4.76512726E+00   3.66130148E+03   5.73158927E-01   1.37099397E-01   2.88691912E-01   4.53817891E-04   2.51781186E-04   5.46992868E-05   3.51885275E-05   4.72065855E-05  
  87               5.17671027E+00   3.69377183E+03   5.67663339E-01   1.36619909E-01   2.94667242E-01   4.52215165E-04   2.48124207E-04   5.44063745E-05   3.25945791E-05   4.70257116E-05  
  88               5.62361778E+00   3.72640581E+03   5.62264535E-01   1.36148840E-01   3.00537110E-01   4.50638514E-04   2.44496105E-04   5.41136681E-05   2.98352574E-05   4.68471383E-05  
  89               6.10899617E+00   3.75973429E+03   5.56735143E-01   1.35666359E-01   3.06548840E-01   4.49021909E-04   2.40753524E-04   5.38134528E-05   2.68880799E-05   4.66640286E-05  
  90               6.63628822E+00   3.79325791E+03   5.51305447E-01   1.35192560E-01   3.12452023E-01   4.47431684E-04   2.37041652E-04   5.35133171E-05   2.38628532E-05   4.64832525E-05  
  91               7.20927046E+00   3.82752342E+03   5.45743417E-01   1.34707205E-01   3.18499078E-01   4.45800303E-04   2.33211691E-04   5.32054549E-05   2.07655259E-05   4.62978411E-05  
  92               7.83207675E+00   3.86203150E+03   5.40277991E-01   1.34230275E-01   3.24441089E-01   4.44193599E-04   2.29410275E-04   5.28973346E-05   1.77368319E-05   4.61146126E-05  
  93               8.50924171E+00   3.89734342E+03   5.34673684E-01   1.33741233E-01   3.30534252E-01   4.42542767E-04   2.25484032E-04   5.25811112E-05   1.48037559E-05   4.59265036E-05  
  94               9.24573251E+00   3.93294528E+03   5.29164053E-01   1.33260461E-01   3.36524628E-01   4.40914777E-04   2.21584960E-04   5.22643243E-05   1.21076382E-05   4.57404569E-05  
  95               1.00470107E+01   3.96940384E+03   5.23514742E-01   1.32767522E-01   3.42667175E-01   4.39240728E-04   2.17558477E-04   5.19392453E-05   9.66631779E-06   4.55494516E-05  
  96               1.09190767E+01   4.00618434E+03   5.17966200E-01   1.32283394E-01   3.48700417E-01   4.37589307E-04   2.13563728E-04   5.16135404E-05   7.57370737E-06   4.53606181E-05  
  97               1.18685470E+01   4.04386064E+03   5.12285139E-01   1.31787729E-01   3.54878113E-01   4.35891344E-04   2.09445451E-04   5.12795932E-05   5.80679801E-06   4.51669749E-05  
  98               1.29026974E+01   4.08189536E+03   5.06710475E-01   1.31301367E-01   3.60940385E-01   4.34214754E-04   2.05364503E-04   5.09449099E-05   4.38896407E-06   4.49755860E-05  
  99               1.40295444E+01   4.12088869E+03   5.01002364E-01   1.30803384E-01   3.67148093E-01   4.32487703E-04   2.01160264E-04   5.06017569E-05   3.26117447E-06   4.47792845E-05  
  100              1.52578905E+01   4.16030537E+03   4.95395695E-01   1.30314267E-01   3.73245700E-01   4.30776542E-04   1.96993459E-04   5.02574076E-05   2.40153703E-06   4.45849942E-05  
  101              1.65974217E+01   4.20076633E+03   4.89647173E-01   1.29812788E-01   3.79497816E-01   4.29007379E-04   1.92700626E-04   4.99041367E-05   1.74658701E-06   4.43854603E-05  
