# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H                H2               He               CO               H2O              O-3P             Mg               Fe              
  1                1.00000000E-05   1.09266553E+03   6.32636144E-06   8.38750399E-01   1.60254526E-01   5.30488659E-04   2.50996630E-04   6.85081844E-17   5.04642987E-09   9.49913942E-08  
  2                1.48969055E-05   1.78414725E+03   7.09286997E-02   7.73376904E-01   1.54557639E-01   5.11723777E-04   3.57522899E-04   1.52130373E-07   6.44273361E-05   5.35900130E-05  
  3                1.72566531E-05   1.58539253E+03   1.01402544E-02   8.29258196E-01   1.59429264E-01   5.27837558E-04   3.71729164E-04   1.77680083E-09   6.64578964E-05   5.52792000E-05  
  4                1.98730835E-05   1.85831116E+03   1.10185035E-01   7.37289089E-01   1.51412103E-01   5.01312528E-04   3.48005556E-04   4.54477669E-07   6.31155951E-05   5.24993044E-05  
  5                2.27693676E-05   1.66073370E+03   1.90767929E-02   8.21043275E-01   1.58712831E-01   5.25473110E-04   3.69439137E-04   7.69118320E-09   6.61587661E-05   5.50307355E-05  
  6                2.60475524E-05   1.90915402E+03   1.39558688E-01   7.10286307E-01   1.49058426E-01   4.93521530E-04   3.40402029E-04   8.42817820E-07   6.21339322E-05   5.16831595E-05  
  7                2.97408085E-05   1.71733818E+03   2.84523905E-02   8.12424537E-01   1.57961428E-01   5.22989892E-04   3.67235687E-04   1.97729197E-08   6.58449525E-05   5.47701436E-05  
  8                3.39518004E-05   1.95167140E+03   1.64151926E-01   6.87678121E-01   1.47087763E-01   4.86998171E-04   3.33639748E-04   1.31206791E-06   6.13118831E-05   5.09998139E-05  
  9                3.87297476E-05   1.76629994E+03   3.84347997E-02   8.03247900E-01   1.57161477E-01   5.20344703E-04   3.64907508E-04   4.07389615E-08   6.55108053E-05   5.44927123E-05  
  10               4.41965082E-05   1.99043324E+03   1.86082436E-01   6.67517771E-01   1.45330429E-01   4.81180898E-04   3.27247350E-04   1.87113720E-06   6.05786942E-05   5.03904297E-05  
  11               5.04202086E-05   1.81186702E+03   4.92994841E-02   7.93260171E-01   1.56290865E-01   5.17464896E-04   3.62336313E-04   7.48455404E-08   6.51470968E-05   5.41907712E-05  
  12               5.75537481E-05   2.02758238E+03   2.06642063E-01   6.48617685E-01   1.43682909E-01   4.75727083E-04   3.20902374E-04   2.54183563E-06   5.98912010E-05   4.98191132E-05  
  13               6.56879947E-05   1.85620149E+03   6.13912847E-02   7.82144358E-01   1.55321942E-01   5.14259170E-04   3.59406017E-04   1.28963194E-07   6.47422877E-05   5.38547309E-05  
  14               7.50192938E-05   2.06435225E+03   2.26758143E-01   6.30125381E-01   1.42070891E-01   4.70390736E-04   3.14335498E-04   3.35987740E-06   5.92184153E-05   4.92600967E-05  
  15               8.56663803E-05   1.90057364E+03   7.51028701E-02   7.69539494E-01   1.54223233E-01   5.10623437E-04   3.55985027E-04   2.14172510E-07   6.42832437E-05   5.34736762E-05  
  16               9.78842548E-05   2.10155276E+03   2.47159013E-01   6.11371317E-01   1.40436006E-01   4.64978625E-04   3.07293717E-04   4.37782566E-06   5.85359960E-05   4.86931404E-05  
  17               1.11825614E-04   1.94586312E+03   9.09040784E-02   7.55013672E-01   1.52957083E-01   5.06433083E-04   3.51908085E-04   3.48640578E-07   6.37542547E-05   5.30345485E-05  
  18               1.27826017E-04   2.13985724E+03   2.68562963E-01   5.91695196E-01   1.38720684E-01   4.59300158E-04   2.99481085E-04   5.67695020E-06   5.78199383E-05   4.80982816E-05  
  19               1.46086720E-04   1.99283130E+03   1.09409336E-01   7.38002066E-01   1.51474249E-01   5.01525107E-04   3.46947250E-04   5.63226092E-07   6.31347833E-05   5.25202718E-05  
  20               1.67051250E-04   2.17997672E+03   2.91816246E-01   5.70319093E-01   1.36857092E-01   4.53130759E-04   2.90496020E-04   7.38970664E-06   5.70419639E-05   4.74519996E-05  
  21               1.90976388E-04   2.04237625E+03   1.31548130E-01   7.17650223E-01   1.49700238E-01   4.95652891E-04   3.40745907E-04   9.14104394E-07   6.23937720E-05   5.19050154E-05  
  22               2.18451378E-04   2.22278498E+03   3.18046171E-01   5.46206729E-01   1.34754859E-01   4.46171235E-04   2.79738217E-04   9.74437570E-06   5.61644087E-05   4.67229596E-05  
  23               2.49794957E-04   2.09570298E+03   1.58804896E-01   6.92593548E-01   1.47516080E-01   4.88422544E-04   3.32706940E-04   1.51191336E-06   6.14816372E-05   5.11475273E-05  
  24               2.85805601E-04   2.26961186E+03   3.49059202E-01   5.17697528E-01   1.32269157E-01   4.37942110E-04   2.66169024E-04   1.31802959E-05   5.51269300E-05   4.58609470E-05  
  25               3.26859551E-04   2.15487715E+03   1.93946178E-01   6.60288844E-01   1.44700043E-01   4.79099932E-04   3.21668707E-04   2.60686814E-06   6.03059930E-05   5.01709279E-05  
  26               3.74088103E-04   2.32311674E+03   3.88552714E-01   4.81392723E-01   1.29103543E-01   4.27461967E-04   2.47564226E-04   1.87229221E-05   5.38060377E-05   4.47631819E-05  
  27               4.27877811E-04   2.22532962E+03   2.44350348E-01   6.13951689E-01   1.40660424E-01   4.65725976E-04   3.04459759E-04   4.97086943E-06   5.86203386E-05   4.87700643E-05  
  28               4.89710845E-04   2.39403935E+03   4.51791732E-01   4.23251743E-01   1.24033369E-01   4.10675769E-04   2.18899127E-04   3.13568731E-05   5.16915987E-05   4.30050704E-05  
  29               5.61340567E-04   2.43564992E+03   4.90976569E-01   3.87231628E-01   1.20891810E-01   4.00275491E-04   1.96075283E-04   4.14304021E-05   5.03817574E-05   4.19157469E-05  
  30               6.44227347E-04   2.43438054E+03   4.67920723E-01   4.08425489E-01   1.22740122E-01   4.06395043E-04   2.08131722E-04   3.58587455E-05   5.11505954E-05   4.25564515E-05  
  31               7.40301302E-04   2.47762599E+03   5.07372231E-01   3.72160382E-01   1.19577033E-01   3.95923621E-04   1.84299502E-04   4.70114793E-05   4.98317670E-05   4.14596583E-05  
  32               8.51121460E-04   2.47718679E+03   4.85084919E-01   3.92647703E-01   1.21363804E-01   4.01839351E-04   1.96307820E-04   4.11017975E-05   5.05747105E-05   4.20789976E-05  
  33               9.79117731E-04   2.52170528E+03   5.24276494E-01   3.56621670E-01   1.18221404E-01   3.91436563E-04   1.71839393E-04   5.32478873E-05   4.92644992E-05   4.09893740E-05  
  34               1.12663395E-03   2.52206652E+03   5.02849666E-01   3.76317936E-01   1.19939257E-01   3.97124044E-04   1.83686039E-04   4.70402520E-05   4.99784516E-05   4.15847870E-05  
  35               1.29703105E-03   2.56773188E+03   5.41452723E-01   3.40833007E-01   1.16843902E-01   3.86877133E-04   1.58908488E-04   6.00810867E-05   4.86878423E-05   4.05114705E-05  
  36               1.49335256E-03   2.56885212E+03   5.20859634E-01   3.59762812E-01   1.18494970E-01   3.92343437E-04   1.70525616E-04   5.36051563E-05   4.93736615E-05   4.10836932E-05  
  37               1.71998284E-03   2.61557839E+03   5.58614838E-01   3.25057349E-01   1.15467472E-01   3.82321289E-04   1.45785105E-04   6.73967088E-05   4.81113280E-05   4.00338996E-05  
  38               1.98082369E-03   2.61758356E+03   5.39062191E-01   3.43030698E-01   1.17035170E-01   3.87511513E-04   1.56948483E-04   6.07816082E-05   4.87620766E-05   4.05771774E-05  
  39               2.28144656E-03   2.66521122E+03   5.75662782E-01   3.09386643E-01   1.14100151E-01   3.77795616E-04   1.32660498E-04   7.51099190E-05   4.75382788E-05   3.95594431E-05  
  40               2.62675156E-03   2.66830006E+03   5.57447237E-01   3.26130855E-01   1.15560676E-01   3.82630974E-04   1.43081991E-04   6.85470305E-05   4.81440222E-05   4.00655204E-05  
  41               3.02359528E-03   2.71664140E+03   5.92612467E-01   2.93806234E-01   1.12740677E-01   3.73295917E-04   1.19667330E-04   8.31611519E-05   4.69681534E-05   3.90876606E-05  
  42               3.47784356E-03   2.72070162E+03   5.75665587E-01   3.09384233E-01   1.14099502E-01   3.77794537E-04   1.29296620E-04   7.67213571E-05   4.75311524E-05   3.95584314E-05  
  43               3.99759848E-03   2.76957472E+03   6.09213055E-01   2.78546659E-01   1.11409181E-01   3.68888807E-04   1.07112036E-04   9.13637588E-05   4.64093251E-05   3.86255285E-05  
  44               4.58965259E-03   2.77461309E+03   5.93632441E-01   2.92868741E-01   1.12658465E-01   3.73024745E-04   1.15812542E-04   8.51873222E-05   4.69263103E-05   3.90582728E-05  
  45               5.26316705E-03   2.82373620E+03   6.25344454E-01   2.63718265E-01   1.10115307E-01   3.64606183E-04   9.52040214E-05   9.95703452E-05   4.58658144E-05   3.81763896E-05  
  46               6.02579916E-03   2.82988812E+03   6.11358488E-01   2.76574505E-01   1.11236724E-01   3.68318782E-04   1.02786805E-04   9.38545061E-05   4.63291729E-05   3.85647548E-05  
  47               6.88758474E-03   2.87897011E+03   6.41064418E-01   2.49267911E-01   1.08854435E-01   3.60432717E-04   8.40179120E-05   1.07716850E-04   4.53357241E-05   3.77386437E-05  
  48               7.85677172E-03   2.88599308E+03   6.28483948E-01   2.60832185E-01   1.09863144E-01   3.63772168E-04   9.05826002E-05   1.02465661E-04   4.57517833E-05   3.80878861E-05  
  49               8.94424379E-03   2.93480797E+03   6.56137435E-01   2.35412026E-01   1.07645455E-01   3.56430907E-04   7.37682990E-05   1.15618992E-04   4.48269445E-05   3.73188418E-05  
  50               1.01590388E-02   2.94266545E+03   6.44958803E-01   2.45687697E-01   1.08541743E-01   3.59398166E-04   7.93271118E-05   1.10901047E-04   4.51958566E-05   3.76290639E-05  
  51               1.15132331E-02   2.99111954E+03   6.70633035E-01   2.22086631E-01   1.06482790E-01   3.52582245E-04   6.44481761E-05   1.23251656E-04   4.43371968E-05   3.69150545E-05  
  52               1.30169062E-02   2.99956501E+03   6.60616212E-01   2.31294334E-01   1.07285902E-01   3.55241021E-04   6.91647287E-05   1.19007974E-04   4.46669911E-05   3.71929291E-05  
  53               1.46833480E-02   3.04699614E+03   6.83911168E-01   2.09880017E-01   1.05417754E-01   3.49056557E-04   5.63803431E-05   1.30282211E-04   4.38878142E-05   3.65450678E-05  
  54               1.65239206E-02   3.05613573E+03   6.75097870E-01   2.17981389E-01   1.06124343E-01   3.51395766E-04   6.02790406E-05   1.26568518E-04   4.41771335E-05   3.67894382E-05  
  55               1.85545134E-02   3.10307166E+03   6.96615972E-01   1.98199982E-01   1.04398678E-01   3.45682720E-04   4.91773624E-05   1.37001661E-04   4.34573571E-05   3.61909763E-05  
  56               2.07897020E-02   3.11393972E+03   6.89702442E-01   2.04554953E-01   1.04952912E-01   3.47517504E-04   5.19780337E-05   1.34163985E-04   4.36830893E-05   3.63825005E-05  
  57               2.32491924E-02   3.16045770E+03   7.09502725E-01   1.86352093E-01   1.03364975E-01   3.42260032E-04   4.24628972E-05   1.43769713E-04   4.30207245E-05   3.58317890E-05  
  58               2.59512572E-02   3.17315539E+03   7.04327115E-01   1.91109376E-01   1.03779828E-01   3.43633294E-04   4.43416313E-05   1.41744765E-04   4.31883211E-05   3.59749703E-05  
  59               2.89204425E-02   3.21923333E+03   7.22380135E-01   1.74512039E-01   1.02331955E-01   3.38838967E-04   3.63306563E-05   1.50515234E-04   4.25843043E-05   3.54728149E-05  
  60               3.21796122E-02   3.23294900E+03   7.18149501E-01   1.78400515E-01   1.02671008E-01   3.39961141E-04   3.77167413E-05   1.48941962E-04   4.27201544E-05   3.55896856E-05  
  61               3.57592178E-02   3.27855537E+03   7.34484816E-01   1.63381484E-01   1.01360806E-01   3.35621806E-04   3.10529148E-05   1.56912866E-04   4.21734351E-05   3.51352499E-05  
  62               3.96881746E-02   3.29291884E+03   7.30807826E-01   1.66760871E-01   1.01655435E-01   3.36596695E-04   3.21509053E-05   1.55615105E-04   4.22905342E-05   3.52366794E-05  
  63               4.40038954E-02   3.33812938E+03   7.45556205E-01   1.53199961E-01   1.00472405E-01   3.32677264E-04   2.66275164E-05   1.62873937E-04   4.17966917E-05   3.48263175E-05  
  64               4.87433478E-02   3.35390671E+03   7.42759660E-01   1.55769758E-01   1.00696399E-01   3.33417906E-04   2.73580010E-05   1.62006724E-04   4.18842070E-05   3.49032270E-05  
  65               5.39522808E-02   3.39898601E+03   7.56117527E-01   1.43486513E-01   9.96247984E-02   3.29865720E-04   2.27794451E-05   1.68664949E-04   4.14366621E-05   3.45314775E-05  
  66               5.96780981E-02   3.41728855E+03   7.54626040E-01   1.44856277E-01   9.97441040E-02   3.30258938E-04   2.30590167E-05   1.68429560E-04   4.14805753E-05   3.45720787E-05  
  67               6.59767653E-02   3.46266712E+03   7.66802068E-01   1.33659113E-01   9.87672373E-02   3.27017772E-04   1.92658362E-05   1.74592736E-04   4.10723826E-05   3.42331535E-05  
  68               7.29087242E-02   3.48424821E+03   7.66735164E-01   1.33718963E-01   9.87722810E-02   3.27031033E-04   1.91329514E-05   1.75049156E-04   4.10688413E-05   3.42341428E-05  
