# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               H                He               CO               H2O              Mg               N2               Fe              
  1                1.00000000E-05   9.46579694E+02   8.38849104E-01   1.44894491E-07   1.60272745E-01   5.30418520E-04   2.50785556E-04   6.66718836E-13   6.07894971E-05   9.39467869E-11  
  2                1.41609316E-05   1.06416780E+03   8.38845849E-01   2.75810425E-06   1.60272414E-01   5.30530711E-04   2.50937587E-04   7.59606512E-10   6.07893802E-05   2.03528430E-08  
  3                1.84967135E-05   1.12347403E+03   8.38839366E-01   9.11504363E-06   1.60271816E-01   5.30561608E-04   2.51190806E-04   1.32574694E-08   6.07891545E-05   4.08032801E-07  
  4                2.33254601E-05   1.15244648E+03   8.38829494E-01   1.47919156E-05   1.60270565E-01   5.30569853E-04   2.51785341E-04   4.28876168E-08   6.07886784E-05   4.08029506E-07  
  5                2.87675340E-05   1.18893742E+03   8.38810432E-01   2.72223170E-05   1.60268994E-01   5.30575678E-04   2.57152978E-04   1.31290395E-07   6.07880822E-05   1.20176954E-06  
  6                3.49543315E-05   1.20795393E+03   8.38788355E-01   3.52423750E-05   1.60265594E-01   5.30570612E-04   2.57466797E-04   3.42741901E-07   6.07867904E-05   4.17938143E-06  
  7                4.18416925E-05   1.23838006E+03   8.38743015E-01   5.56398029E-05   1.60262171E-01   5.30560036E-04   2.77049967E-04   7.27872889E-07   6.07854914E-05   4.17929053E-06  
  8                4.95057380E-05   1.25389443E+03   8.38729279E-01   6.69162222E-05   1.60260820E-01   5.30559614E-04   2.78107767E-04   1.44706409E-06   6.07849767E-05   1.44938276E-05  
  9                5.82204441E-05   1.28176441E+03   8.38689402E-01   9.83794177E-05   1.60257332E-01   5.30553097E-04   2.84224755E-04   5.47936088E-06   6.07836528E-05   1.44935055E-05  
  10               6.80391463E-05   1.29598039E+03   8.38624775E-01   1.14568897E-04   1.60247572E-01   5.30522223E-04   2.89825061E-04   9.15523168E-06   6.07799485E-05   1.44926171E-05  
  11               7.86621109E-05   1.32283891E+03   8.38538692E-01   1.62463993E-04   1.60240244E-01   5.30495689E-04   3.14242546E-04   2.51367626E-05   6.07771679E-05   5.55603482E-05  
