# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              CO               NH3              H                N2              
  1                1.00000000E-05   5.90145722E+01   8.38830794E-01   1.60608713E-01   2.85453653E-16   5.31825062E-04   1.80277279E-103  1.37940209E-06   3.16582634E-109  1.38674686E-37  
  2                9.25053312E-05   6.68546757E+01   8.38830794E-01   1.60608713E-01   2.84556747E-16   5.31825062E-04   2.10010376E-105  1.37940209E-06   1.04088729E-109  1.62055459E-39  
  3                1.87999931E-04   8.39809742E+01   8.38830794E-01   1.60608713E-01   2.84520367E-16   5.31825062E-04   5.08397456E-106  1.37940209E-06   7.30143533E-110  3.92357364E-40  
  4                2.92976395E-04   8.54727316E+01   8.38830794E-01   1.60608713E-01   2.84505586E-16   5.31825062E-04   2.09329736E-106  1.37940209E-06   5.84885390E-110  1.61559287E-40  
  5                4.10782685E-04   1.00319336E+02   8.38822754E-01   1.60607174E-01   2.94055350E-16   5.31819964E-04   2.33250856E-106  1.39021125E-06   1.13176574E-109  1.14343606E-40  
  6                5.30212038E-04   1.06806823E+02   8.38729765E-01   1.60589370E-01   8.85770550E-15   5.31761009E-04   6.84601291E-99   1.10668834E-05   7.05002632E-103  1.75047834E-36  
  7                5.91681226E-04   1.12532964E+02   8.38729765E-01   1.60589370E-01   1.18893736E-13   5.31761009E-04   5.79076190E-93   1.21819228E-04   1.64243843E-97   1.94363084E-32  
  8                6.21178787E-04   1.12274130E+02   8.38729765E-01   1.60589370E-01   1.19461912E-13   5.31761009E-04   3.25025512E-93   1.21819228E-04   9.39891142E-98   1.43793790E-32  
  9                6.55728654E-04   1.16280338E+02   8.38729765E-01   1.60589370E-01   7.29003497E-13   5.31761009E-04   2.55283540E-89   1.21819228E-04   2.71910538E-94   2.75184301E-31  
  10               6.96185303E-04   1.16436692E+02   8.38729765E-01   1.60589370E-01   7.33970630E-13   5.31761009E-04   2.99798261E-89   1.21819228E-04   3.56564450E-94   2.73966153E-31  
  11               7.43544844E-04   1.21074500E+02   8.38729765E-01   1.60589370E-01   6.06273596E-12   5.31761009E-04   5.30645112E-85   1.21819228E-04   1.82758686E-90   6.44343235E-30  
  12               7.98969291E-04   1.21713136E+02   8.38729765E-01   1.60589370E-01   6.11864252E-12   5.31761009E-04   1.29715216E-84   1.21819228E-04   5.45621038E-90   8.61330510E-30  
  13               8.63811385E-04   1.27091747E+02   8.38729765E-01   1.60589370E-01   6.60954884E-11   5.31761009E-04   4.62519883E-80   1.21819228E-04   4.53734388E-86   2.41275446E-28  
  14               9.39646691E-04   1.28278134E+02   8.38729765E-01   1.60589370E-01   6.68688028E-11   5.31761009E-04   2.23016811E-79   1.21819228E-04   2.90108465E-85   4.23796736E-28  
  15               1.02831918E-03   1.34502196E+02   8.38729765E-01   1.60589370E-01   8.96485309E-10   5.31761009E-04   1.33355594E-74   1.21819228E-04   3.37600239E-81   1.34093089E-26  
  16               1.13198344E-03   1.36291476E+02   8.38729760E-01   1.60589369E-01   9.01563084E-10   5.31761006E-04   1.13172333E-73   1.21819227E-04   4.10322178E-80   2.96588288E-26  
  17               1.25321961E-03   1.42227471E+02   8.38729760E-01   1.60589369E-01   6.34907469E-09   5.31761006E-04   9.63933725E-70   1.21819227E-04   1.14836190E-76   5.37276010E-25  
  18               1.39506148E-03   1.43228894E+02   8.38729739E-01   1.60589365E-01   6.37251626E-09   5.31760992E-04   2.52364582E-69   1.21819224E-04   3.92427474E-76   7.13944706E-25  
  19               1.56104431E-03   1.48960549E+02   8.38729739E-01   1.60589365E-01   3.15219276E-08   5.31760992E-04   6.10258392E-66   1.21819224E-04   4.10587860E-73   8.75096521E-24  
  20               1.75529403E-03   1.49666669E+02   8.38729651E-01   1.60589348E-01   3.16191525E-08   5.31760937E-04   1.03233885E-65   1.21819212E-04   8.84843220E-73   9.55628147E-24  
  21               1.98261284E-03   1.55493088E+02   8.38729651E-01   1.60589348E-01   1.35944154E-07   5.31760937E-04   1.39003923E-62   1.21819212E-04   5.72723117E-70   9.64057589E-23  
  22               2.24858556E-03   1.56211453E+02   8.38729285E-01   1.60589278E-01   1.36350643E-07   5.31760705E-04   2.20072932E-62   1.21819158E-04   1.16369776E-69   1.01412509E-22  
  23               2.55972328E-03   1.62378319E+02   8.38729285E-01   1.60589278E-01   5.72817339E-07   5.31760705E-04   2.42180641E-59   1.21819158E-04   6.22044621E-67   9.44757418E-22  
  24               2.92359508E-03   1.63308945E+02   8.38727878E-01   1.60589008E-01   5.74374566E-07   5.31759812E-04   4.32042829E-59   1.21818954E-04   1.45496109E-66   1.03838242E-21  
  25               3.34907034E-03   1.69796932E+02   8.38727878E-01   1.60589008E-01   2.25083038E-06   5.31759812E-04   3.55492196E-56   1.21818954E-04   6.11569689E-64   8.78797207E-21  
  26               3.84645430E-03   1.70794796E+02   8.38723354E-01   1.60588142E-01   2.25579149E-06   5.31756944E-04   6.17615288E-56   1.21818297E-04   1.40149593E-63   9.49974958E-21  
  27               4.42775441E-03   1.77250124E+02   8.38723354E-01   1.60588142E-01   7.64376354E-06   5.31756944E-04   2.67079797E-53   1.21818297E-04   3.42415801E-61   6.49363443E-20  
  28               5.10669511E-03   1.78280137E+02   8.38708393E-01   1.60585277E-01   7.65969931E-06   5.31747458E-04   4.41125444E-53   1.21816124E-04   7.46984973E-61   6.84192430E-20  
  29               5.89885878E-03   1.85077328E+02   8.38708393E-01   1.60585277E-01   2.54825313E-05   5.31747458E-04   1.57828057E-50   1.21816124E-04   1.51043560E-58   4.35106136E-19  
  30               6.82168046E-03   1.86373392E+02   8.38656994E-01   1.60575436E-01   2.55317163E-05   5.31714871E-04   2.92809385E-50   1.21808659E-04   3.74843645E-58   4.80953777E-19  
  31               7.89375591E-03   1.93760564E+02   8.38656994E-01   1.60575436E-01   8.67644614E-05   5.31714871E-04   1.04105415E-47   1.21808659E-04   7.30439640E-56   3.03372380E-18  
  32               9.13337330E-03   1.95361449E+02   8.38074169E-01   1.60463844E-01   8.67047657E-05   5.31345356E-04   2.16138652E-47   1.21724008E-04   2.04933224E-55   3.52404007E-18  
  33               1.05211252E-02   2.05242481E+02   8.38074169E-01   1.60463844E-01   7.81654364E-04   5.31345356E-04   5.75164235E-44   1.21724008E-04   1.19815284E-52   3.52771241E-17  
  34               1.19594598E-02   2.12742091E+02   8.38074169E-01   1.60463844E-01   7.81654364E-04   5.31345356E-04   2.87928470E-42   1.21724008E-04   1.00234599E-50   1.66928903E-16  
  35               1.36279161E-02   2.22637037E+02   8.38074169E-01   1.60463844E-01   7.81654364E-04   5.31345356E-04   3.57358883E-40   1.21724008E-04   2.21573891E-48   1.17521901E-15  
  36               1.55621090E-02   2.30995376E+02   8.38074169E-01   1.60463844E-01   7.81654364E-04   5.31345356E-04   1.44170566E-38   1.21724008E-04   1.45618616E-46   5.08421706E-15  
  37               1.78028996E-02   2.41934489E+02   8.38074169E-01   1.60463844E-01   7.81654364E-04   5.31345356E-04   1.31739991E-36   1.21724008E-04   2.28333101E-44   3.15522622E-14  
  38               2.03980916E-02   2.50776700E+02   8.38074169E-01   1.60463844E-01   7.81654364E-04   5.31345356E-04   3.56614627E-35   1.21724007E-04   9.67890105E-43   1.15265474E-13  
  39               2.34058238E-02   2.60314914E+02   8.38074169E-01   1.60463844E-01   7.81654364E-04   5.31345356E-04   9.79035669E-34   1.21724007E-04   4.14428396E-41   4.24744044E-13  
  40               2.68911154E-02   2.69296219E+02   8.38074169E-01   1.60463844E-01   7.81654364E-04   5.31345356E-04   1.73561456E-32   1.21724005E-04   1.10816701E-39   1.29384694E-12  
  41               3.09285784E-02   2.79436053E+02   8.38074169E-01   1.60463844E-01   7.81654364E-04   5.31345356E-04   3.64135321E-31   1.21723999E-04   3.52666277E-38   4.25672866E-12  
  42               3.56031012E-02   2.89454838E+02   8.38074169E-01   1.60463844E-01   7.81654364E-04   5.31345356E-04   5.87345051E-30   1.21723983E-04   8.44412368E-37   1.25003481E-11  
  43               4.10114544E-02   3.01227816E+02   8.38074169E-01   1.60463844E-01   7.81654364E-04   5.31345356E-04   1.25711724E-28   1.21723924E-04   2.71071197E-35   4.17648466E-11  
  44               4.72590925E-02   3.14764686E+02   8.38074169E-01   1.60463844E-01   7.81654291E-04   5.31345356E-04   3.29093600E-27   1.21723701E-04   1.06738197E-33   1.53346638E-10  
  45               5.44711982E-02   3.28235322E+02   8.38074169E-01   1.60463844E-01   7.81654104E-04   5.31345355E-04   6.39125803E-26   1.21723017E-04   3.04084175E-32   4.95072678E-10  
  46               6.27933278E-02   3.42963323E+02   8.38074167E-01   1.60463843E-01   7.81653585E-04   5.31345352E-04   1.26755430E-24   1.21720764E-04   8.77723222E-31   1.62126652E-09  
  47               7.23935796E-02   3.57618902E+02   8.38074175E-01   1.60463842E-01   7.81649328E-04   5.31345349E-04   1.91078654E-23   1.21714577E-04   1.88371810E-29   4.71472700E-09  
  48               8.34684818E-02   3.73635562E+02   8.38073984E-01   1.60463800E-01   7.81649123E-04   5.31345211E-04   2.93570909E-22   1.21696192E-04   4.08837779E-28   1.38910304E-08  
  49               9.62433646E-02   3.89580930E+02   8.38074237E-01   1.60463813E-01   7.81406141E-04   5.31345251E-04   3.50857313E-21   1.21650628E-04   6.77427798E-27   3.66777725E-08  
  50               1.10975595E-01   4.07005546E+02   8.38074318E-01   1.60463793E-01   7.81406053E-04   5.31345186E-04   4.27087909E-20   1.21528057E-04   1.13430232E-25   9.79560112E-08  
  51               1.27961413E-01   4.24354595E+02   8.38074499E-01   1.60463748E-01   7.81406100E-04   5.31345038E-04   4.12842736E-19   1.21252127E-04   1.48367274E-24   2.35903818E-07  
  52               1.47563985E-01   4.43327379E+02   8.38074897E-01   1.60463633E-01   7.81413787E-04   5.31344657E-04   4.06657864E-18   1.20580601E-04   1.96377686E-23   5.71623175E-07  
  53               1.70241076E-01   4.62280777E+02   8.38072372E-01   1.60462795E-01   7.81593603E-04   5.31341883E-04   3.26048803E-17   1.19223333E-04   2.08768204E-22   1.24993952E-06  
  54               1.96615741E-01   4.83145624E+02   8.38075704E-01   1.60462603E-01   7.79910655E-04   5.31341246E-04   2.68816363E-16   1.16311336E-04   2.27670484E-21   2.70586509E-06  
  55               2.27555111E-01   5.04266919E+02   8.38079030E-01   1.60461797E-01   7.79906739E-04   5.31338576E-04   1.87583459E-15   1.11285433E-04   2.08026378E-20   5.21851063E-06  
  56               2.64369833E-01   5.27945751E+02   8.38084819E-01   1.60460394E-01   7.79899927E-04   5.31333930E-04   1.38834494E-14   1.02539833E-04   2.01605358E-19   9.59077836E-06  
  57               3.08980467E-01   5.52624732E+02   8.38092527E-01   1.60458525E-01   7.79890867E-04   5.31327742E-04   9.14768384E-14   9.08929234E-05   1.73921947E-18   1.54135246E-05  
  58               3.64073374E-01   5.80993896E+02   8.38102405E-01   1.60456130E-01   7.79879295E-04   5.31319812E-04   6.60025518E-13   7.59683391E-05   1.65351636E-17   2.28749085E-05  
  59               4.32783459E-01   6.11206379E+02   8.38112074E-01   1.60453786E-01   7.79868076E-04   5.31312045E-04   4.33583606E-12   6.13572959E-05   1.43795951E-16   3.01795409E-05  
  60               5.18310450E-01   6.45657574E+02   8.38121331E-01   1.60451541E-01   7.79857643E-04   5.31304585E-04   3.00377422E-11   4.73687953E-05   1.32392304E-15   3.71729398E-05  
  61               6.23403473E-01   6.81548923E+02   8.38128483E-01   1.60449803E-01   7.79850283E-04   5.31298678E-04   1.79104686E-10   3.65470501E-05   1.04720754E-14   4.25831532E-05  
  62               7.49913576E-01   7.20800392E+02   8.38134202E-01   1.60448397E-01   7.79845648E-04   5.31293161E-04   1.03114194E-09   2.78368199E-05   7.94328240E-14   4.69377348E-05  
  63               8.98697112E-01   7.59905877E+02   8.38137979E-01   1.60447391E-01   7.79843302E-04   5.31286030E-04   4.81080657E-09   2.18219790E-05   4.82763274E-13   4.99447738E-05  
  64               1.07042263E+00   8.01127547E+02   8.38140854E-01   1.60446608E-01   7.79836341E-04   5.31267442E-04   2.07417382E-08   1.72043319E-05   2.67426779E-12   5.22533001E-05  
  65               1.26637354E+00   8.41178656E+02   8.38142959E-01   1.60446081E-01   7.79803799E-04   5.31213246E-04   7.30423231E-08   1.40617210E-05   1.19495171E-11   5.38244052E-05  
  66               1.48774469E+00   8.82939103E+02   8.38144688E-01   1.60445612E-01   7.79672178E-04   5.31043950E-04   2.40414168E-07   1.15858829E-05   4.92823280E-11   5.50621444E-05  
  67               1.73571890E+00   9.22997904E+02   8.38145970E-01   1.60445140E-01   7.79299450E-04   5.30616841E-04   6.65213368E-07   9.87285153E-06   1.69182194E-10   5.59184752E-05  
  68               2.01208834E+00   9.64693811E+02   8.38146988E-01   1.60444365E-01   7.78286539E-04   5.29525235E-04   1.75268431E-06   8.46257113E-06   5.48329406E-10   5.66233036E-05  
  69               2.32005692E+00   1.00469232E+03   8.38148844E-01   1.60443322E-01   7.76114434E-04   5.27261626E-04   4.01013357E-06   7.46135160E-06   1.53800594E-09   5.71234754E-05  
  70               2.66359149E+00   1.04673967E+03   8.38155708E-01   1.60441604E-01   7.71400483E-04   5.22379955E-04   8.88116286E-06   6.59548506E-06   4.18192311E-09   5.75556512E-05  
  71               3.04779706E+00   1.08734758E+03   8.38167259E-01   1.60438740E-01   7.63027051E-04   5.13813250E-04   1.74309854E-05   5.96803222E-06   1.01615604E-08   5.78680732E-05  
  72               3.47987824E+00   1.13060072E+03   8.38188190E-01   1.60433584E-01   7.47533763E-04   4.98080104E-04   3.31354193E-05   5.40127602E-06   2.44168184E-08   5.81490264E-05  
  73               3.97050038E+00   1.17308068E+03   8.38218950E-01   1.60426032E-01   7.24522666E-04   4.74809129E-04   5.63668056E-05   4.98306035E-06   5.39811533E-08   5.83544217E-05  
  74               4.53629825E+00   1.21944170E+03   8.38266102E-01   1.60414476E-01   6.89078601E-04   4.39059111E-04   9.20596456E-05   4.58903488E-06   1.20596067E-07   5.85454394E-05  
  75               5.19899678E+00   1.26637196E+03   8.38323667E-01   1.60400368E-01   6.45653758E-04   3.95321714E-04   1.35730816E-04   4.29380179E-06   2.55025338E-07   5.86850945E-05  
  76               5.98689753E+00   1.31871687E+03   8.38395565E-01   1.60382721E-01   5.91256295E-04   3.40586810E-04   1.90385726E-04   4.00947557E-06   5.52540047E-07   5.88161393E-05  
  77               6.92939695E+00   1.37091979E+03   8.38463503E-01   1.60365954E-01   5.39585237E-04   2.88614622E-04   2.42281720E-04   3.82366345E-06   1.11833030E-06   5.88964898E-05  
  78               8.04690809E+00   1.41964373E+03   8.38516284E-01   1.60352726E-01   4.98987416E-04   2.47752327E-04   2.83079617E-04   3.75216229E-06   2.03905771E-06   5.89197025E-05  
  79               9.36118799E+00   1.47106587E+03   8.38564353E-01   1.60340275E-01   4.61272863E-04   2.09640643E-04   3.21123701E-04   3.69833713E-06   3.67603603E-06   5.89318952E-05  
  80               1.08859560E+01   1.52063812E+03   8.38598931E-01   1.60330287E-01   4.32443581E-04   1.80009619E-04   3.50689921E-04   3.70396814E-06   6.20587731E-06   5.89135700E-05  
  81               1.26215246E+01   1.57388517E+03   8.38626040E-01   1.60319911E-01   4.05907955E-04   1.51559684E-04   3.79063336E-04   3.69685203E-06   1.05237829E-05   5.88983082E-05  
  82               1.45452464E+01   1.62595479E+03   8.38633123E-01   1.60309451E-01   3.88202486E-04   1.28060863E-04   4.02477994E-04   3.71465459E-06   1.70120825E-05   5.88690119E-05  
  83               1.66024086E+01   1.68199940E+03   8.38638331E-01   1.60300211E-01   3.79792448E-04   1.03339542E-04   4.27111857E-04   3.69457640E-06   2.77582443E-05   5.88577855E-05  
  84               1.87151897E+01   1.73646051E+03   8.38632141E-01   1.60291210E-01   3.67895290E-04   8.49420186E-05   4.45415797E-04   3.67503687E-06   4.33727885E-05   5.88444907E-05  
  85               2.08175538E+01   1.78590388E+03   8.38595362E-01   1.60280939E-01   3.71448535E-04   6.96566589E-05   4.60612810E-04   3.67359409E-06   6.34223267E-05   5.88259066E-05  
  86               2.27891681E+01   1.82885313E+03   8.38522988E-01   1.60268606E-01   3.93634490E-04   5.65778491E-05   4.73618142E-04   3.68262870E-06   8.66732975E-05   5.88090384E-05  
  87               2.45566562E+01   1.86480941E+03   8.38452083E-01   1.60259438E-01   4.23511890E-04   4.67505541E-05   4.83397635E-04   3.69815158E-06   1.11239702E-04   5.87950087E-05  
  88               2.61142922E+01   1.89487741E+03   8.38434607E-01   1.60256176E-01   4.19477749E-04   4.26915318E-05   4.87405130E-04   3.71559262E-06   1.35997484E-04   5.87736963E-05  
  89               2.78222800E+01   1.92614934E+03   8.38400543E-01   1.60250502E-01   4.15814762E-04   3.90084493E-05   4.91024197E-04   3.73873306E-06   1.66395457E-04   5.87476420E-05  
  90               2.91923367E+01   1.95016874E+03   8.38378982E-01   1.60247561E-01   4.13320273E-04   3.64918465E-05   4.93494309E-04   3.75919791E-06   1.93373045E-04   5.87264599E-05  
  91               3.02171782E+01   1.96748523E+03   8.38361275E-01   1.60245317E-01   4.11678806E-04   3.48384362E-05   4.95112560E-04   3.77599622E-06   2.14952420E-04   5.87098929E-05  
  92               3.13710417E+01   1.98646380E+03   8.38339637E-01   1.60242720E-01   4.10011343E-04   3.31539264E-05   4.96756969E-04   3.79556235E-06   2.40834874E-04   5.86909081E-05  
  93               3.26648460E+01   2.00700100E+03   8.38313454E-01   1.60239735E-01   4.08361002E-04   3.14832124E-05   4.98382194E-04   3.81902937E-06   2.71628311E-04   5.86688730E-05  
  94               3.41099457E+01   2.02923279E+03   8.38281646E-01   1.60236266E-01   4.06723105E-04   2.98200142E-05   4.99993708E-04   3.84594526E-06   3.08511302E-04   5.86438786E-05  
  95               3.57175185E+01   2.05303988E+03   8.38212372E-01   1.60226335E-01   4.05121696E-04   2.82000942E-05   5.01535594E-04   3.87714099E-06   3.52375363E-04   5.86131913E-05  
  96               3.68891628E+01   2.06989636E+03   8.38182356E-01   1.60223308E-01   4.04095896E-04   2.71363928E-05   5.02556056E-04   3.90018880E-06   3.86408925E-04   5.85922825E-05  
  97               3.77214210E+01   2.08156398E+03   8.38160181E-01   1.60221091E-01   4.03415198E-04   2.64467294E-05   5.03214589E-04   3.91720574E-06   4.11457176E-04   5.85770823E-05  
  98               3.86715600E+01   2.09468410E+03   8.38133719E-01   1.60218480E-01   4.02716259E-04   2.57012312E-05   5.03924158E-04   3.93657776E-06   4.41187094E-04   5.85597415E-05  
  99               3.97528058E+01   2.10923239E+03   8.38102578E-01   1.60215450E-01   4.01952822E-04   2.49257736E-05   5.04658285E-04   3.95931672E-06   4.76112235E-04   5.85396336E-05  
  100              4.09821968E+01   2.12543706E+03   8.38065446E-01   1.60211883E-01   4.01148535E-04   2.41076785E-05   5.05428683E-04   3.98522491E-06   5.17605268E-04   5.85166933E-05  
  101              4.23757582E+01   2.14326071E+03   8.38019557E-01   1.60207341E-01   4.00326042E-04   2.32701333E-05   5.06210204E-04   4.01538458E-06   5.66484362E-04   5.84901202E-05  
