# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              NH3              H                H2S              CO              
  34               3.67761887E-02   1.83394276E+02   8.38723865E-01   1.60588285E-01   5.31757418E-04   4.88132305E-06   1.21818406E-04   1.75461946E-58   2.30000781E-05   2.64262720E-52  
  35               4.43330350E-02   1.88039430E+02   8.38716034E-01   1.60586786E-01   5.31752453E-04   6.99798629E-06   1.21817268E-04   3.77288858E-57   2.29998634E-05   3.53833394E-51  
  36               5.35593182E-02   1.92398460E+02   8.38709973E-01   1.60585625E-01   5.31748611E-04   1.63328319E-05   1.21816388E-04   1.07891539E-55   2.29996971E-05   1.89311882E-49  
  37               6.48043937E-02   1.97428274E+02   8.38680484E-01   1.60579979E-01   5.31729915E-04   2.35807068E-05   1.21812105E-04   2.80852488E-54   2.29988885E-05   3.02297184E-48  
  38               7.84748248E-02   2.02555867E+02   8.38657057E-01   1.60575494E-01   5.31715062E-04   5.87323470E-05   1.21808702E-04   9.70108669E-53   2.29982461E-05   2.14773393E-46  
  39               9.50251087E-02   2.08446835E+02   8.38447064E-01   1.60535287E-01   5.31581925E-04   8.66385715E-05   1.21778202E-04   3.08736309E-51   2.29924875E-05   4.14775515E-45  
  40               1.14797310E-01   2.14522706E+02   8.38260498E-01   1.60499566E-01   5.31463640E-04   3.36987883E-04   1.21751105E-04   3.10043462E-49   2.29873713E-05   1.51783625E-42  
  41               1.37636568E-01   2.23165525E+02   8.38073932E-01   1.60463844E-01   5.31345356E-04   5.59427027E-04   1.21724008E-04   1.51101792E-46   2.29822552E-05   3.75333841E-40  
  42               1.64118615E-01   2.35807041E+02   8.38073932E-01   1.60463844E-01   5.31345356E-04   7.81891468E-04   1.21724008E-04   2.56864525E-44   2.29822552E-05   3.51315606E-38  
  43               1.95225354E-01   2.47441427E+02   8.38073932E-01   1.60463844E-01   5.31345356E-04   7.81891468E-04   1.21724008E-04   3.63612901E-42   2.29822552E-05   2.78340557E-36  
  44               2.33025071E-01   2.59816991E+02   8.38073932E-01   1.60463844E-01   5.31345356E-04   7.81891468E-04   1.21724008E-04   1.65164361E-40   2.29822552E-05   7.69848030E-35  
  45               2.78989904E-01   2.70247831E+02   8.38073932E-01   1.60463844E-01   5.31345356E-04   7.81891468E-04   1.21724008E-04   9.61917109E-39   2.29822552E-05   2.66862906E-33  
  46               3.34903794E-01   2.82366502E+02   8.38073932E-01   1.60463844E-01   5.31345356E-04   7.81891468E-04   1.21724008E-04   2.85617810E-37   2.29822552E-05   4.98840426E-32  
  47               4.02920483E-01   2.93320836E+02   8.38073932E-01   1.60463844E-01   5.31345356E-04   7.81891468E-04   1.21724007E-04   1.21624709E-35   2.29822552E-05   1.29794735E-30  
  48               4.85663788E-01   3.06542689E+02   8.38073931E-01   1.60463844E-01   5.31345356E-04   7.81891468E-04   1.21724006E-04   3.47386430E-34   2.29822552E-05   2.35660620E-29  
  49               5.86270869E-01   3.19361568E+02   8.38073931E-01   1.60463844E-01   5.31345356E-04   7.81891437E-04   1.21724002E-04   1.48631042E-32   2.29822552E-05   6.24938842E-28  
  50               7.08496948E-01   3.35117409E+02   8.38073875E-01   1.60463833E-01   5.31345320E-04   7.81891268E-04   1.21723981E-04   5.23680718E-31   2.29822536E-05   1.40336207E-26  
  51               8.56810077E-01   3.51504403E+02   8.38073880E-01   1.60463828E-01   5.31345301E-04   7.81823201E-04   1.21723922E-04   3.45203152E-29   2.29822528E-05   5.74756903E-25  
  52               1.03659119E+00   3.72952317E+02   8.38073886E-01   1.60463822E-01   5.31345283E-04   7.81755164E-04   1.21723718E-04   1.40961978E-27   2.29822520E-05   1.52774314E-23  
  53               1.25428351E+00   3.94182754E+02   8.38073949E-01   1.60463828E-01   5.31345301E-04   7.81687268E-04   1.21722983E-04   5.89785647E-26   2.29822528E-05   4.19579190E-22  
  54               1.51746248E+00   4.18188529E+02   8.38073947E-01   1.60463827E-01   5.31345298E-04   7.81687438E-04   1.21720739E-04   1.58306753E-24   2.29822527E-05   7.66170827E-21  
  55               1.83484744E+00   4.41860002E+02   8.38073803E-01   1.60463800E-01   5.31345208E-04   7.81700913E-04   1.21713704E-04   4.29746257E-23   2.29822488E-05   1.42514317E-19  
  56               2.21712086E+00   4.68562096E+02   8.38072064E-01   1.60463585E-01   5.31344498E-04   7.82345975E-04   1.21695204E-04   7.88218262E-22   2.29822181E-05   1.85168380E-18  
  57               2.67680163E+00   4.94822926E+02   8.38071411E-01   1.60463459E-01   5.31344080E-04   7.81834006E-04   1.21645813E-04   1.44848362E-20   2.29822000E-05   2.40934320E-17  
  58               3.22820106E+00   5.24386154E+02   8.38070947E-01   1.60463348E-01   5.31343713E-04   7.81308681E-04   1.21533871E-04   1.88384320E-19   2.29821841E-05   2.28800858E-16  
  59               3.88831835E+00   5.53347057E+02   8.38072183E-01   1.60463399E-01   5.31343882E-04   7.80151651E-04   1.21273109E-04   2.44983630E-18   2.29821914E-05   2.18010399E-15  
  60               4.67865982E+00   5.85968534E+02   8.38072525E-01   1.60463316E-01   5.31343607E-04   7.80151280E-04   1.20756654E-04   2.36760590E-17   2.29821796E-05   1.57912527E-14  
  61               5.62370434E+00   6.17893532E+02   8.38073213E-01   1.60463149E-01   5.31343054E-04   7.80150557E-04   1.19716355E-04   2.27408037E-16   2.29821557E-05   1.13867920E-13  
  62               6.75117596E+00   6.53810740E+02   8.38074383E-01   1.60462865E-01   5.31342112E-04   7.80149393E-04   1.17946798E-04   1.68872396E-15   2.29821150E-05   6.47005995E-13  
  63               8.09591329E+00   6.88860828E+02   8.38076373E-01   1.60462382E-01   5.31340507E-04   7.80147575E-04   1.14936762E-04   1.25124854E-14   2.29820457E-05   3.66251293E-12  
  64               9.70490641E+00   7.28471945E+02   8.38079200E-01   1.60461692E-01   5.31338206E-04   7.80145360E-04   1.10647843E-04   7.48126343E-14   2.29819469E-05   1.69731312E-11  
  65               1.16326081E+01   7.67251883E+02   8.38083101E-01   1.60460714E-01   5.31334903E-04   7.80143074E-04   1.04640691E-04   4.45220566E-13   2.29818067E-05   7.80505040E-11  
  66               1.39414421E+01   8.11126119E+02   8.38087609E-01   1.60459556E-01   5.31330838E-04   7.80141984E-04   9.76019528E-05   2.19500139E-12   2.29816406E-05   3.00946504E-10  
  67               1.67052753E+01   8.53952414E+02   8.38092856E-01   1.60458218E-01   5.31325551E-04   7.80144013E-04   8.94419219E-05   1.07073634E-11   2.29814480E-05   1.14349337E-09  
