# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              Mg               Fe               N2              
  1                1.00000000E-05   1.58830336E+03   8.25970378E-01   1.59142360E-01   1.37170723E-02   5.26887920E-04   3.70689462E-04   6.63391090E-05   5.51797650E-05   6.03607630E-05  
  2                1.03818883E-05   1.61040233E+03   8.22969308E-01   1.58880652E-01   1.69817492E-02   5.26023787E-04   3.69885720E-04   6.62299772E-05   5.50890143E-05   6.02614934E-05  
  3                1.08663968E-05   1.60633425E+03   8.23949101E-01   1.58966099E-01   1.59158859E-02   5.26306286E-04   3.70148794E-04   6.62655347E-05   5.51186393E-05   6.02939045E-05  
  4                1.14876882E-05   1.61564022E+03   8.22908159E-01   1.58875336E-01   1.70482487E-02   5.26006740E-04   3.69877907E-04   6.62276276E-05   5.50871620E-05   6.02594761E-05  
  5                1.22850364E-05   1.61045205E+03   8.24211007E-01   1.58988959E-01   1.56309498E-02   5.26382423E-04   3.70230254E-04   6.62748967E-05   5.51265549E-05   6.03025747E-05  
  6                1.33079250E-05   1.62019213E+03   8.23312948E-01   1.58910658E-01   1.66078757E-02   5.26124177E-04   3.69997276E-04   6.62421436E-05   5.50993959E-05   6.02728731E-05  
  7                1.46193777E-05   1.61555246E+03   8.24685382E-01   1.59030358E-01   1.51148690E-02   5.26520046E-04   3.70375607E-04   6.62918975E-05   5.51408930E-05   6.03182766E-05  
  8                1.62994259E-05   1.62619384E+03   8.23901109E-01   1.58961982E-01   1.59680112E-02   5.26294742E-04   3.70173018E-04   6.62632239E-05   5.51171715E-05   6.02923395E-05  
  9                1.84495557E-05   1.62253194E+03   8.25281114E-01   1.59082354E-01   1.44667552E-02   5.26692943E-04   3.70563847E-04   6.63131910E-05   5.51588973E-05   6.03379977E-05  
  10               2.11984023E-05   1.63431797E+03   8.24590658E-01   1.59022162E-01   1.52178348E-02   5.26494833E-04   3.70386697E-04   6.62878505E-05   5.51380081E-05   6.03151647E-05  
  11               2.47081443E-05   1.63195915E+03   8.25918982E-01   1.59138041E-01   1.37727867E-02   5.26878293E-04   3.70776039E-04   6.63358559E-05   5.51781701E-05   6.03591181E-05  
  12               2.91838390E-05   1.64507872E+03   8.25284975E-01   1.59082775E-01   1.44624542E-02   5.26696591E-04   3.70614242E-04   6.63124661E-05   5.51589813E-05   6.03381530E-05  
  13               3.48825552E-05   1.64426732E+03   8.26508845E-01   1.59189556E-01   1.31310223E-02   5.27050084E-04   3.70987546E-04   6.63565670E-05   5.51959814E-05   6.03786556E-05  
  14               4.21284488E-05   1.65885481E+03   8.25886325E-01   1.59135294E-01   1.38081911E-02   5.26871801E-04   3.70828030E-04   6.63334650E-05   5.51771309E-05   6.03580705E-05  
  15               5.13257642E-05   1.65975312E+03   8.26969821E-01   1.59229843E-01   1.26294533E-02   5.27184950E-04   3.71172723E-04   6.63723261E-05   5.52098796E-05   6.03939327E-05  
  16               6.29841711E-05   1.67588439E+03   8.26318567E-01   1.59173075E-01   1.33378789E-02   5.26998452E-04   3.71002921E-04   6.63480160E-05   5.51901475E-05   6.03723965E-05  
  17               7.77376698E-05   1.67861501E+03   8.27242297E-01   1.59253695E-01   1.23329367E-02   5.27265640E-04   3.71309141E-04   6.63808961E-05   5.52180538E-05   6.04029748E-05  
  18               9.63833325E-05   1.69633690E+03   8.26529653E-01   1.59191572E-01   1.31081447E-02   5.27061473E-04   3.71118368E-04   6.63541484E-05   5.51964484E-05   6.03794063E-05  
  19               1.19908452E-04   1.70094337E+03   8.27292470E-01   1.59258161E-01   1.22782499E-02   5.27282341E-04   3.71381028E-04   6.63809604E-05   5.52194721E-05   6.04046610E-05  
  20               1.49552236E-04   1.72021068E+03   8.26500292E-01   1.59189100E-01   1.31399799E-02   5.27055238E-04   3.71163233E-04   6.63510623E-05   5.51954397E-05   6.03784592E-05  
  21               1.86845178E-04   1.72662450E+03   8.27115801E-01   1.59242840E-01   1.24703338E-02   5.27233680E-04   3.71382490E-04   6.63722434E-05   5.52139861E-05   6.03988387E-05  
  22               2.33707728E-04   1.74723428E+03   8.26245983E-01   1.59167007E-01   1.34165241E-02   5.26984153E-04   3.71138293E-04   6.63391971E-05   5.51875777E-05   6.03700658E-05  
  23               2.92507907E-04   1.75520796E+03   8.26744547E-01   1.59210545E-01   1.28740988E-02   5.27128895E-04   3.71320955E-04   6.63557789E-05   5.52025581E-05   6.03865733E-05  
  24               3.66214658E-04   1.77685614E+03   8.25813760E-01   1.59129396E-01   1.38866126E-02   5.26861726E-04   3.71055770E-04   6.63201068E-05   5.51742705E-05   6.03557804E-05  
  25               4.58485027E-04   1.78603870E+03   8.26233580E-01   1.59166063E-01   1.34298512E-02   5.26983759E-04   3.71212393E-04   6.63333879E-05   5.51868318E-05   6.03696788E-05  
  26               5.73901430E-04   1.80832889E+03   8.25274512E-01   1.59082449E-01   1.44731290E-02   5.26708358E-04   3.70936400E-04   6.62961742E-05   5.51576439E-05   6.03379462E-05  
  27               7.18099159E-04   1.81833998E+03   8.25655196E-01   1.59115702E-01   1.40589433E-02   5.26819088E-04   3.71078808E-04   6.63074822E-05   5.51689738E-05   6.03505446E-05  
  28               8.98106925E-04   1.84105801E+03   8.24687509E-01   1.59031338E-01   1.51115962E-02   5.26541120E-04   3.70797736E-04   6.62693107E-05   5.51394676E-05   6.03185212E-05  
  29               1.12255654E-03   1.85162560E+03   8.25056818E-01   1.59063597E-01   1.47097859E-02   5.26648544E-04   3.70934413E-04   6.62795149E-05   5.51503928E-05   6.03307363E-05  
  30               1.40216203E-03   1.87464860E+03   8.24094128E-01   1.58979671E-01   1.57569995E-02   5.26371938E-04   3.70651913E-04   6.62407178E-05   5.51209641E-05   6.02988701E-05  
  31               1.75001778E-03   1.88573128E+03   8.24454767E-01   1.59011172E-01   1.53646234E-02   5.26476832E-04   3.70783635E-04   6.62497416E-05   5.51315494E-05   6.03107886E-05  
  32               2.18228143E-03   1.90911429E+03   8.23491669E-01   1.58927212E-01   1.64122791E-02   5.26200034E-04   3.70497404E-04   6.62099208E-05   5.51020143E-05   6.02788969E-05  
  33               2.71861211E-03   1.92073854E+03   8.23838951E-01   1.58957546E-01   1.60344354E-02   5.26301045E-04   3.70622596E-04   6.62173796E-05   5.51120968E-05   6.02903597E-05  
  34               3.38318944E-03   1.94444759E+03   8.22879063E-01   1.58873868E-01   1.70785976E-02   5.26025100E-04   3.70333222E-04   6.61764235E-05   5.50825396E-05   6.02585572E-05  
  35               4.20528624E-03   1.95657873E+03   8.23214873E-01   1.58903200E-01   1.67132346E-02   5.26122768E-04   3.70452384E-04   6.61821273E-05   5.50921503E-05   6.02696210E-05  
  36               5.22069691E-03   1.98062151E+03   8.22257131E-01   1.58819710E-01   1.77550618E-02   5.25847370E-04   3.70159017E-04   6.61397038E-05   5.50625078E-05   6.02378656E-05  
  37               6.47251850E-03   1.99327159E+03   8.22578061E-01   1.58847743E-01   1.74058873E-02   5.25940709E-04   3.70270976E-04   6.61432177E-05   5.50715114E-05   6.02484098E-05  
  38               8.01321767E-03   2.01764293E+03   8.21622270E-01   1.58764424E-01   1.84455909E-02   5.25665804E-04   3.69973093E-04   6.60989704E-05   5.50417401E-05   6.02166852E-05  
  39               9.90557486E-03   2.03085458E+03   8.21921547E-01   1.58790566E-01   1.81199734E-02   5.25752856E-04   3.70075577E-04   6.60996770E-05   5.50498925E-05   6.02264747E-05  
  40               1.22259479E-02   2.05552971E+03   8.20969460E-01   1.58707572E-01   1.91556471E-02   5.25478946E-04   3.69773336E-04   6.60532563E-05   5.50199999E-05   6.01948258E-05  
  41               1.50653520E-02   2.06936349E+03   8.21238995E-01   1.58731119E-01   1.88623855E-02   5.25557372E-04   3.69863608E-04   6.60504178E-05   5.50270083E-05   6.02035778E-05  
  42               1.85335884E-02   2.09443527E+03   8.20279353E-01   1.58647466E-01   1.99062759E-02   5.25281208E-04   3.69553003E-04   6.60009192E-05   5.49965979E-05   6.01716137E-05  
  43               2.27604874E-02   2.10898411E+03   8.20507813E-01   1.58667429E-01   1.96576994E-02   5.25347730E-04   3.69627169E-04   6.59935988E-05   5.50020607E-05   6.01789324E-05  
  44               2.79015939E-02   2.13461379E+03   8.19520270E-01   1.58581344E-01   2.07319402E-02   5.25063435E-04   3.69301147E-04   6.59397018E-05   5.49704494E-05   6.01459549E-05  
  45               3.41389872E-02   2.15026582E+03   8.19663353E-01   1.58593860E-01   2.05762412E-02   5.25105260E-04   3.69344270E-04   6.59256618E-05   5.49729528E-05   6.01503460E-05  
  46               4.16892216E-02   2.17684721E+03   8.18597988E-01   1.58500990E-01   2.17351387E-02   5.24798418E-04   3.68985762E-04   6.58648685E-05   5.49385466E-05   6.01146688E-05  
  47               5.08040667E-02   2.19391182E+03   8.18619475E-01   1.58502900E-01   2.17117161E-02   5.24805080E-04   3.68985018E-04   6.58420737E-05   5.49369067E-05   6.01148956E-05  
  48               6.17810027E-02   2.22183095E+03   8.17422504E-01   1.58398554E-01   2.30137765E-02   5.24460154E-04   3.68575041E-04   6.57716471E-05   5.48979780E-05   6.00746921E-05  
  49               7.49620077E-02   2.24088947E+03   8.17252104E-01   1.58383731E-01   2.31990955E-02   5.24411345E-04   3.68505600E-04   6.57366964E-05   5.48899577E-05   6.00683763E-05  
  50               9.07485485E-02   2.27062650E+03   8.15849981E-01   1.58261497E-01   2.47243240E-02   5.24007082E-04   3.68017601E-04   6.56530726E-05   5.48441601E-05   6.00211472E-05  
  51               1.09597475E-01   2.29222949E+03   8.15411511E-01   1.58223297E-01   2.52012568E-02   5.23880784E-04   3.67851529E-04   6.56022436E-05   5.48273217E-05   6.00056952E-05  
  52               1.32040151E-01   2.32450860E+03   8.13683490E-01   1.58072444E-01   2.70788724E-02   5.23381629E-04   3.67241113E-04   6.54999383E-05   5.47707828E-05   5.99472711E-05  
  53               1.58594840E-01   2.34910806E+03   8.12879879E-01   1.58002825E-01   2.79433731E-02   5.23150431E-04   3.73769859E-04   6.54289575E-05   5.47421922E-05   5.99195377E-05  
  54               1.89929620E-01   2.38500122E+03   8.10622694E-01   1.57806038E-01   3.03987505E-02   5.22499034E-04   3.72958781E-04   6.52998504E-05   5.46687430E-05   5.98431986E-05  
  55               2.26870045E-01   2.41466220E+03   8.09143194E-01   1.57677066E-01   3.20081349E-02   5.22071915E-04   3.72408231E-04   6.51957803E-05   5.46184842E-05   5.97923724E-05  
  56               2.70265345E-01   2.45498872E+03   8.06132199E-01   1.57414556E-01   3.52835163E-02   5.21202673E-04   3.71302904E-04   6.50303425E-05   5.45210383E-05   5.96903091E-05  
  57               3.20997085E-01   2.49041350E+03   8.03722077E-01   1.57204443E-01   3.79052447E-02   5.20506653E-04   3.70394196E-04   6.48830093E-05   5.44413358E-05   5.96077506E-05  
  58               3.79987746E-01   2.53746417E+03   7.99373698E-01   1.56825333E-01   4.26354455E-02   5.19251039E-04   3.68759207E-04   6.46591787E-05   5.43020082E-05   5.94599573E-05  
  59               4.47714102E-01   2.59376172E+03   7.93062288E-01   1.56275072E-01   4.95010551E-02   5.17428616E-04   3.66353292E-04   6.43589438E-05   5.41023935E-05   5.92453667E-05  
  60               5.24816836E-01   2.65310266E+03   7.85531779E-01   1.55618529E-01   5.76927983E-02   5.15254041E-04   3.63414786E-04   6.40107661E-05   5.38652336E-05   5.89877137E-05  
  61               6.12677424E-01   2.70530935E+03   7.78848989E-01   1.55035902E-01   6.49623514E-02   5.13323839E-04   3.60723512E-04   6.36905010E-05   5.36533404E-05   5.87556806E-05  
  62               7.12827250E-01   2.76100434E+03   7.70918755E-01   1.54344517E-01   7.35888620E-02   5.11033239E-04   3.57457370E-04   6.33208621E-05   5.34029667E-05   5.84767894E-05  
  63               8.26928354E-01   2.80993432E+03   7.64156296E-01   1.53754946E-01   8.09450209E-02   5.09079348E-04   3.54578856E-04   6.29898944E-05   5.31874357E-05   5.82322535E-05  
  64               9.56752502E-01   2.86391568E+03   7.55780655E-01   1.53024724E-01   9.00559769E-02   5.06659392E-04   3.50946072E-04   6.25961034E-05   5.29222700E-05   5.79225659E-05  
