# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              Mg               Fe               N2              
  15               8.01305650E-05   1.45286169E+03   8.37661179E-01   1.60163791E-01   9.97651734E-04   5.30250173E-04   3.76354497E-04   6.67607420E-05   5.55337575E-05   6.07481791E-05  
  16               9.93031944E-05   1.38575791E+03   8.38242781E-01   1.60214822E-01   3.64631529E-04   5.30405531E-04   3.77283379E-04   6.67818797E-05   5.55514633E-05   6.07675254E-05  
  17               1.23508354E-04   1.47617245E+03   8.37587478E-01   1.60157371E-01   1.07780724E-03   5.30232895E-04   3.76287606E-04   6.67565351E-05   5.55314375E-05   6.07457364E-05  
  18               1.53942516E-04   1.41247047E+03   8.38188941E-01   1.60210115E-01   4.23203407E-04   5.30395698E-04   3.77162543E-04   6.67782731E-05   5.55497348E-05   6.07657288E-05  
  19               1.92234663E-04   1.50339661E+03   8.37471912E-01   1.60147289E-01   1.20351715E-03   5.30203788E-04   3.76181843E-04   6.67503236E-05   5.55278130E-05   6.07419008E-05  
  20               2.40202771E-04   1.44316710E+03   8.38110346E-01   1.60203242E-01   5.08713394E-04   5.30378909E-04   3.77012872E-04   6.67732434E-05   5.55472190E-05   6.07631058E-05  
  21               3.00327734E-04   1.53472605E+03   8.37300466E-01   1.60132320E-01   1.39002696E-03   5.30158710E-04   3.76034011E-04   6.67414639E-05   5.55224485E-05   6.07362073E-05  
  22               3.75315216E-04   1.47828348E+03   8.37994439E-01   1.60193105E-01   6.34819412E-04   5.30351446E-04   3.76828727E-04   6.67661819E-05   5.55435226E-05   6.07592390E-05  
  23               4.68818691E-04   1.57130424E+03   8.37036646E-01   1.60109278E-01   1.67703679E-03   5.30087131E-04   3.75827257E-04   6.67284478E-05   5.55142217E-05   6.07274454E-05  
  24               5.84571493E-04   1.52052633E+03   8.37800888E-01   1.60176174E-01   8.45363221E-04   5.30301848E-04   3.76579152E-04   6.67553926E-05   5.55373997E-05   6.07527878E-05  
  25               7.23481005E-04   1.63788641E+03   8.36078272E-01   1.60025522E-01   2.71950851E-03   5.29817186E-04   3.75268141E-04   6.66888092E-05   5.54848119E-05   6.06956524E-05  
  26               8.66247354E-04   1.66356621E+03   8.35629092E-01   1.59986290E-01   3.20819419E-03   5.29689779E-04   3.75014139E-04   6.66701505E-05   5.54710251E-05   6.06807581E-05  
  27               1.04283100E-03   1.67818099E+03   8.35480474E-01   1.59973329E-01   3.36985810E-03   5.29648199E-04   3.74948033E-04   6.66623146E-05   5.54663477E-05   6.06758236E-05  
  28               1.26215110E-03   1.69880273E+03   8.35152445E-01   1.59944698E-01   3.72671644E-03   5.29555196E-04   3.74788579E-04   6.66474947E-05   5.54561928E-05   6.06649424E-05  
  29               1.53443639E-03   1.71337502E+03   8.35019202E-01   1.59933086E-01   3.87164687E-03   5.29517955E-04   3.74738446E-04   6.66394991E-05   5.54519244E-05   6.06605110E-05  
  30               1.87224698E-03   1.73428113E+03   8.34678747E-01   1.59903379E-01   4.24201390E-03   5.29421247E-04   3.74586454E-04   6.66233936E-05   5.54413251E-05   6.06492120E-05  
  31               2.29084157E-03   1.74945808E+03   8.34540210E-01   1.59891309E-01   4.39270000E-03   5.29382424E-04   3.74538854E-04   6.66142925E-05   5.54368204E-05   6.06445949E-05  
  32               2.80894108E-03   1.77091467E+03   8.34177450E-01   1.59859661E-01   4.78732582E-03   5.29279180E-04   3.74387216E-04   6.65963316E-05   5.54254565E-05   6.06325464E-05  
  33               3.44922992E-03   1.78676409E+03   8.34027994E-01   1.59846641E-01   4.94988740E-03   5.29237152E-04   3.74338382E-04   6.65856989E-05   5.54205232E-05   6.06275524E-05  
  34               4.23946412E-03   1.80870328E+03   8.33643003E-01   1.59813059E-01   5.36869174E-03   5.29127393E-04   3.74185752E-04   6.65656402E-05   5.54083722E-05   6.06147511E-05  
  35               5.21314300E-03   1.82510608E+03   8.33484083E-01   1.59799217E-01   5.54154572E-03   5.29082571E-04   3.74135579E-04   6.65532670E-05   5.54030284E-05   6.06094214E-05  
  36               6.41103884E-03   1.84744024E+03   8.33078690E-01   1.59763860E-01   5.98254005E-03   5.28966823E-04   3.73981409E-04   6.65308837E-05   5.53901156E-05   6.05959200E-05  
  37               7.88210880E-03   1.86432763E+03   8.32910783E-01   1.59749235E-01   6.16516842E-03   5.28919340E-04   3.73929351E-04   6.65164724E-05   5.53843436E-05   6.05902610E-05  
  38               9.68568618E-03   1.88695804E+03   8.32488416E-01   1.59712402E-01   6.62462398E-03   5.28798592E-04   3.73773738E-04   6.64915408E-05   5.53707364E-05   6.05761620E-05  
  39               1.18926230E-02   1.90425662E+03   8.32313038E-01   1.59697126E-01   6.81537854E-03   5.28748881E-04   3.73719720E-04   6.64747732E-05   5.53645431E-05   6.05702112E-05  
  40               1.45884241E-02   1.92710200E+03   8.31877491E-01   1.59659148E-01   7.28916799E-03   5.28624227E-04   3.73562874E-04   6.64470202E-05   5.53503124E-05   6.05556255E-05  
  41               1.78745370E-02   1.94483032E+03   8.31692409E-01   1.59643027E-01   7.49047766E-03   5.28571642E-04   3.73505388E-04   6.64273699E-05   5.53435829E-05   6.05492915E-05  
  42               2.18726247E-02   1.96796203E+03   8.31240334E-01   1.59603610E-01   7.98224376E-03   5.28442118E-04   3.73344839E-04   6.63961830E-05   5.53285735E-05   6.05340886E-05  
  43               2.67261886E-02   1.98621526E+03   8.31039162E-01   1.59586087E-01   8.20105658E-03   5.28384812E-04   3.73280976E-04   6.63728916E-05   5.53210564E-05   6.05271371E-05  
  44               3.26061529E-02   2.00984699E+03   8.30558545E-01   1.59544184E-01   8.72386928E-03   5.28246952E-04   3.73111307E-04   6.63372500E-05   5.53048382E-05   6.05108935E-05  
  45               3.97127482E-02   2.02888462E+03   8.30325029E-01   1.59523840E-01   8.97786642E-03   5.28180230E-04   3.73034704E-04   6.63090990E-05   5.52959696E-05   6.05027568E-05  
  46               4.82838158E-02   2.05324948E+03   8.29800094E-01   1.59478073E-01   9.54888818E-03   5.28029473E-04   3.72849529E-04   6.62677467E-05   5.52779845E-05   6.04849166E-05  
  47               5.85967357E-02   2.07343420E+03   8.29509821E-01   1.59452780E-01   9.86462759E-03   5.27946279E-04   3.72751137E-04   6.62331010E-05   5.52669358E-05   6.04747486E-05  
  48               7.09773777E-02   2.09908057E+03   8.28902779E-01   1.59399854E-01   1.05249666E-02   5.27771711E-04   3.72536354E-04   6.61838301E-05   5.52459360E-05   6.04540186E-05  
  49               8.58013353E-02   2.12100599E+03   8.28512602E-01   1.59365847E-01   1.09493852E-02   5.27659577E-04   3.72400607E-04   6.61402220E-05   5.52312868E-05   6.04403434E-05  
  50               1.03507804E-01   2.14839620E+03   8.27781582E-01   1.59302111E-01   1.17445907E-02   5.27449089E-04   3.72141083E-04   6.60805599E-05   5.52058799E-05   6.04152838E-05  
  51               1.24598502E-01   2.17268620E+03   8.27236090E-01   1.59254560E-01   1.23379662E-02   5.27291991E-04   3.71948294E-04   6.60249343E-05   5.51858121E-05   6.03962077E-05  
  52               1.49653971E-01   2.20262317E+03   8.26303642E-01   1.59173259E-01   1.33522892E-02   5.27023198E-04   3.71616265E-04   6.59509326E-05   5.51534933E-05   6.03641874E-05  
  53               1.79330327E-01   2.23006471E+03   8.25518318E-01   1.59104793E-01   1.42065605E-02   5.26796700E-04   3.71336391E-04   6.58790128E-05   5.51252724E-05   6.03368375E-05  
  54               2.14380749E-01   2.26331375E+03   8.24282557E-01   1.58997045E-01   1.55508328E-02   5.26440142E-04   3.70895252E-04   6.57857107E-05   5.50827652E-05   6.02943943E-05  
  55               2.55646457E-01   2.29486163E+03   8.23125378E-01   1.58895950E-01   1.68074749E-02   5.26105401E-04   3.70480675E-04   6.56912562E-05   5.50421073E-05   6.02542203E-05  
  56               3.03963880E-01   2.33218067E+03   8.21430421E-01   1.58748596E-01   1.86416248E-02   5.25616746E-04   3.76693159E-04   6.55719495E-05   5.49846294E-05   6.01962623E-05  
  57               3.60350111E-01   2.36932792E+03   8.19661549E-01   1.58594369E-01   2.05658069E-02   5.25105845E-04   3.76064805E-04   6.54451268E-05   5.49241660E-05   6.01353334E-05  
  58               4.26058310E-01   2.41311994E+03   8.17146085E-01   1.58375042E-01   2.33021475E-02   5.24379294E-04   3.75162408E-04   6.52846870E-05   5.48401599E-05   6.00492793E-05  
  59               5.02268921E-01   2.45791062E+03   8.14333503E-01   1.58129815E-01   2.63616939E-02   5.23566728E-04   3.74139805E-04   6.51080402E-05   5.47464001E-05   5.99528520E-05  
  60               5.89661830E-01   2.52059976E+03   8.09126347E-01   1.57675794E-01   3.20261055E-02   5.22062846E-04   3.72227660E-04   6.48356739E-05   5.45786233E-05   5.97761020E-05  
  61               6.88938765E-01   2.58068585E+03   8.03573605E-01   1.57191658E-01   3.80664279E-02   5.20458849E-04   3.70145653E-04   6.45471571E-05   5.43998033E-05   5.95865276E-05  
  62               8.02034142E-01   2.63817284E+03   7.97797715E-01   1.56688079E-01   4.43494680E-02   5.18790056E-04   3.67931141E-04   6.42464955E-05   5.42135950E-05   5.93876626E-05  
  63               9.31024959E-01   2.69429464E+03   7.91715903E-01   1.56157835E-01   5.09652654E-02   5.17032547E-04   3.65545812E-04   6.39300891E-05   5.40173881E-05   5.91759296E-05  
  64               1.07815995E+00   2.74865948E+03   7.85478925E-01   1.55614070E-01   5.77498221E-02   5.15229788E-04   3.63041647E-04   6.36031755E-05   5.38157167E-05   5.89553106E-05  
  65               1.24587323E+00   2.80221116E+03   7.78992506E-01   1.55048561E-01   6.48056860E-02   5.13354516E-04   3.60376964E-04   6.32619432E-05   5.36056422E-05   5.87210078E-05  
  66               1.43680975E+00   2.85443119E+03   7.72423866E-01   1.54475886E-01   7.19509490E-02   5.11454932E-04   3.57615440E-04   6.29123093E-05   5.33922057E-05   5.84766592E-05  
  67               1.65384484E+00   2.90636581E+03   7.65610310E-01   1.53881858E-01   7.93625858E-02   5.09483995E-04   3.54687744E-04   6.25481071E-05   5.31704014E-05   5.82134817E-05  
  68               1.90015745E+00   2.95721061E+03   7.58779832E-01   1.53286353E-01   8.67925752E-02   5.07507426E-04   3.51687637E-04   6.21774817E-05   5.29471195E-05   5.79356507E-05  
  69               2.17930196E+00   3.00804861E+03   7.51725065E-01   1.52671290E-01   9.44664819E-02   5.05465256E-04   3.48525628E-04   6.17927134E-05   5.27160018E-05   5.76298014E-05  
  70               2.49520415E+00   3.05794312E+03   7.44717463E-01   1.52060336E-01   1.02089008E-01   5.03435720E-04   3.45320205E-04   6.14034393E-05   5.24852476E-05   5.72992040E-05  
  71               2.85208573E+00   3.10802437E+03   7.37503976E-01   1.51431425E-01   1.09935404E-01   5.01345619E-04   3.41959242E-04   6.10004387E-05   5.22471261E-05   5.69235830E-05  
  72               3.25475309E+00   3.15725588E+03   7.30396162E-01   1.50811721E-01   1.17666746E-01   4.99284728E-04   3.38585572E-04   6.05946808E-05   5.20110393E-05   5.65041560E-05  
  73               3.70868593E+00   3.20693193E+03   7.23071829E-01   1.50173130E-01   1.25633488E-01   4.97159814E-04   3.35050797E-04   6.01744808E-05   5.17671537E-05   5.60087095E-05  
  74               4.22014377E+00   3.25595218E+03   7.15875933E-01   1.49545726E-01   1.33460372E-01   4.95070234E-04   3.31518991E-04   5.97517781E-05   5.15258526E-05   5.54343820E-05  
  75               4.79624264E+00   3.30568443E+03   7.08440484E-01   1.48897421E-01   1.41547655E-01   4.92909431E-04   3.27812966E-04   5.93133347E-05   5.12759148E-05   5.47313504E-05  
  76               5.44509369E+00   3.35489074E+03   7.01165626E-01   1.48263103E-01   1.49460042E-01   4.90792619E-04   3.24129467E-04   5.88728121E-05   5.10293609E-05   5.38926168E-05  
  77               6.17595491E+00   3.40502840E+03   6.93636199E-01   1.47606565E-01   1.57649078E-01   4.88599479E-04   3.20259670E-04   5.84154230E-05   5.07735447E-05   5.28417043E-05  
  78               6.99938838E+00   3.45476957E+03   6.86294411E-01   1.46966364E-01   1.65633713E-01   4.86457270E-04   3.16427974E-04   5.79560365E-05   5.05217174E-05   5.15677826E-05  
  79               7.92745936E+00   3.50567860E+03   6.78674195E-01   1.46301851E-01   1.73920830E-01   4.84230776E-04   3.12389177E-04   5.74782596E-05   5.02597016E-05   4.99566425E-05  
  80               8.97394110E+00   3.55633509E+03   6.71259491E-01   1.45655222E-01   1.81983993E-01   4.82059189E-04   3.08396291E-04   5.69981168E-05   5.00019613E-05   4.80014838E-05  
  81               1.01545373E+01   3.60841043E+03   6.63535073E-01   1.44981536E-01   1.90383523E-01   4.79792829E-04   3.04165588E-04   5.64977662E-05   4.97328507E-05   4.55449484E-05  
  82               1.14871293E+01   3.66039220E+03   6.56024473E-01   1.44326445E-01   1.98549950E-01   4.77582181E-04   2.99979108E-04   5.59942865E-05   4.94679764E-05   4.26116488E-05  
  83               1.29921617E+01   3.71402673E+03   6.48176902E-01   1.43641905E-01   2.07082265E-01   4.75266932E-04   2.95519419E-04   5.54689382E-05   4.91906446E-05   3.90247825E-05  
  84               1.46929930E+01   3.76769925E+03   6.40558385E-01   1.42977280E-01   2.15364871E-01   4.73009629E-04   2.91101986E-04   5.49398689E-05   4.89176782E-05   3.49131428E-05  
  85               1.66164119E+01   3.82324627E+03   6.32581915E-01   1.42281373E-01   2.24036223E-01   4.70638875E-04   2.86373796E-04   5.43874915E-05   4.86313256E-05   3.01640185E-05  
  86               1.87930501E+01   3.87898353E+03   6.24843201E-01   1.41606157E-01   2.32448634E-01   4.68325223E-04   2.81679859E-04   5.38305321E-05   4.83492293E-05   2.51235494E-05  
  87               2.12581346E+01   3.93683131E+03   6.16725110E-01   1.40897821E-01   2.41273502E-01   4.65887082E-04   2.76634349E-04   5.32488596E-05   4.80527786E-05   1.98638296E-05  
  88               2.40521219E+01   3.99500972E+03   6.08859963E-01   1.40211554E-01   2.49823520E-01   4.63503856E-04   2.71620532E-04   5.26619051E-05   4.77606223E-05   1.49576120E-05  
  89               2.72217850E+01   4.05551624E+03   6.00607717E-01   1.39491554E-01   2.58795097E-01   4.60983714E-04   2.66225580E-04   5.20492862E-05   4.74535102E-05   1.05751078E-05  
  90               3.08210844E+01   4.11648132E+03   5.92632839E-01   1.38795808E-01   2.67465816E-01   4.58511829E-04   2.60873769E-04   5.14308549E-05   4.71509239E-05   7.13843284E-06  
  91               3.49124280E+01   4.18004664E+03   5.84253809E-01   1.38064870E-01   2.76576971E-01   4.55878154E-04   2.55115251E-04   5.07855210E-05   4.68324287E-05   4.56134105E-06  
  92               3.95676920E+01   4.24430999E+03   5.76143573E-01   1.37357434E-01   2.85396516E-01   4.53266077E-04   2.49402534E-04   5.01328154E-05   4.65176158E-05   2.83775189E-06  
  93               4.48702227E+01   4.31153070E+03   5.67593209E-01   1.36611650E-01   2.94695389E-01   4.50448816E-04   2.43259194E-04   4.94515830E-05   4.61853176E-05   1.70311438E-06  
  94               5.09162991E+01   4.37973773E+03   5.59294306E-01   1.35887826E-01   3.03721122E-01   4.47609834E-04   2.37173960E-04   4.87612958E-05   4.58555218E-05   1.01450955E-06  
  95               5.78181169E+01   4.45124445E+03   5.50538347E-01   1.35124153E-01   3.13244279E-01   4.44508073E-04   2.30667565E-04   4.80416674E-05   4.55071713E-05   5.91107204E-07  
  96               6.57059248E+01   4.52397240E+03   5.42045644E-01   1.34383455E-01   3.22481171E-01   4.41326224E-04   2.24273622E-04   4.73122419E-05   4.51609060E-05   3.45442505E-07  
  97               7.47318501E+01   4.60027697E+03   5.33116636E-01   1.33604711E-01   3.32192691E-01   4.37801636E-04   2.17523239E-04   4.65538879E-05   4.47960356E-05   1.98850126E-07  
  98               8.50726365E+01   4.67808604E+03   5.24458875E-01   1.32849640E-01   3.41609042E-01   4.34097249E-04   2.10963922E-04   4.57850051E-05   4.44326079E-05   1.15238088E-07  
  99               9.69344765E+01   4.75990825E+03   5.15351537E-01   1.32055372E-01   3.51514259E-01   4.29903537E-04   2.04121588E-04   4.49870436E-05   4.40494654E-05   6.59019584E-08  
  100              1.10556284E+02   4.84361697E+03   5.06504624E-01   1.31283848E-01   3.61135859E-01   4.25359097E-04   1.97563520E-04   4.41777616E-05   4.36665007E-05   3.79577883E-08  
  101              1.26215917E+02   4.93174001E+03   4.97221662E-01   1.30474324E-01   3.71231343E-01   4.20101038E-04   1.90849192E-04   4.33405930E-05   4.32634532E-05   2.15960704E-08  
