# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               H                He               CO               H2O              O-3P             Mg               OH              
  1                1.00000000E-05   1.08595697E+03   8.38751251E-01   5.43726991E-06   1.60254601E-01   5.30485117E-04   2.50967856E-04   4.87093830E-17   3.53344408E-09   6.95426604E-12  
  2                1.19313482E-05   1.68912993E+03   8.06972187E-01   3.43836636E-02   1.57486008E-01   5.21413279E-04   3.65894013E-04   2.73681348E-08   6.56484187E-05   8.12447149E-07  
  3                1.29541496E-05   1.50663810E+03   8.34158084E-01   4.80958880E-03   1.59856963E-01   5.29243367E-04   3.73553659E-04   3.19488680E-10   6.66365352E-05   6.53992188E-08  
  4                1.41242846E-05   1.75045875E+03   7.88156963E-01   5.48509311E-02   1.55845934E-01   5.15987359E-04   3.61242526E-04   8.25186926E-08   6.49644681E-05   1.53035197E-06  
  5                1.54576841E-05   1.56726729E+03   8.30490008E-01   8.80020495E-03   1.59536728E-01   5.28191233E-04   3.72116043E-04   1.27309558E-09   6.65028575E-05   1.45346478E-07  
  6                1.70039110E-05   1.79515009E+03   7.71650258E-01   7.28069361E-02   1.54407143E-01   5.11226179E-04   3.57049028E-04   1.64423230E-07   6.43643794E-05   2.28061557E-06  
  7                1.87901093E-05   1.61472575E+03   8.26416033E-01   1.32321294E-02   1.59181344E-01   5.27019899E-04   3.70886602E-04   3.27693422E-09   6.63544203E-05   2.52115667E-07  
  8                2.08749787E-05   1.83361721E+03   7.56395295E-01   8.94012833E-02   1.53077469E-01   5.06825641E-04   3.53042299E-04   2.75185773E-07   6.38097167E-05   3.08205283E-06  
  9                2.32989166E-05   1.65660822E+03   8.21925671E-01   1.81168903E-02   1.58789778E-01   5.25727516E-04   3.69674144E-04   6.85855455E-09   6.61907976E-05   3.89159047E-07  
  10               2.61372031E-05   1.86920257E+03   7.42075182E-01   1.04978702E-01   1.51829277E-01   5.02694558E-04   3.49141631E-04   4.16925323E-07   6.32889431E-05   3.94127901E-06  
  11               2.94475808E-05   1.69591438E+03   8.16992143E-01   2.34836684E-02   1.58359646E-01   5.24306742E-04   3.68400261E-04   1.27360129E-08   6.60109882E-05   5.61730824E-07  
  12               3.33306677E-05   1.90337078E+03   7.28587993E-01   1.19650072E-01   1.50653677E-01   4.98803629E-04   3.45320556E-04   5.91191458E-07   6.27983354E-05   4.85991690E-06  
  13               3.78670483E-05   1.73412008E+03   8.11581357E-01   2.93695731E-02   1.57887951E-01   5.22747906E-04   3.67020877E-04   2.18886979E-08   6.58137289E-05   7.76580411E-07  
  14               4.31935586E-05   1.93690179E+03   7.15868760E-01   1.33486067E-01   1.49545002E-01   4.95134162E-04   3.41562195E-04   7.99341110E-07   6.23355129E-05   5.83916669E-06  
  15               4.94210159E-05   1.77207900E+03   8.05643672E-01   3.58286169E-02   1.57370354E-01   5.21036766E-04   3.65501058E-04   3.56737958E-08   6.55971908E-05   1.04237995E-06  
  16               5.67367560E-05   1.97031507E+03   7.03795754E-01   1.46619108E-01   1.48492641E-01   4.91651060E-04   3.37833069E-04   1.04389665E-06   6.18960313E-05   6.88471156E-06  
  17               6.52914596E-05   1.81041558E+03   7.99086558E-01   4.29614631E-02   1.56798780E-01   5.19146668E-04   3.63799520E-04   5.60774278E-08   6.53579845E-05   1.37132185E-06  
  18               7.53419335E-05   2.00406065E+03   6.92135075E-01   1.59303631E-01   1.47476204E-01   4.88286838E-04   3.34063830E-04   1.33088584E-06   6.14713685E-05   8.01208878E-06  
  19               8.70912209E-05   1.84966582E+03   7.91756888E-01   5.09346887E-02   1.56159875E-01   5.17033450E-04   3.61859479E-04   8.61553415E-08   6.50905163E-05   1.78108312E-06  
  20               1.00890758E-04   2.03858244E+03   6.80541194E-01   1.71915508E-01   1.46465571E-01   4.84941785E-04   3.30143680E-04   1.67232155E-06   6.10489441E-05   9.24977837E-06  
  21               1.17011596E-04   1.89037549E+03   7.83410806E-01   6.00135646E-02   1.55432379E-01   5.14626757E-04   3.59596746E-04   1.30879709E-07   6.47858925E-05   2.29827236E-06  
  22               1.35932741E-04   2.07439340E+03   6.68522053E-01   1.84990003E-01   1.45417848E-01   4.81473888E-04   3.25901970E-04   2.09072955E-06   6.06108523E-05   1.06459362E-05  
  23               1.58012455E-04   1.93314847E+03   7.73679829E-01   7.05989307E-02   1.54584169E-01   5.11820254E-04   3.56885379E-04   1.98729181E-07   6.44306890E-05   2.96358249E-06  
  24               1.83900078E-04   2.11210650E+03   6.55423732E-01   1.99238458E-01   1.44276027E-01   4.77694407E-04   3.21091468E-04   2.62576044E-06   6.01333059E-05   1.22753835E-05  
  25               2.14067368E-04   1.97882377E+03   7.61952300E-01   8.33561532E-02   1.53561925E-01   5.08437418E-04   3.53516378E-04   3.05472938E-07   6.40026454E-05   3.84477558E-06  
  26               2.49398012E-04   2.15264806E+03   6.40220295E-01   2.15776905E-01   1.42950669E-01   4.73307209E-04   3.15297189E-04   3.35401241E-06   5.95790035E-05   1.42683014E-05  
  27               2.90503193E-04   2.02886592E+03   7.47061013E-01   9.95549276E-02   1.52263898E-01   5.04141385E-04   3.49089210E-04   4.84763697E-07   6.34593188E-05   5.07090053E-06  
  28               3.38560165E-04   2.19787675E+03   6.20815354E-01   2.36885833E-01   1.41259005E-01   4.67707163E-04   3.07633872E-04   4.45601804E-06   5.88717641E-05   1.69040272E-05  
  29               3.94291989E-04   2.08714321E+03   7.25821870E-01   1.22658941E-01   1.50412525E-01   4.98013188E-04   3.42517388E-04   8.35042253E-07   6.26850094E-05   6.98276165E-06  
  30               4.59162035E-04   2.25548369E+03   5.88348187E-01   2.72204110E-01   1.38428528E-01   4.58336571E-04   2.94326752E-04   6.74422282E-06   5.76897217E-05   2.13466331E-05  
  31               5.30942879E-04   2.27746438E+03   5.79016909E-01   2.82354859E-01   1.37614980E-01   4.55643384E-04   2.90068844E-04   7.58539394E-06   5.73493715E-05   2.28764866E-05  
  32               6.15205559E-04   2.29756129E+03   5.72252619E-01   2.89713208E-01   1.37025207E-01   4.53691105E-04   2.86742448E-04   8.27937927E-06   5.71021488E-05   2.41435258E-05  
  33               7.14057589E-04   2.32083849E+03   5.62364833E-01   3.00467537E-01   1.36162929E-01   4.50836588E-04   2.81981049E-04   9.31995095E-06   5.67412805E-05   2.58651421E-05  
  34               8.29211967E-04   2.34187394E+03   5.55339777E-01   3.08101325E-01   1.35550664E-01   4.48809077E-04   2.83601782E-04   1.03547624E-05   5.64844584E-05   2.77823527E-05  
  35               9.63312912E-04   2.36603208E+03   5.45141465E-01   3.19195396E-01   1.34661438E-01   4.45865358E-04   2.78309376E-04   1.16312293E-05   5.61121474E-05   2.96987960E-05  
  36               1.12035473E-03   2.38790702E+03   5.37980107E-01   3.26985794E-01   1.34036977E-01   4.43798250E-04   2.74269625E-04   1.26533690E-05   5.58499889E-05   3.12456474E-05  
  37               1.30411786E-03   2.41310165E+03   5.27509397E-01   3.38376232E-01   1.33123953E-01   4.40775752E-04   2.68513713E-04   1.41791110E-05   5.54675008E-05   3.33218835E-05  
  38               1.51893707E-03   2.43583150E+03   5.20266449E-01   3.46255420E-01   1.32492340E-01   4.38684974E-04   2.64169413E-04   1.53823665E-05   5.52020667E-05   3.49773867E-05  
  39               1.76982219E-03   2.46198015E+03   5.09599331E-01   3.57859565E-01   1.31562138E-01   4.35605618E-04   2.57962666E-04   1.71828541E-05   5.48121353E-05   3.71917719E-05  
  40               2.06198325E-03   2.48547361E+03   5.02318548E-01   3.65779945E-01   1.30927186E-01   4.33503794E-04   2.53328793E-04   1.85817267E-05   5.45449885E-05   3.89362893E-05  
  41               2.40142683E-03   2.51241073E+03   4.91550954E-01   3.77493440E-01   1.29988168E-01   4.30395264E-04   2.46712207E-04   2.06729581E-05   5.41510842E-05   4.12526668E-05  
  42               2.79558216E-03   2.53652873E+03   4.84314634E-01   3.85365487E-01   1.29357051E-01   4.28306147E-04   2.41837184E-04   2.22696680E-05   5.38851913E-05   4.30535949E-05  
  43               3.25303138E-03   2.56419573E+03   4.73541142E-01   3.97085445E-01   1.28417462E-01   4.25195743E-04   2.34864731E-04   2.46594600E-05   5.34907201E-05   4.54311475E-05  
  44               3.78345208E-03   2.58893549E+03   4.66394060E-01   4.04860445E-01   1.27794086E-01   4.23132261E-04   2.29785733E-04   2.64560050E-05   5.32276669E-05   4.72600283E-05  
  45               4.39793148E-03   2.61734937E+03   4.55642146E-01   4.16556973E-01   1.26856321E-01   4.20027915E-04   2.22490329E-04   2.91557437E-05   5.28335943E-05   4.96620624E-05  
  46               5.10881346E-03   2.64274351E+03   4.48564016E-01   4.24256989E-01   1.26238918E-01   4.17984213E-04   2.17218737E-04   3.11617852E-05   5.25726078E-05   5.14956018E-05  
  47               5.93009523E-03   2.67190254E+03   4.37853986E-01   4.35907990E-01   1.25304750E-01   4.14891791E-04   2.09643521E-04   3.41773715E-05   5.21796452E-05   5.38798329E-05  
  48               6.87713240E-03   2.69791627E+03   4.30868997E-01   4.43506700E-01   1.24695432E-01   4.12874858E-04   2.04226591E-04   3.63877291E-05   5.19215731E-05   5.56834694E-05  
  49               7.96712695E-03   2.72771995E+03   4.20294974E-01   4.55009770E-01   1.23773073E-01   4.09821543E-04   1.96476365E-04   3.96954051E-05   5.15331177E-05   5.79915584E-05  
  50               9.21865704E-03   2.75424722E+03   4.13470394E-01   4.62433984E-01   1.23177710E-01   4.07850808E-04   1.91000668E-04   4.20835694E-05   5.12803785E-05   5.97222578E-05  
