# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               CH4             
  1                1.00000000E-05   6.28115755E+02   8.38819582E-01   1.60282817E-01   9.59675822E-14   4.98229084E-04   2.74369611E-04   6.07925759E-05   0.00000000E+00   2.91984442E-05  
  2                3.39033731E-05   6.70214956E+02   8.38813413E-01   1.60284062E-01   5.67195729E-13   4.95166066E-04   2.79272801E-04   6.07923397E-05   0.00000000E+00   3.31172556E-05  
  3                6.17884828E-05   6.78220806E+02   8.38811486E-01   1.60284344E-01   1.38756353E-12   4.94836868E-04   2.80894945E-04   6.07918463E-05   0.00000000E+00   3.40314331E-05  
  4                9.52186805E-05   7.01461427E+02   8.38800826E-01   1.60286868E-01   2.02127329E-12   4.87137659E-04   2.88993864E-04   6.07921052E-05   0.00000000E+00   4.19201349E-05  
  5                1.35885770E-04   7.05355544E+02   8.38805214E-01   1.60285699E-01   3.82865661E-12   4.90979371E-04   2.85738438E-04   6.07911741E-05   0.00000000E+00   3.83130568E-05  
  6                1.85886393E-04   7.25141857E+02   8.38797754E-01   1.60287459E-01   5.11624752E-12   4.85572769E-04   2.91378725E-04   6.07911056E-05   0.00000000E+00   4.38258761E-05  
  7                2.47427716E-04   7.28389878E+02   8.38802786E-01   1.60286139E-01   8.82386128E-12   4.89791394E-04   2.87589784E-04   6.07900888E-05   0.00000000E+00   3.97619880E-05  
  8                3.23493748E-04   7.46759716E+02   8.38796644E-01   1.60287570E-01   1.14198905E-11   4.85362832E-04   2.92195533E-04   6.07897867E-05   0.00000000E+00   4.42671471E-05  
  9                4.17409212E-04   7.49932456E+02   8.38801356E-01   1.60286314E-01   1.86606705E-11   4.89318593E-04   2.88590208E-04   6.07887084E-05   0.00000000E+00   4.04252329E-05  
  10               5.33594583E-04   7.67604549E+02   8.38795734E-01   1.60287593E-01   2.37197091E-11   4.85310909E-04   2.92743112E-04   6.07881851E-05   0.00000000E+00   4.44927573E-05  
  11               6.77196390E-04   7.70879545E+02   8.38799906E-01   1.60286433E-01   3.74428465E-11   4.88902547E-04   2.89452552E-04   6.07870124E-05   0.00000000E+00   4.09894472E-05  
  12               8.54933167E-04   7.88334641E+02   8.38794369E-01   1.60287583E-01   4.71606107E-11   4.85146020E-04   2.93334375E-04   6.07862235E-05   0.00000000E+00   4.47949523E-05  
  13               1.07471366E-03   7.91875592E+02   8.38797606E-01   1.60286420E-01   7.28861409E-11   4.88491865E-04   2.90256796E-04   6.07848788E-05   0.00000000E+00   4.15200225E-05  
  14               1.34669851E-03   8.09452282E+02   8.38792015E-01   1.60287476E-01   9.14626163E-11   4.84945137E-04   2.93915788E-04   6.07837808E-05   0.00000000E+00   4.51081706E-05  
  15               1.68297332E-03   8.13320924E+02   8.38795387E-01   1.60286430E-01   1.39195383E-10   4.88092627E-04   2.91013162E-04   6.07822600E-05   0.00000000E+00   4.20191428E-05  
  16               2.09889177E-03   8.31155175E+02   8.38790730E-01   1.60287541E-01   1.74184860E-10   4.84659354E-04   2.94549351E-04   6.07808347E-05   0.00000000E+00   4.54882657E-05  
  17               2.61270534E-03   8.35354720E+02   8.38794330E-01   1.60286617E-01   2.61307100E-10   4.87560923E-04   2.91872342E-04   6.07790719E-05   0.00000000E+00   4.26353220E-05  
  18               3.24737740E-03   8.53468012E+02   8.38789695E-01   1.60287724E-01   3.25868468E-10   4.84136630E-04   2.95389835E-04   6.07772024E-05   0.00000000E+00   4.60906174E-05  
  19               4.03011598E-03   8.58004605E+02   8.38792911E-01   1.60286896E-01   4.81541341E-10   4.86731026E-04   2.92999725E-04   6.07750995E-05   0.00000000E+00   4.35367272E-05  
  20               4.99493036E-03   8.76348255E+02   8.38788111E-01   1.60288045E-01   5.96879931E-10   4.83173525E-04   2.96639971E-04   6.07726773E-05   0.00000000E+00   4.71211276E-05  
  21               6.18189792E-03   8.81109377E+02   8.38790813E-01   1.60287346E-01   8.66821734E-10   4.85363257E-04   2.94633657E-04   6.07701261E-05   0.00000000E+00   4.49651881E-05  
  22               7.64081706E-03   8.99619519E+02   8.38785650E-01   1.60288585E-01   1.06522447E-09   4.81523616E-04   2.98544737E-04   6.07670063E-05   0.00000000E+00   4.88282855E-05  
  23               9.43021575E-03   9.04539254E+02   8.38787766E-01   1.60288032E-01   1.51833174E-09   4.83254654E-04   2.96976565E-04   6.07638621E-05   0.00000000E+00   4.71255737E-05  
  24               1.16224296E-02   9.23142549E+02   8.38782104E-01   1.60289394E-01   1.84795070E-09   4.79030110E-04   3.01261592E-04   6.07598560E-05   0.00000000E+00   5.13708177E-05  
  25               1.43034870E-02   9.28209441E+02   8.38783715E-01   1.60288968E-01   2.59354142E-09   4.80366761E-04   3.00069922E-04   6.07559445E-05   0.00000000E+00   5.00581721E-05  
  26               1.75812396E-02   9.47106115E+02   8.38777643E-01   1.60290430E-01   3.13751537E-09   4.75828320E-04   3.04661051E-04   6.07508278E-05   0.00000000E+00   5.46152739E-05  
  27               2.15839606E-02   9.52440590E+02   8.38778937E-01   1.60290084E-01   4.35437035E-09   4.76916439E-04   3.03703956E-04   6.07459431E-05   0.00000000E+00   5.35477879E-05  
  28               2.64707120E-02   9.71727264E+02   8.38772611E-01   1.60291609E-01   5.25843635E-09   4.72183825E-04   3.08484579E-04   6.07394517E-05   4.58264303E-16   5.82975252E-05  
  29               3.24320543E-02   9.77573412E+02   8.38773870E-01   1.60291272E-01   7.26679464E-09   4.73239688E-04   3.07549951E-04   6.07333777E-05   2.13342689E-15   5.72595790E-05  
  30               3.97046659E-02   9.97601121E+02   8.38767607E-01   1.60292782E-01   8.80951107E-09   4.68556915E-04   3.12279713E-04   6.07252310E-05   3.80845256E-15   6.19582338E-05  
  31               4.85720219E-02   1.00411348E+03   8.38769096E-01   1.60292390E-01   1.21813749E-08   4.69784475E-04   3.11166621E-04   6.07177320E-05   9.70740810E-15   6.07462574E-05  
  32               5.93882016E-02   1.02510761E+03   8.38763248E-01   1.60293797E-01   1.49062307E-08   4.65419652E-04   3.15579937E-04   6.07076389E-05   1.43887301E-14   6.51257703E-05  
  33               7.25793618E-02   1.03271205E+03   8.38765307E-01   1.60293266E-01   2.07580671E-08   4.67079616E-04   3.14030359E-04   6.06985010E-05   3.83481684E-14   6.34792379E-05  
  34               8.86789005E-02   1.05502695E+03   8.38760316E-01   1.60294463E-01   2.57846630E-08   4.63369771E-04   3.17792462E-04   6.06861919E-05   5.76212643E-14   6.72024668E-05  
  35               1.08328117E-01   1.06401306E+03   8.38763278E-01   1.60293711E-01   3.64021498E-08   4.65716587E-04   3.15553560E-04   6.06752431E-05   1.18243619E-13   6.48669436E-05  
  36               1.32343988E-01   1.08822626E+03   8.38759793E-01   1.60294539E-01   4.63404892E-08   4.63156380E-04   3.18172232E-04   6.06605975E-05   2.08861563E-13   6.74389059E-05  
  37               1.61710247E-01   1.09942102E+03   8.38764180E-01   1.60293437E-01   6.69975235E-08   4.66590833E-04   3.14845227E-04   6.06478630E-05   4.84114055E-13   6.40134526E-05  
  38               1.97670575E-01   1.12618815E+03   8.38762777E-01   1.60293751E-01   8.81522426E-08   4.65623039E-04   3.15878523E-04   6.06309419E-05   1.02911432E-12   6.49909487E-05  
  39               2.41731433E-01   1.14022955E+03   8.38768771E-01   1.60292251E-01   1.31562478E-07   4.70291697E-04   3.11315727E-04   6.06165882E-05   2.49373572E-12   6.03288165E-05  
  40               2.95862834E-01   1.17049664E+03   8.38769775E-01   1.60291968E-01   1.80546431E-07   4.71173043E-04   3.10505396E-04   6.05977056E-05   6.10925274E-12   5.94546817E-05  
  41               3.62391708E-01   1.18845872E+03   8.38777245E-01   1.60290090E-01   2.79857353E-07   4.77001841E-04   3.04778331E-04   6.05821003E-05   1.55646985E-11   5.36297954E-05  
  42               4.44225488E-01   1.22301895E+03   8.38780414E-01   1.60289254E-01   4.02270985E-07   4.79582586E-04   3.02270096E-04   6.05617602E-05   4.45907746E-11   5.10534741E-05  
  43               5.44748020E-01   1.24583673E+03   8.38788641E-01   1.60287142E-01   6.48970643E-07   4.86094395E-04   2.95855659E-04   6.05454427E-05   1.19293094E-10   4.45429162E-05  
  44               6.68068526E-01   1.28576366E+03   8.38793164E-01   1.60285890E-01   9.77982764E-07   4.89887201E-04   2.92137436E-04   6.05244926E-05   4.00084201E-10   4.07515147E-05  
  45               8.18472570E-01   1.31441918E+03   8.38800876E-01   1.60283741E-01   1.63255925E-06   4.96376522E-04   2.85799373E-04   6.05082178E-05   1.10906863E-09   3.42606926E-05  
  46               1.00082248E+00   1.36015520E+03   8.38805022E-01   1.60282291E-01   2.54973603E-06   5.00510500E-04   2.81820595E-04   6.04874709E-05   4.14555344E-09   3.01248746E-05  
  47               1.21997147E+00   1.39477136E+03   8.38809721E-01   1.60280224E-01   4.33110478E-06   5.06131955E-04   2.76657202E-04   6.04716704E-05   1.66415877E-08   2.44986808E-05  
  48               1.48137685E+00   1.44622745E+03   8.38808870E-01   1.60278360E-01   6.87811096E-06   5.09806923E-04   2.73866925E-04   6.04514715E-05   4.97458204E-08   2.08169762E-05  
  49               1.78845112E+00   1.48634756E+03   8.38801284E-01   1.60275415E-01   1.15879149E-05   5.14158968E-04   2.72697230E-04   6.04360818E-05   1.72022954E-07   1.64531016E-05  
  50               2.14120702E+00   1.54178207E+03   8.38785264E-01   1.60272650E-01   1.81434135E-05   5.17134623E-04   2.77625536E-04   6.04171835E-05   4.49319662E-07   1.34638377E-05  
  51               2.53480497E+00   1.58469178E+03   8.38763034E-01   1.60269383E-01   2.93327563E-05   5.20205138E-04   2.84007702E-04   6.04035977E-05   2.03880282E-06   1.03770758E-05  
  52               2.95758410E+00   1.64047334E+03   8.38730337E-01   1.60265523E-01   4.38069028E-05   5.22204841E-04   2.93772139E-04   6.03875583E-05   6.52266898E-06   8.35818050E-06  
  53               3.38794930E+00   1.68171786E+03   8.38671109E-01   1.60259113E-01   6.60504105E-05   5.24165979E-04   3.12480557E-04   6.03780546E-05   1.97926156E-05   6.37021924E-06  
  54               3.79508280E+00   1.73274703E+03   8.38587133E-01   1.60250815E-01   9.37011210E-05   5.25614422E-04   3.42352075E-04   6.03699932E-05   3.99002665E-05   4.88951275E-06  
