# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              NH3              H                H2S              N2              
  34               1.38285082E-01   2.05314100E+02   8.38668140E-01   1.60577620E-01   5.31722103E-04   2.63096462E-05   1.21810315E-04   3.45617647E-53   2.29996803E-05   2.07722540E-19  
  35               1.66891841E-01   2.08906089E+02   8.38668140E-01   1.60577620E-01   5.31722103E-04   7.34258788E-05   1.21810315E-04   2.80973164E-52   2.29996803E-05   3.44520057E-19  
  36               2.01375884E-01   2.15415167E+02   8.38494867E-01   1.60544444E-01   5.31612247E-04   7.35343497E-05   1.21785149E-04   1.12296873E-50   2.29949284E-05   1.08978280E-18  
  37               2.42576313E-01   2.19447790E+02   8.38494867E-01   1.60544444E-01   5.31612247E-04   2.80015372E-04   1.21785149E-04   9.52598753E-50   2.29949284E-05   1.85445385E-18  
  38               2.91071881E-01   2.29100072E+02   8.38073910E-01   1.60463844E-01   5.31345356E-04   2.79875227E-04   1.21724008E-04   1.31887356E-47   2.29833841E-05   9.90959422E-18  
  39               3.47552401E-01   2.36637424E+02   8.38073910E-01   1.60463844E-01   5.31345356E-04   7.81914396E-04   1.21724008E-04   4.58870162E-46   2.29833841E-05   3.07133805E-17  
  40               4.11756431E-01   2.49490114E+02   8.38073910E-01   1.60463844E-01   5.31345356E-04   7.81914396E-04   1.21724008E-04   1.25747760E-43   2.29833841E-05   2.26638976E-16  
  41               4.89576512E-01   2.60373351E+02   8.38073910E-01   1.60463844E-01   5.31345356E-04   7.81914396E-04   1.21724008E-04   9.26844133E-42   2.29833841E-05   9.79923110E-16  
  42               5.83963298E-01   2.72035653E+02   8.38073910E-01   1.60463844E-01   5.31345356E-04   7.81914396E-04   1.21724008E-04   6.33342377E-40   2.29833841E-05   4.12335126E-15  
  43               6.98427046E-01   2.82552537E+02   8.38073910E-01   1.60463844E-01   5.31345356E-04   7.81914396E-04   1.21724008E-04   2.08773166E-38   2.29833841E-05   1.28611320E-14  
  44               8.37170517E-01   2.94571254E+02   8.38073910E-01   1.60463844E-01   5.31345356E-04   7.81914396E-04   1.21724008E-04   8.39441816E-37   2.29833841E-05   4.37745538E-14  
  45               1.00531042E+00   3.06205755E+02   8.38073909E-01   1.60463844E-01   5.31345356E-04   7.81914396E-04   1.21724008E-04   2.25406392E-35   2.29833841E-05   1.26351174E-13  
  46               1.20901612E+00   3.19817288E+02   8.38073910E-01   1.60463844E-01   5.31345356E-04   7.81914322E-04   1.21724007E-04   7.87290859E-34   2.29833841E-05   4.09961783E-13  
  47               1.45553756E+00   3.33585312E+02   8.38073909E-01   1.60463844E-01   5.31345356E-04   7.81914322E-04   1.21724005E-04   2.12039652E-32   2.29833841E-05   1.19947611E-12  
  48               1.75331831E+00   3.49948022E+02   8.38073909E-01   1.60463844E-01   5.31345356E-04   7.81914160E-04   1.21724000E-04   7.65465144E-31   2.29833841E-05   4.01330072E-12  
  49               2.11252723E+00   3.67473547E+02   8.38073718E-01   1.60463808E-01   5.31345235E-04   7.81913534E-04   1.21723954E-04   2.49951192E-29   2.29833788E-05   1.29970764E-11  
  50               2.54526218E+00   3.88832035E+02   8.38073928E-01   1.60463826E-01   5.31345295E-04   7.81685458E-04   1.21723895E-04   1.15676656E-27   2.29833814E-05   4.96016233E-11  
  51               3.06505845E+00   4.10965384E+02   8.38073928E-01   1.60463826E-01   5.31345295E-04   7.81685459E-04   1.21723655E-04   4.02277573E-26   2.29833814E-05   1.69541213E-10  
  52               3.68690793E+00   4.34591372E+02   8.38073928E-01   1.60463826E-01   5.31345294E-04   7.81685525E-04   1.21722898E-04   1.19100876E-24   2.29833814E-05   5.48063554E-10  
  53               4.42899140E+00   4.58953686E+02   8.38073882E-01   1.60463817E-01   5.31345266E-04   7.81689675E-04   1.21720789E-04   2.70814584E-23   2.29833802E-05   1.59899548E-09  
  54               5.31224840E+00   4.84886894E+02   8.38073319E-01   1.60463747E-01   5.31345033E-04   7.81893955E-04   1.21715063E-04   5.32783233E-22   2.29833701E-05   4.43544919E-09  
  55               6.35906875E+00   5.11496885E+02   8.38068709E-01   1.60463192E-01   5.31343194E-04   7.83620695E-04   1.21701122E-04   8.24163115E-21   2.29832906E-05   1.11951790E-08  
  56               7.59497382E+00   5.39682737E+02   8.38071898E-01   1.60463463E-01   5.31344094E-04   7.80174843E-04   1.21669799E-04   1.11557314E-19   2.29833295E-05   2.69595634E-08  
  57               9.05378682E+00   5.68560848E+02   8.38071942E-01   1.60463453E-01   5.31344059E-04   7.80174801E-04   1.21604257E-04   1.22653043E-18   2.29833279E-05   5.97269586E-08  
  58               1.07726107E+01   5.97783890E+02   8.38072023E-01   1.60463433E-01   5.31343993E-04   7.80174727E-04   1.21481253E-04   1.09094434E-17   2.29833251E-05   1.21221262E-07  
  59               1.27902501E+01   6.24904875E+02   8.38072142E-01   1.60463404E-01   5.31343897E-04   7.80174634E-04   1.21302004E-04   6.83101702E-17   2.29833210E-05   2.10834851E-07  
  60               1.51449578E+01   6.54738739E+02   8.38072354E-01   1.60463352E-01   5.31343726E-04   7.80174492E-04   1.20980311E-04   4.32551565E-16   2.29833136E-05   3.71661541E-07  
  61               1.78901682E+01   6.84317321E+02   8.38072664E-01   1.60463277E-01   5.31343475E-04   7.80174342E-04   1.20511522E-04   2.28778391E-15   2.29833028E-05   6.06027579E-07  
  62               2.10892929E+01   7.18196298E+02   8.38073222E-01   1.60463141E-01   5.31343022E-04   7.80174174E-04   1.19665311E-04   1.31069461E-14   2.29832833E-05   1.02908186E-06  
  63               2.48043709E+01   7.53860829E+02   8.38074085E-01   1.60462929E-01   5.31342315E-04   7.80174151E-04   1.18352820E-04   6.94314488E-14   2.29832530E-05   1.68524700E-06  
  64               2.91033098E+01   7.90264522E+02   8.38075276E-01   1.60462632E-01   5.31341313E-04   7.80174577E-04   1.16523490E-04   3.25005774E-13   2.29832104E-05   2.59979920E-06  
  65               3.40827091E+01   8.28263811E+02   8.38076858E-01   1.60462221E-01   5.31339901E-04   7.80175933E-04   1.14035954E-04   1.40638965E-12   2.29831513E-05   3.84341142E-06  
  66               3.98772813E+01   8.67318093E+02   8.38078712E-01   1.60461690E-01   5.31337998E-04   7.80178872E-04   1.10948367E-04   5.52792215E-12   2.29833159E-05   5.38700325E-06  
  67               4.66024653E+01   9.08197534E+02   8.38080994E-01   1.60461054E-01   5.31335492E-04   7.80184677E-04   1.07207332E-04   2.03880150E-11   2.29832234E-05   7.25727935E-06  
  68               5.43382636E+01   9.49737828E+02   8.38083651E-01   1.60460392E-01   5.31332292E-04   7.80195608E-04   1.03123253E-04   6.82375294E-11   2.29870929E-05   9.29906750E-06  
  69               6.31460996E+01   9.92501781E+02   8.38086425E-01   1.60459670E-01   5.31327476E-04   7.80209770E-04   9.87413550E-05   2.12626018E-10   2.30132268E-05   1.14897423E-05  
  70               7.31656510E+01   1.03558874E+03   8.38088934E-01   1.60458928E-01   5.31319731E-04   7.80225251E-04   9.44334318E-05   6.05908322E-10   2.30908105E-05   1.36434207E-05  
  71               8.45550514E+01   1.08003951E+03   8.38090545E-01   1.60458042E-01   5.31305631E-04   7.80236120E-04   9.01386674E-05   1.63296747E-09   2.33122054E-05   1.57904630E-05  
