# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              H                CO               NH3              N2              
  1                1.00000000E-05   1.66589326E+02   8.38073937E-01   1.60463844E-01   7.81885217E-04   5.31345355E-04   5.79195326E-64   9.09915541E-50   1.21724008E-04   3.06797012E-16  
  2                3.98033658E-05   1.97072372E+02   8.38073937E-01   1.60463844E-01   7.81885217E-04   5.31345355E-04   9.92024328E-54   3.01207489E-41   1.21724007E-04   2.95849410E-13  
  3                7.54567514E-05   2.10364277E+02   8.38073937E-01   1.60463844E-01   7.81885217E-04   5.31345355E-04   3.14529494E-50   1.99033810E-38   1.21724003E-04   2.39310917E-12  
  4                1.18819108E-04   2.17969534E+02   8.38073937E-01   1.60463844E-01   7.81885217E-04   5.31345355E-04   1.91756271E-48   4.52312761E-37   1.21723996E-04   5.57323326E-12  
  5                1.71801287E-04   2.24275319E+02   8.38073937E-01   1.60463844E-01   7.81885217E-04   5.31345355E-04   4.65536862E-47   5.00263475E-36   1.21723987E-04   1.04794996E-11  
  6                2.36633884E-04   2.29510952E+02   8.38073937E-01   1.60463844E-01   7.81885217E-04   5.31345355E-04   5.67625532E-46   3.14943667E-35   1.21723975E-04   1.63122894E-11  
  7                3.16011795E-04   2.34898857E+02   8.38073937E-01   1.60463844E-01   7.81885217E-04   5.31345355E-04   6.71266377E-45   2.02625543E-34   1.21723954E-04   2.65862296E-11  
  8                4.13235535E-04   2.39537016E+02   8.38073937E-01   1.60463844E-01   7.81885217E-04   5.31345355E-04   5.07563957E-44   8.88888236E-34   1.21723932E-04   3.75763025E-11  
  9                5.32361586E-04   2.44389245E+02   8.38073937E-01   1.60463844E-01   7.81885217E-04   5.31345355E-04   3.91422968E-43   4.07217208E-33   1.21723897E-04   5.51108126E-11  
  10               6.78363933E-04   2.48553557E+02   8.38073937E-01   1.60463844E-01   7.81885217E-04   5.31345355E-04   2.08631675E-42   1.34517295E-32   1.21723866E-04   7.09625934E-11  
  11               8.57325042E-04   2.53216829E+02   8.38073937E-01   1.60463844E-01   7.81885217E-04   5.31345355E-04   1.29113075E-41   5.18371804E-32   1.21723810E-04   9.87750023E-11  
  12               1.07669557E-03   2.57278783E+02   8.38073937E-01   1.60463844E-01   7.81885217E-04   5.31345355E-04   5.89530839E-41   1.51910780E-31   1.21723762E-04   1.22859883E-10  
  13               1.34556683E-03   2.62048507E+02   8.38073937E-01   1.60463844E-01   7.81885217E-04   5.31345355E-04   3.36278266E-40   5.53521886E-31   1.21723669E-04   1.69284319E-10  
  14               1.67506872E-03   2.66190657E+02   8.38073937E-01   1.60463844E-01   7.81885217E-04   5.31345355E-04   1.42746854E-39   1.53959461E-30   1.21723591E-04   2.08146052E-10  
  15               2.07879300E-03   2.71249645E+02   8.38073937E-01   1.60463844E-01   7.81885217E-04   5.31345355E-04   8.03040966E-39   5.61500017E-30   1.21723428E-04   2.89716029E-10  
  16               2.57335412E-03   2.75552705E+02   8.38073937E-01   1.60463844E-01   7.81885217E-04   5.31345355E-04   3.26146248E-38   1.51530862E-29   1.21723299E-04   3.54285891E-10  
  17               3.17899072E-03   2.80937104E+02   8.38073937E-01   1.60463844E-01   7.81885217E-04   5.31345355E-04   1.81547641E-37   5.52868892E-29   1.21723014E-04   4.96719844E-10  
  18               3.92049763E-03   2.85503513E+02   8.38073937E-01   1.60463844E-01   7.81885216E-04   5.31345354E-04   7.26773135E-37   1.48456437E-28   1.21722788E-04   6.09637978E-10  
  19               4.82805908E-03   2.91287442E+02   8.38073938E-01   1.60463844E-01   7.81885216E-04   5.31345354E-04   4.05351611E-36   5.47187911E-28   1.21722281E-04   8.63369457E-10  
  20               5.93838482E-03   2.96222987E+02   8.38073938E-01   1.60463844E-01   7.81885216E-04   5.31345354E-04   1.63708475E-35   1.49209465E-27   1.21721863E-04   1.07193540E-09  
  21               7.29630024E-03   3.02462064E+02   8.38073939E-01   1.60463844E-01   7.81885215E-04   5.31345353E-04   9.16734497E-35   5.56080892E-27   1.21720942E-04   1.53281077E-09  
  22               8.95646320E-03   3.07793426E+02   8.38073939E-01   1.60463843E-01   7.81885214E-04   5.31345353E-04   3.71450023E-34   1.53054369E-26   1.21720169E-04   1.91878185E-09  
  23               1.09851398E-02   3.14491336E+02   8.38073940E-01   1.60463843E-01   7.81884846E-04   5.31345352E-04   2.05922603E-33   5.68794471E-26   1.21718503E-04   2.75199044E-09  
  24               1.34627547E-02   3.20244745E+02   8.38073941E-01   1.60463843E-01   7.81884845E-04   5.31345351E-04   8.32404604E-33   1.57123828E-25   1.21717080E-04   3.46353419E-09  
  25               1.64875371E-02   3.27440777E+02   8.38073942E-01   1.60463842E-01   7.81884841E-04   5.31345349E-04   4.55255153E-32   5.80208300E-25   1.21714059E-04   4.97353052E-09  
  26               2.01785324E-02   3.33645950E+02   8.38073945E-01   1.60463842E-01   7.81883682E-04   5.31345348E-04   1.82681092E-31   1.60066433E-24   1.21711450E-04   6.27808307E-09  
