# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               H                He               CO               H2O              Mg               Fe               N2              
  1                1.00000000E-05   1.20879939E+03   8.38719446E-01   6.69193699E-05   1.60258765E-01   5.30539135E-04   2.77392136E-04   9.36896349E-07   6.73851260E-06   6.07842143E-05  
  2                1.70744929E-04   1.34036193E+03   8.38551769E-01   1.43907994E-04   1.60239922E-01   5.30500590E-04   3.08458385E-04   2.13617546E-05   1.97463667E-05   6.07770178E-05  
  3                2.93547965E-04   1.44827515E+03   8.38126080E-01   4.91575961E-04   1.60204631E-01   5.30384429E-04   3.77034983E-04   6.67727727E-05   5.55476384E-05   6.07636215E-05  
  4                4.04766883E-04   1.45262494E+03   8.38170986E-01   4.42681898E-04   1.60208581E-01   5.30398268E-04   3.77102457E-04   6.67725540E-05   5.55488986E-05   6.07650960E-05  
  5                5.27591931E-04   1.52302367E+03   8.37735892E-01   9.16145000E-04   1.60170481E-01   5.30283367E-04   3.76502901E-04   6.67537709E-05   5.55354697E-05   6.07506395E-05  
  6                6.63808492E-04   1.51950664E+03   8.37857380E-01   7.83918924E-04   1.60181131E-01   5.30318104E-04   3.76646122E-04   6.67564411E-05   5.55390572E-05   6.07546535E-05  
  7                8.15527204E-04   1.58398357E+03   8.37236225E-01   1.45978157E-03   1.60126787E-01   5.30146579E-04   3.76033585E-04   6.67307212E-05   5.55199628E-05   6.07340363E-05  
  8                9.83243768E-04   1.58148036E+03   8.37388450E-01   1.29408601E-03   1.60140115E-01   5.30190391E-04   3.76173899E-04   6.67343729E-05   5.55244647E-05   6.07390650E-05  
  9                1.16457101E-03   1.65024436E+03   8.36347256E-01   2.42677369E-03   1.60049090E-01   5.29896404E-04   3.75479607E-04   6.66930327E-05   5.54925961E-05   6.07045372E-05  
  10               1.34797712E-03   1.66098538E+03   8.36272170E-01   2.50844812E-03   1.60042544E-01   5.29875750E-04   3.75441598E-04   6.66881411E-05   5.54901656E-05   6.07020343E-05  
  11               1.55476946E-03   1.69443435E+03   8.35615251E-01   3.22315541E-03   1.59985158E-01   5.29688764E-04   3.75060663E-04   6.66614138E-05   5.54700248E-05   6.06802540E-05  
  12               1.78859479E-03   1.70203833E+03   8.35610758E-01   3.22802109E-03   1.59984783E-01   5.29688162E-04   3.75070071E-04   6.66588601E-05   5.54697157E-05   6.06800875E-05  
  13               2.05358224E-03   1.73355947E+03   8.34878606E-01   4.02455894E-03   1.59920847E-01   5.29479020E-04   3.74695098E-04   6.66290547E-05   5.54472682E-05   6.06558183E-05  
  14               2.35398434E-03   1.74058673E+03   8.34897014E-01   4.00450869E-03   1.59922473E-01   5.29484936E-04   3.74717129E-04   6.66269883E-05   5.54476228E-05   6.06564060E-05  
  15               2.69486052E-03   1.77135364E+03   8.34068459E-01   4.90590910E-03   1.59850138E-01   5.29247685E-04   3.74332787E-04   6.65932434E-05   5.54222179E-05   6.06289457E-05  
  16               3.08151929E-03   1.77846481E+03   8.34093927E-01   4.87817657E-03   1.59852382E-01   5.29255599E-04   3.74357705E-04   6.65910096E-05   5.54227480E-05   6.06297616E-05  
  17               3.52028510E-03   1.80894376E+03   8.33153124E-01   5.90167800E-03   1.59770265E-01   5.28985734E-04   3.73955617E-04   6.65526684E-05   5.53938976E-05   6.05985847E-05  
  18               4.01779536E-03   1.81651313E+03   8.33171683E-01   5.88146114E-03   1.59771906E-01   5.28991636E-04   3.73976799E-04   6.65496799E-05   5.53941717E-05   6.05991649E-05  
  19               4.58194364E-03   1.84699075E+03   8.32100177E-01   7.04713794E-03   1.59678399E-01   5.28683872E-04   3.73549086E-04   6.65059881E-05   5.53613081E-05   6.05636592E-05  
  20               5.22098317E-03   1.85529162E+03   8.32095962E-01   7.05169684E-03   1.59678052E-01   5.28683193E-04   3.73560363E-04   6.65015827E-05   5.53608363E-05   6.05634770E-05  
  21               5.94471010E-03   1.88598589E+03   8.30870276E-01   8.38508998E-03   1.59571108E-01   5.28330782E-04   3.73098079E-04   6.64515982E-05   5.53232387E-05   6.05228637E-05  
