# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              NH3              H2S              H2O(s)           Ar              
  34               2.06489618E-01   7.73035325E+01   8.38832081E-01   1.60608803E-01   5.31825358E-04   5.67618078E-19   8.52035845E-10   2.30012800E-05   0.00000000E+00   4.22443196E-06  
  35               2.52490267E-01   7.96112396E+01   8.38832081E-01   1.60608803E-01   5.31825358E-04   5.09969526E-19   8.52035845E-10   2.30012800E-05   0.00000000E+00   4.22443196E-06  
  36               3.10347657E-01   8.39689160E+01   8.38832081E-01   1.60608803E-01   5.31825358E-04   4.70537007E-19   8.52035845E-10   2.30012800E-05   0.00000000E+00   4.22443196E-06  
  37               3.83084245E-01   8.73686787E+01   8.38832081E-01   1.60608803E-01   5.31825358E-04   3.78530551E-19   8.52035845E-10   2.30012800E-05   0.00000000E+00   4.22443196E-06  
  38               4.74025586E-01   9.34385291E+01   8.38832079E-01   1.60608802E-01   5.31825357E-04   2.91085727E-19   8.54684714E-10   2.30012800E-05   1.92879205E-18   4.22443195E-06  
  39               5.87499420E-01   9.95155469E+01   8.38832061E-01   1.60608799E-01   5.31825345E-04   2.17227640E-18   3.18583369E-09   2.30012795E-05   6.81405628E-17   4.22443185E-06  
  40               7.28314942E-01   1.06727795E+02   8.38831916E-01   1.60608771E-01   5.31825253E-04   7.25250338E-17   2.56988781E-08   2.30012755E-05   1.92695363E-15   4.22443112E-06  
  41               9.01694262E-01   1.14270195E+02   8.38831142E-01   1.60608623E-01   5.31824763E-04   2.03457535E-15   1.99448917E-07   2.30012543E-05   3.06763784E-14   4.22442722E-06  
  42               1.11027349E+00   1.22425921E+02   8.38828393E-01   1.60608097E-01   5.31823020E-04   3.29978021E-14   1.12430925E-06   2.30011789E-05   2.53415223E-13   4.22441338E-06  
  43               1.34417427E+00   1.30164755E+02   8.38816745E-01   1.60605866E-01   5.31815635E-04   2.87491703E-13   4.41292610E-06   2.30008595E-05   9.98761838E-13   4.22435472E-06  
  44               1.55952636E+00   1.36764518E+02   8.38805728E-01   1.60603757E-01   5.31808650E-04   1.28926793E-12   1.82973962E-05   2.30005574E-05   2.80375551E-12   4.22429924E-06  
  45               1.73548365E+00   1.41462369E+02   8.38774435E-01   1.60597765E-01   5.31788810E-04   4.10350510E-12   3.14520061E-05   2.29996993E-05   1.11134442E-11   4.22414164E-06  
  46               1.87587914E+00   1.45236996E+02   8.38752165E-01   1.60593502E-01   5.31774691E-04   1.52266370E-11   6.87469682E-05   2.29990887E-05   1.03662388E-11   4.22402949E-06  
  47               1.98859601E+00   1.47870766E+02   8.38729896E-01   1.60589238E-01   5.31760572E-04   2.56339640E-11   9.52948375E-05   2.29984781E-05   4.43686319E-11   4.22391734E-06  
  48               2.09792904E+00   1.50618778E+02   8.38729896E-01   1.60589238E-01   5.31760572E-04   7.00359651E-11   1.21819128E-04   2.29984781E-05   3.58361381E-11   4.22391734E-06  
  49               2.21703243E+00   1.53193319E+02   8.38729896E-01   1.60589238E-01   5.31760572E-04   1.06129028E-10   1.21819128E-04   2.29984781E-05   2.75919333E-10   4.22391734E-06  
  50               2.36440158E+00   1.56586702E+02   8.38729896E-01   1.60589238E-01   5.31760572E-04   3.82271916E-10   1.21819128E-04   2.29984781E-05   2.40083194E-10   4.22391734E-06  
  51               2.54672931E+00   1.60249396E+02   8.38729895E-01   1.60589237E-01   5.31760571E-04   6.23039630E-10   1.21819128E-04   2.29984780E-05   7.35129459E-10   4.22391734E-06  
  52               2.77229909E+00   1.64872541E+02   8.38729893E-01   1.60589237E-01   5.31760570E-04   1.36018837E-09   1.21819128E-04   2.29984780E-05   2.16858963E-09   4.22391733E-06  
  53               3.05136932E+00   1.69898933E+02   8.38729887E-01   1.60589236E-01   5.31760566E-04   3.53571405E-09   1.21819127E-04   2.29984778E-05   7.44904993E-09   4.22391730E-06  
  54               3.39665601E+00   1.76007968E+02   8.38729865E-01   1.60589232E-01   5.31760552E-04   1.10091539E-08   1.21819124E-04   2.29984772E-05   2.61957990E-08   4.22391718E-06  
  55               3.82394849E+00   1.82649107E+02   8.38729791E-01   1.60589217E-01   5.31760505E-04   3.72874960E-08   1.21819113E-04   2.29984752E-05   8.86763025E-08   4.22391681E-06  
  56               4.35287098E+00   1.90466606E+02   8.38729534E-01   1.60589168E-01   5.31760342E-04   1.26248568E-07   1.21819075E-04   2.29984681E-05   3.06187677E-07   4.22391552E-06  
  57               4.99827408E+00   1.98828161E+02   8.38728718E-01   1.60589012E-01   5.31759825E-04   4.33337210E-07   1.21818957E-04   2.29984458E-05   9.71254385E-07   4.22391141E-06  
  58               5.77040094E+00   2.08124272E+02   8.38726199E-01   1.60588530E-01   5.31758228E-04   1.40735337E-06   1.21818591E-04   2.29983767E-05   3.00123748E-06   4.22389872E-06  
  59               6.68021760E+00   2.17730062E+02   8.38719021E-01   1.60587156E-01   5.31753677E-04   4.41628266E-06   1.21817549E-04   2.29981799E-05   8.54957680E-06   4.22386258E-06  
  60               7.74389721E+00   2.28050077E+02   8.38665516E-01   1.60576911E-01   5.31719754E-04   1.30105223E-05   1.21809777E-04   2.29967127E-05   6.37491610E-05   4.22359312E-06  
  61               8.99259894E+00   2.38717035E+02   8.38613768E-01   1.60567003E-01   5.31686946E-04   7.68024256E-05   1.21802261E-04   2.29952938E-05   6.16550238E-05   4.22333251E-06  
  62               1.04618347E+01   2.50163551E+02   8.38402905E-01   1.60526630E-01   5.31553258E-04   1.38457218E-04   1.21771635E-04   2.29895118E-05   2.51407100E-04   4.22227059E-06  
  63               1.21786984E+01   2.61981013E+02   8.38238946E-01   1.60495237E-01   5.31449306E-04   3.89826482E-04   1.21747821E-04   2.29850159E-05   1.95523208E-04   4.22144487E-06  
  64               1.41448795E+01   2.74272932E+02   8.38074986E-01   1.60463844E-01   5.31345355E-04   5.85311853E-04   1.21724007E-04   2.29805201E-05   1.95523208E-04   4.22061916E-06  
  65               1.63968389E+01   2.86772693E+02   8.38074986E-01   1.60463844E-01   5.31345355E-04   7.80835061E-04   1.21724007E-04   2.29805201E-05   0.00000000E+00   4.22061916E-06  
  66               1.89907789E+01   2.99892656E+02   8.38074986E-01   1.60463844E-01   5.31345355E-04   7.80835060E-04   1.21724007E-04   2.29805201E-05   0.00000000E+00   4.22061916E-06  
  67               2.20208270E+01   3.13522161E+02   8.38074986E-01   1.60463844E-01   5.31345355E-04   7.80835056E-04   1.21724007E-04   2.29805201E-05   0.00000000E+00   4.22061916E-06  
  68               2.55335159E+01   3.27915419E+02   8.38074986E-01   1.60463844E-01   5.31345355E-04   7.80835044E-04   1.21724007E-04   2.29805201E-05   0.00000000E+00   4.22061916E-06  
  69               2.95739718E+01   3.42649828E+02   8.38074986E-01   1.60463844E-01   5.31345355E-04   7.80834967E-04   1.21724007E-04   2.29805200E-05   0.00000000E+00   4.22061916E-06  
  70               3.42115179E+01   3.58085636E+02   8.38074986E-01   1.60463844E-01   5.31345355E-04   7.80834892E-04   1.21724007E-04   2.29805200E-05   0.00000000E+00   4.22061916E-06  
  71               3.95512644E+01   3.73932271E+02   8.38074986E-01   1.60463844E-01   5.31345354E-04   7.80834482E-04   1.21724007E-04   2.29805200E-05   0.00000000E+00   4.22061916E-06  
  72               4.56835452E+01   3.90563480E+02   8.38074969E-01   1.60463841E-01   5.31345343E-04   7.80834122E-04   1.21724004E-04   2.29805196E-05   0.00000000E+00   4.22061907E-06  
  73               5.26757808E+01   4.07493871E+02   8.38074971E-01   1.60463839E-01   5.31345338E-04   7.80812832E-04   1.21724002E-04   2.29805193E-05   0.00000000E+00   4.22061902E-06  
  74               6.05672634E+01   4.25006837E+02   8.38074972E-01   1.60463837E-01   5.31345332E-04   7.80791891E-04   1.21724000E-04   2.29805191E-05   0.00000000E+00   4.22061898E-06  
  75               6.94279873E+01   4.42622982E+02   8.38074991E-01   1.60463839E-01   5.31345338E-04   7.80771069E-04   1.21723997E-04   2.29805193E-05   0.00000000E+00   4.22061902E-06  
  76               7.93917399E+01   4.60860903E+02   8.38074984E-01   1.60463838E-01   5.31345334E-04   7.80772831E-04   1.21723990E-04   2.29805192E-05   0.00000000E+00   4.22061900E-06  
  77               9.05741020E+01   4.79253884E+02   8.38074824E-01   1.60463812E-01   5.31345248E-04   7.80797290E-04   1.21723957E-04   2.29805155E-05   0.00000000E+00   4.22061831E-06  
  78               1.03084751E+02   4.98266623E+02   8.38073935E-01   1.60463765E-01   5.31345094E-04   7.81443065E-04   1.21723896E-04   2.29805088E-05   0.00000000E+00   4.22061709E-06  
  79               1.17044069E+02   5.17380038E+02   8.38073171E-01   1.60463730E-01   5.31344977E-04   7.81957859E-04   1.21723824E-04   2.29805037E-05   0.00000000E+00   4.22061616E-06  
  80               1.32612557E+02   5.37144059E+02   8.38072560E-01   1.60463720E-01   5.31344943E-04   7.82449951E-04   1.21723738E-04   2.29805022E-05   0.00000000E+00   4.22061589E-06  
  81               1.50123345E+02   5.57212730E+02   8.38072679E-01   1.60463730E-01   5.31344977E-04   7.82320622E-04   1.21723612E-04   2.29805037E-05   0.00000000E+00   4.22061616E-06  
  82               1.69886500E+02   5.78240260E+02   8.38071778E-01   1.60463557E-01   5.31344406E-04   7.82319782E-04   1.21723262E-04   2.29804790E-05   0.00000000E+00   4.22061162E-06  
  83               1.92157226E+02   5.99636516E+02   8.38071866E-01   1.60463471E-01   5.31344120E-04   7.81244759E-04   1.21722844E-04   2.29804667E-05   0.00000000E+00   4.22060935E-06  
  84               2.17140227E+02   6.21928778E+02   8.38071953E-01   1.60463385E-01   5.31343834E-04   7.80169743E-04   1.21722236E-04   2.29804543E-05   0.00000000E+00   4.22060708E-06  
  85               2.45002906E+02   6.44394415E+02   8.38072941E-01   1.60463471E-01   5.31344118E-04   7.79095576E-04   1.21721478E-04   2.29804666E-05   0.00000000E+00   4.22060935E-06  
  86               2.76042063E+02   6.67679801E+02   8.38072942E-01   1.60463471E-01   5.31344117E-04   7.79095609E-04   1.21720279E-04   2.29804666E-05   0.00000000E+00   4.22060934E-06  
  87               3.10895429E+02   6.91327097E+02   8.38072943E-01   1.60463470E-01   5.31344115E-04   7.79095666E-04   1.21718538E-04   2.29804666E-05   0.00000000E+00   4.22060933E-06  
  88               3.50143356E+02   7.16110926E+02   8.38072944E-01   1.60463470E-01   5.31344113E-04   7.79095763E-04   1.21716103E-04   2.29804665E-05   0.00000000E+00   4.22060932E-06  
  89               3.94312600E+02   7.41318146E+02   8.38072946E-01   1.60463469E-01   5.31344109E-04   7.79095924E-04   1.21712715E-04   2.29804664E-05   0.00000000E+00   4.22060931E-06  
