# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              NH3              H2S              H2O(s)           Ar              
  1                1.00000000E-05   4.22726827E+01   8.38831894E-01   1.60608977E-01   5.31825933E-04   7.67693534E-18   1.40206760E-08   2.30012017E-05   0.00000000E+00   4.22443652E-06  
  2                7.01487062E-05   4.58810132E+01   8.38831894E-01   1.60608977E-01   5.31825933E-04   8.32990607E-18   1.40206760E-08   2.30012017E-05   0.00000000E+00   4.22443652E-06  
  3                1.44587530E-04   4.53831288E+01   8.38831894E-01   1.60608977E-01   5.31825933E-04   8.17182839E-18   1.40206760E-08   2.30012017E-05   0.00000000E+00   4.22443652E-06  
  4                2.36709067E-04   4.87492707E+01   8.38831894E-01   1.60608977E-01   5.31825933E-04   7.99229923E-18   1.40206760E-08   2.30012017E-05   0.00000000E+00   4.22443652E-06  
  5                3.50694090E-04   4.87937356E+01   8.38831894E-01   1.60608977E-01   5.31825933E-04   7.86592343E-18   1.40206760E-08   2.30012017E-05   0.00000000E+00   4.22443652E-06  
  6                4.91691383E-04   5.23783788E+01   8.38831894E-01   1.60608977E-01   5.31825933E-04   8.44446580E-18   1.40206760E-08   2.30012017E-05   0.00000000E+00   4.22443652E-06  
  7                6.66045843E-04   5.46292679E+01   8.38831894E-01   1.60608977E-01   5.31825933E-04   8.39296876E-18   1.40206760E-08   2.30012017E-05   0.00000000E+00   4.22443652E-06  
  8                8.81544382E-04   5.59300712E+01   8.38831894E-01   1.60608977E-01   5.31825933E-04   8.31293444E-18   1.40206760E-08   2.30012017E-05   0.00000000E+00   4.22443652E-06  
  9                1.14780052E-03   5.77070007E+01   8.38831894E-01   1.60608977E-01   5.31825933E-04   8.21568928E-18   1.40206760E-08   2.30012017E-05   0.00000000E+00   4.22443652E-06  
  10               1.47652140E-03   5.97257038E+01   8.38831894E-01   1.60608977E-01   5.31825933E-04   8.11346429E-18   1.40206760E-08   2.30012017E-05   0.00000000E+00   4.22443652E-06  
  11               1.88215907E-03   6.12336999E+01   8.38831894E-01   1.60608977E-01   5.31825933E-04   8.01860168E-18   1.40206760E-08   2.30012017E-05   0.00000000E+00   4.22443652E-06  
  12               2.38235247E-03   6.37787292E+01   8.38831894E-01   1.60608977E-01   5.31825933E-04   7.94134260E-18   1.40206760E-08   2.30012017E-05   0.00000000E+00   4.22443652E-06  
  13               2.99832587E-03   6.50305382E+01   8.38831894E-01   1.60608977E-01   5.31825933E-04   7.89276910E-18   1.40206760E-08   2.30012017E-05   0.00000000E+00   4.22443652E-06  
  14               3.75619172E-03   6.80054600E+01   8.38831894E-01   1.60608977E-01   5.31825933E-04   7.53058135E-18   1.40206760E-08   2.30012017E-05   0.00000000E+00   4.22443652E-06  
  15               4.68755306E-03   6.90683038E+01   8.38831894E-01   1.60608977E-01   5.31825933E-04   7.50005405E-18   1.40206760E-08   2.30012017E-05   0.00000000E+00   4.22443652E-06  
  16               5.82948999E-03   7.24148733E+01   8.38831894E-01   1.60608977E-01   5.31825933E-04   8.36875281E-18   1.40206760E-08   2.30012017E-05   0.00000000E+00   4.22443652E-06  
  17               7.22235363E-03   7.34084103E+01   8.38831894E-01   1.60608977E-01   5.31825933E-04   7.56245519E-18   1.40206760E-08   2.30012017E-05   0.00000000E+00   4.22443652E-06  
  18               8.91295740E-03   7.71930413E+01   8.38831894E-01   1.60608977E-01   5.31825933E-04   7.97095729E-18   1.40206760E-08   2.30012017E-05   0.00000000E+00   4.22443652E-06  
  19               1.09571591E-02   7.81724449E+01   8.38831894E-01   1.60608977E-01   5.31825933E-04   7.51368033E-18   1.40206760E-08   2.30012017E-05   0.00000000E+00   4.22443652E-06  
  20               1.34214174E-02   8.23780405E+01   8.38831894E-01   1.60608977E-01   5.31825933E-04   7.60070475E-18   1.40206760E-08   2.30012017E-05   0.00000000E+00   4.22443652E-06  
  21               1.63910651E-02   8.33758653E+01   8.38831894E-01   1.60608977E-01   5.31825933E-04   7.68237342E-18   1.40206760E-08   2.30012017E-05   0.00000000E+00   4.22443652E-06  
  22               1.99735887E-02   8.79712925E+01   8.38831894E-01   1.60608977E-01   5.31825933E-04   7.76193684E-18   1.40206760E-08   2.30012017E-05   0.00000000E+00   4.22443652E-06  
  23               2.43069078E-02   8.91148658E+01   8.38831894E-01   1.60608977E-01   5.31825933E-04   7.65985609E-18   1.40206760E-08   2.30012017E-05   0.00000000E+00   4.22443652E-06  
  24               2.95561701E-02   9.42789922E+01   8.38831894E-01   1.60608977E-01   5.31825933E-04   7.71357128E-18   1.40206760E-08   2.30012017E-05   0.00000000E+00   4.22443652E-06  
  25               3.59266422E-02   9.57794435E+01   8.38831863E-01   1.60608971E-01   5.31825914E-04   7.42008922E-18   1.40630782E-08   2.30012009E-05   0.00000000E+00   4.22443637E-06  
  26               4.36730621E-02   1.01994920E+02   8.38831863E-01   1.60608971E-01   5.31825914E-04   7.44043343E-18   5.09299348E-08   2.30012009E-05   1.76881929E-17   4.22443637E-06  
  27               5.31187688E-02   1.04593505E+02   8.38831412E-01   1.60608884E-01   5.31825628E-04   2.66757520E-17   5.15470955E-08   2.30011885E-05   1.34627960E-15   4.22443410E-06  
  28               6.46150129E-02   1.12660713E+02   8.38830317E-01   1.60608675E-01   5.31824934E-04   1.38200980E-15   5.90101441E-07   2.30011585E-05   7.89652573E-15   4.22442859E-06  
  29               7.81417352E-02   1.17362577E+02   8.38813710E-01   1.60605495E-01   5.31814405E-04   9.86086087E-15   1.91505214E-06   2.30007031E-05   5.24090312E-13   4.22434495E-06  
  30               9.14143319E-02   1.26066015E+02   8.38813710E-01   1.60605495E-01   5.31814405E-04   5.33951173E-13   2.16909409E-05   2.30007031E-05   0.00000000E+00   4.22434495E-06  
