# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CO               CH4              N2               Mg              
  1                1.00000000E-05   4.23446053E+02   8.38153434E-01   1.60443964E-01   1.46934290E-22   7.78983041E-04   5.92253829E-11   5.31279424E-04   6.07761293E-05   0.00000000E+00  
  2                1.20249098E-05   4.80664592E+02   8.38153660E-01   1.60443904E-01   2.19694867E-19   7.78932452E-04   5.44972215E-08   5.31214388E-04   6.08364647E-05   0.00000000E+00  
  3                1.42869091E-05   5.06161366E+02   8.38154563E-01   1.60443699E-01   3.19313147E-18   7.78299976E-04   5.74344838E-07   5.30637809E-04   6.08429528E-05   0.00000000E+00  
  4                1.69080914E-05   5.23225054E+02   8.38156969E-01   1.60443142E-01   1.60600319E-17   7.76478932E-04   2.15967224E-06   5.28933784E-04   6.08449925E-05   0.00000000E+00  
  5                1.99860504E-05   5.37406021E+02   8.38162057E-01   1.60441955E-01   5.59027767E-17   7.72600637E-04   5.64923952E-06   5.25248296E-04   6.08457238E-05   0.00000000E+00  
  6                2.36300932E-05   5.48771359E+02   8.38169397E-01   1.60440224E-01   1.42199946E-16   7.66995665E-04   1.08100787E-05   5.19863252E-04   6.08455824E-05   0.00000000E+00  
  7                2.79729907E-05   5.59601823E+02   8.38180609E-01   1.60437571E-01   3.31689207E-16   7.58453487E-04   1.88002991E-05   5.11593888E-04   6.08449143E-05   0.00000000E+00  
  8                3.31741120E-05   5.68925134E+02   8.38193038E-01   1.60434594E-01   6.60155226E-16   7.48960605E-04   2.78103972E-05   5.02338847E-04   6.08438461E-05   0.00000000E+00  
  9                3.94322223E-05   5.78401089E+02   8.38209794E-01   1.60430594E-01   1.29585302E-15   7.36223709E-04   4.00139995E-05   4.89863834E-04   6.08423557E-05   0.00000000E+00  
  10               4.69851004E-05   5.86784838E+02   8.38225527E-01   1.60426812E-01   2.28046765E-15   7.24261519E-04   5.16084655E-05   4.78080846E-04   6.08407548E-05   0.00000000E+00  
