# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              NH3              H                H2S              CO              
  34               1.30290709E-01   2.26426628E+02   8.38073902E-01   1.60463844E-01   5.90923321E-04   5.31345356E-04   1.21724008E-04   1.31495124E-46   2.29826710E-05   3.62226271E-40  
  35               1.55182986E-01   2.35428919E+02   8.38073902E-01   1.60463844E-01   7.81921821E-04   5.31345356E-04   1.21724008E-04   1.91292437E-44   2.29826710E-05   2.90892971E-38  
  36               1.84533247E-01   2.46686140E+02   8.38073902E-01   1.60463844E-01   7.81921821E-04   5.31345356E-04   1.21724008E-04   5.82717144E-43   2.29826710E-05   5.54362505E-37  
  37               2.20077139E-01   2.55044652E+02   8.38073902E-01   1.60463844E-01   7.81921821E-04   5.31345356E-04   1.21724008E-04   3.27384136E-41   2.29826710E-05   1.83458807E-35  
  38               2.63143101E-01   2.65742252E+02   8.38073902E-01   1.60463844E-01   7.81921821E-04   5.31345356E-04   1.21724008E-04   6.21726481E-40   2.29826710E-05   2.26192817E-34  
  39               3.15336631E-01   2.74078935E+02   8.38073902E-01   1.60463844E-01   7.81921821E-04   5.31345356E-04   1.21724008E-04   2.17035500E-38   2.29826710E-05   4.80406099E-33  
  40               3.78603260E-01   2.85017798E+02   8.38073902E-01   1.60463844E-01   7.81921821E-04   5.31345356E-04   1.21724008E-04   3.41880783E-37   2.29826710E-05   4.98718628E-32  
  41               4.55295664E-01   2.94010625E+02   8.38073902E-01   1.60463844E-01   7.81921821E-04   5.31345356E-04   1.21724007E-04   9.51517602E-36   2.29826710E-05   8.61853657E-31  
  42               5.48261073E-01   3.05836142E+02   8.38073901E-01   1.60463844E-01   7.81921821E-04   5.31345356E-04   1.21724007E-04   1.44322048E-34   2.29826710E-05   8.66899581E-30  
  43               6.60909938E-01   3.16087082E+02   8.38073901E-01   1.60463844E-01   7.81921768E-04   5.31345356E-04   1.21724005E-04   3.71746555E-33   2.29826710E-05   1.40853007E-28  
  44               7.97342174E-01   3.29468545E+02   8.38073901E-01   1.60463844E-01   7.81921715E-04   5.31345356E-04   1.21724001E-04   6.12032983E-32   2.29826710E-05   1.54092639E-27  
  45               9.62481341E-01   3.41792515E+02   8.38073901E-01   1.60463844E-01   7.81921334E-04   5.31345356E-04   1.21723990E-04   1.62522233E-30   2.29826710E-05   2.62066315E-26  
  46               1.16230618E+00   3.57609877E+02   8.38073865E-01   1.60463837E-01   7.81920970E-04   5.31345332E-04   1.21723955E-04   3.01437377E-29   2.29826700E-05   3.24928981E-25  
  47               1.40391327E+00   3.72825675E+02   8.38073869E-01   1.60463834E-01   7.81876885E-04   5.31345321E-04   1.21723862E-04   8.52892682E-28   2.29826695E-05   5.99800817E-24  
  48               1.69555108E+00   3.92049691E+02   8.38073872E-01   1.60463830E-01   7.81833129E-04   5.31345309E-04   1.21723610E-04   1.83986500E-26   2.29826690E-05   8.74550237E-23  
  49               2.04683421E+00   4.11396519E+02   8.38073912E-01   1.60463833E-01   7.81789444E-04   5.31345320E-04   1.21722797E-04   5.46408363E-25   2.29826695E-05   1.73943446E-21  
  50               2.46908226E+00   4.35200434E+02   8.38073884E-01   1.60463828E-01   7.81791825E-04   5.31345301E-04   1.21720420E-04   1.26917903E-23   2.29826687E-05   2.79277863E-20  
  51               2.97493690E+00   4.59737247E+02   8.38072632E-01   1.60463611E-01   7.81922078E-04   5.31344584E-04   1.21713441E-04   2.72414589E-22   2.29826377E-05   4.20459915E-19  
  52               3.57877659E+00   4.86522058E+02   8.38071958E-01   1.60463488E-01   7.81386334E-04   5.31344176E-04   1.21696366E-04   4.32148320E-21   2.29826200E-05   4.78719028E-18  
  53               4.29798573E+00   5.13410069E+02   8.38071330E-01   1.60463366E-01   7.80848228E-04   5.31343771E-04   1.21654455E-04   6.38761605E-20   2.29826025E-05   5.13751777E-17  
  54               5.15387145E+00   5.42759809E+02   8.38071961E-01   1.60463446E-01   7.80182210E-04   5.31344037E-04   1.21563633E-04   7.27823955E-19   2.29826140E-05   4.34298258E-16  
  55               6.17012222E+00   5.72175282E+02   8.38072078E-01   1.60463417E-01   7.80182087E-04   5.31343942E-04   1.21385655E-04   6.55511245E-18   2.29826099E-05   2.94650446E-15  
  56               7.37257554E+00   6.01627899E+02   8.38072279E-01   1.60463369E-01   7.80181888E-04   5.31343781E-04   1.21082996E-04   4.54448774E-17   2.29826029E-05   1.56186321E-14  
  57               8.79360363E+00   6.30105353E+02   8.38072601E-01   1.60463291E-01   7.80181590E-04   5.31343522E-04   1.20595804E-04   2.76957794E-16   2.29825917E-05   7.30984295E-14  
  58               1.04723017E+01   6.59498759E+02   8.38073084E-01   1.60463173E-01   7.80181189E-04   5.31343132E-04   1.19864591E-04   1.47623803E-15   2.29825749E-05   3.01625025E-13  
  59               1.24502260E+01   6.89234808E+02   8.38073817E-01   1.60462995E-01   7.80180672E-04   5.31342540E-04   1.18755982E-04   7.59040784E-15   2.29825494E-05   1.20346547E-12  
  60               1.47702967E+01   7.21406081E+02   8.38074890E-01   1.60462733E-01   7.80180093E-04   5.31341668E-04   1.17128505E-04   3.69786351E-14   2.29825119E-05   4.58309923E-12  
