# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CO               CH4              N2               Mg              
  1                1.00000000E-05   2.89306411E+02   8.38117810E-01   1.60453228E-01   4.80987912E-35   7.80687012E-04   7.11512922E-23   5.31310203E-04   3.28658407E-05   0.00000000E+00  
  2                2.62368648E-05   3.41677262E+02   8.38148217E-01   1.60445857E-01   3.21928898E-29   7.80651147E-04   5.50657608E-18   5.31285794E-04   5.58342325E-05   0.00000000E+00  
  3                4.79062164E-05   3.59939740E+02   8.38143500E-01   1.60447001E-01   2.81366642E-26   7.80656729E-04   5.03885115E-16   5.31289581E-04   5.22710045E-05   0.00000000E+00  
  4                7.21857583E-05   3.76575258E+02   8.38150240E-01   1.60445366E-01   1.70755645E-25   7.80648957E-04   1.82688717E-15   5.31284170E-04   5.73625279E-05   0.00000000E+00  
  5                1.01528769E-04   3.86192884E+02   8.38150884E-01   1.60445209E-01   5.42123046E-25   7.80648801E-04   4.07824284E-15   5.31283650E-04   5.78511042E-05   0.00000000E+00  
  6                1.35756983E-04   3.97681713E+02   8.38150838E-01   1.60445011E-01   2.06847740E-24   7.80658258E-04   1.02458895E-14   5.31282995E-04   5.81837352E-05   0.00000000E+00  
  7                1.75585051E-04   4.04320649E+02   8.38151015E-01   1.60444921E-01   5.34307569E-24   7.80103441E-04   1.93908062E-14   5.31282695E-04   5.83094657E-05   0.00000000E+00  
  8                2.21895295E-04   4.14063931E+02   8.38151106E-01   1.60444824E-01   1.66029784E-23   7.79658881E-04   4.15474669E-14   5.31282375E-04   5.84544324E-05   0.00000000E+00  
  9                2.75721502E-04   4.19834470E+02   8.38151030E-01   1.60444744E-01   3.85181597E-23   7.79214241E-04   7.23131529E-14   5.31282109E-04   5.85145817E-05   0.00000000E+00  
  10               3.38288601E-04   4.28992543E+02   8.38150747E-01   1.60444650E-01   1.05005635E-22   7.79036002E-04   1.41049210E-13   5.31281799E-04   5.86181084E-05   0.00000000E+00  
  11               4.11018392E-04   4.34429446E+02   8.38150865E-01   1.60444667E-01   2.23892753E-22   7.78848491E-04   2.30443028E-13   5.31281854E-04   5.86599812E-05   0.00000000E+00  
  12               4.95559475E-04   4.43225547E+02   8.38150538E-01   1.60444631E-01   5.48053198E-22   7.79225515E-04   4.14812719E-13   5.31281733E-04   5.87402922E-05   0.00000000E+00  
  13               5.93817521E-04   4.48349143E+02   8.38150249E-01   1.60444612E-01   1.09198247E-21   7.79492323E-04   6.41874922E-13   5.31281670E-04   5.87658608E-05   0.00000000E+00  
  14               7.08033794E-04   4.56814231E+02   8.38150060E-01   1.60444593E-01   2.47121480E-21   7.79759131E-04   1.08631770E-12   5.31281607E-04   5.88248246E-05   0.00000000E+00  
  15               8.40807077E-04   4.61731423E+02   8.38150076E-01   1.60444589E-01   4.71638935E-21   7.79759114E-04   1.61961142E-12   5.31281594E-04   5.88364448E-05   0.00000000E+00  
  16               9.95167126E-04   4.70053698E+02   8.38150136E-01   1.60444575E-01   1.02459310E-20   7.79759045E-04   2.65294836E-12   5.31281545E-04   5.88818615E-05   0.00000000E+00  
  17               1.17459293E-03   4.74999545E+02   8.38150146E-01   1.60444572E-01   1.92944182E-20   7.79759036E-04   3.91011295E-12   5.31281535E-04   5.88891949E-05   0.00000000E+00  
  18               1.38311398E-03   4.83498886E+02   8.38150203E-01   1.60444558E-01   4.14847992E-20   7.79758971E-04   6.37218916E-12   5.31281487E-04   5.89321998E-05   0.00000000E+00  
  19               1.62536672E-03   4.88763711E+02   8.38150218E-01   1.60444555E-01   7.83287901E-20   7.79758955E-04   9.44737375E-12   5.31281471E-04   5.89441947E-05   0.00000000E+00  
  20               1.90671149E-03   4.97677592E+02   8.38150281E-01   1.60444539E-01   1.68557810E-19   7.79758884E-04   1.55066481E-11   5.31281414E-04   5.89918382E-05   0.00000000E+00  
  21               2.23331778E-03   5.03365790E+02   8.38150309E-01   1.60444533E-01   3.21621321E-19   7.79758855E-04   2.33223528E-11   5.31281383E-04   5.90125987E-05   0.00000000E+00  
  22               2.61230404E-03   5.12781058E+02   8.38150381E-01   1.60444515E-01   6.98748671E-19   7.79758771E-04   3.88508889E-11   5.31281309E-04   5.90669784E-05   0.00000000E+00  
  23               3.05193294E-03   5.19008224E+02   8.38150421E-01   1.60444506E-01   1.35511456E-18   7.79758724E-04   5.95817360E-11   5.31281255E-04   5.90970341E-05   0.00000000E+00  
