# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              CO               H                NH3              N2              
  1                1.00000000E-05   1.18687148E+02   8.38729278E-01   1.60589266E-01   1.37166815E-10   5.31760667E-04   1.28963301E-81   2.07405876E-91   1.21819150E-04   6.75758046E-27  
  2                2.55064524E-05   1.45130623E+02   8.38712101E-01   1.60585977E-01   6.08768169E-07   5.31749776E-04   6.40680631E-63   3.15723483E-74   1.21816655E-04   5.40745091E-21  
  3                4.30309585E-05   1.58782347E+02   8.38712101E-01   1.60585977E-01   2.10705963E-05   5.31749776E-04   1.11253089E-55   1.25847764E-67   1.21816655E-04   7.99980022E-19  
  4                6.30411900E-05   1.62307500E+02   8.38637285E-01   1.60571653E-01   2.11400825E-05   5.31702342E-04   1.38162878E-54   3.69485761E-66   1.21805788E-04   1.51512873E-18  
  5                8.59078740E-05   1.70630635E+02   8.38637285E-01   1.60571653E-01   1.10271783E-04   5.31702342E-04   5.28714660E-51   8.09472167E-63   1.21805788E-04   1.79714538E-17  
  6                1.11853757E-04   1.72486997E+02   8.38074221E-01   1.60463844E-01   1.10198327E-04   5.31345355E-04   1.42024605E-50   3.68071255E-62   1.21724008E-04   2.03113729E-17  
  7                1.40518467E-04   1.80710103E+02   8.38074221E-01   1.60463844E-01   7.81601753E-04   5.31345355E-04   3.66504348E-47   3.22841029E-59   1.21724008E-04   1.97665014E-16  
  8                1.70294725E-04   1.82374187E+02   8.38074221E-01   1.60463844E-01   7.81601753E-04   5.31345355E-04   8.42918119E-47   1.09671299E-58   1.21724008E-04   2.27301488E-16  
  9                2.04333318E-04   1.97369259E+02   8.38074221E-01   1.60463844E-01   7.81601753E-04   5.31345355E-04   1.37436499E-42   5.34504524E-54   1.21724008E-04   1.21603769E-14  
  10               2.43272821E-04   1.97738912E+02   8.38074221E-01   1.60463844E-01   7.81601753E-04   5.31345355E-04   1.21944697E-42   6.27459056E-54   1.21724008E-04   9.47381483E-15  
  11               2.87901821E-04   2.10730176E+02   8.38074221E-01   1.60463844E-01   7.81601753E-04   5.31345355E-04   1.67005177E-39   1.99810086E-50   1.21724007E-04   1.79345724E-13  
  12               3.39071833E-04   2.10204856E+02   8.38074221E-01   1.60463844E-01   7.81601753E-04   5.31345355E-04   9.02735214E-40   1.35028482E-50   1.21724007E-04   1.14092568E-13  
  13               3.97790909E-04   2.22318825E+02   8.38074221E-01   1.60463844E-01   7.81601753E-04   5.31345355E-04   3.58605491E-37   1.09615758E-47   1.21724005E-04   1.28829315E-12  
  14               4.65180975E-04   2.21263147E+02   8.38074221E-01   1.60463844E-01   7.81601753E-04   5.31345355E-04   1.55490250E-37   5.78230604E-48   1.21724006E-04   7.50121009E-13  
  15               5.42548579E-04   2.33116641E+02   8.38074221E-01   1.60463844E-01   7.81601753E-04   5.31345355E-04   3.10313191E-35   2.18608376E-45   1.21723995E-04   6.36981264E-12  
  16               6.31360087E-04   2.31882191E+02   8.38074221E-01   1.60463844E-01   7.81601753E-04   5.31345355E-04   1.31206011E-35   1.11491890E-45   1.21724000E-04   3.68589831E-12  
  17               7.33323257E-04   2.43849129E+02   8.38074221E-01   1.60463844E-01   7.81601753E-04   5.31345355E-04   1.71833428E-33   2.63072253E-43   1.21723955E-04   2.63491277E-11  
  18               8.50358803E-04   2.42756497E+02   8.38074221E-01   1.60463844E-01   7.81601753E-04   5.31345355E-04   8.13285177E-34   1.50697488E-43   1.21723975E-04   1.60715486E-11  
  19               9.84716856E-04   2.54808248E+02   8.38074221E-01   1.60463844E-01   7.81601753E-04   5.31345355E-04   7.19575246E-32   2.29800454E-41   1.21723812E-04   9.77264644E-11  
  20               1.13891250E-03   2.53953395E+02   8.38074221E-01   1.60463844E-01   7.81601753E-04   5.31345355E-04   3.88939288E-32   1.51196505E-41   1.21723881E-04   6.33394923E-11  
  21               1.31589918E-03   2.66067182E+02   8.38074221E-01   1.60463844E-01   7.81601753E-04   5.31345355E-04   2.38907840E-30   1.53865169E-39   1.21723346E-04   3.30945675E-10  
  22               1.51897756E-03   2.65476254E+02   8.38074221E-01   1.60463844E-01   7.81601753E-04   5.31345355E-04   1.45929164E-30   1.15030413E-39   1.21723554E-04   2.26786967E-10  
  23               1.75202148E-03   2.77724393E+02   8.38074222E-01   1.60463844E-01   7.81601752E-04   5.31345354E-04   6.58252790E-29   8.31370537E-38   1.21721923E-04   1.04215590E-09  
  24               2.01936761E-03   2.77378799E+02   8.38074222E-01   1.60463844E-01   7.81601752E-04   5.31345355E-04   4.43558856E-29   6.88506842E-38   1.21722514E-04   7.46939805E-10  
  25               2.32605963E-03   2.89936338E+02   8.38074225E-01   1.60463843E-01   7.81601748E-04   5.31345352E-04   1.58588949E-27   3.83969802E-36   1.21717769E-04   3.11901086E-09  
  26               2.67776828E-03   2.89895380E+02   8.38074224E-01   1.60463843E-01   7.81601750E-04   5.31345353E-04   1.18230628E-27   3.53324654E-36   1.21719325E-04   2.34096962E-09  
  27               3.08108276E-03   3.02898971E+02   8.38074233E-01   1.60463841E-01   7.81601739E-04   5.31345346E-04   3.50909669E-26   1.59863347E-34   1.21705886E-04   9.05948893E-09  
  28               3.54342002E-03   3.03248226E+02   8.38074230E-01   1.60463842E-01   7.81601742E-04   5.31345348E-04   2.91578448E-26   1.64697917E-34   1.21709717E-04   7.14453219E-09  
  29               4.07342003E-03   3.16712504E+02   8.38074254E-01   1.60463836E-01   7.81601428E-04   5.31345328E-04   7.20478175E-25   6.06964232E-33   1.21672726E-04   2.56374627E-08  
