# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              NH3              H2S              H                N2              
  34               4.40187255E-02   1.66858507E+02   8.38729289E-01   1.60589322E-01   5.31760852E-04   2.00281779E-07   1.21819192E-04   2.30009965E-05   6.56225607E-63   6.71549328E-23  
  35               5.15475484E-02   1.72184265E+02   8.38729027E-01   1.60589272E-01   5.31760686E-04   5.25577540E-07   1.21819154E-04   2.30009893E-05   4.14635863E-61   2.40334367E-22  
  36               6.07564660E-02   1.75963973E+02   8.38728008E-01   1.60589077E-01   5.31760040E-04   8.37747949E-07   1.21819006E-04   2.30009614E-05   9.03494997E-60   6.64876613E-22  
  37               7.20121481E-02   1.81158498E+02   8.38727043E-01   1.60588892E-01   5.31759428E-04   2.05307676E-06   1.21818866E-04   2.30009349E-05   4.34132033E-58   2.12146523E-21  
  38               8.57601912E-02   1.85188027E+02   8.38723156E-01   1.60588148E-01   5.31756964E-04   3.20678317E-06   1.21818301E-04   2.30008283E-05   9.77667712E-57   5.72347977E-21  
  39               1.02542349E-01   1.90574127E+02   8.38719476E-01   1.60587443E-01   5.31754631E-04   7.84065514E-06   1.21817767E-04   2.30007274E-05   4.01867152E-55   1.72960160E-20  
  40               1.23000533E-01   1.95100015E+02   8.38702933E-01   1.60584276E-01   5.31744142E-04   1.22403248E-05   1.21815364E-04   2.30002737E-05   1.17428285E-53   4.92827983E-20  
  41               1.47896846E-01   2.00840514E+02   8.38687148E-01   1.60581254E-01   5.31734134E-04   3.19636862E-05   1.21813072E-04   2.29998408E-05   5.12205531E-52   1.54899390E-19  
  42               1.78117484E-01   2.06321457E+02   8.38557024E-01   1.60556339E-01   5.31651635E-04   5.07702774E-05   1.21794172E-04   2.29962724E-05   2.15845126E-50   5.00477259E-19  
  43               2.14517701E-01   2.12837989E+02   8.38429822E-01   1.60531984E-01   5.31570987E-04   2.05911440E-04   1.21775697E-04   2.29927840E-05   2.28882343E-47   4.82298277E-18  
  44               2.57415315E-01   2.19689384E+02   8.38302619E-01   1.60507629E-01   5.31490340E-04   3.57572207E-04   1.21757222E-04   2.29892957E-05   2.84424270E-45   2.74263581E-17  
  45               3.07940972E-01   2.33574331E+02   8.38188280E-01   1.60485737E-01   5.31417848E-04   5.09220879E-04   1.21740615E-04   2.29861601E-05   7.64238293E-43   1.92997751E-16  
  46               3.67520104E-01   2.44264885E+02   8.38073941E-01   1.60463844E-01   5.31345356E-04   6.45545024E-04   1.21724008E-04   2.29830245E-05   4.86517971E-41   8.65478449E-16  
  47               4.38020254E-01   2.57948566E+02   8.38073941E-01   1.60463844E-01   5.31345356E-04   7.81882721E-04   1.21724008E-04   2.29830245E-05   6.88082298E-39   4.72747569E-15  
  48               5.22104445E-01   2.69160262E+02   8.38073941E-01   1.60463844E-01   5.31345356E-04   7.81882721E-04   1.21724008E-04   2.29830245E-05   3.30644506E-37   1.88111271E-14  
  49               6.24450977E-01   2.83888447E+02   8.38073941E-01   1.60463844E-01   5.31345356E-04   7.81882721E-04   1.21724008E-04   2.29830245E-05   3.89660981E-35   9.52751752E-14  
  50               7.48908098E-01   2.96574132E+02   8.38073941E-01   1.60463844E-01   5.31345356E-04   7.81882709E-04   1.21724007E-04   2.29830245E-05   3.15658294E-33   4.51333073E-13  
  51               9.00135375E-01   3.13876108E+02   8.38073915E-01   1.60463839E-01   5.31345340E-04   7.81882627E-04   1.21724000E-04   2.29830238E-05   2.35512305E-31   2.07547625E-12  
  52               1.08365092E+00   3.31666221E+02   8.38073918E-01   1.60463837E-01   5.31345332E-04   7.81852000E-04   1.21723985E-04   2.29830234E-05   1.22344876E-29   8.48457682E-12  
  53               1.30616467E+00   3.51211955E+02   8.38073920E-01   1.60463835E-01   5.31345324E-04   7.81821373E-04   1.21723934E-04   2.29830231E-05   5.81832724E-28   3.32109044E-11  
  54               1.57568756E+00   3.71259280E+02   8.38073923E-01   1.60463832E-01   5.31345315E-04   7.81790747E-04   1.21723765E-04   2.29830227E-05   1.98611301E-26   1.16569329E-10  
  55               1.90168099E+00   3.93224932E+02   8.38073925E-01   1.60463829E-01   5.31345307E-04   7.81760183E-04   1.21723215E-04   2.29830223E-05   6.17676900E-25   3.90722561E-10  
  56               2.29554680E+00   4.15702617E+02   8.38073870E-01   1.60463816E-01   5.31345262E-04   7.81732726E-04   1.21721617E-04   2.29830204E-05   1.41242536E-23   1.18458994E-09  
  57               2.77024811E+00   4.40241068E+02   8.38072813E-01   1.60463687E-01   5.31344834E-04   7.82119761E-04   1.21717039E-04   2.29830019E-05   2.93290782E-22   3.42462359E-09  
  58               3.34052685E+00   4.65217801E+02   8.38072409E-01   1.60463613E-01   5.31344589E-04   7.81802479E-04   1.21705739E-04   2.29829913E-05   4.62857594E-21   9.04666713E-09  
  59               4.02329519E+00   4.92351619E+02   8.38072015E-01   1.60463536E-01   5.31344336E-04   7.81485185E-04   1.21678104E-04   2.29829803E-05   6.69675467E-20   2.28350579E-08  
  60               4.83962952E+00   5.19868796E+02   8.38071644E-01   1.60463455E-01   5.31344065E-04   7.81167817E-04   1.21617359E-04   2.29829686E-05   7.60272758E-19   5.31763609E-08  
  61               5.81378213E+00   5.49727726E+02   8.38071403E-01   1.60463377E-01   5.31343809E-04   7.80847366E-04   1.21486935E-04   2.29829576E-05   7.93968677E-18   1.18358971E-07  
  62               6.97242296E+00   5.79895736E+02   8.38072218E-01   1.60463393E-01   5.31343861E-04   7.80142891E-04   1.21234098E-04   2.29829598E-05   6.71593384E-17   2.44783654E-07  
  63               8.34597373E+00   6.12507611E+02   8.38072534E-01   1.60463316E-01   5.31343607E-04   7.80142609E-04   1.20756257E-04   2.29829488E-05   5.28071693E-16   4.83675018E-07  
  64               9.97296571E+00   6.45356962E+02   8.38073073E-01   1.60463185E-01   5.31343172E-04   7.80142181E-04   1.19940566E-04   2.29829301E-05   3.45364822E-15   8.91471073E-07  
  65               1.18963327E+01   6.80859307E+02   8.38073961E-01   1.60462969E-01   5.31342452E-04   7.80141597E-04   1.18595134E-04   2.29828991E-05   2.11055327E-14   1.56410512E-06  
  66               1.41620038E+01   7.16464250E+02   8.38075280E-01   1.60462645E-01   5.31341368E-04   7.80140979E-04   1.16587153E-04   2.29828527E-05   1.10799604E-13   2.56797243E-06  
  67               1.68256244E+01   7.54844858E+02   8.38077139E-01   1.60462174E-01   5.31339770E-04   7.80140583E-04   1.13705223E-04   2.29827850E-05   5.52528741E-13   4.00875856E-06  
  68               1.99681840E+01   7.93418735E+02   8.38079526E-01   1.60461555E-01   5.31337603E-04   7.80140909E-04   1.09957457E-04   2.29826961E-05   2.41602142E-12   5.88240683E-06  
  69               2.36816548E+01   8.35268745E+02   8.38082517E-01   1.60460787E-01   5.31334693E-04   7.80143210E-04   1.05287106E-04   2.29826812E-05   9.98309984E-12   8.21729125E-06  
  70               2.80529623E+01   8.77213263E+02   8.38085914E-01   1.60459913E-01   5.31330785E-04   7.80148338E-04   9.99754105E-05   2.29865077E-05   3.65491039E-11   1.08728074E-05  
  71               3.31625468E+01   9.22285869E+02   8.38089599E-01   1.60458947E-01   5.31324859E-04   7.80156835E-04   9.41415191E-05   2.30043955E-05   1.26507261E-10   1.37893861E-05  
  72               3.91190588E+01   9.67020687E+02   8.38093114E-01   1.60457938E-01   5.31315100E-04   7.80167179E-04   8.82483549E-05   2.30653105E-05   3.91382552E-10   1.67355840E-05  
  73               4.60198391E+01   1.01481046E+03   8.38096274E-01   1.60456914E-01   5.31297078E-04   7.80169156E-04   8.24196213E-05   2.33257877E-05   1.14056196E-09   1.96495579E-05  
  74               5.39351744E+01   1.06151603E+03   8.38099130E-01   1.60455959E-01   5.31264321E-04   7.80176372E-04   7.70551288E-05   2.35861570E-05   3.01323900E-09   2.23314311E-05  
  75               6.29166192E+01   1.11070821E+03   8.38101740E-01   1.60455062E-01   5.31202542E-04   7.80179043E-04   7.21086739E-05   2.38426361E-05   7.59095767E-09   2.48042931E-05  
  76               7.31001150E+01   1.15833392E+03   8.38104000E-01   1.60454263E-01   5.31094691E-04   7.80160982E-04   6.78292690E-05   2.40849883E-05   1.76562490E-08   2.69436399E-05  
  77               8.46559778E+01   1.20887009E+03   8.38106169E-01   1.60453573E-01   5.30916647E-04   7.80100102E-04   6.41434372E-05   2.42842186E-05   3.82653810E-08   2.87861910E-05  
  78               9.77092235E+01   1.25766589E+03   8.38108341E-01   1.60452985E-01   5.30638653E-04   7.79973864E-04   6.11234089E-05   2.42837427E-05   7.79015300E-08   3.02957939E-05  
  79               1.12357680E+02   1.30590505E+03   8.38110326E-01   1.60452425E-01   5.30216457E-04   7.79719144E-04   5.85964791E-05   2.42830551E-05   1.51593657E-07   3.15587157E-05  
  80               1.28667467E+02   1.35366169E+03   8.38112149E-01   1.60451881E-01   5.29599728E-04   7.79281979E-04   5.65921742E-05   2.42820513E-05   2.83635745E-07   3.25601029E-05  
  81               1.46852818E+02   1.40242423E+03   8.38113975E-01   1.60451297E-01   5.28713508E-04   7.78588789E-04   5.49398059E-05   2.42805346E-05   5.15718278E-07   3.33851405E-05  
  82               1.67225661E+02   1.45200275E+03   8.38115887E-01   1.60450628E-01   5.27478128E-04   7.77564969E-04   5.35620785E-05   2.42781449E-05   9.10853451E-07   3.40722711E-05  
  83               1.90005736E+02   1.50340814E+03   8.38117877E-01   1.60449834E-01   5.25825299E-04   7.76156159E-04   5.24205566E-05   2.42741274E-05   1.55575229E-06   3.46404675E-05  
  84               2.15305321E+02   1.55556101E+03   8.38116516E-01   1.60448234E-01   5.23682314E-04   7.74317994E-04   5.15035322E-05   2.42665476E-05   2.57496033E-06   3.50950258E-05  
  85               2.43159156E+02   1.60725801E+03   8.38111242E-01   1.60446430E-01   5.20925345E-04   7.76112815E-04   5.08013809E-05   2.40901666E-05   4.12812835E-06   3.54406615E-05  
  86               2.73641165E+02   1.65915345E+03   8.38105765E-01   1.60444396E-01   5.17591458E-04   7.77334352E-04   5.03149555E-05   2.39171657E-05   6.43207780E-06   3.56765383E-05  
