# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               Fe              
  1                1.00000000E-05   6.07974130E+02   8.38746577E-01   1.60301028E-01   2.37758291E-14   4.40341185E-04   3.29096290E-04   6.07991863E-05   0.00000000E+00   0.00000000E+00  
  2                1.54368754E-05   6.47603926E+02   8.38830735E-01   1.60280081E-01   2.74526735E-13   5.07412508E-04   2.65952147E-04   6.07914273E-05   0.00000000E+00   0.00000000E+00  
  3                2.29774154E-05   6.72808028E+02   8.38843272E-01   1.60276798E-01   1.04132639E-12   5.18210901E-04   2.56677638E-04   6.07901507E-05   0.00000000E+00   0.00000000E+00  
  4                3.21097195E-05   6.86816936E+02   8.38844475E-01   1.60276373E-01   1.96707692E-12   5.19722585E-04   2.55807295E-04   6.07898489E-05   0.00000000E+00   0.00000000E+00  
  5                4.29981580E-05   7.04142510E+02   8.38847524E-01   1.60275464E-01   4.39438848E-12   5.22732775E-04   2.53535026E-04   6.07894329E-05   0.00000000E+00   0.00000000E+00  
  6                5.59518292E-05   7.14370892E+02   8.38847289E-01   1.60275402E-01   6.60584026E-12   5.22947599E-04   2.53668885E-04   6.07892483E-05   0.00000000E+00   0.00000000E+00  
  7                7.13300882E-05   7.29417343E+02   8.38848687E-01   1.60274865E-01   1.25867608E-11   5.24656468E-04   2.52487076E-04   6.07889661E-05   0.00000000E+00   0.00000000E+00  
  8                8.95814871E-05   7.38069692E+02   8.38848082E-01   1.60274848E-01   1.72061434E-11   5.24605468E-04   2.52773963E-04   6.07887777E-05   0.00000000E+00   0.00000000E+00  
  9                1.11222680E-04   7.52023297E+02   8.38848559E-01   1.60274445E-01   3.00985614E-11   5.25763138E-04   2.52034637E-04   6.07885363E-05   0.00000000E+00   0.00000000E+00  
  10               1.36881415E-04   7.59832423E+02   8.38847585E-01   1.60274391E-01   3.90018306E-11   5.25619787E-04   2.52352121E-04   6.07883073E-05   0.00000000E+00   0.00000000E+00  
  11               1.67300208E-04   7.73329641E+02   8.38847073E-01   1.60274010E-01   6.49383209E-11   5.26495803E-04   2.51827592E-04   6.07880620E-05   0.00000000E+00   0.00000000E+00  
  12               2.03376050E-04   7.80762965E+02   8.38846703E-01   1.60274074E-01   8.16895953E-11   5.26329788E-04   2.52132280E-04   6.07878467E-05   0.00000000E+00   0.00000000E+00  
  13               2.46166958E-04   7.94161183E+02   8.38847319E-01   1.60273857E-01   1.31863724E-10   5.27035366E-04   2.51732309E-04   6.07876480E-05   0.00000000E+00   0.00000000E+00  
  14               2.96927271E-04   8.01461641E+02   8.38846972E-01   1.60273919E-01   1.62872928E-10   5.26866515E-04   2.52015621E-04   6.07873952E-05   0.00000000E+00   0.00000000E+00  
  15               3.57126369E-04   8.14963772E+02   8.38847474E-01   1.60273737E-01   2.57343382E-10   5.27455203E-04   2.51695254E-04   6.07871907E-05   0.00000000E+00   0.00000000E+00  
