# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              NH3              H2S              H2O(s)           Ar              
  1                1.00000000E-05   2.88394824E+01   8.38831900E-01   1.60608980E-01   5.31825945E-04   9.44739322E-19   6.10384731E-09   2.30035185E-05   0.00000000E+00   4.22443661E-06  
  2                3.06920915E-04   5.13043618E+01   8.38831900E-01   1.60608980E-01   5.31825945E-04   1.10692185E-18   6.10384731E-09   2.30035185E-05   0.00000000E+00   4.22443661E-06  
  3                6.71294012E-04   4.70326333E+01   8.38831900E-01   1.60608980E-01   5.31825945E-04   7.28026183E-19   6.10384731E-09   2.30035185E-05   0.00000000E+00   4.22443661E-06  
  4                1.11842417E-03   5.11733590E+01   8.38831900E-01   1.60608980E-01   5.31825945E-04   6.98875768E-19   6.10384731E-09   2.30035185E-05   0.00000000E+00   4.22443661E-06  
  5                1.66662010E-03   5.17588327E+01   8.38831900E-01   1.60608980E-01   5.31825945E-04   6.69260277E-19   6.10384731E-09   2.30035185E-05   0.00000000E+00   4.22443661E-06  
  6                2.33828534E-03   5.50788169E+01   8.38831900E-01   1.60608980E-01   5.31825945E-04   1.13183798E-18   6.10384731E-09   2.30035185E-05   0.00000000E+00   4.22443661E-06  
  7                3.15992130E-03   5.51727824E+01   8.38831900E-01   1.60608980E-01   5.31825945E-04   8.30741860E-19   6.10384731E-09   2.30035185E-05   0.00000000E+00   4.22443661E-06  
  8                4.16395976E-03   5.79210898E+01   8.38831900E-01   1.60608980E-01   5.31825945E-04   7.88681571E-19   6.10384731E-09   2.30035185E-05   0.00000000E+00   4.22443661E-06  
  9                5.38885368E-03   5.83060358E+01   8.38831900E-01   1.60608980E-01   5.31825945E-04   7.40021214E-19   6.10384731E-09   2.30035185E-05   0.00000000E+00   4.22443661E-06  
  10               6.87967865E-03   6.10980938E+01   8.38831900E-01   1.60608980E-01   5.31825945E-04   8.33116925E-19   6.10384731E-09   2.30035185E-05   0.00000000E+00   4.22443661E-06  
  11               8.69176509E-03   6.17145167E+01   8.38831900E-01   1.60608980E-01   5.31825945E-04   1.08775160E-18   6.10384731E-09   2.30035185E-05   0.00000000E+00   4.22443661E-06  
