# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               H                He               CO               H2O              Mg               Fe               N2              
  1                1.00000000E-05   1.10294067E+03   8.38838178E-01   7.95080043E-06   1.60271461E-01   5.30550244E-04   2.51090018E-04   8.63649621E-09   1.43772521E-07   6.07890257E-05  
  2                1.33878239E-05   1.17079472E+03   8.38787401E-01   2.81220798E-05   1.60264260E-01   5.30554681E-04   2.54630341E-04   1.73731008E-07   1.37413001E-06   6.07862952E-05  
  3                1.68025132E-05   1.26095392E+03   8.38663640E-01   1.29511152E-04   1.60255232E-01   5.30540807E-04   2.83717631E-04   5.17587889E-06   1.40106578E-05   6.07828722E-05  
  4                2.04464188E-05   1.25427813E+03   8.38635836E-01   1.04800458E-04   1.60247592E-01   5.30513613E-04   2.83766924E-04   5.17561912E-06   1.40099881E-05   6.07799729E-05  
  5                2.42381799E-05   1.32207317E+03   8.38379286E-01   2.89219948E-04   1.60226706E-01   5.30441547E-04   3.40434532E-04   4.24445637E-05   5.55557566E-05   6.07720517E-05  
  6                2.81051057E-05   1.30872309E+03   8.38434298E-01   2.18200745E-04   1.60230502E-01   5.30450515E-04   3.40601421E-04   4.24454853E-05   5.55570676E-05   6.07734897E-05  
  7                3.22970309E-05   1.36741862E+03   8.38125416E-01   4.92469715E-04   1.60204456E-01   5.30367008E-04   3.77050071E-04   6.67801053E-05   5.55480053E-05   6.07636116E-05  
  8                3.67880724E-05   1.35259119E+03   8.38236280E-01   3.71777348E-04   1.60214206E-01   5.30395556E-04   3.77288820E-04   6.67840269E-05   5.55513809E-05   6.07673077E-05  
  9                4.20829095E-05   1.40522017E+03   8.37904120E-01   7.33317768E-04   1.60185043E-01   5.30311307E-04   3.76665588E-04   6.67713696E-05   5.55412342E-05   6.07562470E-05  
  10               4.83227229E-05   1.39057246E+03   8.38064178E-01   5.59089960E-04   1.60199103E-01   5.30354646E-04   3.76938123E-04   6.67770245E-05   5.55461016E-05   6.07615776E-05  
  11               5.56869380E-05   1.44298522E+03   8.37609685E-01   1.05373510E-03   1.60159242E-01   5.30233353E-04   3.76269319E-04   6.67598429E-05   5.55322375E-05   6.07464588E-05  
  12               6.43673504E-05   1.42914277E+03   8.37826500E-01   8.17750016E-04   1.60178268E-01   5.30293689E-04   3.76566276E-04   6.67674883E-05   5.55388230E-05   6.07536725E-05  
  13               7.46030792E-05   1.48210884E+03   8.37206958E-01   1.49196376E-03   1.60123984E-01   5.30123391E-04   3.75844190E-04   6.67442092E-05   5.55199477E-05   6.07330829E-05  
  14               8.66418562E-05   1.46991713E+03   8.37484110E-01   1.19033043E-03   1.60148280E-01   5.30201786E-04   3.76151188E-04   6.67539532E-05   5.55283554E-05   6.07422953E-05  
  15               1.00770338E-04   1.52478998E+03   8.36612831E-01   2.13840890E-03   1.60072009E-01   5.29957759E-04   3.75354005E-04   6.67214002E-05   5.55018427E-05   6.07133656E-05  
  16               1.17228236E-04   1.51661941E+03   8.36921689E-01   1.80226000E-03   1.60099057E-01   5.30046120E-04   3.75628870E-04   6.67321669E-05   5.55111961E-05   6.07236216E-05  
  17               1.35913444E-04   1.58104864E+03   8.35397693E-01   3.46030997E-03   1.59965778E-01   5.29613302E-04   3.74649063E-04   6.66757122E-05   5.54648945E-05   6.06730685E-05  
  18               1.55731455E-04   1.59125550E+03   8.35262112E-01   3.60779885E-03   1.59953951E-01   5.29575324E-04   3.74589450E-04   6.66701258E-05   5.54607472E-05   6.06685796E-05  
  19               1.79012089E-04   1.62058360E+03   8.34371290E-01   4.57699199E-03   1.59876132E-01   5.29320897E-04   3.74130169E-04   6.66368721E-05   5.54336939E-05   6.06390599E-05  
  20               2.06382064E-04   1.62926468E+03   8.34295152E-01   4.65979803E-03   1.59869506E-01   5.29299857E-04   3.74114014E-04   6.66333105E-05   5.54313401E-05   6.06365434E-05  
  21               2.38573896E-04   1.65806837E+03   8.33262460E-01   5.78330334E-03   1.59779335E-01   5.29004140E-04   3.73652273E-04   6.65947317E-05   5.53999882E-05   6.06023369E-05  
  22               2.76413330E-04   1.66693741E+03   8.33190801E-01   5.86123028E-03   1.59773106E-01   5.28984338E-04   3.73643513E-04   6.65911546E-05   5.53977572E-05   6.05999696E-05  
  23               3.20913488E-04   1.69581911E+03   8.31985721E-01   7.17224768E-03   1.59667920E-01   5.28638622E-04   3.73162849E-04   6.65461012E-05   5.53611792E-05   6.05600656E-05  
  24               3.73236007E-04   1.70521576E+03   8.31901890E-01   7.26341300E-03   1.59660632E-01   5.28615277E-04   3.73152334E-04   6.65418644E-05   5.53585626E-05   6.05572951E-05  
  25               4.34775658E-04   1.73443139E+03   8.30496200E-01   8.79264295E-03   1.59537969E-01   5.28211466E-04   3.72640571E-04   6.64892654E-05   5.53159005E-05   6.05107595E-05  
  26               5.07115731E-04   1.74460039E+03   8.30380088E-01   8.91892435E-03   1.59527867E-01   5.28178785E-04   3.72620060E-04   6.64835922E-05   5.53122851E-05   6.05069195E-05  
  27               5.92153167E-04   1.77432968E+03   8.28738981E-01   1.07042312E-02   1.59384693E-01   5.27706864E-04   3.72063704E-04   6.64221310E-05   5.52624810E-05   6.04525997E-05  
  28               6.92032262E-04   1.78548245E+03   8.28563692E-01   1.08948866E-02   1.59369430E-01   5.27657088E-04   3.72023980E-04   6.64139905E-05   5.52570475E-05   6.04467995E-05  
  29               8.09316108E-04   1.81587854E+03   8.26642454E-01   1.29849124E-02   1.59201847E-01   5.27104173E-04   3.71406713E-04   6.63419834E-05   5.51987432E-05   6.03832150E-05  
  30               9.46882226E-04   1.82826353E+03   8.26366875E-01   1.32846672E-02   1.59177839E-01   5.27025439E-04   3.71334857E-04   6.63298187E-05   5.51902414E-05   6.03740933E-05  
  31               1.10815796E-03   1.85953768E+03   8.24099259E-01   1.57514750E-02   1.58980071E-01   5.26372429E-04   3.70633664E-04   6.62447910E-05   5.51214263E-05   6.02990506E-05  
  32               1.29695781E-03   1.87347633E+03   8.23658333E-01   1.62310999E-02   1.58941645E-01   5.26245964E-04   3.70509969E-04   6.62261652E-05   5.51078807E-05   6.02844537E-05  
  33               1.51780517E-03   1.90591948E+03   8.20943225E-01   1.91846850E-02   1.58704877E-01   5.25463690E-04   3.69690988E-04   6.61243669E-05   5.50254886E-05   6.01946042E-05  
  34               1.77566829E-03   1.92189780E+03   8.20224252E-01   1.99667772E-02   1.58642207E-01   5.25256970E-04   3.69481602E-04   6.60950999E-05   5.50034816E-05   6.01708013E-05  
  35               2.07638652E-03   1.95605812E+03   8.16879178E-01   2.36056370E-02   1.58350532E-01   5.24292785E-04   3.68485632E-04   6.59698157E-05   5.49019849E-05   6.00601022E-05  
  36               2.42620060E-03   1.97508889E+03   8.15635741E-01   2.49582525E-02   1.58242134E-01   5.23934701E-04   3.68116358E-04   6.59208543E-05   5.48640531E-05   6.00189362E-05  
  37               2.83211774E-03   2.01292387E+03   8.11124283E-01   2.98659111E-02   1.57848786E-01   5.22633825E-04   3.66776582E-04   6.57524894E-05   5.47272187E-05   5.98696277E-05  
  38               3.29671626E-03   2.05286906E+03   8.05561312E-01   3.59174062E-02   1.57363783E-01   5.21029414E-04   3.65120583E-04   6.55455947E-05   5.45585597E-05   5.96855056E-05  
  39               3.82879746E-03   2.09096717E+03   7.99678098E-01   4.23172464E-02   1.56850883E-01   5.19332444E-04   3.63351271E-04   6.53267966E-05   5.43801959E-05   5.94907537E-05  
  40               4.43995250E-03   2.12735069E+03   7.93577110E-01   4.89539697E-02   1.56319014E-01   5.17572509E-04   3.61487679E-04   6.50997847E-05   5.41952193E-05   5.92887494E-05  
  41               5.14330734E-03   2.16286542E+03   7.87150183E-01   5.59452411E-02   1.55758742E-01   5.15718415E-04   3.59487617E-04   6.48605854E-05   5.40003526E-05   5.90758966E-05  
  42               5.95383067E-03   2.19721226E+03   7.80570457E-01   6.31027203E-02   1.55185156E-01   5.13820136E-04   3.57395261E-04   6.46154625E-05   5.38008260E-05   5.88579084E-05  
  43               6.88858410E-03   2.23112975E+03   7.73691474E-01   7.05857293E-02   1.54585487E-01   5.11835415E-04   3.55157610E-04   6.43590553E-05   5.35922051E-05   5.86299126E-05  
  44               7.96699550E-03   2.26416948E+03   7.66731081E-01   7.81572933E-02   1.53978723E-01   5.09827126E-04   3.52836241E-04   6.40992507E-05   5.33810718E-05   5.83990978E-05  
  45               9.21105083E-03   2.29714743E+03   7.59455998E-01   8.60691144E-02   1.53344329E-01   5.07727297E-04   3.50349216E-04   6.38274560E-05   5.31602989E-05   5.81576262E-05  
  46               1.06380792E-02   2.32925118E+03   7.52197731E-01   9.39553496E-02   1.52711979E-01   5.05633382E-04   3.54369869E-04   6.35560505E-05   5.29401787E-05   5.79167096E-05  
  47               1.22748204E-02   2.36125333E+03   7.44719696E-01   1.02090056E-01   1.52060081E-01   5.03475506E-04   3.51627027E-04   6.32760025E-05   5.27132172E-05   5.76681475E-05  
  48               1.41603340E-02   2.39296890E+03   7.37160717E-01   1.10312817E-01   1.51401122E-01   5.01294207E-04   3.48776082E-04   6.29924435E-05   5.24837366E-05   5.74166000E-05  
  49               1.63296241E-02   2.42476676E+03   7.29386820E-01   1.18769371E-01   1.50723421E-01   4.99050817E-04   3.45763493E-04   6.27004834E-05   5.22476818E-05   5.71575371E-05  
  50               1.88218146E-02   2.45620819E+03   7.21632317E-01   1.27204833E-01   1.50047403E-01   4.96812962E-04   3.42669587E-04   6.24086007E-05   5.20121317E-05   5.68986469E-05  
  51               2.16776048E-02   2.48770691E+03   7.13719083E-01   1.35812968E-01   1.49357539E-01   4.94529232E-04   3.39424384E-04   6.21103181E-05   5.17716983E-05   5.66338826E-05  
  52               2.49401698E-02   2.51879502E+03   7.05899154E-01   1.44319610E-01   1.48675800E-01   4.92272369E-04   3.36121221E-04   6.18147683E-05   5.15339976E-05   5.63714931E-05  
