# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              CO               NH3              H                N2              
  34               9.92306684E-03   2.55871272E+02   8.38074151E-01   1.60463844E-01   7.81672039E-04   5.31345356E-04   1.05756202E-33   1.21724005E-04   1.10940296E-41   1.14783221E-12  
  35               1.12521904E-02   2.60506965E+02   8.38074151E-01   1.60463844E-01   7.81672039E-04   5.31345356E-04   4.54168855E-33   1.21724004E-04   6.43727483E-41   1.89508926E-12  
  36               1.27711077E-02   2.72531655E+02   8.38074151E-01   1.60463844E-01   7.81672039E-04   5.31345356E-04   2.28060027E-31   1.21723989E-04   5.10308969E-39   9.27348243E-12  
  37               1.45059957E-02   2.77973990E+02   8.38074151E-01   1.60463844E-01   7.81672039E-04   5.31345356E-04   1.04010067E-30   1.21723976E-04   3.14471001E-38   1.57501115E-11  
  38               1.64869983E-02   2.90783004E+02   8.38074152E-01   1.60463844E-01   7.81672039E-04   5.31345356E-04   4.04799943E-29   1.21723869E-04   1.87651955E-36   6.93431849E-11  
  39               1.87475147E-02   2.97381193E+02   8.38074152E-01   1.60463844E-01   7.81672039E-04   5.31345356E-04   2.07344314E-28   1.21723759E-04   1.30055062E-35   1.24351998E-10  
  40               2.13253025E-02   3.11787154E+02   8.38074152E-01   1.60463844E-01   7.81672038E-04   5.31345356E-04   7.59656580E-27   1.21722933E-04   7.16997517E-34   5.37355998E-10  
  41               2.42597955E-02   3.21617880E+02   8.38074152E-01   1.60463844E-01   7.81672036E-04   5.31345354E-04   6.74442488E-26   1.21721531E-04   8.79738303E-33   1.23791565E-09  
  42               2.75995839E-02   3.36992609E+02   8.38074158E-01   1.60463843E-01   7.81670706E-04   5.31345351E-04   1.80053822E-24   1.21714628E-04   3.41155256E-31   4.68942708E-09  
  43               3.13992508E-02   3.47721324E+02   8.38074149E-01   1.60463838E-01   7.81670682E-04   5.31345335E-04   1.37780348E-23   1.21703661E-04   3.53786909E-30   1.01710489E-08  
  44               3.57221570E-02   3.64178271E+02   8.38074199E-01   1.60463832E-01   7.81651439E-04   5.31345314E-04   2.78413426E-22   1.21655407E-04   1.00665495E-28   3.42958212E-08  
  45               4.06400211E-02   3.75845299E+02   8.38074246E-01   1.60463820E-01   7.81651383E-04   5.31345276E-04   1.84148742E-21   1.21583946E-04   8.85916937E-28   7.00217139E-08  
  46               4.62364450E-02   3.93511847E+02   8.38074170E-01   1.60463724E-01   7.81650915E-04   5.31344958E-04   2.90930160E-20   1.21299335E-04   1.91771634E-26   2.12290934E-07  
  47               5.26071679E-02   4.06178505E+02   8.38074717E-01   1.60463687E-01   7.81336065E-04   5.31344834E-04   1.67381476E-19   1.20909533E-04   1.44438459E-25   4.07177532E-07  
  48               5.98766006E-02   4.25232530E+02   8.38075643E-01   1.60463462E-01   7.81335647E-04   5.31344089E-04   2.13400285E-18   1.19508138E-04   2.46515776E-24   1.10778974E-06  
  49               6.81969711E-02   4.39086494E+02   8.38076726E-01   1.60463172E-01   7.81342064E-04   5.31343128E-04   1.09125241E-17   1.17770308E-04   1.62792653E-23   1.97659451E-06  
  50               7.78200403E-02   4.59979904E+02   8.38076875E-01   1.60461703E-01   7.81614179E-04   5.31338266E-04   1.18237251E-16   1.12371663E-04   2.32209580E-22   4.67536039E-06  
  51               8.90642388E-02   4.75677391E+02   8.38082074E-01   1.60461055E-01   7.79921032E-04   5.31336120E-04   5.67942850E-16   1.06660914E-04   1.43670752E-21   7.53048868E-06  
  52               1.02518079E-01   4.99562181E+02   8.38091107E-01   1.60458865E-01   7.79910392E-04   5.31328868E-04   5.70604239E-15   9.30123457E-05   1.89405255E-20   1.43539425E-05  
  53               1.18859811E-01   5.18642540E+02   8.38098573E-01   1.60457055E-01   7.79901602E-04   5.31322875E-04   2.84794107E-14   8.17321464E-05   1.22680544E-19   1.99933556E-05  
  54               1.39157777E-01   5.47385742E+02   8.38111064E-01   1.60454027E-01   7.79886915E-04   5.31312848E-04   2.87364279E-13   6.28596886E-05   1.64048151E-18   2.94284361E-05  
  55               1.64423264E-01   5.71553006E+02   8.38119015E-01   1.60452100E-01   7.79877607E-04   5.31306463E-04   1.53991333E-12   5.08448818E-05   1.16083159E-17   3.54351083E-05  
  56               1.95654954E-01   6.06051429E+02   8.38128823E-01   1.60449722E-01   7.79866281E-04   5.31298576E-04   1.47241397E-11   3.60257991E-05   1.48012125E-16   4.28437478E-05  
  57               2.33415626E-01   6.34666493E+02   8.38133951E-01   1.60448478E-01   7.79860654E-04   5.31294397E-04   7.30613284E-11   2.82741438E-05   9.69943119E-16   4.67191036E-05  
  58               2.78031801E-01   6.72978157E+02   8.38139396E-01   1.60447154E-01   7.79855293E-04   5.31289532E-04   5.49134096E-10   2.00338791E-05   9.55721629E-15   5.08387338E-05  
  59               3.29662898E-01   7.03501126E+02   8.38141940E-01   1.60446515E-01   7.79853145E-04   5.31285796E-04   2.15563881E-09   1.61149751E-05   4.84723823E-14   5.27979434E-05  
  60               3.88348049E-01   7.43231976E+02   8.38144534E-01   1.60445807E-01   7.79847033E-04   5.31273831E-04   1.17213686E-08   1.19391265E-05   3.35342239E-13   5.48855994E-05  
  61               4.54146170E-01   7.73757139E+02   8.38145611E-01   1.60445452E-01   7.79831016E-04   5.31248929E-04   3.53433448E-08   1.00257300E-05   1.26973589E-12   5.58421626E-05  
  62               5.27429867E-01   8.13650848E+02   8.38147184E-01   1.60445059E-01   7.79743400E-04   5.31139669E-04   1.42945010E-07   7.81712664E-06   6.35021804E-12   5.69463149E-05  
  63               6.08737538E-01   8.43731524E+02   8.38148044E-01   1.60444824E-01   7.79562483E-04   5.30933387E-04   3.47912440E-07   6.82180227E-06   1.89670042E-11   5.74438867E-05  
  64               6.98633642E-01   8.83750586E+02   8.38149706E-01   1.60444346E-01   7.78841669E-04   5.30159919E-04   1.11816055E-06   5.54995433E-06   7.39378958E-11   5.80796251E-05  
  65               7.97720004E-01   9.13410509E+02   8.38151087E-01   1.60443791E-01   7.77704318E-04   5.28970241E-04   2.30395547E-06   4.99448746E-06   1.84266949E-10   5.83571401E-05  
  66               9.06843745E-01   9.53687814E+02   8.38155247E-01   1.60442233E-01   7.73941898E-04   5.25110422E-04   6.15299264E-06   4.20392753E-06   5.93453099E-10   5.87518005E-05  
  67               1.02733521E+00   9.83262410E+02   8.38160551E-01   1.60440464E-01   7.69071689E-04   5.20155954E-04   1.10956635E-05   3.87319299E-06   1.29446395E-09   5.89164524E-05  
  68               1.16137936E+00   1.02452096E+03   8.38179425E-01   1.60435826E-01   7.55111099E-04   5.06006861E-04   2.52149162E-05   3.34615035E-06   3.63845861E-09   5.91780764E-05  
  69               1.31157448E+00   1.05515834E+03   8.38199777E-01   1.60430839E-01   7.39865084E-04   4.90601399E-04   4.05912135E-05   3.13343564E-06   7.30830237E-09   5.92823528E-05  
  70               1.48280178E+00   1.09892599E+03   8.38249139E-01   1.60418775E-01   7.02784399E-04   4.53238882E-04   7.78886672E-05   2.75957436E-06   1.88873879E-08   5.94641855E-05  
  71               1.68071165E+00   1.13276813E+03   8.38294110E-01   1.60407788E-01   6.68892083E-04   4.19111108E-04   1.11963459E-04   2.61039789E-06   3.67672163E-08   5.95339533E-05  
  72               1.91589434E+00   1.18193931E+03   8.38381491E-01   1.60386452E-01   6.02995987E-04   3.52821337E-04   1.78159278E-04   2.33012511E-06   9.22592253E-08   5.96644251E-05  
  73               2.20068256E+00   1.22255019E+03   8.38447932E-01   1.60370209E-01   5.52798821E-04   3.02318621E-04   2.28598150E-04   2.21782060E-06   1.83141265E-07   5.97125436E-05  
  74               2.55365150E+00   1.28140700E+03   8.38548712E-01   1.60345534E-01   4.76552236E-04   2.25650948E-04   3.05174949E-04   2.00131740E-06   4.66962570E-07   5.98075381E-05  
  75               2.99269079E+00   1.33207491E+03   8.38611968E-01   1.60329933E-01   4.28416485E-04   1.77240659E-04   3.53529742E-04   1.92140814E-06   9.59283982E-07   5.98371595E-05  
