# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               Fe              
  1                1.00000000E-05   6.71706658E+02   8.38853229E-01   1.60274106E-01   1.47978438E-12   5.26514252E-04   2.49363260E-04   6.07896369E-05   0.00000000E+00   0.00000000E+00  
  2                1.30111949E-05   6.82718741E+02   8.38853160E-01   1.60274018E-01   2.45122116E-12   5.26947016E-04   2.49461770E-04   6.07895559E-05   0.00000000E+00   0.00000000E+00  
  3                1.68408402E-05   6.89064430E+02   8.38852515E-01   1.60274112E-01   3.08054184E-12   5.26713144E-04   2.49933933E-04   6.07895065E-05   0.00000000E+00   0.00000000E+00  
  4                2.17135981E-05   6.98215823E+02   8.38852143E-01   1.60274095E-01   4.49199196E-12   5.26842501E-04   2.50166369E-04   6.07894234E-05   0.00000000E+00   0.00000000E+00  
  5                2.79126676E-05   7.04103317E+02   8.38851429E-01   1.60274243E-01   5.44268649E-12   5.26455967E-04   2.50731202E-04   6.07893625E-05   0.00000000E+00   0.00000000E+00  
  6                3.57976295E-05   7.13196697E+02   8.38851101E-01   1.60274236E-01   7.76890977E-12   5.26524422E-04   2.50974216E-04   6.07892555E-05   0.00000000E+00   0.00000000E+00  
  7                4.58216514E-05   7.19468526E+02   8.38850162E-01   1.60274384E-01   9.49653686E-12   5.26081241E-04   2.51582775E-04   6.07891583E-05   0.00000000E+00   0.00000000E+00  
  8                5.85597136E-05   7.29124734E+02   8.38849827E-01   1.60274349E-01   1.36902208E-11   5.26180361E-04   2.51777234E-04   6.07890101E-05   0.00000000E+00   0.00000000E+00  
  9                7.47367186E-05   7.36241824E+02   8.38848779E-01   1.60274471E-01   1.72286497E-11   5.25772529E-04   2.52355761E-04   6.07888624E-05   0.00000000E+00   0.00000000E+00  
  10               9.52708184E-05   7.46769070E+02   8.38848424E-01   1.60274377E-01   2.53675200E-11   5.25956689E-04   2.52457920E-04   6.07886583E-05   0.00000000E+00   0.00000000E+00  
  11               1.21318547E-04   7.54857788E+02   8.38847171E-01   1.60274442E-01   3.29049642E-11   5.25632587E-04   2.52958319E-04   6.07884428E-05   0.00000000E+00   0.00000000E+00  
  12               1.54350146E-04   7.66247640E+02   8.38846751E-01   1.60274287E-01   4.92159568E-11   5.25888702E-04   2.52977257E-04   6.07881745E-05   0.00000000E+00   0.00000000E+00  
  13               1.96233679E-04   7.75192438E+02   8.38845210E-01   1.60274293E-01   6.51204510E-11   5.25633742E-04   2.53405664E-04   6.07878786E-05   0.00000000E+00   0.00000000E+00  
  14               2.49335220E-04   7.87313989E+02   8.38845313E-01   1.60274215E-01   9.79329182E-11   5.25917044E-04   2.53379462E-04   6.07875846E-05   0.00000000E+00   0.00000000E+00  
  15               3.16656526E-04   7.96970974E+02   8.38844846E-01   1.60274296E-01   1.30827914E-10   5.25697840E-04   2.53763012E-04   6.07872403E-05   0.00000000E+00   0.00000000E+00  
  16               4.01977896E-04   8.09701922E+02   8.38844961E-01   1.60274218E-01   1.96208009E-10   5.25970314E-04   2.53724212E-04   6.07868722E-05   0.00000000E+00   0.00000000E+00  
  17               5.10069167E-04   8.19976433E+02   8.38844524E-01   1.60274293E-01   2.62884385E-10   5.25761175E-04   2.54083782E-04   6.07864251E-05   0.00000000E+00   0.00000000E+00  
  18               6.46934965E-04   8.33352470E+02   8.38844647E-01   1.60274217E-01   3.92952239E-10   5.26020902E-04   2.54034949E-04   6.07859631E-05   0.00000000E+00   1.20735769E-15  
  19               8.20129424E-04   8.44342847E+02   8.38844250E-01   1.60274284E-01   5.28899620E-10   5.25831523E-04   2.54362486E-04   6.07853886E-05   0.00000000E+00   4.29496394E-15  
  20               1.03913165E-03   8.58542325E+02   8.38844404E-01   1.60274203E-01   7.91540485E-10   5.26098455E-04   2.54287052E-04   6.07848116E-05   0.00000000E+00   4.29495980E-15  
  21               1.31582413E-03   8.70396211E+02   8.38844066E-01   1.60274258E-01   1.07323025E-09   5.25945135E-04   2.54567990E-04   6.07840835E-05   0.00000000E+00   1.54965286E-14  
  22               1.66505735E-03   8.85518420E+02   8.38844252E-01   1.60274173E-01   1.60916449E-09   5.26221513E-04   2.54464235E-04   6.07833676E-05   0.00000000E+00   1.54965098E-14  
  23               2.10538846E-03   8.98225609E+02   8.38843960E-01   1.60274218E-01   2.19065299E-09   5.26094159E-04   2.54706907E-04   6.07824513E-05   0.00000000E+00   5.58209803E-14  
  24               2.65992306E-03   9.14203344E+02   8.38844152E-01   1.60274135E-01   3.27426752E-09   5.26359358E-04   2.54593554E-04   6.07815602E-05   0.00000000E+00   5.58208957E-14  
  25               3.35748879E-03   9.27666570E+02   8.38843881E-01   1.60274178E-01   4.45079415E-09   5.26237140E-04   2.54816824E-04   6.07804065E-05   0.00000000E+00   1.96183714E-13  
  26               4.23476667E-03   9.44349208E+02   8.38844045E-01   1.60274107E-01   6.58738046E-09   5.26465622E-04   2.54718168E-04   6.07792835E-05   9.10833469E-16   1.96183341E-13  
  27               5.33790757E-03   9.58419805E+02   8.38843757E-01   1.60274156E-01   8.88527840E-09   5.26320157E-04   2.54949313E-04   6.07778141E-05   2.81058828E-15   6.58857947E-13  
  28               6.72458136E-03   9.75680601E+02   8.38843866E-01   1.60274102E-01   1.29599307E-08   5.26493932E-04   2.54884231E-04   6.07763724E-05   5.01032391E-15   6.58856343E-13  
  29               8.46683917E-03   9.90252482E+02   8.38843532E-01   1.60274165E-01   1.72808740E-08   5.26305590E-04   2.55143734E-04   6.07744789E-05   1.48224055E-14   2.09044710E-12  
  30               1.06543931E-02   1.00801277E+03   8.38843574E-01   1.60274130E-01   2.47848816E-08   5.26418085E-04   2.55121297E-04   6.07726042E-05   2.56965039E-14   2.09044038E-12  
  31               1.33987481E-02   1.02302565E+03   8.38843173E-01   1.60274210E-01   3.26192420E-08   5.26174389E-04   2.55423552E-04   6.07701457E-05   7.24484427E-14   6.27497725E-12  
