# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              CO               H                NH3              N2              
  1                1.00000000E-05   6.61313782E+01   8.38830897E-01   1.60608772E-01   1.91550231E-16   5.31825257E-04   1.20972893E-103  3.16582654E-109  1.21575805E-06   1.07723282E-37  
  2                1.47488874E-04   7.68257304E+01   8.38830897E-01   1.60608772E-01   1.91792575E-16   5.31825257E-04   5.56824916E-106  8.24342110E-110  1.21575805E-06   4.95211882E-40  
  3                2.97853183E-04   9.26602387E+01   8.38790431E-01   1.60601024E-01   1.53738791E-14   5.31799601E-04   3.71679638E-95   7.45586195E-100  2.53588964E-05   1.54324892E-33  
  4                3.80418230E-04   9.79074260E+01   8.38770198E-01   1.60597150E-01   7.89679497E-14   5.31786773E-04   5.22733174E-92   5.49305905E-97   4.94795954E-05   1.71240533E-32  
  5                4.43280063E-04   1.10654995E+02   8.38749964E-01   1.60593276E-01   1.17284942E-12   5.31773945E-04   1.31849552E-86   2.47581196E-92   7.36002944E-05   8.09424889E-31  
  6                4.98007797E-04   1.13875038E+02   8.38729731E-01   1.60589402E-01   2.28252075E-12   5.31761117E-04   1.06169218E-85   2.67151956E-91   9.77209934E-05   2.42937185E-30  
  7                5.49360663E-04   1.19496238E+02   8.38729731E-01   1.60589402E-01   2.03271452E-11   5.31761117E-04   9.73799301E-81   4.32176348E-87   1.21819253E-04   6.14509516E-29  
  8                6.00420451E-04   1.20784096E+02   8.38729731E-01   1.60589402E-01   3.85542647E-11   5.31761117E-04   1.36001110E-79   8.84659298E-86   1.21819253E-04   2.16075757E-28  
  9                6.59652703E-04   1.26550932E+02   8.38729731E-01   1.60589402E-01   2.68716742E-10   5.31761117E-04   6.77111833E-75   9.54454339E-82   1.21819253E-04   4.92016208E-27  
  10               7.29360404E-04   1.28432968E+02   8.38729729E-01   1.60589402E-01   4.99287769E-10   5.31761116E-04   5.76233051E-74   1.13794849E-80   1.21819253E-04   1.46113038E-26  
